Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
890,31,A2,zählen _____,auf,zählen auf,to count on,compter sur,Accusative,Accusatif,zählen,zählen auf,to count on = zählen auf + Accusative,compter sur = zählen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to count on = zählen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,compter sur = zählen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
891,31,A2,hängen _____,an,hängen an,"to be fond of, to be emotionally attached to",être attaché à,Dative,Datif,hängen,hängen an,"to be fond of, to be emotionally attached to = hängen an + Dative",être attaché à = hängen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,"to be fond of, to be emotionally attached to = hängen an + Dative<br>to introduce a point of reference → an + Dat.",être attaché à = hängen an + Datif<br>pour introduire un point de référence → an + Dat.
892,31,A1,bringen _____,zu,bringen zu,"to cause, to make someone to do something","amener, pousser quelqu'un à faire quelque chose",Dative,Datif,bringen,bringen zu,"to cause, to make someone to do something = bringen zu + Dative","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif",to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,"to cause, to make someone to do something = bringen zu + Dative<br>to introduce an outcome or direction → zu + Dat.","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat."
893,31,A1,gewinnen _____,an,gewinnen an,to gain in,gagner en,,,gewinnen,gewinnen an,to gain in = gewinnen an,gagner en = gewinnen an,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to gain in = gewinnen an<br>to introduce a point of reference → an + Dat.,gagner en = gewinnen an<br>pour introduire un point de référence → an + Dat.
894,31,B2,retten _____,vor,retten vor,to save somebody from something,sauver quelqu'un de quelque chose,Dative,Dative,retten,retten vor,to save somebody from something = retten vor + Dative,sauver quelqu'un de quelque chose = retten vor + Dative,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to save somebody from something = retten vor + Dative<br>to introduce an object of danger → vor + Dat.,sauver quelqu'un de quelque chose = retten vor + Dative<br>pour introduire un danger → vor + Dat.
895,31,B1,zurückkommen _____,auf,zurückkommen auf,"to come back to, to refer to",revenir à,Accusative,Accusatif,zurückkommen,zurückkommen auf,"to come back to, to refer to = zurückkommen auf + Accusative",revenir à = zurückkommen auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to come back to, to refer to = zurückkommen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",revenir à = zurückkommen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
896,32,,Wir haben das Spiel _____ die andere Mannschaft verloren.,an,Wir haben das Spiel an die andere Mannschaft verloren.,We lost the game to the other team.,Nous avons perdu le match contre l'autre équipe.,,,verlieren,verlieren an,to lose something to someone = verlieren an + Accusative,perdre quelque chose au profit de quelqu'un = verlieren an + Accusatif,,,to lose something to someone = verlieren an + Accusative,perdre quelque chose au profit de quelqu'un = verlieren an + Accusatif
897,32,,Er hat _____ Bedeutung verloren.,an,Er hat an Bedeutung verloren.,He lost his importance.,Il a perdu de son importance.,,,verlieren,verlieren an,to lose something to someone = verlieren an + Accusative,perdre quelque chose au profit de quelqu'un = verlieren an + Accusatif,,,to lose something to someone = verlieren an + Accusative,perdre quelque chose au profit de quelqu'un = verlieren an + Accusatif
898,32,,Die Firma verliert langsam _____ Marktanteilen.,an,Die Firma verliert langsam an Marktanteilen.,The company is slowly losing market share.,L'entreprise perd progressivement des parts de marché.,,,verlieren,verlieren an,to lose something to someone = verlieren an + Accusative,perdre quelque chose au profit de quelqu'un = verlieren an + Accusatif,,,to lose something to someone = verlieren an + Accusative,perdre quelque chose au profit de quelqu'un = verlieren an + Accusatif
899,32,,Er ändert etwas _____ seinem Plan.,an,Er ändert etwas an seinem Plan.,He changes something about his plan.,Il modifie un élément de son plan.,,,ändern,ändern an,to partially change something = ändern an + Dative,modifier partiellement quelque chose = ändern an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to partially change something = ändern an + Dative<br>to introduce a point of reference → an + Dat.,modifier partiellement quelque chose = ändern an + Datif<br>pour introduire un point de référence → an + Dat.
900,32,,Wir müssen etwas _____ der Situation ändern.,an,Wir müssen etwas an der Situation ändern.,We have to change something about the situation.,Nous devons changer quelque chose à cette situation.,,,ändern,ändern an,to partially change something = ändern an + Dative,modifier partiellement quelque chose = ändern an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to partially change something = ändern an + Dative<br>to introduce a point of reference → an + Dat.,modifier partiellement quelque chose = ändern an + Datif<br>pour introduire un point de référence → an + Dat.
901,32,,Sie hat nichts _____ ihrem Verhalten geändert.,an,Sie hat nichts an ihrem Verhalten geändert.,She has not changed her behavior.,Elle n'a pas changé de comportement.,,,ändern,ändern an,to partially change something = ändern an + Dative,modifier partiellement quelque chose = ändern an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to partially change something = ändern an + Dative<br>to introduce a point of reference → an + Dat.,modifier partiellement quelque chose = ändern an + Datif<br>pour introduire un point de référence → an + Dat.
902,32,,Ich halte ihn _____ sehr intelligent.,für,Ich halte ihn für sehr intelligent.,I consider him to be very intelligent.,Je le trouve très intelligent.,,,halten,halten für,"to take for, to consider as = halten für + Accusative","prendre pour, considérer comme = halten für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to take for, to consider as = halten für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","prendre pour, considérer comme = halten für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
903,32,,Viele Menschen halten dieses Buch _____ ein Meisterwerk.,für,Viele Menschen halten dieses Buch für ein Meisterwerk.,Many people consider this book a masterpiece.,Beaucoup de gens considèrent ce livre comme un chef-d'œuvre.,,,halten,halten für,"to take for, to consider as = halten für + Accusative","prendre pour, considérer comme = halten für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to take for, to consider as = halten für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","prendre pour, considérer comme = halten für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
904,32,,Sie hielt den Vorschlag _____ eine gute Gelegenheit.,für,Sie hielt den Vorschlag für eine gute Gelegenheit.,She considered the proposal a good opportunity.,Elle considérait la proposition comme une bonne opportunité.,,,halten,halten für,"to take for, to consider as = halten für + Accusative","prendre pour, considérer comme = halten für + Accusatif","to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to take for, to consider as = halten für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","prendre pour, considérer comme = halten für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
905,32,,Was hältst du _____ ihrem neuen Freund?,von,Was hältst du von ihrem neuen Freund?,What do you think of her new boyfriend?,Que penses-tu de son nouveau petit ami ?,,,halten,halten von,"to think of, to regard = halten von + Dative","penser à, considérer = halten von + Datif",,,"to think of, to regard = halten von + Dative","penser à, considérer = halten von + Datif"
906,32,,Ich halte nicht viel _____ solchen Versprechen.,von,Ich halte nicht viel von solchen Versprechen.,I don't think much of such promises.,Je ne crois pas beaucoup à ce genre de promesses.,,,halten,halten von,"to think of, to regard = halten von + Dative","penser à, considérer = halten von + Datif",,,"to think of, to regard = halten von + Dative","penser à, considérer = halten von + Datif"
907,32,,Sie hält viel _____ seinem ehrlichen Umgang mit schwierigen Themen.,von,Sie hält viel von seinem ehrlichen Umgang mit schwierigen Themen.,She thinks highly of the way he deals honestly with difficult topics.,Elle estime beaucoup sa manière honnête d’aborder des sujets difficiles.,,,halten,halten von,"to think of, to regard = halten von + Dative","penser à, considérer = halten von + Datif",,,"to think of, to regard = halten von + Dative","penser à, considérer = halten von + Datif"
908,32,,Er hält sich immer _____ die Regeln.,an,Er hält sich immer an die Regeln.,He always sticks to the rules.,Il respecte toujours les règles.,,,halten,halten an,"to adhere to, to stick to = halten an + Accusative",adhérer à = halten an + Accusatif,to introduce an adaptation → an + Acc.,pour introduire une adaptation → an + Acc.,"to adhere to, to stick to = halten an + Accusative<br>to introduce an adaptation → an + Acc.",adhérer à = halten an + Accusatif<br>pour introduire une adaptation → an + Acc.
909,32,,Du musst dich _____ die Vereinbarung halten.,an,Du musst dich an die Vereinbarung halten.,You have to stick to the agreement.,Tu dois respecter l'accord.,,,halten,halten an,"to adhere to, to stick to = halten an + Accusative",adhérer à = halten an + Accusatif,to introduce an adaptation → an + Acc.,pour introduire une adaptation → an + Acc.,"to adhere to, to stick to = halten an + Accusative<br>to introduce an adaptation → an + Acc.",adhérer à = halten an + Accusatif<br>pour introduire une adaptation → an + Acc.
910,32,,Sie hielt während des gesamten Projekts strikt _____ ihrem Zeitplan fest.,an,Sie hielt während des gesamten Projekts strikt an ihrem Zeitplan fest.,She stuck strictly to her schedule throughout the entire project.,Elle s’est tenue strictement à son planning pendant tout le projet.,,,halten,halten an,"to adhere to, to stick to = halten an + Accusative",adhérer à = halten an + Accusatif,to introduce an adaptation → an + Acc.,pour introduire une adaptation → an + Acc.,"to adhere to, to stick to = halten an + Accusative<br>to introduce an adaptation → an + Acc.",adhérer à = halten an + Accusatif<br>pour introduire une adaptation → an + Acc.
911,32,,Das Unternehmen richtet seine langfristige Strategie _____ den aktuellen Markttrends aus.,an,Das Unternehmen richtet seine langfristige Strategie an den aktuellen Markttrends aus.,The company aligns its long-term strategy with current market trends.,L’entreprise aligne sa stratégie à long terme sur les tendances actuelles du marché.,,,ausrichten,ausrichten an,to align on = ausrichten an + Dative,aligner sur = ausrichten an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to align on = ausrichten an + Dative<br>to introduce a point of reference → an + Dat.,aligner sur = ausrichten an + Datif<br>pour introduire un point de référence → an + Dat.
912,32,,Die Ausbildung soll sich stärker _____ den Bedürfnissen der zukünftigen Arbeitgeber ausrichten.,an,Die Ausbildung soll sich stärker an den Bedürfnissen der zukünftigen Arbeitgeber ausrichten.,The training should be more closely aligned with the needs of future employers.,La formation devrait davantage s’aligner sur les besoins des employeurs futurs.,,,ausrichten,ausrichten an,to align on = ausrichten an + Dative,aligner sur = ausrichten an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to align on = ausrichten an + Dative<br>to introduce a point of reference → an + Dat.,aligner sur = ausrichten an + Datif<br>pour introduire un point de référence → an + Dat.
913,32,,"Die Maßnahmen müssen sich _____ klaren wissenschaftlichen Erkenntnissen ausrichten, um wirksam zu sein.",an,"Die Maßnahmen müssen sich an klaren wissenschaftlichen Erkenntnissen ausrichten, um wirksam zu sein.",The measures must be aligned with clear scientific findings in order to be effective.,Les mesures doivent s’aligner sur des données scientifiques claires pour être efficaces.,,,ausrichten,ausrichten an,to align on = ausrichten an + Dative,aligner sur = ausrichten an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to align on = ausrichten an + Dative<br>to introduce a point of reference → an + Dat.,aligner sur = ausrichten an + Datif<br>pour introduire un point de référence → an + Dat.
914,32,,Der Unfall brachte sie _____ beinahe all ihren Mut.,um,Der Unfall brachte sie um beinahe all ihren Mut.,The accident took away almost all of her courage.,L’accident lui a enlevé presque tout son courage.,,,bringen,bringen um,to deprive someone of = bringen um + Accusative,dépriver quelqu'un de = bringen um + Accusatif,to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to deprive someone of = bringen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,dépriver quelqu'un de = bringen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.
915,32,,Der Betrug brachte ihn _____ sein gesamtes Erspartes.,um,Der Betrug brachte ihn um sein gesamtes Erspartes.,The fraud cost him all his savings.,L’escroquerie lui a fait perdre toutes ses économies.,,,bringen,bringen um,to deprive someone of = bringen um + Accusative,dépriver quelqu'un de = bringen um + Accusatif,to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to deprive someone of = bringen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,dépriver quelqu'un de = bringen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.
916,32,,Die schlechte Planung brachte das Team _____ wertvolle Zeit.,um,Die schlechte Planung brachte das Team um wertvolle Zeit.,The poor planning cost the team valuable time.,La mauvaise planification a fait perdre au groupe un temps précieux.,,,bringen,bringen um,to deprive someone of = bringen um + Accusative,dépriver quelqu'un de = bringen um + Accusatif,to introduce a central object of concern or covetousness → um + Acc.,pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,to deprive someone of = bringen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,dépriver quelqu'un de = bringen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.
917,32,,Diese Regeln gelten _____ offiziellen Prüfungen ohne Ausnahme.,bei,Diese Regeln gelten bei offiziellen Prüfungen ohne Ausnahme.,These rules apply without exception in official exams.,Ces règles s’appliquent sans exception lors des examens officiels.,,,gelten,gelten bei,to apply to (situations) = gelten bei + Dative,s'appliquer à (des situations) = gelten bei + Datif,to introduce a context or a situation → bei + Dat.,pour introduire un contexte ou une situation → bei + Dat.,to apply to (situations) = gelten bei + Dative<br>to introduce a context or a situation → bei + Dat.,s'appliquer à (des situations) = gelten bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.
918,32,,Der Rabatt gilt _____ Online-Bestellungen nur bis Ende des Monats.,bei,Der Rabatt gilt bei Online-Bestellungen nur bis Ende des Monats.,The discount is valid for online orders only until the end of the month.,La réduction est valable pour les commandes en ligne seulement jusqu’à la fin du mois.,,,gelten,gelten bei,to apply to (situations) = gelten bei + Dative,s'appliquer à (des situations) = gelten bei + Datif,to introduce a context or a situation → bei + Dat.,pour introduire un contexte ou une situation → bei + Dat.,to apply to (situations) = gelten bei + Dative<br>to introduce a context or a situation → bei + Dat.,s'appliquer à (des situations) = gelten bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.
919,32,,Diese Sicherheitsmaßnahmen gelten _____ allen Veranstaltungen dieser Größe.,bei,Diese Sicherheitsmaßnahmen gelten bei allen Veranstaltungen dieser Größe.,These safety measures apply to all events of this size.,Ces mesures de sécurité s’appliquent à tous les événements de cette taille.,,,gelten,gelten bei,to apply to (situations) = gelten bei + Dative,s'appliquer à (des situations) = gelten bei + Datif,to introduce a context or a situation → bei + Dat.,pour introduire un contexte ou une situation → bei + Dat.,to apply to (situations) = gelten bei + Dative<br>to introduce a context or a situation → bei + Dat.,s'appliquer à (des situations) = gelten bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.
920,32,,"Die Verletzte rief _____ Hilfe, als der Schmerz stärker wurde.",nach,"Die Verletzte rief nach Hilfe, als der Schmerz stärker wurde.",The injured woman called for help as the pain increased.,La blessée a appelé à l’aide quand la douleur s’est intensifiée.,,,rufen,rufen nach,to call for = rufen nach + Dative,appeller à = rufen nach + Datif,to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to call for = rufen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,appeller à = rufen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.
921,32,,"Die Kinder riefen _____ ihren Eltern, als das Gewitter begann.",nach,"Die Kinder riefen nach ihren Eltern, als das Gewitter begann.",The children called for their parents when the storm started.,Les enfants ont appelé leurs parents quand l’orage a commencé.,,,rufen,rufen nach,to call for = rufen nach + Dative,appeller à = rufen nach + Datif,to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to call for = rufen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,appeller à = rufen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.
922,32,,"Viele Bürger rufen _____ Veränderungen, weil sie unzufrieden mit der aktuellen Situation sind.",nach,"Viele Bürger rufen nach Veränderungen, weil sie unzufrieden mit der aktuellen Situation sind.",Many citizens are calling for change because they are dissatisfied with the current situation.,De nombreux citoyens réclament des changements car ils sont mécontents de la situation actuelle.,,,rufen,rufen nach,to call for = rufen nach + Dative,appeller à = rufen nach + Datif,to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to call for = rufen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,appeller à = rufen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.
923,32,,In schwierigen Zeiten kann sie immer _____ ihre Freunde zählen.,auf,In schwierigen Zeiten kann sie immer auf ihre Freunde zählen.,"In difficult times, she can always count on her friends.","En période difficile, elle peut toujours compter sur ses amis.",,,zählen,zählen auf,to count on = zählen auf + Accusative,compter sur = zählen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to count on = zählen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,compter sur = zählen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
924,32,,"Wir müssen _____einander zählen, wenn wir dieses Projekt erfolgreich abschließen wollen.",auf,"Wir müssen aufeinander zählen, wenn wir dieses Projekt erfolgreich abschließen wollen.",We need to rely on each other if we want to complete this project successfully.,Nous devons compter les uns sur les autres si nous voulons mener ce projet à bien.,,,zählen,zählen auf,to count on = zählen auf + Accusative,compter sur = zählen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to count on = zählen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,compter sur = zählen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
925,32,,"Er zählt _____ deine Unterstützung, damit alles rechtzeitig fertig wird.",auf,"Er zählt auf deine Unterstützung, damit alles rechtzeitig fertig wird.",He is counting on your support so that everything is finished on time.,Il compte sur ton soutien pour que tout soit prêt à temps.,,,zählen,zählen auf,to count on = zählen auf + Accusative,compter sur = zählen auf + Accusatif,to introduce a reliance or a reference → auf + Acc.,pour introduire une référence ou une mention → auf + Acc.,to count on = zählen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,compter sur = zählen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.
926,32,,Sie hängt sehr _____ ihrer Familie und besucht sie so oft wie möglich.,an,Sie hängt sehr an ihrer Familie und besucht sie so oft wie möglich.,She is very attached to her family and visits them as often as possible.,Elle est très attachée à sa famille et la visite aussi souvent que possible.,,,hängen,hängen an,"to be fond of, to be emotionally attached to = hängen an + Dative",être attaché à = hängen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,"to be fond of, to be emotionally attached to = hängen an + Dative<br>to introduce a point of reference → an + Dat.",être attaché à = hängen an + Datif<br>pour introduire un point de référence → an + Dat.
927,32,,"Er hängt noch immer _____ alten Gewohnheiten, obwohl er weiß, dass sie ihm nicht guttun.",an,"Er hängt noch immer an alten Gewohnheiten, obwohl er weiß, dass sie ihm nicht guttun.","He still clings to old habits, even though he knows they aren’t good for him.","Il reste attaché à ses vieilles habitudes, même s’il sait qu’elles ne lui font pas du bien.",,,hängen,hängen an,"to be fond of, to be emotionally attached to = hängen an + Dative",être attaché à = hängen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,"to be fond of, to be emotionally attached to = hängen an + Dative<br>to introduce a point of reference → an + Dat.",être attaché à = hängen an + Datif<br>pour introduire un point de référence → an + Dat.
928,32,,"Viele Menschen hängen _____ Dingen, die sie an wichtige Erinnerungen erinnern.",an,"Viele Menschen hängen an Dingen, die sie an wichtige Erinnerungen erinnern.",Many people are attached to objects that remind them of important memories.,Beaucoup de gens tiennent à des objets qui leur rappellent des souvenirs importants.,,,hängen,hängen an,"to be fond of, to be emotionally attached to = hängen an + Dative",être attaché à = hängen an + Datif,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,"to be fond of, to be emotionally attached to = hängen an + Dative<br>to introduce a point of reference → an + Dat.",être attaché à = hängen an + Datif<br>pour introduire un point de référence → an + Dat.
929,32,,"Sein Verhalten brachte mich _____, meine Meinung zu ändern.",dazu,"Sein Verhalten brachte mich dazu, meine Meinung zu ändern.",His behaviour caused me to change my mind.,Son comportement m'a amené à changer d'avis.,,,bringen,bringen zu,"to cause, to make someone to do something = bringen zu + Dative","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif",to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,"to cause, to make someone to do something = bringen zu + Dative<br>to introduce an outcome or direction → zu + Dat.","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat."
930,32,,"Der Druck brachte sie _____, schneller zu arbeiten.",dazu,"Der Druck brachte sie dazu, schneller zu arbeiten.",The pressure made her work faster.,La pression l'a poussée à travailler plus vite.,,,bringen,bringen zu,"to cause, to make someone to do something = bringen zu + Dative","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif",to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,"to cause, to make someone to do something = bringen zu + Dative<br>to introduce an outcome or direction → zu + Dat.","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat."
931,32,,Die Nachricht brachte ihn _____ Nachdenken.,zum,Die Nachricht brachte ihn zum Nachdenken.,The news made him think.,La nouvelle l'a fait réfléchir.,,,bringen,bringen zu,"to cause, to make someone to do something = bringen zu + Dative","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif",to introduce an outcome or direction → zu + Dat.,pour introduire un résultat ou une direction → zu + Dat.,"to cause, to make someone to do something = bringen zu + Dative<br>to introduce an outcome or direction → zu + Dat.","amener, pousser quelqu'un à faire quelque chose = bringen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat."
932,32,,Die Stadt gewinnt zunehmend _____ Bedeutung als internationales Finanzzentrum.,an,Die Stadt gewinnt zunehmend an Bedeutung als internationales Finanzzentrum.,The city is increasingly gaining importance as an international financial center.,La ville gagne de plus en plus en importance en tant que centre financier international.,,,,gewinnen an,to gain in = gewinnen an,gagner en = gewinnen an,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to gain in = gewinnen an<br>to introduce a point of reference → an + Dat.,gagner en = gewinnen an<br>pour introduire un point de référence → an + Dat.
933,32,,Mit der Zeit hat das Projekt _____ Qualität und Effizienz gewonnen.,an,Mit der Zeit hat das Projekt an Qualität und Effizienz gewonnen.,"Over time, the project has gained in quality and efficiency.","Avec le temps, le projet a gagné en qualité et en efficacité.",,,,gewinnen an,to gain in = gewinnen an,gagner en = gewinnen an,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to gain in = gewinnen an<br>to introduce a point of reference → an + Dat.,gagner en = gewinnen an<br>pour introduire un point de référence → an + Dat.
934,32,,Dank der neuen Strategie gewinnt das Unternehmen _____ Wettbewerbsfähigkeit.,an,Dank der neuen Strategie gewinnt das Unternehmen an Wettbewerbsfähigkeit.,"Thanks to the new strategy, the company is gaining in competitiveness.","Grâce à la nouvelle stratégie, l’entreprise gagne en compétitivité.",,,,gewinnen an,to gain in = gewinnen an,gagner en = gewinnen an,to introduce a point of reference → an + Dat.,pour introduire un point de référence → an + Dat.,to gain in = gewinnen an<br>to introduce a point of reference → an + Dat.,gagner en = gewinnen an<br>pour introduire un point de référence → an + Dat.
935,32,,Die Feuerwehr konnte das Kind rechtzeitig _____ dem Feuer retten.,vor,Die Feuerwehr konnte das Kind rechtzeitig vor dem Feuer retten.,The firefighters were able to save the child from the fire in time.,Les pompiers ont pu sauver l’enfant du feu à temps.,,,,retten vor,to save somebody from something = retten vor + Dative,sauver quelqu'un de quelque chose = retten vor + Dative,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to save somebody from something = retten vor + Dative<br>to introduce an object of danger → vor + Dat.,sauver quelqu'un de quelque chose = retten vor + Dative<br>pour introduire un danger → vor + Dat.
936,32,,"Er hat wichtige Daten _____ dem Verlust gerettet, indem er sie gesichert hat.",vor,"Er hat wichtige Daten vor dem Verlust gerettet, indem er sie gesichert hat.",He saved important data from being lost by backing it up.,Il a sauvé des données importantes de la perte en les sauvegardant.,,,,retten vor,to save somebody from something = retten vor + Dative,sauver quelqu'un de quelque chose = retten vor + Dative,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to save somebody from something = retten vor + Dative<br>to introduce an object of danger → vor + Dat.,sauver quelqu'un de quelque chose = retten vor + Dative<br>pour introduire un danger → vor + Dat.
937,32,,Die neuen Maßnahmen sollen viele Unternehmen _____ dem Konkurs retten.,vor,Die neuen Maßnahmen sollen viele Unternehmen vor dem Konkurs retten.,The new measures are intended to save many companies from bankruptcy.,Les nouvelles mesures doivent sauver de nombreuses entreprises de la faillite.,,,,retten vor,to save somebody from something = retten vor + Dative,sauver quelqu'un de quelque chose = retten vor + Dative,to introduce an object of danger → vor + Dat.,pour introduire un danger → vor + Dat.,to save somebody from something = retten vor + Dative<br>to introduce an object of danger → vor + Dat.,sauver quelqu'un de quelque chose = retten vor + Dative<br>pour introduire un danger → vor + Dat.
938,32,,"Ich möchte später noch einmal _____ diesen Punkt zurückkommen, da er für unsere Entscheidung entscheidend ist.",auf,"Ich möchte später noch einmal auf diesen Punkt zurückkommen, da er für unsere Entscheidung entscheidend ist.","I would like to come back to this point later, as it is crucial for our decision.","Je voudrais revenir plus tard sur ce point, car il est crucial pour notre décision.",,,,zurückkommen auf,"to come back to, to refer to = zurückkommen auf + Accusative",revenir à = zurückkommen auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to come back to, to refer to = zurückkommen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",revenir à = zurückkommen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
939,32,,Im weiteren Verlauf der Diskussion kam sie mehrmals _____ die ursprüngliche Fragestellung zurück.,auf,Im weiteren Verlauf der Diskussion kam sie mehrmals auf die ursprüngliche Fragestellung zurück.,"As the discussion progressed, she came back several times to the original question.","Au cours de la discussion, elle est revenue plusieurs fois à la question initiale.",,,,zurückkommen auf,"to come back to, to refer to = zurückkommen auf + Accusative",revenir à = zurückkommen auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,"to come back to, to refer to = zurückkommen auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.",revenir à = zurückkommen auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
