Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,chatgpt
204,140,Die Forscher entwickelten eine neue Methode; _____ konnten die Daten deutlich präziser analysiert werden.,hierdurch,Die Forscher entwickelten eine neue Methode; hierdurch konnten die Daten deutlich präziser analysiert werden.,"The researchers developed a new method; through this, the data could be analyzed much more precisely.","Les chercheurs ont développé une nouvelle méthode ; grâce à cela, les données ont pu être analysées beaucoup plus précisément.",,,hierdurch marks the process leading to the result.
205,140,Das Unternehmen digitalisierte seine Abläufe vollständig; _____ wurde die Produktivität erheblich gesteigert.,hierdurch,Das Unternehmen digitalisierte seine Abläufe vollständig; hierdurch wurde die Produktivität erheblich gesteigert.,"The company fully digitized its processes; through this, productivity increased significantly.","L’entreprise a entièrement numérisé ses processus ; grâce à cela, la productivité a fortement augmenté.",,,hierdurch expresses the action causing the outcome.
206,140,Der Autor änderte mehrere zentrale Annahmen seiner Theorie; _____ gewann das Modell an Erklärungskraft.,hierdurch,Der Autor änderte mehrere zentrale Annahmen seiner Theorie; hierdurch gewann das Modell an Erklärungskraft.,"The author changed several central assumptions of his theory; through this, the model gained explanatory power.","L’auteur a modifié plusieurs hypothèses centrales de sa théorie ; par cela, le modèle a gagné en pouvoir explicatif.",,,hierdurch highlights the mechanism producing the improvement.
207,140,Die Regeln wurden vereinfacht; _____ wurde das Verfahren für alle Beteiligten transparenter.,hierdurch,Die Regeln wurden vereinfacht; hierdurch wurde das Verfahren für alle Beteiligten transparenter.,"The rules were simplified; through this, the procedure became more transparent for everyone involved.","Les règles ont été simplifiées ; par cela, la procédure est devenue plus transparente pour toutes les parties.",,,hierdurch signals the causal link between action and effect.
208,140,Hiermit bestätige ich den Eingang Ihrer Bewerbung.,hiermit,Hiermit bestätige ich den Eingang Ihrer Bewerbung.,I hereby confirm receipt of your application.,Je confirme par la présente la réception de votre candidature.,,,hiermit is common in formal language to indicate the means of the present statement.
209,140,Hiermit überreiche ich Ihnen den Vertrag zur endgültigen Unterzeichnung.,hiermit,Hiermit überreiche ich Ihnen den Vertrag zur endgültigen Unterzeichnung.,I hereby present you with the contract for final signature.,Je vous remets par la présente le contrat pour signature définitive.,,,hiermit refers to the act performed by this communication.
210,140,"Der Ausschuss erklärt _____, dass die Entscheidung einstimmig getroffen wurde.",hiermit,"Der Ausschuss erklärt hiermit, dass die Entscheidung einstimmig getroffen wurde.",The committee hereby declares that the decision was made unanimously.,Le comité déclare par la présente que la décision a été prise à l’unanimité.,,,hiermit marks the formal act accomplished through the statement.
211,140,"Hiermit möchten wir Sie darüber informieren, dass sich der Termin verschoben hat.",hiermit,"Hiermit möchten wir Sie darüber informieren, dass sich der Termin verschoben hat.",We hereby inform you that the appointment has been postponed.,Nous vous informons par la présente que le rendez-vous a été reporté.,,,hiermit signals a formal announcement in writing.
212,140,Hiermit lege ich Ihnen die endgültige Fassung des Berichts vor.,hiermit,Hiermit lege ich Ihnen die endgültige Fassung des Berichts vor.,I hereby present you with the final version of the report.,Je vous présente par la présente la version finale du rapport.,,,hiermit refers to the document or action delivered with this statement.
213,140,Die Studie zeigt mehrere Schwächen des Modells; _____ waren selbst die Autoren überrascht.,hiervon,Die Studie zeigt mehrere Schwächen des Modells; hiervon waren selbst die Autoren überrascht.,The study reveals several weaknesses in the model; the authors themselves were surprised by this.,L’étude révèle plusieurs faiblesses du modèle ; les auteurs eux-mêmes en ont été surpris.,,,hiervon refers to the specific fact just mentioned.
214,140,Im Bericht werden verschiedene Risiken beschrieben; _____ betrifft eines besonders den Energiesektor.,hiervon,Im Bericht werden verschiedene Risiken beschrieben; hiervon betrifft eines besonders den Energiesektor.,The report describes several risks; one of them concerns the energy sector in particular.,Le rapport décrit plusieurs risques ; l’un d’entre eux concerne particulièrement le secteur de l’énergie.,,,hiervon indicates elements taken from the set just mentioned.
215,140,Die Regierung stellte mehrere Reformen vor; _____ könnten vor allem kleine Unternehmen profitieren.,hiervon,Die Regierung stellte mehrere Reformen vor; hiervon könnten vor allem kleine Unternehmen profitieren.,The government presented several reforms; small companies could benefit from these in particular.,Le gouvernement a présenté plusieurs réformes ; les petites entreprises pourraient particulièrement en bénéficier.,,,hiervon expresses benefit derived from the previously mentioned measures.
216,140,Der Artikel enthält zahlreiche statistische Angaben; _____ lassen sich wichtige Trends ableiten.,hiervon,Der Artikel enthält zahlreiche statistische Angaben; hiervon lassen sich wichtige Trends ableiten.,The article contains numerous statistics; important trends can be derived from these.,L’article contient de nombreuses données statistiques ; d’importantes tendances peuvent en être tirées.,,,hiervon refers to the source from which conclusions are drawn.
217,140,Die Kommission legte mehrere Vorschläge vor; _____ wurde schließlich nur einer umgesetzt.,hiervon,Die Kommission legte mehrere Vorschläge vor; hiervon wurde schließlich nur einer umgesetzt.,The commission presented several proposals; only one of them was ultimately implemented.,La commission a présenté plusieurs propositions ; une seule d’entre elles a finalement été mise en œuvre.,,,hiervon identifies one element within the previously mentioned group.
218,150,Die Arbeitsgruppe arbeitet seit Monaten an einer neuen Strategie; _____ sind mehrere Experten beteiligt.,hieran,Die Arbeitsgruppe arbeitet seit Monaten an einer neuen Strategie; hieran sind mehrere Experten beteiligt.,The working group has been working on a new strategy for months; several experts are involved in this.,Le groupe de travail travaille depuis des mois sur une nouvelle stratégie ; plusieurs experts y participent.,,,hieran refers to the project just mentioned (an etwas arbeiten / beteiligt sein an).
219,150,"Der Plan wurde mehrfach überarbeitet; _____ erkennt man, wie komplex das Problem ist.",hieran,"Der Plan wurde mehrfach überarbeitet; hieran erkennt man, wie komplex das Problem ist.",The plan has been revised several times; from this one can see how complex the problem is.,Le plan a été révisé plusieurs fois ; à cela on voit à quel point le problème est complexe.,,,hieran from etwas an etwas erkennen (“to recognize something from something”).
220,150,Die Kommission arbeitet derzeit an neuen Richtlinien; _____ soll sich künftig die gesamte Branche orientieren.,hieran,Die Kommission arbeitet derzeit an neuen Richtlinien; hieran soll sich künftig die gesamte Branche orientieren.,The commission is currently working on new guidelines; the entire sector should orient itself by these in the future.,La commission travaille actuellement sur de nouvelles directives ; l’ensemble du secteur devra s’y référer à l’avenir.,,,hieran from sich an etwas orientieren (“to orient oneself by something”).
221,150,Der Autor änderte mehrere zentrale Annahmen seiner Theorie; _____ zeigt sich die Weiterentwicklung seines Ansatzes.,hieran,Der Autor änderte mehrere zentrale Annahmen seiner Theorie; hieran zeigt sich die Weiterentwicklung seines Ansatzes.,The author changed several central assumptions of his theory; this shows the evolution of his approach.,L’auteur a modifié plusieurs hypothèses centrales de sa théorie ; cela montre l’évolution de son approche.,,,hieran expresses evidence visible in the situation described.
222,150,Das Team arbeitet intensiv an der Lösung des Problems; _____ wird sich der Erfolg des Projekts entscheiden.,hieran,Das Team arbeitet intensiv an der Lösung des Problems; hieran wird sich der Erfolg des Projekts entscheiden.,The team is working intensively on solving the problem; the success of the project will depend on this.,L’équipe travaille intensivement à la résolution du problème ; le succès du projet dépendra de cela.,,,hieran from an etwas entscheiden / liegen expressing the decisive factor.
223,150,Die Regierung kündigte neue Maßnahmen an; _____ reagierten die Märkte zunächst sehr nervös.,hierauf,Die Regierung kündigte neue Maßnahmen an; hierauf reagierten die Märkte zunächst sehr nervös.,The government announced new measures; to this the markets initially reacted very nervously.,Le gouvernement a annoncé de nouvelles mesures ; à cela les marchés ont d’abord réagi très nerveusement.,,,hierauf from auf etwas reagieren (“to react to something”).
224,150,Der Direktor stellte einen neuen Plan vor; _____ folgte eine lange Diskussion im Vorstand.,hierauf,Der Direktor stellte einen neuen Plan vor; hierauf folgte eine lange Diskussion im Vorstand.,The director presented a new plan; after this a long discussion followed on the board.,Le directeur a présenté un nouveau plan ; à la suite de cela une longue discussion a eu lieu au sein du conseil.,,,hierauf introduces a reaction or consequence.
225,150,Die Studie weist auf mehrere Risiken hin; _____ sollte bei zukünftigen Entscheidungen besonders geachtet werden.,hierauf,Die Studie weist auf mehrere Risiken hin; hierauf sollte bei zukünftigen Entscheidungen besonders geachtet werden.,The study points out several risks; special attention should be paid to this in future decisions.,L’étude signale plusieurs risques ; il conviendra d’y prêter une attention particulière lors des décisions futures.,,,hierauf from auf etwas achten (“to pay attention to something”).
226,150,Der Professor machte eine kritische Bemerkung; _____ antwortete der Student sehr ausführlich.,hierauf,Der Professor machte eine kritische Bemerkung; hierauf antwortete der Student sehr ausführlich.,The professor made a critical remark; to this the student responded at length.,Le professeur a fait une remarque critique ; à cela l’étudiant a répondu très longuement.,,,hierauf from auf etwas antworten (“to respond to something”).
227,150,Die Kommission legte einen ersten Entwurf vor; _____ soll nun die endgültige Fassung aufgebaut werden.,hierauf,Die Kommission legte einen ersten Entwurf vor; hierauf soll nun die endgültige Fassung aufgebaut werden.,The commission presented an initial draft; the final version will now be built on this.,La commission a présenté un premier projet ; la version finale sera maintenant construite sur cette base.,,,hierauf expresses something built or based on a prior step.
228,150,Die Studie liefert mehrere neue Daten; _____ lassen sich wichtige Schlussfolgerungen ziehen.,hieraus,Die Studie liefert mehrere neue Daten; hieraus lassen sich wichtige Schlussfolgerungen ziehen.,The study provides several new data points; important conclusions can be drawn from this.,L’étude fournit plusieurs nouvelles données ; on peut en tirer des conclusions importantes.,,,hieraus refers to the source from which conclusions are derived.
229,150,Die Analyse zeigt deutliche Unterschiede zwischen den Modellen; _____ ergibt sich ein neues Forschungsfeld.,hieraus,Die Analyse zeigt deutliche Unterschiede zwischen den Modellen; hieraus ergibt sich ein neues Forschungsfeld.,The analysis shows clear differences between the models; from this a new research field emerges.,L’analyse montre des différences nettes entre les modèles ; de cela émerge un nouveau champ de recherche.,,,hieraus expresses a result derived from the preceding fact.
230,150,Der Bericht beschreibt mehrere strukturelle Probleme; _____ erklärt sich die aktuelle Krise teilweise.,hieraus,Der Bericht beschreibt mehrere strukturelle Probleme; hieraus erklärt sich die aktuelle Krise teilweise.,The report describes several structural problems; from this the current crisis can partly be explained.,Le rapport décrit plusieurs problèmes structurels ; de cela s’explique en partie la crise actuelle.,,,hieraus indicates the explanatory source of a situation.
231,150,Die Regierung führte umfangreiche Reformen durch; _____ entstand eine deutlich stabilere Struktur.,hieraus,Die Regierung führte umfangreiche Reformen durch; hieraus entstand eine deutlich stabilere Struktur.,The government implemented extensive reforms; from this a much more stable structure emerged.,Le gouvernement a mis en œuvre de vastes réformes ; de cela est née une structure nettement plus stable.,,,hieraus marks the origin of the resulting development.
232,150,Die Daten zeigen eine klare Entwicklung über mehrere Jahre; _____ wird die langfristige Tendenz deutlich.,hieraus,Die Daten zeigen eine klare Entwicklung über mehrere Jahre; hieraus wird die langfristige Tendenz deutlich.,The data show a clear development over several years; from this the long-term trend becomes clear.,Les données montrent une évolution claire sur plusieurs années ; de cela la tendance à long terme devient évidente.,,,hieraus signals the basis from which an interpretation follows.
233,150,Der Bericht enthält mehrere Annahmen; _____ liegt jedoch auch seine größte Schwäche.,hierin,Der Bericht enthält mehrere Annahmen; hierin liegt jedoch auch seine größte Schwäche.,The report contains several assumptions; in this also lies its greatest weakness.,Le rapport contient plusieurs hypothèses ; c’est en cela que réside aussi sa plus grande faiblesse.,,,hierin refers to the aspect within the situation just mentioned.
234,150,Die beiden Modelle unterscheiden sich deutlich; _____ zeigt sich der grundlegende Ansatz der Autoren.,hierin,Die beiden Modelle unterscheiden sich deutlich; hierin zeigt sich der grundlegende Ansatz der Autoren.,The two models differ significantly; in this the authors’ fundamental approach becomes apparent.,Les deux modèles diffèrent nettement ; c’est en cela que se manifeste l’approche fondamentale des auteurs.,,,hierin marks the feature in which something is visible.
235,150,Der Plan wirkt zunächst sehr einfach; _____ besteht jedoch gerade seine Stärke.,hierin,Der Plan wirkt zunächst sehr einfach; hierin besteht jedoch gerade seine Stärke.,The plan initially seems very simple; in this lies precisely its strength.,Le plan semble d’abord très simple ; c’est en cela que réside justement sa force.,,,hierin from in etwas bestehen (“to consist in something”).
236,150,Die Studie verbindet mehrere Disziplinen; _____ liegt ihr besonderer Wert.,hierin,Die Studie verbindet mehrere Disziplinen; hierin liegt ihr besonderer Wert.,The study combines several disciplines; in this lies its particular value.,L’étude combine plusieurs disciplines ; c’est en cela que réside sa valeur particulière.,,,hierin expresses the aspect in which the value lies.
237,150,Seine Argumentation ist ungewöhnlich strukturiert; _____ erkennt man seinen wissenschaftlichen Stil.,hierin,Seine Argumentation ist ungewöhnlich strukturiert; hierin erkennt man seinen wissenschaftlichen Stil.,His argumentation is unusually structured; in this one recognizes his scientific style.,Son argumentation est structurée de manière inhabituelle ; c’est en cela que l’on reconnaît son style scientifique.,,,hierin from etwas in etwas erkennen (“to recognize something in something”).
238,150,Die Studie legt mehrere Kriterien fest; _____ sollen zukünftige Projekte bewertet werden.,hiernach,Die Studie legt mehrere Kriterien fest; hiernach sollen zukünftige Projekte bewertet werden.,"The study sets out several criteria; according to these, future projects should be evaluated.","L’étude établit plusieurs critères ; selon ceux-ci, les projets futurs devront être évalués.",,,hiernach means according to this / based on this rule.
239,150,Der Vertrag enthält klare Bestimmungen; _____ ist eine Kündigung erst nach zwei Jahren möglich.,hiernach,Der Vertrag enthält klare Bestimmungen; hiernach ist eine Kündigung erst nach zwei Jahren möglich.,"The contract contains clear provisions; according to this, termination is only possible after two years.","Le contrat contient des dispositions claires ; selon celles-ci, une résiliation n’est possible qu’après deux ans.",,,hiernach refers to a rule or guideline previously mentioned.
240,150,Die Kommission veröffentlichte neue Richtlinien; _____ müssen alle Berichte künftig transparenter sein.,hiernach,Die Kommission veröffentlichte neue Richtlinien; hiernach müssen alle Berichte künftig transparenter sein.,"The commission published new guidelines; according to these, all reports must be more transparent in the future.","La commission a publié de nouvelles directives ; selon celles-ci, tous les rapports devront être plus transparents à l’avenir.",,,hiernach expresses conformity with a standard.
241,150,Im Bericht werden mehrere Prioritäten genannt; _____ richtet sich nun die gesamte Strategie.,hiernach,Im Bericht werden mehrere Prioritäten genannt; hiernach richtet sich nun die gesamte Strategie.,"Several priorities are mentioned in the report; according to these, the entire strategy is now structured.","Plusieurs priorités sont mentionnées dans le rapport ; selon celles-ci, toute la stratégie est désormais orientée.",,,hiernach from sich nach etwas richten (“to be guided by something”).
242,150,Die Analyse beschreibt eine klare Entwicklung; _____ dürfte sich der Markt in den nächsten Jahren stabilisieren.,hiernach,Die Analyse beschreibt eine klare Entwicklung; hiernach dürfte sich der Markt in den nächsten Jahren stabilisieren.,"The analysis describes a clear trend; based on this, the market should stabilize in the coming years.","L’analyse décrit une évolution claire ; d’après cela, le marché devrait se stabiliser dans les prochaines années.",,,hiernach expresses a conclusion drawn from the preceding information.
243,150,Die Reform betrifft mehrere Bereiche; _____ fallen vor allem Bildung und Gesundheit.,hierunter,Die Reform betrifft mehrere Bereiche; hierunter fallen vor allem Bildung und Gesundheit.,The reform affects several sectors; among these are education and healthcare in particular.,La réforme concerne plusieurs domaines ; parmi ceux-ci figurent surtout l’éducation et la santé.,,,hierunter indicates elements belonging to the group just mentioned.
244,150,Das Unternehmen hat zahlreiche Projekte gestartet; _____ befinden sich auch mehrere internationale Kooperationen.,hierunter,Das Unternehmen hat zahlreiche Projekte gestartet; hierunter befinden sich auch mehrere internationale Kooperationen.,The company launched numerous projects; among these are several international partnerships.,L’entreprise a lancé de nombreux projets ; parmi ceux-ci se trouvent aussi plusieurs coopérations internationales.,,,hierunter refers to items included in the set described.
245,150,Die Studie nennt verschiedene Risikofaktoren; _____ spielt der Klimawandel eine zentrale Rolle.,hierunter,Die Studie nennt verschiedene Risikofaktoren; hierunter spielt der Klimawandel eine zentrale Rolle.,The study lists several risk factors; among them climate change plays a central role.,L’étude mentionne plusieurs facteurs de risque ; parmi eux le changement climatique joue un rôle central.,,,hierunter highlights one element within the previously mentioned group.
246,150,Der Bericht beschreibt mehrere Herausforderungen für die Wirtschaft; _____ leiden besonders kleine Unternehmen.,hierunter,Der Bericht beschreibt mehrere Herausforderungen für die Wirtschaft; hierunter leiden besonders kleine Unternehmen.,"The report describes several challenges for the economy; among these, small businesses suffer especially.","Le rapport décrit plusieurs défis pour l’économie ; parmi ceux-ci, les petites entreprises souffrent particulièrement.",,,hierunter marks a subset affected within the group.
247,150,Die Organisation unterstützt zahlreiche Initiativen; _____ befinden sich auch mehrere Projekte im Bildungsbereich.,hierunter,Die Organisation unterstützt zahlreiche Initiativen; hierunter befinden sich auch mehrere Projekte im Bildungsbereich.,The organization supports numerous initiatives; among these are several projects in education.,L’organisation soutient de nombreuses initiatives ; parmi celles-ci se trouvent aussi plusieurs projets dans l’éducation.,,,hierunter identifies members within the previously mentioned collection.
248,150,Die Studie enthält mehrere überraschende Ergebnisse; _____ wird derzeit intensiv diskutiert.,hierüber,Die Studie enthält mehrere überraschende Ergebnisse; hierüber wird derzeit intensiv diskutiert.,The study contains several surprising results; this is currently being discussed intensely.,L’étude contient plusieurs résultats surprenants ; on en discute actuellement intensément.,,,hierüber refers to the topic just mentioned (über etwas diskutieren).
249,150,Der Bericht kritisiert die aktuelle Strategie deutlich; _____ zeigte sich der Vorstand wenig erfreut.,hierüber,Der Bericht kritisiert die aktuelle Strategie deutlich; hierüber zeigte sich der Vorstand wenig erfreut.,The report clearly criticizes the current strategy; about this the board was not pleased.,"Le rapport critique clairement la stratégie actuelle ; à ce sujet, le conseil s’est montré peu satisfait.",,,hierüber indicates the subject provoking a reaction.
250,150,Der Professor stellte eine provokante These auf; _____ wunderten sich viele Studenten.,hierüber,Der Professor stellte eine provokante These auf; hierüber wunderten sich viele Studenten.,The professor proposed a provocative thesis; about this many students were surprised.,"Le professeur a avancé une thèse provocante ; à ce sujet, beaucoup d’étudiants se sont étonnés.",,,hierüber from sich über etwas wundern (“to be surprised about something”).
251,150,Die Regierung veröffentlichte einen neuen Entwurf; _____ berichteten die Medien ausführlich.,hierüber,Die Regierung veröffentlichte einen neuen Entwurf; hierüber berichteten die Medien ausführlich.,The government published a new draft; about this the media reported extensively.,"Le gouvernement a publié un nouveau projet ; à ce sujet, les médias ont longuement rapporté.",,,hierüber from über etwas berichten (“to report on something”).
252,150,Der Autor formulierte eine sehr kritische Analyse; _____ entbrannte eine lebhafte Debatte.,hierüber,Der Autor formulierte eine sehr kritische Analyse; hierüber entbrannte eine lebhafte Debatte.,The author formulated a very critical analysis; about this a lively debate arose.,"L’auteur a formulé une analyse très critique ; à ce sujet, un débat animé s’est déclenché.",,,hierüber expresses the topic that triggered discussion.
