Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
639,16,Die Qualität wird _____ verschiedener Kriterien bewertet.,anhand,Die Qualität wird anhand verschiedener Kriterien bewertet.,The quality is assessed based on various criteria.,La qualité est évaluée selon différents critères.,based on = anhand,"basé sur, sur la base de, à travers = anhand",,
640,16,_____ dieser Beispiele wird das Problem deutlich.,Anhand,Anhand dieser Beispiele wird das Problem deutlich.,This problem becomes clear through these examples.,Ce problème devient clair à travers ces exemples.,based on = anhand,"basé sur, sur la base de, à travers = anhand",,
641,16,Die Echtheit des Dokuments wurde _____ von Experten geprüft.,anhand,Die Echtheit des Dokuments wurde anhand von Experten geprüft.,The authenticity of the document was verified by experts.,L'authenticité du document a été vérifiée par des experts.,based on = anhand,"basé sur, sur la base de, à travers = anhand",,
642,16,_____ ihm hat niemand die Prüfung bestanden.,Außer,Außer ihm hat niemand die Prüfung bestanden.,"Except for him, no one passed the exam.","À part lui, personne n’a réussi l’examen.","except, besides, appart from = außer","à l'exception de, sauf, à part = außer",,
643,16,_____ finanziellen Problemen gibt es noch andere Herausforderungen.,Außer,Außer finanziellen Problemen gibt es noch andere Herausforderungen.,"Besides financial problems, there are other challenges.","Outre les problèmes financiers, il existe d’autres défis.","except, besides, appart from = außer","à l'exception de, sauf, à part = außer",,
644,16,_____ in Deutschland wird dieses Produkt auch in Österreich verkauft.,Außer,Außer in Deutschland wird dieses Produkt auch in Österreich verkauft.,"Apart from Germany, this product is also sold in Austria.","Outre l'Allemagne, ce produit est également vendu en Autriche.","except, besides, appart from = außer","à l'exception de, sauf, à part = außer",,
645,16,_____ bei starkem Regen gehen wir jeden Tag joggen.,Außer,Außer bei starkem Regen gehen wir jeden Tag joggen.,"Except in heavy rain, we go jogging every day.","Sauf en cas de forte pluie, nous faisons du jogging tous les jours.","except, besides, appart from = außer","à l'exception de, sauf, à part = außer",,
646,16,_____ seiner Familie hat er niemandem davon erzählt.,Außer,Außer seiner Familie hat er niemandem davon erzählt.,"Apart from his family, he hasn’t told anyone about it.","À part sa famille, il n’en a parlé à personne.","except, besides, appart from = außer","à l'exception de, sauf, à part = außer",,
647,16,_____ seiner Hilfe konnten wir das Problem schnell lösen.,Dank,Dank seiner Hilfe konnten wir das Problem schnell lösen.,"Thanks to his help, we were able to solve the problem quickly.","Grâce à son aide, nous avons pu résoudre le problème rapidement.",thanks to = dank,grâce à = dank,,
648,16,"Die Firma wächst stetig, _____ innovativer Ideen.",dank,"Die Firma wächst stetig, dank innovativer Ideen.",The company is growing steadily thanks to innovative ideas.,L'entreprise connaît une croissance constante grâce à des idées innovantes.,thanks to = dank,grâce à = dank,,
649,16,_____ der modernen Medizin leben die Menschen länger.,Dank,Dank der modernen Medizin leben die Menschen länger.,"Thanks to modern medicine, people live longer.","Grâce à la médecine moderne, les gens vivent plus longtemps.",thanks to = dank,grâce à = dank,,
650,16,"Er hat die Prüfung bestanden, _____ seines intensiven Lernens.",dank,"Er hat die Prüfung bestanden, dank seines intensiven Lernens.",He passed the exam thanks to his intensive studying.,Il a réussi l'examen grâce à ses études intensives.,thanks to = dank,grâce à = dank,,
651,16,_____ des guten Wetters konnten wir die Reise genießen.,Dank,Dank des guten Wetters konnten wir die Reise genießen.,"Thanks to the good weather, we were able to enjoy the trip.","Grâce au beau temps, nous avons pu profiter du voyage.",thanks to = dank,grâce à = dank,,
652,16,_____ den Erwartungen verlief das Projekt reibungslos.,Entgegen,Entgegen den Erwartungen verlief das Projekt reibungslos.,"Contrary to expectations, the project went smoothly.","Contrairement aux attentes, le projet s’est déroulé sans problème.",contrary to = entgegen,contrairement à = entgegen,,
653,16,_____ seiner Aussage war er zur Tatzeit am Tatort.,Entgegen,Entgegen seiner Aussage war er zur Tatzeit am Tatort.,"Contrary to his statement, he was at the scene of the crime.","Contrairement à ses déclarations, il était présent sur les lieux du crime.",contrary to = entgegen,contrairement à = entgegen,,
654,16,_____ dem Rat ihrer Eltern zog sie ins Ausland.,Entgegen,Entgegen dem Rat ihrer Eltern zog sie ins Ausland.,"Against her parents’ advice, she moved abroad.","Contre l’avis de ses parents, elle part à l’étranger.",contrary to = entgegen,contrairement à = entgegen,,
655,16,_____ den Regeln nahm er unerlaubt am Wettbewerb teil.,Entgegen,Entgegen den Regeln nahm er unerlaubt am Wettbewerb teil.,"He took part in the competition without permission, against the rules.","Il a participé au concours sans autorisation, contre le règlement.",contrary to = entgegen,contrairement à = entgegen,,
656,16,_____ der Meinung vieler Experten stieg der Aktienkurs weiter.,Entgegen,Entgegen der Meinung vieler Experten stieg der Aktienkurs weiter.,"Contrary to the opinion of many experts, the stock price kept rising.","Contrairement à l’avis de nombreux experts, le cours de l’action a continué à augmenter.",contrary to = entgegen,contrairement à = entgegen,,
657,16,_____ des starken Regens gab es Überschwemmungen in der Region.,Infolge,Infolge des starken Regens gab es Überschwemmungen in der Region.,"As a result of the heavy rain, there were floods in the region.","À la suite des fortes pluies, des inondations se sont produites dans la région.",as a result of = infolge,"à la suite de, en raison de = infolge",,
658,16,_____ der Wirtschaftskrise mussten viele Unternehmen schließen.,Infolge,Infolge der Wirtschaftskrise mussten viele Unternehmen schließen.,"Due to the economic crisis, many businesses had to close.","En raison de la crise économique, de nombreuses entreprises ont dû fermer.",as a result of = infolge,"à la suite de, en raison de = infolge",,
659,16,_____ eines technischen Fehlers wurde der Flug gestrichen.,Infolge,Infolge eines technischen Fehlers wurde der Flug gestrichen.,"Due to a technical error, the flight was canceled.","En raison d'une erreur technique, le vol a été annulé.",as a result of = infolge,"à la suite de, en raison de = infolge",,
660,16,_____ der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.,Infolge,Infolge der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.,"As a result of the new law change, stricter regulations apply to companies.","Suite à la nouvelle modification de la loi, des réglementations plus strictes s’appliquent aux entreprises.",as a result of = infolge,"à la suite de, en raison de = infolge",,
661,16,_____ der schlechten Wetterbedingungen wurde das Event verschoben.,Infolge,Infolge der schlechten Wetterbedingungen wurde das Event verschoben.,"Due to bad weather conditions, the event was postponed.","En raison des mauvaises conditions météorologiques, l'événement a été reporté.",as a result of = infolge,"à la suite de, en raison de = infolge",,
662,16,_____ ausreichender Beweise konnte der Verdächtige nicht verurteilt werden.,Mangels,Mangels ausreichender Beweise konnte der Verdächtige nicht verurteilt werden.,"Due to a lack of sufficient evidence, the suspect could not be convicted.","En raison d’un manque de preuves suffisantes, le suspect n’a pas pu être condamné.",due to a lack of = mangels,"en raison d'un manque de, dû à un manque de = mangels",,
663,16,_____ Erfahrung fiel ihm die Aufgabe besonders schwer.,Mangels,Mangels Erfahrung fiel ihm die Aufgabe besonders schwer.,"Due to a lack of experience, the task was particularly difficult for him.","En raison d’un manque d’expérience, la tâche lui était particulièrement difficile.",due to a lack of = mangels,"en raison d'un manque de, dû à un manque de = mangels",,
664,16,_____ finanzieller Mittel wurde das Projekt gestoppt.,Mangels,Mangels finanzieller Mittel wurde das Projekt gestoppt.,"Due to a lack of financial resources, the project was stopped.","En raison d'un manque de ressources financières, le projet a été arrêté.",due to a lack of = mangels,"en raison d'un manque de, dû à un manque de = mangels",,
665,16,_____ Interesse wurde die Veranstaltung abgesagt.,Mangels,Mangels Interesse wurde die Veranstaltung abgesagt.,"Due to a lack of interest, the event was canceled.","En raison d’un manque d’intérêt, l’événement a été annulé.",due to a lack of = mangels,"en raison d'un manque de, dû à un manque de = mangels",,
666,16,_____ besserer Alternativen entschied man sich für diese Lösung.,Mangels,Mangels besserer Alternativen entschied man sich für diese Lösung.,"For lack of better alternatives, this solution was chosen.","Faute de meilleures alternatives, cette solution a été retenue.",due to a lack of = mangels,"en raison d'un manque de, dû à un manque de = mangels",,
667,16,Die Identität des Täters wurde _____ DNA-Analyse bestätigt.,mittels,Die Identität des Täters wurde mittels DNA-Analyse bestätigt.,The identity of the perpetrator was confirmed using DNA analysis.,L'identité de l'agresseur a été confirmée grâce à une analyse ADN.,"by means of, through, using = mittels","au moyen de, en utilisant = mittels",,
668,16,Das Problem wurde _____ einer neuen Software gelöst.,mittels,Das Problem wurde mittels einer neuen Software gelöst.,The problem was solved by means of new software.,Le problème a été résolu grâce à un nouveau logiciel.,"by means of, through, using = mittels","au moyen de, en utilisant = mittels",,
669,16,_____ moderner Technologien kann die Effizienz gesteigert werden.,Mittels,Mittels moderner Technologien kann die Effizienz gesteigert werden.,Efficiency can be increased through modern technologies.,L’efficacité peut être augmentée grâce aux technologies modernes.,"by means of, through, using = mittels","au moyen de, en utilisant = mittels",,
670,16,Die Zahlung erfolgt _____ Kreditkarte oder Überweisung.,mittels,Die Zahlung erfolgt mittels Kreditkarte oder Überweisung.,Payment is made by means of credit card or bank transfer.,Le paiement s'effectue par carte de crédit ou par virement bancaire.,"by means of, through, using = mittels","au moyen de, en utilisant = mittels",,
671,16,Das Unternehmen optimiert seine Prozesse _____ künstlicher Intelligenz.,mittels,Das Unternehmen optimiert seine Prozesse mittels künstlicher Intelligenz.,The company optimizes its processes using artificial intelligence.,L'entreprise optimise ses processus grâce à l'intelligence artificielle.,"by means of, through, using = mittels","au moyen de, en utilisant = mittels",,
672,17,,einschließlich,,"including, taking into account, inclusive of","y compris, en tenant compte de, inclu", = einschließlich,= simplement,Genitive (Accusative or Dative colloquial),Génitif (Accusatif ou Datif familier)
673,17,,im Gegensatz zu,,"as opposed to, in contrast to, unlike",contrairement à, = im Gegensatz zu,= im Gegensatz zu,Dative,Datif
674,17,,zusätzlich zu,,in addition to,en plus de, = zusätzlich zu,= zusätzlich zu,Dative,Datif
675,17,,inmitten,,"in the middle of, amid, surrounded by","au milieu de, parmi, entouré de", = inmitten,= enfilé,Genitive,Génitif
676,17,,nebst,,"along with, together with","avec, en plus de", = nebst,= nebst,Dative,Datif
677,17,,oberhalb,,above,au-dessus de, = oberhalb,= en demi-teinte,Genitive,Génitif
678,17,,unterhalb,,"below, beneath, underneath",en dessous de, = unterhalb,= en dessous,Genitive,Génitif
679,17,,zwecks,,for the purpose of,dans le but de, = zwecks,= zwecks,Genitive,Génitif
680,17,,je nach/abhängig von,,depending on,"selon, en fonction de", = je nach/abhängig von,= je nach/abhängig von,Dative,Datif
681,17,,seitens,,"on the part of, from the side of","de la part de, du côté de",,,Genitive,Génitif
682,18,"Alle Teilnehmer, _____ der neuen Kollegen, müssen am Meeting teilnehmen.",einschließlich,"Alle Teilnehmer, einschließlich der neuen Kollegen, müssen am Meeting teilnehmen.","All participants, including the new colleagues, must attend the meeting.","Tous les participants, y compris les nouveaux collègues, doivent assister à la réunion.","including, taking into account, inclusive of = einschließlich","y compris, en tenant compte de, inclu = einschließlich",,
683,18,"Die Reise kostet 1.200 Euro, _____ aller Gebühren und Steuern.",einschließlich,"Die Reise kostet 1.200 Euro, einschließlich aller Gebühren und Steuern.","The trip costs 1,200 euros, including all fees and taxes.","Le voyage coûte 1 200 euros, tous frais et taxes compris.","including, taking into account, inclusive of = einschließlich","y compris, en tenant compte de, inclu = einschließlich",,
684,18,_____ des Anhangs umfasst der Bericht über 50 Seiten.,Einschließlich,Einschließlich des Anhangs umfasst der Bericht über 50 Seiten.,"Including the appendix, the report consists of over 50 pages.","Y compris l’annexe, le rapport comprend plus de 50 pages.","including, taking into account, inclusive of = einschließlich","y compris, en tenant compte de, inclu = einschließlich",,
685,18,_____ der Feiertage haben wir zehn freie Tage am Stück.,Einschließlich,Einschließlich der Feiertage haben wir zehn freie Tage am Stück.,"Including the holidays, we have ten days off in a row.","En comptant les vacances, nous avons dix jours de congés consécutifs.","including, taking into account, inclusive of = einschließlich","y compris, en tenant compte de, inclu = einschließlich",,
686,18,"Die Lieferung erfolgt innerhalb von fünf Tagen, _____ Wochenenden.",einschließlich,"Die Lieferung erfolgt innerhalb von fünf Tagen, einschließlich Wochenenden.","Delivery will take place within five days, including weekends.","La livraison aura lieu dans un délai de cinq jours, week-ends compris.","including, taking into account, inclusive of = einschließlich","y compris, en tenant compte de, inclu = einschließlich",,
687,18,_____ seinen Kollegen arbeitet er lieber allein.,Im Gegensatz zu,Im Gegensatz zu seinen Kollegen arbeitet er lieber allein.,"In contrast to his colleagues, he prefers to work alone.","Contrairement à ses collègues, il préfère travailler seul.","as opposed to, in contrast to, unlike = im Gegensatz zu",contrairement à = im Gegensatz zu,,
688,18,_____ früheren Jahren hat sich das Klima stark verändert.,Im Gegensatz zu,Im Gegensatz zu früheren Jahren hat sich das Klima stark verändert.,"In contrast to previous years, the climate has changed significantly.","Contrairement aux années précédentes, le climat a considérablement changé.","as opposed to, in contrast to, unlike = im Gegensatz zu",contrairement à = im Gegensatz zu,,
689,18,_____ ihren Erwartungen war die Prüfung ziemlich schwer.,Im Gegensatz zu,Im Gegensatz zu ihren Erwartungen war die Prüfung ziemlich schwer.,"Contrary to her expectations, the exam was quite difficult.","Contrairement à ses attentes, l’examen était assez difficile.","as opposed to, in contrast to, unlike = im Gegensatz zu",contrairement à = im Gegensatz zu,,
690,18,_____ vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.,Im Gegensatz zu,Im Gegensatz zu vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.,"Unlike many other companies, this firm focuses on sustainability.","Contrairement à de nombreuses autres entreprises, cette entreprise se concentre sur la durabilité.","as opposed to, in contrast to, unlike = im Gegensatz zu",contrairement à = im Gegensatz zu,,
691,18,_____ meinem Bruder interessiere ich mich nicht für Sport.,Im Gegensatz zu,Im Gegensatz zu meinem Bruder interessiere ich mich nicht für Sport.,"Unlike my brother, I am not interested in sports.","Contrairement à mon frère, je ne m’intéresse pas au sport.","as opposed to, in contrast to, unlike = im Gegensatz zu",contrairement à = im Gegensatz zu,,
692,18,_____ seinem Gehalt erhält er monatliche Boni.,Zusätzlich zu,Zusätzlich zu seinem Gehalt erhält er monatliche Boni.,"In addition to his salary, he receives monthly bonuses.","En plus de son salaire, il reçoit des primes mensuelles.",in addition to = zusätzlich zu,en plus de = zusätzlich zu,,
693,18,_____ den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.,Zusätzlich zu,Zusätzlich zu den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.,"In addition to the homework, the students have to prepare a project.","En plus des devoirs, les élèves doivent préparer un projet.",in addition to = zusätzlich zu,en plus de = zusätzlich zu,,
694,18,Sie hat _____ ihrem Studium einen Nebenjob.,zusätzlich zu,Sie hat zusätzlich zu ihrem Studium einen Nebenjob.,She has a part-time job in addition to her studies.,Elle a un travail à temps partiel en plus de ses études.,in addition to = zusätzlich zu,en plus de = zusätzlich zu,,
695,18,_____ den üblichen Gebühren fallen noch Servicekosten an.,Zusätzlich zu,Zusätzlich zu den üblichen Gebühren fallen noch Servicekosten an.,"In addition to the usual fees, there are also service costs.","En plus des frais habituels, il y a également des frais de service.",in addition to = zusätzlich zu,en plus de = zusätzlich zu,,
696,18,Er trainiert _____ seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.,zusätzlich zu,Er trainiert zusätzlich zu seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.,"In addition to his regular sports routine, he trains at the gym three times a week.","En plus de sa routine sportive habituelle, il s'entraîne au gymnase trois fois par semaine.",in addition to = zusätzlich zu,en plus de = zusätzlich zu,,
697,18,Das kleine Dorf liegt _____ eines großen Waldes.,inmitten,Das kleine Dorf liegt inmitten eines großen Waldes.,The small village is located in the middle of a large forest.,Le petit village est situé au milieu d'une grande forêt.,"in the middle of, amid, surrounded by = inmitten","au milieu de, parmi, entouré de = inmitten",,
698,18,Sie fanden sich plötzlich _____ einer hitzigen Diskussion wieder.,inmitten,Sie fanden sich plötzlich inmitten einer hitzigen Diskussion wieder.,They suddenly found themselves in the middle of a heated discussion.,Ils se sont soudainement retrouvés au milieu d’une discussion animée.,"in the middle of, amid, surrounded by = inmitten","au milieu de, parmi, entouré de = inmitten",,
699,18,_____ der Stadt gibt es einen wunderschönen Park.,Inmitten,Inmitten der Stadt gibt es einen wunderschönen Park.,"In the middle of the city, there is a beautiful park.","Au milieu de la ville, il y a un beau parc.","in the middle of, amid, surrounded by = inmitten","au milieu de, parmi, entouré de = inmitten",,
700,18,Das Schloss steht _____ einer malerischen Landschaft.,inmitten,Das Schloss steht inmitten einer malerischen Landschaft.,The castle stands amidst a picturesque landscape.,Le château se dresse au milieu d'un paysage pittoresque.,"in the middle of, amid, surrounded by = inmitten","au milieu de, parmi, entouré de = inmitten",,
701,18,"Er blieb ruhig, obwohl er sich _____ eines Chaos befand.",inmitten,"Er blieb ruhig, obwohl er sich inmitten eines Chaos befand.",He remained calm even though he was in the middle of chaos.,Il est resté calme même s'il était au milieu du chaos.,"in the middle of, amid, surrounded by = inmitten","au milieu de, parmi, entouré de = inmitten",,
702,18,_____ den offiziellen Dokumenten müssen Sie auch einen Lebenslauf einreichen.,Nebst,Nebst den offiziellen Dokumenten müssen Sie auch einen Lebenslauf einreichen.,"Along with the official documents, you must also submit a resume.","En plus des documents officiels, vous devez également soumettre un CV.","along with, together with = nebst","avec, en plus de = nebst",,
703,18,Er brachte _____ einem Geschenk auch Blumen mit.,nebst,Er brachte nebst einem Geschenk auch Blumen mit.,He brought flowers along with a gift.,Il a apporté des fleurs avec un cadeau.,"along with, together with = nebst","avec, en plus de = nebst",,
704,18,_____ der Miete sind auch die Nebenkosten zu zahlen.,Nebst,Nebst der Miete sind auch die Nebenkosten zu zahlen.,"Along with the rent, the utility costs must also be paid.","En plus du loyer, les frais de services publics doivent également être payés.","along with, together with = nebst","avec, en plus de = nebst",,
705,18,Sie erhielt eine Beförderung _____ einer Gehaltserhöhung.,nebst,Sie erhielt eine Beförderung nebst einer Gehaltserhöhung.,She received a promotion along with a salary increase.,Elle a reçu une promotion ainsi qu’une augmentation de salaire.,"along with, together with = nebst","avec, en plus de = nebst",,
706,18,_____ den Gästen aus Deutschland kamen auch Freunde aus Frankreich zur Hochzeit.,Nebst,Nebst den Gästen aus Deutschland kamen auch Freunde aus Frankreich zur Hochzeit.,"Along with the guests from Germany, friends from France also came to the wedding.","Outre les invités venus d'Allemagne, des amis de France étaient également présents au mariage.","along with, together with = nebst","avec, en plus de = nebst",,
707,18,_____ der Stadt liegt eine alte Burg mit beeindruckender Aussicht.,Oberhalb,Oberhalb der Stadt liegt eine alte Burg mit beeindruckender Aussicht.,Above the city lies an old castle with an impressive view.,Au-dessus de la ville se trouve un vieux château avec une vue impressionnante.,above = oberhalb,au-dessus de = oberhalb,,
708,18,Die Temperaturen sind _____ von 2.000 Metern deutlich kühler.,oberhalb,Die Temperaturen sind oberhalb von 2.000 Metern deutlich kühler.,"Temperatures are significantly cooler above 2,000 meters.",Les températures sont nettement plus fraîches au-dessus de 2 000 mètres.,above = oberhalb,au-dessus de = oberhalb,,
709,18,_____ der Wolken konnte man vom Flugzeug aus die Sonne sehen.,Oberhalb,Oberhalb der Wolken konnte man vom Flugzeug aus die Sonne sehen.,"Above the clouds, one could see the sun from the airplane.","Au dessus des nuages, on pouvait voir le soleil depuis l'avion.",above = oberhalb,au-dessus de = oberhalb,,
710,18,Die Wohngegend _____ des Flusses gilt als besonders exklusiv.,oberhalb,Die Wohngegend oberhalb des Flusses gilt als besonders exklusiv.,The residential area above the river is considered particularly exclusive.,Le quartier résidentiel au-dessus de la rivière est considéré comme particulièrement exclusif.,above = oberhalb,au-dessus de = oberhalb,,
711,18,_____ der Schmerzgrenze sollte man keine weiteren Gewichte heben.,Oberhalb,Oberhalb der Schmerzgrenze sollte man keine weiteren Gewichte heben.,"Above the pain threshold, one should not lift any more weights.","Au-delà du seuil de douleur, il ne faut plus soulever de poids.",above = oberhalb,au-dessus de = oberhalb,,
712,18,_____ der Burg erstreckt sich ein malerisches Tal.,Unterhalb,Unterhalb der Burg erstreckt sich ein malerisches Tal.,"Below the castle, a picturesque valley stretches out.",En contrebas du château s'étend une vallée pittoresque.,"below, beneath, underneath = unterhalb",en dessous de = unterhalb,,
713,18,Die Temperaturen sind _____ von 0 Grad gefährlich für Autofahrer.,unterhalb,Die Temperaturen sind unterhalb von 0 Grad gefährlich für Autofahrer.,Temperatures below 0 degrees are dangerous for drivers.,Les températures inférieures à 0 degré sont dangereuses pour les conducteurs.,"below, beneath, underneath = unterhalb",en dessous de = unterhalb,,
714,18,_____ der Stadt gibt es eine große unterirdische Höhle.,Unterhalb,Unterhalb der Stadt gibt es eine große unterirdische Höhle.,"Below the city, there is a large underground cave.","Sous la ville, il y a une grande grotte souterraine.","below, beneath, underneath = unterhalb",en dessous de = unterhalb,,
715,18,Die Wohngegend _____ des Hügels ist besonders beliebt wegen ihrer Nähe zum Fluss.,unterhalb,Die Wohngegend unterhalb des Hügels ist besonders beliebt wegen ihrer Nähe zum Fluss.,The residential area below the hill is particularly popular due to its proximity to the river.,Le quartier résidentiel en contrebas de la colline est particulièrement populaire en raison de sa proximité avec la rivière.,"below, beneath, underneath = unterhalb",en dessous de = unterhalb,,
716,18,_____ der Schmerzgrenze bleibt das Training effektiv und sicher.,Unterhalb,Unterhalb der Schmerzgrenze bleibt das Training effektiv und sicher.,Staying below the pain threshold keeps training effective and safe.,Rester en dessous du seuil de douleur permet de maintenir un entraînement efficace et sûr.,"below, beneath, underneath = unterhalb",en dessous de = unterhalb,,
717,18,_____ Optimierung der Produktionsprozesse wurde eine externe Beratungsfirma engagiert.,Zwecks,Zwecks Optimierung der Produktionsprozesse wurde eine externe Beratungsfirma engagiert.,"For the purpose of optimizing production processes, an external consulting firm was hired.","Afin d’optimiser les processus de production, un cabinet de conseil externe a été engagé.",for the purpose of = zwecks,dans le but de = zwecks,,
718,18,Die Unterlagen wurden _____ weiterer Prüfung an die Rechtsabteilung weitergeleitet.,zwecks,Die Unterlagen wurden zwecks weiterer Prüfung an die Rechtsabteilung weitergeleitet.,The documents were forwarded to the legal department for the purpose of further review.,Les documents ont été transmis au service juridique pour un examen plus approfondi.,for the purpose of = zwecks,dans le but de = zwecks,,
719,18,_____ Erhöhung der Sicherheit hat das Unternehmen neue Zugangskontrollen eingeführt.,Zwecks,Zwecks Erhöhung der Sicherheit hat das Unternehmen neue Zugangskontrollen eingeführt.,The company introduced new access controls for the purpose of increasing security.,L'entreprise a introduit de nouveaux contrôles d'accès dans le but d'accroître la sécurité.,for the purpose of = zwecks,dans le but de = zwecks,,
720,18,Die Sitzung wurde _____ Klärung der strategischen Ausrichtung einberufen.,zwecks,Die Sitzung wurde zwecks Klärung der strategischen Ausrichtung einberufen.,The meeting was convened for the purpose of clarifying the strategic direction.,La réunion a été convoquée dans le but de clarifier l’orientation stratégique.,for the purpose of = zwecks,dans le but de = zwecks,,
721,18,_____ Vorbereitung auf die Verhandlungen analysierte das Team sämtliche Markttrends.,Zwecks,Zwecks Vorbereitung auf die Verhandlungen analysierte das Team sämtliche Markttrends.,The team analyzed all market trends for the purpose of preparing for the negotiations.,L’équipe a analysé toutes les tendances du marché dans le but de préparer les négociations.,for the purpose of = zwecks,dans le but de = zwecks,,
722,18,"_____ Wetterlage entscheiden wir spontan, ob das Grillfest stattfindet.",Je nach/Abhängig von der,"Je nach Wetterlage entscheiden wir spontan, ob das Grillfest stattfindet.","Depending on the weather conditions, we'll decide spontaneously whether the barbecue will take place.","En fonction des conditions météorologiques, nous déciderons spontanément si le barbecue aura lieu.",depending on = je nach/abhängig von,"selon, en fonction de = je nach/abhängig von",,
723,18,Die Preise variieren _____ Größe und Ausstattung des Produkts.,je nach/abhängig von der,Die Preise variieren je nach Größe und Ausstattung des Produkts.,The prices vary depending on the size and features of the product.,Les prix varient en fonction de la taille et des caractéristiques du produit.,depending on = je nach/abhängig von,"selon, en fonction de = je nach/abhängig von",,
724,18,_____ Erfahrung kann das Gehalt bei dieser Position stark schwanken.,Je nach/Abhängig von der,Je nach Erfahrung kann das Gehalt bei dieser Position stark schwanken.,"Depending on experience, the salary for this position can vary greatly.","Selon l'expérience, le salaire pour ce poste peut varier considérablement.",depending on = je nach/abhängig von,"selon, en fonction de = je nach/abhängig von",,
725,18,Der Unterricht wird _____ Leistungsniveau der Schüler angepasst.,je nach/abhängig vom,Der Unterricht wird je nach Leistungsniveau der Schüler angepasst.,The lessons are adjusted depending on the students' performance level.,Les cours sont adaptés en fonction du niveau de performance des élèves.,depending on = je nach/abhängig von,"selon, en fonction de = je nach/abhängig von",,
726,18,_____ Region gibt es unterschiedliche Bräuche für das Weihnachtsfest.,Je nach/Abhängig von der,Je nach Region gibt es unterschiedliche Bräuche für das Weihnachtsfest.,"Depending on the region, there are different customs for Christmas.","Selon les régions, il existe différentes coutumes pour Noël.",depending on = je nach/abhängig von,"selon, en fonction de = je nach/abhängig von",,
727,18,"_____ der Regierung wurde betont, dass weitere Maßnahmen folgen werden.",Seitens,"Seitens der Regierung wurde betont, dass weitere Maßnahmen folgen werden.","On the part of the government, it was emphasized that further measures will follow.","Du côté du gouvernement, il a été souligné que d’autres mesures suivront.","on the part of, from the side of = seitens","de la part de, du côté de = seitens",,
728,18,Es gab Kritik _____ der Opposition an der neuen Gesetzesvorlage.,seitens,Es gab Kritik seitens der Opposition an der neuen Gesetzesvorlage.,There was criticism from the opposition regarding the new bill.,L’opposition a émis des critiques à l’égard du nouveau projet de loi.,"on the part of, from the side of = seitens","de la part de, du côté de = seitens",,
729,18,_____ des Unternehmens gab es keine Stellungnahme zu den Vorwürfen.,Seitens,Seitens des Unternehmens gab es keine Stellungnahme zu den Vorwürfen.,There was no statement from the company regarding the allegations.,La société n'a fait aucune déclaration concernant ces allégations.,"on the part of, from the side of = seitens","de la part de, du côté de = seitens",,
730,18,Die Entscheidung wurde _____ des Gerichts mit großer Sorgfalt getroffen.,seitens,Die Entscheidung wurde seitens des Gerichts mit großer Sorgfalt getroffen.,The decision was made by the court with great care.,La décision du tribunal a été prise avec beaucoup de soin.,"on the part of, from the side of = seitens","de la part de, du côté de = seitens",,
731,18,_____ der Eltern gab es viele Beschwerden über das neue Schulsystem.,Seitens,Seitens der Eltern gab es viele Beschwerden über das neue Schulsystem.,There were many complaints from the parents about the new school system.,De nombreuses plaintes ont été formulées par les parents à propos du nouveau système scolaire.,"on the part of, from the side of = seitens","de la part de, du côté de = seitens",,
732,19,,anlässlich,,"on the occasion of, in honor of","à l'occasion de, en l'honneur de",,,Genitive,Génitif
733,19,,beiderseits,,on both sides of,des deux côtés de,,,Genitive,Génitif
734,19,,diesseits,,on this side of,de ce côté de,,,Genitive,Génitif
735,19,,jenseits,,"on the other side of, beyond","de l'autre côté de, au-delà de",,,Genitive,Génitif
736,19,,kraft,,"by virtue of, by use of",en vertu de,,,Genitive,Génitif
737,19,,zugunsten,,"in favor of, for the benefit of","en faveur de, au profit de",,,Genitive,Génitif
738,19,,zuzüglich,,"plus, in addition to","plus, en plus de",,,Genitive,Génitif
739,19,,abzüglich,,"minus, after","moins, après",,,Genitive,Génitif
740,19,,bezüglich,,regarding,concernant,,,Genitive,Génitif
741,20,_____ seines Geburtstags veranstaltete er eine große Feier.,Anlässlich,Anlässlich seines Geburtstags veranstaltete er eine große Feier.,"On the occasion of his birthday, he hosted a big party.","A l'occasion de son anniversaire, il a organisé une grande fête.","on the occasion of, in honor of = anlässlich","à l'occasion de, en l'honneur de = anlässlich",,
742,20,Die Stadt organisierte ein Festival _____ des Jubiläums ihrer Gründung.,anlässlich,Die Stadt organisierte ein Festival anlässlich des Jubiläums ihrer Gründung.,The city organized a festival in honor of the anniversary of its founding.,La ville a organisé un festival en l'honneur de l'anniversaire de sa fondation.,"on the occasion of, in honor of = anlässlich","à l'occasion de, en l'honneur de = anlässlich",,
