Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
616,22,Der Gestank _____ Abfall erfüllte den Raum.,nach,Der Gestank nach Abfall erfüllte den Raum.,The stench of garbage filled the room.,L’odeur des ordures remplissait la pièce.,,,der Gestank nach,the stink of = der Gestank nach + Dative,"l'odeur de, la puanteur de = der Gestank nach + Datif",to introduce the object of a sense → nach,"pour introduire l'objet d'un sens (odorat, goût) → nach",the stink of = der Gestank nach + Dative<br><br>to introduce the object of a sense → nach,"l'odeur de, la puanteur de = der Gestank nach + Datif<br><br>pour introduire l'objet d'un sens (odorat, goût) → nach"
617,22,Ihr Gestank _____ Chemikalien lag noch lange in der Luft.,nach,Ihr Gestank nach Chemikalien lag noch lange in der Luft.,Their stench of chemicals lingered in the air for a long time.,Leur odeur de produits chimiques est restée longtemps dans l’air.,,,der Gestank nach,the stink of = der Gestank nach + Dative,"l'odeur de, la puanteur de = der Gestank nach + Datif",to introduce the object of a sense → nach,"pour introduire l'objet d'un sens (odorat, goût) → nach",the stink of = der Gestank nach + Dative<br><br>to introduce the object of a sense → nach,"l'odeur de, la puanteur de = der Gestank nach + Datif<br><br>pour introduire l'objet d'un sens (odorat, goût) → nach"
618,22,Sein Entsetzen _____ den Unfall war deutlich.,über,Sein Entsetzen über den Unfall war deutlich.,His horror at the accident was obvious.,Son horreur face à l’accident était évidente.,,,das Entsetzen über,the horror of = das Entsetzen über + Accusative,l'horreur face à = das Entsetzen über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the horror of = das Entsetzen über + Accusative<br><br>to introduce an emotional theme → über,l'horreur face à = das Entsetzen über + Accusatif<br><br>pour introduire un thème émotionnel → über
619,22,Das Entsetzen _____ die Nachricht war allgemein.,über,Das Entsetzen über die Nachricht war allgemein.,The horror at the news was widespread.,L’horreur suscitée par cette nouvelle fut générale.,,,das Entsetzen über,the horror of = das Entsetzen über + Accusative,l'horreur face à = das Entsetzen über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the horror of = das Entsetzen über + Accusative<br><br>to introduce an emotional theme → über,l'horreur face à = das Entsetzen über + Accusatif<br><br>pour introduire un thème émotionnel → über
620,22,Ihr Entsetzen _____ die Zerstörung war kaum zu fassen.,über,Ihr Entsetzen über die Zerstörung war kaum zu fassen.,Her horror at the destruction was hard to comprehend.,Son horreur face à la destruction était difficile à concevoir.,,,das Entsetzen über,the horror of = das Entsetzen über + Accusative,l'horreur face à = das Entsetzen über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the horror of = das Entsetzen über + Accusative<br><br>to introduce an emotional theme → über,l'horreur face à = das Entsetzen über + Accusatif<br><br>pour introduire un thème émotionnel → über
621,22,Sein Spott _____ den Vortrag war verletzend.,über,Sein Spott über den Vortrag war verletzend.,His mockery of the presentation was hurtful.,Sa moquerie de la présentation était blessante.,,,der Spott über,the mockery of = der Spott über + Accusative,la moquerie de = der Spott über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the mockery of = der Spott über + Accusative<br><br>to introduce an emotional theme → über,la moquerie de = der Spott über + Accusatif<br><br>pour introduire un thème émotionnel → über
622,22,Der Spott _____ den Politiker war laut.,über,Der Spott über den Politiker war laut.,The mockery of the politician was loud.,Les moqueries du politicien étaient fortes.,,,der Spott über,the mockery of = der Spott über + Accusative,la moquerie de = der Spott über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the mockery of = der Spott über + Accusative<br><br>to introduce an emotional theme → über,la moquerie de = der Spott über + Accusatif<br><br>pour introduire un thème émotionnel → über
623,22,Ihr Spott _____ die Mode der 90er Jahre sorgte für Gelächter.,über,Ihr Spott über die Mode der 90er Jahre sorgte für Gelächter.,Her mockery of 90s fashion caused laughter.,Ses moqueries sur la mode des années 90 ont provoqué des rires.,,,der Spott über,the mockery of = der Spott über + Accusative,la moquerie de = der Spott über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the mockery of = der Spott über + Accusative<br><br>to introduce an emotional theme → über,la moquerie de = der Spott über + Accusatif<br><br>pour introduire un thème émotionnel → über
624,22,Die Befreiung _____ der Last fiel ihm schwer.,von,Die Befreiung von der Last fiel ihm schwer.,Freeing himself from the burden was difficult.,Se libérer de ce fardeau était difficile.,,,die Befreiung von,the liberation from = die Befreiung von + Dative,la libération de = die Befreiung von + Datif,to introduce a separation → von,pour introduire une séparation → von,the liberation from = die Befreiung von + Dative<br><br>to introduce a separation → von,la libération de = die Befreiung von + Datif<br><br>pour introduire une séparation → von
625,22,Ihre Befreiung _____ der Verantwortung war notwendig.,von,Ihre Befreiung von der Verantwortung war notwendig.,Her release from responsibility was necessary.,Sa libération de responsabilité était nécessaire.,,,die Befreiung von,the liberation from = die Befreiung von + Dative,la libération de = die Befreiung von + Datif,to introduce a separation → von,pour introduire une séparation → von,the liberation from = die Befreiung von + Dative<br><br>to introduce a separation → von,la libération de = die Befreiung von + Datif<br><br>pour introduire une séparation → von
626,22,Seine Befreiung _____ den Schulden brachte ihm neuen Mut.,von,Seine Befreiung von den Schulden brachte ihm neuen Mut.,His liberation from debt gave him new courage.,Sa libération de ses dettes lui a redonné du courage.,,,die Befreiung von,the liberation from = die Befreiung von + Dative,la libération de = die Befreiung von + Datif,to introduce a separation → von,pour introduire une séparation → von,the liberation from = die Befreiung von + Dative<br><br>to introduce a separation → von,la libération de = die Befreiung von + Datif<br><br>pour introduire une séparation → von
627,22,Der Schutz _____ Kälte ist wichtig im Winter.,vor,Der Schutz vor Kälte ist wichtig im Winter.,Protection from the cold is important in winter.,La protection contre le froid est importante en hiver.,,,der Schutz vor,the protection against = der Schutz vor + Dative,la protection contre = der Schutz vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the protection against = der Schutz vor + Dative<br><br>to introduce an object of danger → vor,la protection contre = der Schutz vor + Datif<br><br>pour introduire un danger → vor
628,22,Der Schutz _____ Gefahren ist lebenswichtig.,vor,Der Schutz vor Gefahren ist lebenswichtig.,Protection from dangers is vital.,La protection contre les dangers est vitale.,,,der Schutz vor,the protection against = der Schutz vor + Dative,la protection contre = der Schutz vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the protection against = der Schutz vor + Dative<br><br>to introduce an object of danger → vor,la protection contre = der Schutz vor + Datif<br><br>pour introduire un danger → vor
629,22,Ihr Schutz _____ der Sonne bestand aus Hut und Sonnencreme.,vor,Ihr Schutz vor der Sonne bestand aus Hut und Sonnencreme.,Her protection from the sun consisted of a hat and sunscreen.,Sa protection contre le soleil consistait en un chapeau et de la crème solaire.,,,der Schutz vor,the protection against = der Schutz vor + Dative,la protection contre = der Schutz vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the protection against = der Schutz vor + Dative<br><br>to introduce an object of danger → vor,la protection contre = der Schutz vor + Datif<br><br>pour introduire un danger → vor
630,22,Die Ernennung _____ Direktor war überraschend.,zum,Die Ernennung zum Direktor war überraschend.,The appointment as director was surprising.,La nomination au poste de directeur a été surprenante.,,,die Ernennung zu,the appointment as = die Ernennung zu + Dative,la nomination à = die Ernennung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the appointment as = die Ernennung zu + Dative<br><br>to introduce an outcome or direction → zu,la nomination à = die Ernennung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
631,22,Seine Ernennung _____ Präsidenten wurde gefeiert.,zum,Seine Ernennung zum Präsidenten wurde gefeiert.,His appointment as president was celebrated.,Sa nomination à la présidence a été célébrée.,,,die Ernennung zu,the appointment as = die Ernennung zu + Dative,la nomination à = die Ernennung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the appointment as = die Ernennung zu + Dative<br><br>to introduce an outcome or direction → zu,la nomination à = die Ernennung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
632,22,Ihre Ernennung _____ Leiterin des Projekts wurde offiziell bekannt gegeben.,zur,Ihre Ernennung zur Leiterin des Projekts wurde offiziell bekannt gegeben.,Her appointment as head of the project was officially announced.,Sa nomination comme cheffe du projet a été annoncée officiellement.,,,die Ernennung zu,the appointment as = die Ernennung zu + Dative,la nomination à = die Ernennung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the appointment as = die Ernennung zu + Dative<br><br>to introduce an outcome or direction → zu,la nomination à = die Ernennung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
633,22,Ihre Neigung _____ Dramatik ist bekannt.,zu,Ihre Neigung zu Dramatik ist bekannt.,Her tendency toward drama is well known.,Son penchant pour le drame est bien connu.,,,die Neigung zu,the tendency to = die Neigung zu + Dative,"la tendance à, le penchant pour = die Neigung zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the tendency to = die Neigung zu + Dative<br><br>to introduce an outcome or direction → zu,"la tendance à, le penchant pour = die Neigung zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
634,22,Seine Neigung _____ Extremen ist gefährlich.,zu,Seine Neigung zu Extremen ist gefährlich.,His inclination toward extremes is dangerous.,Son penchant pour les extrêmes est dangereux.,,,die Neigung zu,the tendency to = die Neigung zu + Dative,"la tendance à, le penchant pour = die Neigung zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the tendency to = die Neigung zu + Dative<br><br>to introduce an outcome or direction → zu,"la tendance à, le penchant pour = die Neigung zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
635,22,Ihre Neigung _____ Übertreibungen führt oft zu Missverständnissen.,zu,Ihre Neigung zu Übertreibungen führt oft zu Missverständnissen.,Her tendency toward exaggeration often leads to misunderstandings.,Sa tendance à l’exagération conduit souvent à des malentendus.,,,die Neigung zu,the tendency to = die Neigung zu + Dative,"la tendance à, le penchant pour = die Neigung zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the tendency to = die Neigung zu + Dative<br><br>to introduce an outcome or direction → zu,"la tendance à, le penchant pour = die Neigung zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
636,22,Die Aufforderung _____ Schweigen war deutlich.,zu,Die Aufforderung zu Schweigen war deutlich.,The request to be silent was clear.,La demande de silence était claire.,,,die Aufforderung zu,the request to = die Aufforderung zu + Dative,la demande de = die Aufforderung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the request to = die Aufforderung zu + Dative<br><br>to introduce an outcome or direction → zu,la demande de = die Aufforderung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
637,22,Seine Aufforderung _____ Rücksicht wurde ignoriert.,zu,Seine Aufforderung zu Rücksicht wurde ignoriert.,His request for consideration was ignored.,Sa demande de prise en considération a été ignorée.,,,die Aufforderung zu,the request to = die Aufforderung zu + Dative,la demande de = die Aufforderung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the request to = die Aufforderung zu + Dative<br><br>to introduce an outcome or direction → zu,la demande de = die Aufforderung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
638,22,Ihre Aufforderung _____ Geduld zeigte schließlich Wirkung.,zu,Ihre Aufforderung zu Geduld zeigte schließlich Wirkung.,Her call for patience eventually showed effect.,Son appel à la patience a fini par porter ses fruits.,,,die Aufforderung zu,the request to = die Aufforderung zu + Dative,la demande de = die Aufforderung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the request to = die Aufforderung zu + Dative<br><br>to introduce an outcome or direction → zu,la demande de = die Aufforderung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
639,22,Seine Überredung _____ dieser Handlung war erfolgreich.,zu,Seine Überredung zu dieser Handlung war erfolgreich.,His persuasion to this action was successful.,Sa persuasion en faveur de cette action a été couronnée de succès.,,,die Überredung zu,the persuasion to = die Überredung zu + Dative,la persuasion de = die Überredung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the persuasion to = die Überredung zu + Dative<br><br>to introduce an outcome or direction → zu,la persuasion de = die Überredung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
640,22,Die Überredung _____ Kauf war geschickt.,zum,Die Überredung zum Kauf war geschickt.,The persuasion to make the purchase was clever.,La persuasion de faire l’achat était intelligente.,,,die Überredung zu,the persuasion to = die Überredung zu + Dative,la persuasion de = die Überredung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the persuasion to = die Überredung zu + Dative<br><br>to introduce an outcome or direction → zu,la persuasion de = die Überredung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
641,22,Ihre Überredung _____ Mitmachen überzeugte schließlich alle.,zum,Ihre Überredung zum Mitmachen überzeugte schließlich alle.,Her persuasion to join in eventually convinced everyone.,Sa persuasion de participer a finalement convaincu tout le monde.,,,die Überredung zu,the persuasion to = die Überredung zu + Dative,la persuasion de = die Überredung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the persuasion to = die Überredung zu + Dative<br><br>to introduce an outcome or direction → zu,la persuasion de = die Überredung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
642,22,Die Erkrankung _____ Grippe war mild.,an,Die Erkrankung an Grippe war mild.,The illness with flu was mild.,La maladie grippale était bénigne.,,,die Erkrankung an,the illness of = die Erkrankung an + Dative,la maladie de = die Erkrankung an + Datif,to introduce a cause → an,pour introduire une cause → an,the illness of = die Erkrankung an + Dative<br><br>to introduce a cause → an,la maladie de = die Erkrankung an + Datif<br><br>pour introduire une cause → an
643,22,Seine Erkrankung _____ Krebs wurde früh erkannt.,an,Seine Erkrankung an Krebs wurde früh erkannt.,His illness with cancer was detected early.,Sa maladie cancéreuse a été détectée tôt.,,,die Erkrankung an,the illness of = die Erkrankung an + Dative,la maladie de = die Erkrankung an + Datif,to introduce a cause → an,pour introduire une cause → an,the illness of = die Erkrankung an + Dative<br><br>to introduce a cause → an,la maladie de = die Erkrankung an + Datif<br><br>pour introduire une cause → an
644,22,Ihre Erkrankung _____ Lungenentzündung heilte schnell aus.,an,Ihre Erkrankung an Lungenentzündung heilte schnell aus.,Her illness with pneumonia healed quickly.,Sa maladie de pneumonie s’est vite rétablie.,,,die Erkrankung an,the illness of = die Erkrankung an + Dative,la maladie de = die Erkrankung an + Datif,to introduce a cause → an,pour introduire une cause → an,the illness of = die Erkrankung an + Dative<br><br>to introduce a cause → an,la maladie de = die Erkrankung an + Datif<br><br>pour introduire une cause → an
645,22,Die Orientierung _____ den Zielen ist wichtig.,an,Die Orientierung an den Zielen ist wichtig.,Orientation toward the goals is important.,L’orientation vers les objectifs est importante.,,,die Orientierung an,the orientation to = die Orientierung an + Dative,l'orientation vers = die Orientierung an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the orientation to = die Orientierung an + Dative<br><br>to introduce a point of reference → an,l'orientation vers = die Orientierung an + Datif<br><br>pour introduire un point de référence → an
646,22,Seine Orientierung _____ traditionellen Werten prägt sein Handeln.,an,Seine Orientierung an traditionellen Werten prägt sein Handeln.,His orientation toward traditional values shapes his actions.,Son orientation vers les valeurs traditionnelles façonne ses actions.,,,die Orientierung an,the orientation to = die Orientierung an + Dative,l'orientation vers = die Orientierung an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the orientation to = die Orientierung an + Dative<br><br>to introduce a point of reference → an,l'orientation vers = die Orientierung an + Datif<br><br>pour introduire un point de référence → an
647,22,Ihre Orientierung _____ den Bedürfnissen der Kunden sichert den Erfolg.,an,Ihre Orientierung an den Bedürfnissen der Kunden sichert den Erfolg.,Her focus on the customers’ needs ensures success.,Son orientation sur les besoins des clients garantit le succès.,,,die Orientierung an,the orientation to = die Orientierung an + Dative,l'orientation vers = die Orientierung an + Datif,to introduce a point of reference → an,pour introduire un point de référence → an,the orientation to = die Orientierung an + Dative<br><br>to introduce a point of reference → an,l'orientation vers = die Orientierung an + Datif<br><br>pour introduire un point de référence → an
648,22,Sein Bezug _____ das alte Gesetz war ungenau.,auf,Sein Bezug auf das alte Gesetz war ungenau.,His reference to the old law was inaccurate.,Sa référence à l’ancienne loi était inexacte.,,,der Bezug auf,the reference to = der Bezug auf + Accusative,la référence à = der Bezug auf + Accusatif,to introduce a base or a foundation → auf,pour introduire une base ou une fondation → un,the reference to = der Bezug auf + Accusative<br><br>to introduce a base or a foundation → auf,la référence à = der Bezug auf + Accusatif<br><br>pour introduire une base ou une fondation → un
649,22,Ich nehme Bezug _____ Ihren letzten Brief.,auf,Ich nehme Bezug auf Ihren letzten Brief.,I refer to your last letter.,Je me réfère à votre dernière lettre.,,,der Bezug auf,the reference to = der Bezug auf + Accusative,la référence à = der Bezug auf + Accusatif,to introduce a base or a foundation → auf,pour introduire une base ou une fondation → un,the reference to = der Bezug auf + Accusative<br><br>to introduce a base or a foundation → auf,la référence à = der Bezug auf + Accusatif<br><br>pour introduire une base ou une fondation → un
650,22,Ihr Bezug _____ die vorherige Studie war sehr hilfreich.,auf,Ihr Bezug auf die vorherige Studie war sehr hilfreich.,Her reference to the previous study was very helpful.,Sa référence à l’étude précédente était très utile.,,,der Bezug auf,the reference to = der Bezug auf + Accusative,la référence à = der Bezug auf + Accusatif,to introduce a base or a foundation → auf,pour introduire une base ou une fondation → un,the reference to = der Bezug auf + Accusative<br><br>to introduce a base or a foundation → auf,la référence à = der Bezug auf + Accusatif<br><br>pour introduire une base ou une fondation → un
651,22,Die Entstehung _____ einfachen Verhältnissen beeindruckte viele.,aus,Die Entstehung aus einfachen Verhältnissen beeindruckte viele.,His emergence from humble origins impressed many.,Son émergence à partir d’origines modestes a impressionné plus d’un.,,,die Entstehung aus,the emergence from = die Entstehung aus + Dative,l'émergence de = die Entstehung aus + Datif,to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the emergence from = die Entstehung aus + Dative<br><br>to introduce an origin or a constituent → aus,l'émergence de = die Entstehung aus + Datif<br><br>pour introduire une origine ou un composant → aus
652,22,Die Entstehung _____ dieser Idee war unerwartet.,aus,Die Entstehung aus dieser Idee war unerwartet.,The emergence from this idea was unexpected.,L’émergence de cette idée était inattendue.,,,die Entstehung aus,the emergence from = die Entstehung aus + Dative,l'émergence de = die Entstehung aus + Datif,to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the emergence from = die Entstehung aus + Dative<br><br>to introduce an origin or a constituent → aus,l'émergence de = die Entstehung aus + Datif<br><br>pour introduire une origine ou un composant → aus
653,22,Seine Entstehung _____ kleinen Anfängen zeigt großen Ehrgeiz.,aus,Seine Entstehung aus kleinen Anfängen zeigt großen Ehrgeiz.,His rise from humble beginnings shows great ambition.,Son origine à partir de débuts modestes montre une grande ambition.,,,die Entstehung aus,the emergence from = die Entstehung aus + Dative,l'émergence de = die Entstehung aus + Datif,to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the emergence from = die Entstehung aus + Dative<br><br>to introduce an origin or a constituent → aus,l'émergence de = die Entstehung aus + Datif<br><br>pour introduire une origine ou un composant → aus
654,22,Sein Engagement _____ den Umweltschutz ist beeindruckend.,für,Sein Engagement für den Umweltschutz ist beeindruckend.,His commitment to environmental protection is impressive.,Son engagement en faveur de la protection de l’environnement est impressionnant.,,,das Engagement für,the commitment to = das Engagement für + Accusative,l'engagement en faveur de = das Engagement für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the commitment to = das Engagement für + Accusative<br><br>to introduce an endorsement or an approval → für,l'engagement en faveur de = das Engagement für + Accusatif<br><br>pour introduire une approbation ou un accord → für
655,22,Das Engagement _____ soziale Projekte steigt.,für,Das Engagement für soziale Projekte steigt.,The commitment to social projects is increasing.,L’engagement dans les projets sociaux augmente.,,,das Engagement für,the commitment to = das Engagement für + Accusative,l'engagement en faveur de = das Engagement für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the commitment to = das Engagement für + Accusative<br><br>to introduce an endorsement or an approval → für,l'engagement en faveur de = das Engagement für + Accusatif<br><br>pour introduire une approbation ou un accord → für
656,22,Ihr Engagement _____ die Bildungschancen von Kindern wurde mehrfach ausgezeichnet.,für,Ihr Engagement für die Bildungschancen von Kindern wurde mehrfach ausgezeichnet.,Her commitment to children's educational opportunities has been repeatedly recognized.,Son engagement pour les chances éducatives des enfants a été plusieurs fois récompensé.,,,das Engagement für,the commitment to = das Engagement für + Accusative,l'engagement en faveur de = das Engagement für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,the commitment to = das Engagement für + Accusative<br><br>to introduce an endorsement or an approval → für,l'engagement en faveur de = das Engagement für + Accusatif<br><br>pour introduire une approbation ou un accord → für
657,23,die Verteidigung _____,gegen,die Verteidigung gegen,the defense against,la défense contre,Accusative,Accusatif,die Verteidigung gegen,the defense against = die Verteidigung gegen + Accusative,la défense contre = die Verteidigung gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the defense against = die Verteidigung gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la défense contre = die Verteidigung gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
658,23,die Verwandlung _____,in,die Verwandlung in,the transformation into,la transformation en,Accusative,Accusatif,die Verwandlung in,the transformation into = die Verwandlung in + Accusative,la transformation en = die Verwandlung in + Accusatif,to introduce a transformation → in,pour introduire une transformation → in,the transformation into = die Verwandlung in + Accusative<br><br>to introduce a transformation → in,la transformation en = die Verwandlung in + Accusatif<br><br>pour introduire une transformation → in
659,23,die Gliederung _____,in,die Gliederung in,the structure in,"la structure en, la division en",Accusative,Accusatif,die Gliederung in,the structure in = die Gliederung in + Accusative,"la structure en, la division en = die Gliederung in + Accusatif",to introduce a transformation → in,pour introduire une transformation → in,the structure in = die Gliederung in + Accusative<br><br>to introduce a transformation → in,"la structure en, la division en = die Gliederung in + Accusatif<br><br>pour introduire une transformation → in"
660,23,die Auseinandersetzung _____,mit,die Auseinandersetzung mit,the confrontation with,la confrontation avec,Dative,Datif,die Auseinandersetzung mit,the confrontation with = die Auseinandersetzung mit + Dative,la confrontation avec = die Auseinandersetzung mit + Datif,to introduce a subject to handle → mit,pour introduire un sujet à gérer → mit,the confrontation with = die Auseinandersetzung mit + Dative<br><br>to introduce a subject to handle → mit,la confrontation avec = die Auseinandersetzung mit + Datif<br><br>pour introduire un sujet à gérer → mit
661,23,die Sehnsucht _____,nach,die Sehnsucht nach,the longing for,le désir de,Dative,Datif,die Sehnsucht nach,the longing for = die Sehnsucht nach + Dative,le désir de = die Sehnsucht nach + Datif,to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the longing for = die Sehnsucht nach + Dative<br><br>to introduce the object of a search or a desire → nach,le désir de = die Sehnsucht nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach
662,23,die Verwunderung _____,über,die Verwunderung über,the amazement about,l'étonnement face à,Accusative,Accusatif,die Verwunderung über,the amazement about = die Verwunderung über + Accusative,l'étonnement face à = die Verwunderung über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the amazement about = die Verwunderung über + Accusative<br><br>to introduce an emotional theme → über,l'étonnement face à = die Verwunderung über + Accusatif<br><br>pour introduire un thème émotionnel → über
663,23,die Klage _____,über,die Klage über,the complaint about,la plainte concernant,Accusative,Accusatif,die Klage über,the complaint about = die Klage über + Accusative,la plainte concernant = die Klage über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the complaint about = die Klage über + Accusative<br><br>to introduce a general subject → über,la plainte concernant = die Klage über + Accusatif<br><br>pour introduire un sujet général → über
664,23,das Erstaunen _____,über,das Erstaunen über,the astonishment at,l'étonnement face à,Accusative,Accusatif,das Erstaunen über,the astonishment at = das Erstaunen über + Accusative,l'étonnement face à = das Erstaunen über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the astonishment at = das Erstaunen über + Accusative<br><br>to introduce an emotional theme → über,l'étonnement face à = das Erstaunen über + Accusatif<br><br>pour introduire un thème émotionnel → über
665,23,der Ekel _____,vor,der Ekel vor,the disgust for,le dégoût envers,Dative,Datif,der Ekel vor,the disgust for = der Ekel vor + Dative,le dégoût envers = der Ekel vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the disgust for = der Ekel vor + Dative<br><br>to introduce an object of danger → vor,le dégoût envers = der Ekel vor + Datif<br><br>pour introduire un danger → vor
666,23,der Glückwunsch _____,zu,der Glückwunsch zu,the congratulations on,les félicitations pour,Dative,Datif,der Glückwunsch zu,the congratulations on = der Glückwunsch zu + Dative,les félicitations pour = der Glückwunsch zu + Datif,to introduce an occasion → zu,pour introduire une occasion → zu,the congratulations on = der Glückwunsch zu + Dative<br><br>to introduce an occasion → zu,les félicitations pour = der Glückwunsch zu + Datif<br><br>pour introduire une occasion → zu
667,23,die Eignung _____,zu,die Eignung zu,the suitability to,l'aptitude à,Dative,Datif,die Eignung zu,the suitability to = die Eignung zu + Dative,l'aptitude à = die Eignung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the suitability to = die Eignung zu + Dative<br><br>to introduce an outcome or direction → zu,l'aptitude à = die Eignung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
668,23,die Anregung _____,zu,die Anregung zu,the suggestion to,"la suggestion de, la suggestion pour",Dative,Datif,die Anregung zu,the suggestion to = die Anregung zu + Dative,"la suggestion de, la suggestion pour = die Anregung zu + Datif",to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the suggestion to = die Anregung zu + Dative<br><br>to introduce an outcome or direction → zu,"la suggestion de, la suggestion pour = die Anregung zu + Datif<br><br>pour introduire un résultat ou une direction → zu"
669,23,die Beförderung _____,zu,die Beförderung zu,the promotion to,la promotion à,Dative,Datif,die Beförderung zu,the promotion to = die Beförderung zu + Dative,la promotion à = die Beförderung zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the promotion to = die Beförderung zu + Dative<br><br>to introduce an outcome or direction → zu,la promotion à = die Beförderung zu + Datif<br><br>pour introduire un résultat ou une direction → zu
670,23,der Zwang _____,zu,der Zwang zu,the compulsion to,la contrainte à,Dative,Datif,der Zwang zu,the compulsion to = der Zwang zu + Dative,la contrainte à = der Zwang zu + Datif,to introduce an outcome or direction → zu,pour introduire un résultat ou une direction → zu,the compulsion to = der Zwang zu + Dative<br><br>to introduce an outcome or direction → zu,la contrainte à = der Zwang zu + Datif<br><br>pour introduire un résultat ou une direction → zu
671,23,die Kritik _____,an,die Kritik an,the criticism of,la critique de,Dative,Datif,die Kritik an,the criticism of = die Kritik an + Dative,la critique de = die Kritik an + Datif,,,the criticism of = die Kritik an + Dative,la critique de = die Kritik an + Datif
672,24,Die Verteidigung _____ die Angriffe war gut organisiert.,gegen,Die Verteidigung gegen die Angriffe war gut organisiert.,The defense against the attacks was well organized.,La défense contre les attaques était bien organisée.,,,die Verteidigung gegen,the defense against = die Verteidigung gegen + Accusative,la défense contre = die Verteidigung gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the defense against = die Verteidigung gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la défense contre = die Verteidigung gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
