Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
629,20,2,Seine Erinnerung _____ Kindheit ist voller Freude.,an die,Seine Erinnerung an die Kindheit ist voller Freude.,His memory of childhood is full of joy.,Son souvenir d’enfance est plein de joie.,der/die/das,an,die,die Erinnerung an,Accusative,Accusatif,Feminine,Féminin,"the memory of = die Erinnerung an + Accusative<br>to introduce the subject of a thought, with mental focus → an","la mémoire de, le souvenir de = die Erinnerung an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
630,20,2,Ihre Erinnerung _____ Konzert macht sie immer noch glücklich.,an das,Ihre Erinnerung an das Konzert macht sie immer noch glücklich.,Her memory of the concert still makes her happy.,Son souvenir du concert la rend encore heureuse.,der/die/das,an,das,die Erinnerung an,Accusative,Accusatif,Neuter,Neutre,"the memory of = die Erinnerung an + Accusative<br>to introduce the subject of a thought, with mental focus → an","la mémoire de, le souvenir de = die Erinnerung an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an",", Accusative",", Accusatif"
631,20,2,Die Antwort _____ Frage war überraschend.,auf seine,Die Antwort auf seine Frage war überraschend.,The answer to his question was surprising.,La réponse à sa question était surprenante.,sein,auf,seine,die Antwort auf,Accusative,Accusatif,Feminine,Féminin,the answer to = die Antwort auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,la réponse à = die Antwort auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
632,20,2,Ihre Antwort _____ Kritik war sehr professionell.,auf die,Ihre Antwort auf die Kritik war sehr professionell.,Her response to the criticism was very professional.,Sa réponse aux critiques a été très professionnelle.,der/die/das,auf,die,die Antwort auf,Accusative,Accusatif,Feminine,Féminin,the answer to = die Antwort auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,la réponse à = die Antwort auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
633,20,2,Die Antwort _____ Problem kam schneller als erwartet.,auf das,Die Antwort auf das Problem kam schneller als erwartet.,The answer to the problem came faster than expected.,La réponse au problème est arrivée plus vite que prévu.,der/die/das,auf,das,die Antwort auf,Accusative,Accusatif,Neuter,Neutre,the answer to = die Antwort auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,la réponse à = die Antwort auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
634,20,2,Die Konzentration _____ Aufgabe ist entscheidend.,auf die,Die Konzentration auf die Aufgabe ist entscheidend.,Concentration on the task is crucial.,La concentration sur la tâche est cruciale.,der/die/das,auf,die,die Konzentration auf,Accusative,Accusatif,Feminine,Féminin,the concentration on = die Konzentration auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,la concentration sur = die Konzentration auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
635,20,2,Ihre Konzentration _____ Prüfungsvorbereitung war beeindruckend.,auf die,Ihre Konzentration auf die Prüfungsvorbereitung war beeindruckend.,Her focus on exam preparation was impressive.,Sa concentration sur la préparation aux examens était impressionnante.,der/die/das,auf,die,die Konzentration auf,Accusative,Accusatif,Feminine,Féminin,the concentration on = die Konzentration auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,la concentration sur = die Konzentration auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
636,20,2,Seine Konzentration _____ Spiel ließ keine Ablenkung zu.,auf das,Seine Konzentration auf das Spiel ließ keine Ablenkung zu.,His concentration on the game allowed no distraction.,Sa concentration sur le jeu ne laissait aucune distraction.,der/die/das,auf,das,die Konzentration auf,Accusative,Accusatif,Neuter,Neutre,the concentration on = die Konzentration auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,la concentration sur = die Konzentration auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
637,20,2,Die Übersetzung _____ Englischen war sehr präzise.,aus dem,Die Übersetzung aus dem Englischen war sehr präzise.,The translation from English was very precise.,La traduction de l'anglais était très précise.,der/die/das,aus,dem,die Übersetzung aus,Dative,Datif,Neuter,Neutre,the translation from = die Übersetzung aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"la traduction de, depuis = die Übersetzung aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.",", Dative",", Datif"
638,20,2,Seine Übersetzung _____ Spanischen wurde gelobt.,aus dem,Seine Übersetzung aus dem Spanischen wurde gelobt.,His translation from Spanish was praised.,Sa traduction de l’espagnol a été saluée.,der/die/das,aus,dem,die Übersetzung aus,Dative,Datif,Neuter,Neutre,the translation from = die Übersetzung aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"la traduction de, depuis = die Übersetzung aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.",", Dative",", Datif"
639,20,2,Ihre Übersetzung _____ Französischen klingt besonders natürlich.,aus dem,Ihre Übersetzung aus dem Französischen klingt besonders natürlich.,Her translation from French sounds especially natural.,Sa traduction du français sonne particulièrement naturelle.,der/die/das,aus,dem,die Übersetzung aus,Dative,Datif,Neuter,Neutre,the translation from = die Übersetzung aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"la traduction de, depuis = die Übersetzung aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.",", Dative",", Datif"
640,20,2,Die Entscheidung _____ Umzug fiel schwer.,für den,Die Entscheidung für den Umzug fiel schwer.,The decision to move was difficult.,La décision de déménager a été difficile.,der/die/das,für,den,die Entscheidung für,Accusative,Accusatif,Masculine,Masculin,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","la décision de = die Entscheidung für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
641,20,2,Ihre Entscheidung _____ Studium wurde gut überlegt.,für das,Ihre Entscheidung für das Studium wurde gut überlegt.,Her decision to study was well-considered.,Sa décision d’étudier était bien réfléchie.,der/die/das,für,das,die Entscheidung für,Accusative,Accusatif,Neuter,Neutre,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","la décision de = die Entscheidung für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
642,20,2,Seine Entscheidung _____ neuen Job war schnell getroffen.,für den,Seine Entscheidung für den neuen Job war schnell getroffen.,His decision in favor of the new job was made quickly.,Sa décision en faveur du nouveau travail a été prise rapidement.,der/die/das,für,den,die Entscheidung für,Accusative,Accusatif,Masculine,Masculin,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","la décision de = die Entscheidung für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
643,20,2,Die Entscheidung _____ Vorschlag fiel einstimmig aus.,gegen den,Die Entscheidung gegen den Vorschlag fiel einstimmig aus.,The decision against the proposal was unanimous.,La décision contre la proposition a été unanime.,der/die/das,gegen,den,die Entscheidung gegen,Accusative,Accusatif,Masculine,Masculin,the decision against = die Entscheidung gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,la décision contre = die Entscheidung gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
644,20,2,Seine Entscheidung _____ Angebot überraschte alle.,gegen das,Seine Entscheidung gegen das Angebot überraschte alle.,His decision against the offer surprised everyone.,Sa décision contre l’offre a surpris tout le monde.,der/die/das,gegen,das,die Entscheidung gegen,Accusative,Accusatif,Neuter,Neutre,the decision against = die Entscheidung gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,la décision contre = die Entscheidung gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
645,20,2,Ihre Entscheidung _____ Projekt sorgte für Diskussionen.,gegen das,Ihre Entscheidung gegen das Projekt sorgte für Diskussionen.,Her decision against the project sparked discussions.,Sa décision contre le projet a suscité des discussions.,der/die/das,gegen,das,die Entscheidung gegen,Accusative,Accusatif,Neuter,Neutre,the decision against = die Entscheidung gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,la décision contre = die Entscheidung gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
646,20,2,Seine Übersetzung _____ Deutsche war sehr präzise.,ins,Seine Übersetzung ins Deutsche war sehr präzise.,His translation into German was very precise.,Sa traduction en allemand était très précise.,der/die/das,in,das,die Übersetzung in,Accusative,Accusatif,Neuter,Neutre,the translation into = die Übersetzung in + Accusative<br>to introduce a transformation → in + Acc.,la traduction en = die Übersetzung in + Accusatif<br>pour introduire une transformation → in + Acc.,", Accusative",", Accusatif"
647,20,2,Ihre Übersetzung _____ Italienische wurde im Unterricht verwendet.,ins,Ihre Übersetzung ins Italienische wurde im Unterricht verwendet.,Her translation into Italian was used in class.,Sa traduction en italien a été utilisée en classe.,der/die/das,in,das,die Übersetzung in,Accusative,Accusatif,Neuter,Neutre,the translation into = die Übersetzung in + Accusative<br>to introduce a transformation → in + Acc.,la traduction en = die Übersetzung in + Accusatif<br>pour introduire une transformation → in + Acc.,", Accusative",", Accusatif"
648,20,2,Die Diskussion _____ Kollegen führte zu neuen Ideen.,mit den,Die Diskussion mit den Kollegen führte zu neuen Ideen.,The discussion with the colleagues led to new ideas.,La discussion avec les collègues a conduit à de nouvelles idées.,der/die/das,mit,den,die Diskussion mit,Dative,Datif,Plural,Pluriel,the discussion with = die Diskussion mit + Dative<br>to introduce a partner → mit + Dat.,la discussion avec = die Diskussion mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
649,20,2,Seine Diskussion _____ Chef war produktiv.,mit dem,Seine Diskussion mit dem Chef war produktiv.,His discussion with the boss was productive.,Sa discussion avec le patron a été productive.,der/die/das,mit,dem,die Diskussion mit,Dative,Datif,Masculine,Masculin,the discussion with = die Diskussion mit + Dative<br>to introduce a partner → mit + Dat.,la discussion avec = die Diskussion mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
650,20,2,Ihre Diskussion _____ Studierenden war sehr inspirierend.,mit den,Ihre Diskussion mit den Studierenden war sehr inspirierend.,Her discussion with the students was very inspiring.,Sa discussion avec les étudiants était très inspirante.,der/die/das,mit,den,die Diskussion mit,Dative,Datif,Plural,Pluriel,the discussion with = die Diskussion mit + Dative<br>to introduce a partner → mit + Dat.,la discussion avec = die Diskussion mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
651,20,2,Das Spiel _____ neuen Strategie war erfolgreich.,mit der,Das Spiel mit der neuen Strategie war erfolgreich.,The game with the new strategy was successful.,Le jeu avec la nouvelle stratégie a été un succès.,der/die/das,mit,der,das Spiel mit,Dative,Datif,Feminine,Féminin,the game with = das Spiel mit + Dative<br>to introduce a partner → mit + Dat.,le jeu avec = das Spiel mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
652,20,2,Ihr Spiel _____ Ball faszinierte die Zuschauer.,mit dem,Ihr Spiel mit dem Ball faszinierte die Zuschauer.,Her game with the ball fascinated the spectators.,Son jeu avec le ballon a fasciné les spectateurs.,der/die/das,mit,dem,das Spiel mit,Dative,Datif,Masculine,Masculin,the game with = das Spiel mit + Dative<br>to introduce a partner → mit + Dat.,le jeu avec = das Spiel mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
653,20,2,Sein Spiel _____ Farben machte das Bild lebendig.,mit den,Sein Spiel mit den Farben machte das Bild lebendig.,His play with the colors made the painting come alive.,Son jeu avec les couleurs a donné vie à la peinture.,der/die/das,mit,den,das Spiel mit,Dative,Datif,Plural,Pluriel,the game with = das Spiel mit + Dative<br>to introduce a partner → mit + Dat.,le jeu avec = das Spiel mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
654,20,2,Die Frage _____ Zukunft des Projekts bleibt offen.,nach der,Die Frage nach der Zukunft des Projekts bleibt offen.,The question about the project's future remains open.,La question de l’avenir du projet reste ouverte.,der/die/das,nach,der,die Frage nach,Dative,Datif,Feminine,Féminin,the question about = die Frage nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"la question à propos de, la question sur = die Frage nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",", Dative",", Datif"
655,20,2,Seine Frage _____ Details wurde klar beantwortet.,nach den,Seine Frage nach den Details wurde klar beantwortet.,His question about the details was answered clearly.,Sa question sur les détails a reçu une réponse claire.,der/die/das,nach,den,die Frage nach,Dative,Datif,Plural,Pluriel,the question about = die Frage nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"la question à propos de, la question sur = die Frage nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",", Dative",", Datif"
656,20,2,Ihre Frage _____ Termin wurde sofort beantwortet.,nach dem,Ihre Frage nach dem Termin wurde sofort beantwortet.,Her question about the date was answered immediately.,Sa question sur la date a été répondue immédiatement.,der/die/das,nach,dem,die Frage nach,Dative,Datif,Masculine,Masculin,the question about = die Frage nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"la question à propos de, la question sur = die Frage nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.",", Dative",", Datif"
657,20,2,Die Suche _____ passenden Kandidaten dauert an.,nach einem,Die Suche nach einem passenden Kandidaten dauert an.,The search for a suitable candidate continues.,La recherche d’un candidat approprié se poursuit.,ein,nach,einem,die Suche nach,Dative,Datif,Masculine,Masculin,the search for = die Suche nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,la recherche de = die Suche nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,", Dative",", Datif"
658,20,2,Ihre Suche _____ neuen Wohnung war erfolgreich.,nach einer,Ihre Suche nach einer neuen Wohnung war erfolgreich.,Her search for a new apartment was successful.,Sa recherche d’un nouvel appartement a été fructueuse.,ein,nach,einer,die Suche nach,Dative,Datif,Feminine,Féminin,the search for = die Suche nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,la recherche de = die Suche nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,", Dative",", Datif"
659,20,2,Seine Suche _____ Wahrheit wurde schließlich belohnt.,nach der,Seine Suche nach der Wahrheit wurde schließlich belohnt.,His search for the truth was eventually rewarded.,Sa recherche de la vérité a finalement été récompensée.,der/die/das,nach,der,die Suche nach,Dative,Datif,Feminine,Féminin,the search for = die Suche nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,la recherche de = die Suche nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,", Dative",", Datif"
660,20,2,Der Ärger _____ neue Regelung wächst täglich.,über die,Der Ärger über die neue Regelung wächst täglich.,The anger about the new regulation grows daily.,La colère à l’égard de la nouvelle réglementation grandit de jour en jour.,der/die/das,über,die,der Ärger über,Accusative,Accusatif,Feminine,Féminin,the anger about = der Ärger über + Accusative<br>to introduce an emotional theme → über + Acc.,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",", Accusative",", Accusatif"
661,20,2,Ihr Ärger _____ Verzögerungen war deutlich zu spüren.,über die,Ihr Ärger über die Verzögerungen war deutlich zu spüren.,Her anger about the delays was clearly noticeable.,Sa colère face aux retards était clairement perceptible.,der/die/das,über,die,der Ärger über,Accusative,Accusatif,Plural,Pluriel,the anger about = der Ärger über + Accusative<br>to introduce an emotional theme → über + Acc.,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",", Accusative",", Accusatif"
662,20,2,Sein Ärger _____ Fehler verging nach kurzer Zeit.,über den,Sein Ärger über den Fehler verging nach kurzer Zeit.,His anger about the mistake faded after a short time.,Sa colère à propos de l’erreur s’est dissipée après peu de,der/die/das,über,den,der Ärger über,Accusative,Accusatif,Masculine,Masculin,the anger about = der Ärger über + Accusative<br>to introduce an emotional theme → über + Acc.,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",", Accusative",", Accusatif"
663,20,2,Ihr Glück _____ gute Nachricht war ansteckend.,über die,Ihr Glück über die gute Nachricht war ansteckend.,Her happiness about the good news was contagious.,Sa joie face à la bonne nouvelle était contagieuse.,der/die/das,über,die,das Glück über,Accusative,Accusatif,Feminine,Féminin,the happiness about = das Glück über + Accusative<br>to introduce an emotional theme → über + Acc.,le bonheur à propos de = das Glück über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
664,20,2,Das Glück _____ gelungenen Abschluss konnte er nicht verbergen.,über den,Das Glück über den gelungenen Abschluss konnte er nicht verbergen.,He could not hide his happiness about the successful conclusion.,Il ne pouvait cacher sa joie quant à la conclusion heureuse de l'affaire.,der/die/das,über,den,das Glück über,Accusative,Accusatif,Masculine,Masculin,the happiness about = das Glück über + Accusative<br>to introduce an emotional theme → über + Acc.,le bonheur à propos de = das Glück über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
665,20,2,Sein Glück _____ Sieg war in seinem Gesicht deutlich zu sehen.,über den,Sein Glück über den Sieg war in seinem Gesicht deutlich zu sehen.,His happiness about the victory was clearly visible on his face.,Son bonheur à propos de la victoire se voyait clairement sur son visage.,der/die/das,über,den,das Glück über,Accusative,Accusatif,Masculine,Masculin,the happiness about = das Glück über + Accusative<br>to introduce an emotional theme → über + Acc.,le bonheur à propos de = das Glück über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
666,20,2,Der Traum _____ besseren Welt verbindet uns alle.,von einer,Der Traum von einer besseren Welt verbindet uns alle.,The dream of a better world connects us all.,Le rêve d’un monde meilleur nous relie tous.,ein,von,einer,der Traum von,Dative,Datif,Feminine,Féminin,the dream of = der Traum von + Dative<br>to introduce an expectation or a demand → von + Dat.,le rêve de = der Traum von + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
667,20,2,Ihr Traum _____ eigenen Haus wurde wahr.,von einem,Ihr Traum von einem eigenen Haus wurde wahr.,Her dream of owning a house came true.,Son rêve de posséder une maison est devenu réalité.,ein,von,einem,der Traum von,Dative,Datif,Neuter,Neutre,the dream of = der Traum von + Dative<br>to introduce an expectation or a demand → von + Dat.,le rêve de = der Traum von + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
668,20,2,Sein Traum _____ Reise nach Japan ging endlich in Erfüllung.,von einer,Sein Traum von einer Reise nach Japan ging endlich in Erfüllung.,His dream of a trip to Japan finally came true.,Son rêve d’un voyage au Japon s’est enfin réalisé.,ein,von,einer,der Traum von,Dative,Datif,Feminine,Féminin,the dream of = der Traum von + Dative<br>to introduce an expectation or a demand → von + Dat.,le rêve de = der Traum von + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
669,21,4,Der Stolz _____ Leistungen war deutlich sichtbar.,auf ihre,Der Stolz auf ihre Leistungen war deutlich sichtbar.,The pride in her achievements was clearly visible.,La fierté de ses réalisations était clairement visible.,ihr,auf,ihre,der Stolz auf,Accusative,Accusatif,Plural,Pluriel,the pride in = der Stolz auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"la fierté de, la fierté pour = der Stolz auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.",", Accusative",", Accusatif"
670,21,4,Er zeigte Stolz _____ Team nach dem Sieg.,auf sein,Er zeigte Stolz auf sein Team nach dem Sieg.,He showed pride in his team after the victory.,Il a montré sa fierté envers son équipe après la victoire.,sein,auf,sein,der Stolz auf,Accusative,Accusatif,Neuter,Neutre,the pride in = der Stolz auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"la fierté de, la fierté pour = der Stolz auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.",", Accusative",", Accusatif"
671,21,4,Ihr Stolz _____ erfolgreiche Präsentation war gerechtfertigt.,auf die,Ihr Stolz auf die erfolgreiche Präsentation war gerechtfertigt.,Her pride in the successful presentation was justified.,Sa fierté pour la présentation réussie était justifiée.,der/die/das,auf,die,der Stolz auf,Accusative,Accusatif,Feminine,Féminin,the pride in = der Stolz auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,"la fierté de, la fierté pour = der Stolz auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.",", Accusative",", Accusatif"
672,21,4,Ihre Angst _____ Scheitern war unbegründet.,vor dem,Ihre Angst vor dem Scheitern war unbegründet.,Her fear of failure was unfounded.,Sa peur de l’échec était infondée.,der/die/das,vor,dem,die Angst vor,Dative,Datif,Neuter,Neutre,the fear of = die Angst vor + Dative<br>to introduce an object of danger → vor + Dat.,la peur de = die Angst vor + Datif<br>pour introduire un danger → vor + Dat.,", Dative",", Datif"
673,21,4,Seine Angst _____ Dunkelheit verschwand mit der Zeit.,vor der,Seine Angst vor der Dunkelheit verschwand mit der Zeit.,His fear of the dark disappeared over time.,Sa peur du noir a disparu avec le temps.,der/die/das,vor,der,die Angst vor,Dative,Datif,Feminine,Féminin,the fear of = die Angst vor + Dative<br>to introduce an object of danger → vor + Dat.,la peur de = die Angst vor + Datif<br>pour introduire un danger → vor + Dat.,", Dative",", Datif"
674,21,4,Der Protest _____ neuen Gesetze war laut.,gegen die,Der Protest gegen die neuen Gesetze war laut.,The protest against the new laws was loud.,La protestation contre les nouvelles lois a été forte.,der/die/das,gegen,die,der Protest gegen,Accusative,Accusatif,Plural,Pluriel,the protest against = der Protest gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,la protestation contre = der Protest gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
675,21,4,Ihr Protest _____ Änderungen fand große Unterstützung.,gegen die,Ihr Protest gegen die Änderungen fand große Unterstützung.,Their protest against the changes found great support.,Leur protestation contre les changements a trouvé un grand soutien.,der/die/das,gegen,die,der Protest gegen,Accusative,Accusatif,Plural,Pluriel,the protest against = der Protest gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,la protestation contre = der Protest gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
676,21,4,Sein Protest _____ Entscheidung blieb ohne Erfolg.,gegen die,Sein Protest gegen die Entscheidung blieb ohne Erfolg.,His protest against the decision was unsuccessful.,Sa protestation contre la décision est restée sans succès.,der/die/das,gegen,die,der Protest gegen,Accusative,Accusatif,Feminine,Féminin,the protest against = der Protest gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,la protestation contre = der Protest gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
677,21,4,Das Gespräch _____ Lehrer verlief positiv.,mit dem,Das Gespräch mit dem Lehrer verlief positiv.,The conversation with the teacher went positively.,La conversation avec le professeur s'est déroulée positivement.,der/die/das,mit,dem,das Gespräch mit,Dative,Datif,Masculine,Masculin,the conversation with = das Gespräch mit + Dative<br>to introduce a partner → mit + Dat.,la conversation avec = das Gespräch mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
678,21,4,Ihr Gespräch _____ Nachbarin dauerte lange.,mit der,Ihr Gespräch mit der Nachbarin dauerte lange.,Her conversation with the neighbor lasted a long time.,Sa conversation avec le voisin a duré longtemps.,der/die/das,mit,der,das Gespräch mit,Dative,Datif,Feminine,Féminin,the conversation with = das Gespräch mit + Dative<br>to introduce a partner → mit + Dat.,la conversation avec = das Gespräch mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
679,21,4,Sein Gespräch _____ Arzt brachte endlich Klarheit.,mit dem,Sein Gespräch mit dem Arzt brachte endlich Klarheit.,His conversation with the doctor finally brought clarity.,Sa conversation avec le médecin a finalement apporté de la clarté.,der/die/das,mit,dem,das Gespräch mit,Dative,Datif,Masculine,Masculin,the conversation with = das Gespräch mit + Dative<br>to introduce a partner → mit + Dat.,la conversation avec = das Gespräch mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
680,21,4,Der Anfang _____ neuen Projekt war herausfordernd.,mit dem,Der Anfang mit dem neuen Projekt war herausfordernd.,The beginning with the new project was challenging.,Le début du nouveau projet a été un défi.,der/die/das,mit,dem,der Anfang mit,Dative,Datif,Neuter,Neutre,the beginning with = der Anfang mit + Dative<br>to introduce a beginning or an end → mit + Dat.,"le début de, le début avec = der Anfang mit + Datif<br>pour introduire un début ou une fin → mit + Dat.",", Dative",", Datif"
681,21,4,Ihr Anfang _____ Sport war sehr erfolgreich.,mit dem,Ihr Anfang mit dem Sport war sehr erfolgreich.,Her start with the sport was very successful.,Ses débuts dans le sport ont été très réussis.,der/die/das,mit,dem,der Anfang mit,Dative,Datif,Masculine,Masculin,the beginning with = der Anfang mit + Dative<br>to introduce a beginning or an end → mit + Dat.,"le début de, le début avec = der Anfang mit + Datif<br>pour introduire un début ou une fin → mit + Dat.",", Dative",", Datif"
682,21,4,Sein Anfang _____ Instrument war vielversprechend.,mit dem,Sein Anfang mit dem Instrument war vielversprechend.,His start with the instrument was promising.,Ses débuts avec l’instrument étaient prometteurs.,der/die/das,mit,dem,der Anfang mit,Dative,Datif,Neuter,Neutre,the beginning with = der Anfang mit + Dative<br>to introduce a beginning or an end → mit + Dat.,"le début de, le début avec = der Anfang mit + Datif<br>pour introduire un début ou une fin → mit + Dat.",", Dative",", Datif"
683,21,4,Der Beginn _____ neuen Software verlief reibungslos.,mit der,Der Beginn mit der neuen Software verlief reibungslos.,The start with the new software went smoothly.,Le démarrage avec le nouveau logiciel s'est déroulé sans problème.,der/die/das,mit,der,der Beginn mit,Dative,Datif,Feminine,Féminin,the start with = der Beginn mit + Dative<br>to introduce a beginning or an end → mit + Dat.,le début avec = der Beginn mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
684,21,4,Sein Beginn _____ Training war motivierend.,mit dem,Sein Beginn mit dem Training war motivierend.,His start with the training was motivating.,Son début de formation a été motivant.,der/die/das,mit,dem,der Beginn mit,Dative,Datif,Neuter,Neutre,the start with = der Beginn mit + Dative<br>to introduce a beginning or an end → mit + Dat.,le début avec = der Beginn mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
685,21,4,Ihr Beginn _____ Kurs machte einen guten Eindruck.,mit dem,Ihr Beginn mit dem Kurs machte einen guten Eindruck.,Her start with the course made a good impression.,Ses débuts avec le cours ont fait bonne impression.,der/die/das,mit,dem,der Beginn mit,Dative,Datif,Masculine,Masculin,the start with = der Beginn mit + Dative<br>to introduce a beginning or an end → mit + Dat.,le début avec = der Beginn mit + Datif<br>pour introduire un début ou une fin → mit + Dat.,", Dative",", Datif"
686,21,4,Die Diskussion _____ Reformen war konstruktiv.,über die,Die Diskussion über die Reformen war konstruktiv.,The discussion about the reforms was constructive.,La discussion sur les réformes a été constructive.,der/die/das,über,die,die Diskussion über,Accusative,Accusatif,Plural,Pluriel,the discussion about = die Diskussion über + Accusative<br>to introduce a general subject → über + Acc.,la discussion sur = die Diskussion über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
