Nr,level,question,answer,german,english,case,gender,type
556,103,Er vertraut _____ Million an der Börse.,der,Er vertraut der Million an der Börse.,,dative,feminine,
557,103,Wir helfen _____ Schule mit Spenden.,der,Wir helfen der Schule mit Spenden.,,dative,feminine,
558,103,Ich widme _____ Woche meine Zeit.,der,Ich widme der Woche meine Zeit.,,dative,feminine,
559,103,Sie gibt _____ Vater ein Geschenk.,dem,Sie gibt dem Vater ein Geschenk.,,dative,masculine,
560,103,Ich folge _____ Seite im Buch.,der,Ich folge der Seite im Buch.,,dative,feminine,
561,103,Er dankt _____ Leben für seine Erfahrungen.,dem,Er dankt dem Leben für seine Erfahrungen.,,dative,masculine,
562,103,Wir helfen _____ Mutter im Haushalt.,der,Wir helfen der Mutter im Haushalt.,,dative,feminine,
563,103,Sie schützt _____ Auge mit einer Brille.,dem,Sie schützt dem Auge mit einer Brille.,,dative,masculine,
564,103,Ich glaube _____ Wörtern des Lehrers.,den,Ich glaube den Wörtern des Lehrers.,,dative,plural,
565,103,Er vertraut _____ Geld nicht.,dem,Er vertraut dem Geld nicht.,,dative,masculine,
566,103,Ich folge _____ Weg zum See.,dem,Ich folge dem Weg zum See.,,dative,masculine,
567,103,Ich widme _____ Stunde meine volle Konzentration.,der,Ich widme der Stunde meine volle Konzentration.,,dative,feminine,
568,103,Ich erinnere mich an _____ Namen.,dem,Ich erinnere mich an dem Namen.,,dative,masculine,
569,103,Er nickt _____ Kopf zu.,dem,Er nickt dem Kopf zu.,,dative,masculine,
570,103,Ich gratuliere _____ Paar zur Hochzeit.,dem,Ich gratuliere dem Paar zur Hochzeit.,,dative,masculine,
571,103,Wir helfen _____ Unternehmen zu wachsen.,dem,Wir helfen dem Unternehmen zu wachsen.,,dative,masculine,
572,103,Ich zeige _____ Bild meine Freunde.,dem,Ich zeige dem Bild meine Freunde.,,dative,masculine,
573,103,Sie gibt _____ Buch eine neue Bedeutung.,dem,Sie gibt dem Buch eine neue Bedeutung.,,dative,masculine,
574,103,Ich nähere mich _____ Wassern vorsichtig.,den,Ich nähere mich den Wassern vorsichtig.,,dative,plural,
575,103,Ich helfe _____ Jahr mit einer neuen Planung.,dem,Ich helfe dem Jahr mit einer neuen Planung.,,dative,masculine,
576,103,Er gibt _____ Mal eine neue Bedeutung.,dem,Er gibt dem Mal eine neue Bedeutung.,,dative,masculine,
577,103,Sie folgt _____ Beispiel ihrer Mutter.,dem,Sie folgt dem Beispiel ihrer Mutter.,,dative,masculine,
578,103,Ich widme _____ Zeit meine Aufmerksamkeit.,der,Ich widme der Zeit meine Aufmerksamkeit.,,dative,feminine,
579,103,Er schenkt _____ Frau Blumen.,der,Er schenkt der Frau Blumen.,,dative,feminine,
580,103,Ich vertraue _____ Menschen.,dem,Ich vertraue dem Menschen.,,dative,masculine,
581,103,Sie gibt _____ Kind ein Geschenk.,dem,Sie gibt dem Kind ein Geschenk.,,dative,masculine,
582,103,Wir widmen _____ Tag eine Feier.,dem,Wir widmen dem Tag eine Feier.,,dative,masculine,
583,103,Sie hilft _____ Mann im Garten.,dem,Sie hilft dem Mann im Garten.,,dative,masculine,
584,103,Er dient den Ländern als Soldat.,dem,Er dient den Ländern als Soldat.,,dative,plural,
585,103,Ich widme _____ Frage viel Zeit.,der,Ich widme der Frage viel Zeit.,,dative,feminine,
586,103,Wir nähern uns _____ Haus langsam.,dem,Wir nähern uns dem Haus langsam.,,dative,masculine,
587,103,Ich erzähle _____ Leuten eine Geschichte.,den,Ich erzähle den Leuten eine Geschichte.,,dative,neuter,
588,103,Er widmet _____ Arbeit seine ganze Kraft.,der,Er widmet der Arbeit seine ganze Kraft.,,dative,feminine,
589,103,Wir passen _____ Prozent die Werte an.,dem,Wir passen dem Prozent die Werte an.,,dative,masculine,
590,103,Ich gebe _____ Hand einen festen Druck.,der,Ich gebe der Hand einen festen Druck.,,dative,feminine,
591,103,Er zeigt _____ Stadt seine Kunst.,der,Er zeigt der Stadt seine Kunst.,,dative,feminine,
592,103,Ich danke _____ Herrn für seine Hilfe.,dem,Ich danke dem Herrn für seine Hilfe.,,dative,masculine,
593,103,Sie nähert sich _____ Problem vorsichtig.,dem,Sie nähert sich dem Problem vorsichtig.,,dative,masculine,
594,103,Ich schenke _____ Welten ein Lächeln.,den,Ich schenke den Welten ein Lächeln.,,dative,plural,
595,104,_____ Ende ist nah.,Ein,Ein Ende ist nah.,,nominative,neuter,
596,104,_____ Million ist viel Geld.,Eine,Eine Million ist viel Geld.,,nominative,feminine,
597,104,_____ Schule ist groß.,Eine,Eine Schule ist groß.,,nominative,feminine,
598,104,_____ Woche hat sieben Tage.,Eine,Eine Woche hat sieben Tage.,,nominative,feminine,
599,104,_____ Vater ist müde.,Ein,Ein Vater ist müde.,,nominative,masculine,
600,104,_____ Seite ist weiß.,Eine,Eine Seite ist weiß.,,nominative,feminine,
601,104,_____ Leben ist schön.,Ein,Ein Leben ist schön.,,nominative,neuter,
602,104,_____ Mutter ist nett.,Eine,Eine Mutter ist nett.,,nominative,feminine,
603,104,_____ Auge ist blau.,Ein,Ein Auge ist blau.,,nominative,neuter,
604,104,_____ Geld ist wichtig.,Ein,Ein Geld ist wichtig.,,nominative,neuter,
605,104,_____ Weg ist lang.,Ein,Ein Weg ist lang.,,nominative,masculine,
606,104,_____ Stunde dauert sechzig Minuten.,Eine,Eine Stunde dauert sechzig Minuten.,,nominative,feminine,
607,104,_____ Name ist bekannt.,Ein,Ein Name ist bekannt.,,nominative,masculine,
608,104,_____ Kopf tut weh.,Ein,Ein Kopf tut weh.,,nominative,masculine,
609,104,_____ Paar ist glücklich.,Ein,Ein Paar ist glücklich.,,nominative,neuter,
610,104,_____ Unternehmen ist groß.,Ein,Ein Unternehmen ist groß.,,nominative,neuter,
611,104,_____ Bild ist schön.,Ein,Ein Bild ist schön.,,nominative,neuter,
612,104,_____ Buch ist spannend.,Ein,Ein Buch ist spannend.,,nominative,neuter,
613,104,_____ Straße ist lang.,Eine,Eine Straße ist lang.,,nominative,feminine,
614,104,_____ Minute ist kurz.,Eine,Eine Minute ist kurz.,,nominative,feminine,
615,104,_____ Gruppe ist klein.,Eine,Eine Gruppe ist klein.,,nominative,feminine,
616,104,_____ Wert ist hoch.,Ein,Ein Wert ist hoch.,,nominative,masculine,
617,104,_____ Gesicht ist rund.,Ein,Ein Gesicht ist rund.,,nominative,neuter,
618,104,_____ Sprache ist schwer.,Eine,Eine Sprache ist schwer.,,nominative,feminine,
619,104,_____ Ort ist schön.,Ein,Ein Ort ist schön.,,nominative,masculine,
620,104,_____ Moment ist wichtig.,Ein,Ein Moment ist wichtig.,,nominative,masculine,
621,104,_____ Interesse ist groß.,Ein,Ein Interesse ist groß.,,nominative,neuter,
622,104,_____ Tür ist offen.,Eine,Eine Tür ist offen.,,nominative,feminine,
623,104,_____ Schüler ist fleißig.,Ein,Ein Schüler ist fleißig.,,nominative,masculine,
624,104,_____ Text ist lang.,Ein,Ein Text ist lang.,,nominative,masculine,
625,104,_____ Stück ist klein.,Ein,Ein Stück ist klein.,,nominative,neuter,
626,104,_____ Wohnung ist teuer.,Eine,Eine Wohnung ist teuer.,,nominative,feminine,
627,104,_____ Meter ist kurz.,Ein,Ein Meter ist kurz.,,nominative,masculine,
628,104,_____ Punkt ist klar.,Ein,Ein Punkt ist klar.,,nominative,masculine,
629,104,_____ Situation ist schwierig.,Eine,Eine Situation ist schwierig.,,nominative,feminine,
630,104,_____ Lehrer ist nett.,Ein,Ein Lehrer ist nett.,,nominative,masculine,
631,104,_____ Stelle ist wichtig.,Eine,Eine Stelle ist wichtig.,,nominative,feminine,
632,104,_____ Form ist rund.,Eine,Eine Form ist rund.,,nominative,feminine,
633,104,_____ Monat hat vier Wochen.,Ein,Ein Monat hat vier Wochen.,,nominative,masculine,
634,104,_____ Familie ist groß.,Eine,Eine Familie ist groß.,,nominative,feminine,
635,104,_____ Morgen ist schön.,Ein,Ein Morgen ist schön.,,nominative,masculine,
636,104,_____ Abend ist ruhig.,Ein,Ein Abend ist ruhig.,,nominative,masculine,
637,104,_____ Sinn ist klar.,Ein,Ein Sinn ist klar.,,nominative,masculine,
638,104,_____ Staat ist reich.,Ein,Ein Staat ist reich.,,nominative,masculine,
639,104,_____ Ziel ist weit.,Ein,Ein Ziel ist weit.,,nominative,neuter,
640,104,_____ Thema ist interessant.,Ein,Ein Thema ist interessant.,,nominative,neuter,
641,104,_____ Person ist freundlich.,Eine,Eine Person ist freundlich.,,nominative,feminine,
642,104,_____ Nacht ist dunkel.,Eine,Eine Nacht ist dunkel.,,nominative,feminine,
643,104,_____ Raum ist groß.,Ein,Ein Raum ist groß.,,nominative,masculine,
644,104,_____ Blick ist schön.,Ein,Ein Blick ist schön.,,nominative,masculine,
645,104,_____ Platz ist leer.,Ein,Ein Platz ist leer.,,nominative,masculine,
646,104,_____ Zahl ist hoch.,Eine,Eine Zahl ist hoch.,,nominative,feminine,
647,104,_____ Uhr ist kaputt.,Eine,Eine Uhr ist kaputt.,,nominative,feminine,
648,104,_____ Jahrhundert ist lang.,Ein,Ein Jahrhundert ist lang.,,nominative,neuter,
649,104,_____ Sohn ist klug.,Ein,Ein Sohn ist klug.,,nominative,masculine,
650,104,_____ Werk ist bekannt.,Ein,Ein Werk ist bekannt.,,nominative,neuter,
651,104,_____ Richtung ist richtig.,Eine,Eine Richtung ist richtig.,,nominative,feminine,
652,104,_____ Programm ist neu.,Ein,Ein Programm ist neu.,,nominative,neuter,
653,104,_____ Angst ist groß.,Eine,Eine Angst ist groß.,,nominative,feminine,
654,104,_____ Information ist wichtig.,Eine,Eine Information ist wichtig.,,nominative,feminine,
655,104,_____ Kunst ist schön.,Eine,Eine Kunst ist schön.,,nominative,feminine,
656,104,_____ Musik ist laut.,Eine,Eine Musik ist laut.,,nominative,feminine,
657,104,_____ Beruf ist spannend.,Ein,Ein Beruf ist spannend.,,nominative,masculine,
658,104,_____ Regel ist klar.,Eine,Eine Regel ist klar.,,nominative,feminine,
659,104,_____ Gott ist mächtig.,Ein,Ein Gott ist mächtig.,,nominative,masculine,
660,104,_____ Auto ist schnell.,Ein,Ein Auto ist schnell.,,nominative,neuter,
661,104,_____ Tisch ist aus Holz.,Ein,Ein Tisch ist aus Holz.,,nominative,masculine,
662,104,_____ Spiel ist spannend.,Ein,Ein Spiel ist spannend.,,nominative,neuter,
663,104,_____ Licht ist hell.,Ein,Ein Licht ist hell.,,nominative,neuter,
664,104,_____ Markt ist groß.,Ein,Ein Markt ist groß.,,nominative,masculine,
665,104,_____ Tochter ist freundlich.,Eine,Eine Tochter ist freundlich.,,nominative,feminine,
666,104,_____ Frage ist einfach.,Eine,Eine Frage ist einfach.,,nominative,feminine,
667,104,_____ Haus ist groß.,Ein,Ein Haus ist groß.,,nominative,neuter,
668,104,_____ Leute sind freundlich.,Eine,Eine Leute sind freundlich.,,nominative,feminine,
669,104,_____ Arbeit ist schwer.,Eine,Eine Arbeit ist schwer.,,nominative,feminine,
670,104,_____ Prozent ist hoch.,Ein,Ein Prozent ist hoch.,,nominative,neuter,
671,104,_____ Hand ist klein.,Eine,Eine Hand ist klein.,,nominative,feminine,
672,104,_____ Stadt ist alt.,Eine,Eine Stadt ist alt.,,nominative,feminine,
673,104,_____ Herr ist müde.,Ein,Ein Herr ist müde.,,nominative,masculine,
674,104,_____ Problem ist groß.,Ein,Ein Problem ist groß.,,nominative,neuter,
675,104,_____ Jahr haben zwölf Monate.,Ein,Ein Jahr haben zwölf Monate.,,nominative,neuter,
676,104,_____ Mal ist anders als vorher.,Ein,Ein Mal ist anders als vorher.,,nominative,neuter,
677,104,_____ Beispiel ist sehr einfach.,Ein,Ein Beispiel ist sehr einfach.,,nominative,neuter,
678,104,_____ Zeit ist knapp.,Eine,Eine Zeit ist knapp.,,nominative,feminine,
679,104,_____ Frau sind nett.,Eine,Eine Frau sind nett.,,nominative,feminine,
680,104,_____ Mensch ist intelligent.,Ein,Ein Mensch ist intelligent.,,nominative,masculine,
681,104,_____ Kind ist klein.,Ein,Ein Kind ist klein.,,nominative,neuter,
682,104,_____ Tag ist schön.,Ein,Ein Tag ist schön.,,nominative,masculine,
683,104,_____ Mann sind stark.,Ein,Ein Mann sind stark.,,nominative,masculine,
684,104,_____ Land ist groß.,Ein,Ein Land ist groß.,,nominative,neuter,
685,105,Ich sehe _____ Ende des Films.,ein,Ich sehe ein Ende des Films.,,accusative,neuter,
686,105,Er hat _____ Million gewonnen.,eine,Er hat eine Million gewonnen.,,accusative,feminine,
687,105,Wir besuchen _____ Schule jeden Tag.,eine,Wir besuchen eine Schule jeden Tag.,,accusative,feminine,
688,105,Ich plane _____ Woche im Voraus.,eine,Ich plane eine Woche im Voraus.,,accusative,feminine,
689,105,Sie ruft _____ Vater an.,einen,Sie ruft einen Vater an.,,accusative,masculine,
690,105,Ich lese _____ Seite im Buch.,eine,Ich lese eine Seite im Buch.,,accusative,feminine,
691,105,Er genießt _____ Leben.,ein,Er genießt ein Leben.,,accusative,neuter,
692,105,Wir besuchen _____ Mutter am Wochenende.,eine,Wir besuchen eine Mutter am Wochenende.,,accusative,feminine,
693,105,Sie schützt _____ Auge mit einer Brille.,ein,Sie schützt ein Auge mit einer Brille.,,accusative,neuter,
694,105,Er spart _____ Geld.,ein,Er spart ein Geld.,,accusative,neuter,
695,105,Wir nehmen _____ Weg durch den Park.,einen,Wir nehmen einen Weg durch den Park.,,accusative,masculine,
696,105,Ich lerne _____ Stunde lang.,eine,Ich lerne eine Stunde lang.,,accusative,feminine,
697,105,Ich kenne _____ Namen nicht.,einen,Ich kenne einen Namen nicht.,,accusative,masculine,
698,105,Er hält _____ Kopf hoch.,einen,Er hält einen Kopf hoch.,,accusative,masculine,
699,105,Ich sehe _____ Paar auf der Straße.,ein,Ich sehe ein Paar auf der Straße.,,accusative,neuter,
700,105,Wir unterstützen _____ Unternehmen.,ein,Wir unterstützen ein Unternehmen.,,accusative,neuter,
701,105,Sie malt _____ Bild.,ein,Sie malt ein Bild.,,accusative,neuter,
702,105,Er liest _____ Buch.,ein,Er liest ein Buch.,,accusative,neuter,
703,105,Er findet _____ Stelle interessant.,eine,Er findet eine Stelle interessant.,,accusative,feminine,
704,105,Ich ändere _____ Form des Designs.,eine,Ich ändere eine Form des Designs.,,accusative,feminine,
705,105,Wir feiern _____ Monat des Herbstes.,einen,Wir feiern einen Monat des Herbstes.,,accusative,masculine,
706,105,Sie liebt _____ Familie sehr.,eine,Sie liebt eine Familie sehr.,,accusative,feminine,
707,105,Ich genieße _____ Morgen mit Kaffee.,einen,Ich genieße einen Morgen mit Kaffee.,,accusative,masculine,
708,105,Wir verbringen _____ Abend zusammen.,einen,Wir verbringen einen Abend zusammen.,,accusative,masculine,
709,105,Ich verstehe _____ Sinn des Wortes.,einen,Ich verstehe einen Sinn des Wortes.,,accusative,masculine,
710,105,Er kennt _____ Staat gut.,einen,Er kennt einen Staat gut.,,accusative,masculine,
711,105,Wir erreichen _____ Ziel bald.,ein,Wir erreichen ein Ziel bald.,,accusative,neuter,
712,105,Er diskutiert _____ Thema im Kurs.,ein,Er diskutiert ein Thema im Kurs.,,accusative,neuter,
713,105,Ich kenne _____ Person nicht.,eine,Ich kenne eine Person nicht.,,accusative,feminine,
714,105,Sie verbringt _____ Nacht im Hotel.,eine,Sie verbringt eine Nacht im Hotel.,,accusative,feminine,
715,105,Wir betreten _____ Raum leise.,einen,Wir betreten einen Raum leise.,,accusative,masculine,
716,105,Ich genieße _____ Blick auf das Meer.,einen,Ich genieße einen Blick auf das Meer.,,accusative,masculine,
717,105,Er reserviert _____ Platz für uns.,einen,Er reserviert einen Platz für uns.,,accusative,masculine,
718,105,Ich schreibe _____ Zahl auf.,eine,Ich schreibe eine Zahl auf.,,accusative,feminine,
719,105,Ich kaufe _____ Uhr im Geschäft.,eine,Ich kaufe eine Uhr im Geschäft.,,accusative,feminine,
720,105,Ich überquere _____ Straße.,eine,Ich überquere eine Straße.,,accusative,feminine,
721,105,Ich warte _____ Minute.,eine,Ich warte eine Minute.,,accusative,feminine,
722,105,Er sieht _____ Gruppe im Park.,eine,Er sieht eine Gruppe im Park.,,accusative,feminine,
723,105,Ich verstehe _____ Wert dieser Idee.,einen,Ich verstehe einen Wert dieser Idee.,,accusative,masculine,
724,105,Sie wäscht _____ Gesicht mit Wasser.,ein,Sie wäscht ein Gesicht mit Wasser.,,accusative,neuter,
725,105,Wir lernen _____ Sprache in der Schule.,eine,Wir lernen eine Sprache in der Schule.,,accusative,feminine,
726,105,Ich besuche _____ Ort jedes Jahr.,einen,Ich besuche einen Ort jedes Jahr.,,accusative,masculine,
727,105,Er genießt _____ Moment.,einen,Er genießt einen Moment.,,accusative,masculine,
728,105,Ich habe _____ Interesse an diesem Thema.,ein,Ich habe ein Interesse an diesem Thema.,,accusative,neuter,
729,105,Sie öffnet _____ Tür.,eine,Sie öffnet eine Tür.,,accusative,feminine,
730,105,Der Lehrer hilft _____ Schüler.,einen,Der Lehrer hilft einen Schüler.,,accusative,masculine,
731,105,Ich lese _____ Text im Buch.,einen,Ich lese einen Text im Buch.,,accusative,masculine,
732,105,Er isst _____ Stück Kuchen.,ein,Er isst ein Stück Kuchen.,,accusative,neuter,
733,105,Wir mieten _____ Wohnung.,eine,Wir mieten eine Wohnung.,,accusative,feminine,
734,105,Er misst _____ Meter mit dem Lineal.,einen,Er misst einen Meter mit dem Lineal.,,accusative,masculine,
735,105,Ich setze _____ Punkt am Ende des Satzes.,einen,Ich setze einen Punkt am Ende des Satzes.,,accusative,masculine,
736,105,Sie erklärt _____ Situation.,eine,Sie erklärt eine Situation.,,accusative,feminine,
737,105,Ich sehe _____ Lehrer in der Schule.,einen,Ich sehe einen Lehrer in der Schule.,,accusative,masculine,
738,105,Ich studiere _____ Jahrhundert der Geschichte.,ein,Ich studiere ein Jahrhundert der Geschichte.,,accusative,neuter,
739,105,Sie sieht _____ Sohn im Garten.,einen,Sie sieht einen Sohn im Garten.,,accusative,masculine,
740,105,Er kennt _____ Werk des Künstlers.,ein,Er kennt ein Werk des Künstlers.,,accusative,neuter,
741,105,Wir nehmen _____ Richtung nach Süden.,eine,Wir nehmen eine Richtung nach Süden.,,accusative,feminine,
742,105,Ich installiere _____ Programm auf dem Computer.,ein,Ich installiere ein Programm auf dem Computer.,,accusative,neuter,
743,105,Er fühlt _____ Angst in seinem Herzen.,eine,Er fühlt eine Angst in seinem Herzen.,,accusative,feminine,
744,105,Sie sucht _____ Information online.,eine,Sie sucht eine Information online.,,accusative,feminine,
745,105,Wir bewundern _____ Kunst im Museum.,eine,Wir bewundern eine Kunst im Museum.,,accusative,feminine,
746,105,Er hört _____ Musik im Radio.,eine,Er hört eine Musik im Radio.,,accusative,feminine,
747,105,Ich lerne _____ Beruf in der Ausbildung.,einen,Ich lerne einen Beruf in der Ausbildung.,,accusative,masculine,
748,105,Wir befolgen _____ Regel in der Schule.,eine,Wir befolgen eine Regel in der Schule.,,accusative,feminine,
749,105,Er verehrt _____ Gott seiner Religion.,einen,Er verehrt einen Gott seiner Religion.,,accusative,masculine,
750,105,Er fährt _____ Auto zur Arbeit.,ein,Er fährt ein Auto zur Arbeit.,,accusative,neuter,
751,105,Sie deckt _____ Tisch für das Abendessen.,einen,Sie deckt einen Tisch für das Abendessen.,,accusative,masculine,
752,105,Ich spiele _____ Spiel mit meinen Freunden.,ein,Ich spiele ein Spiel mit meinen Freunden.,,accusative,neuter,
753,105,Er schaltet _____ Licht aus.,ein,Er schaltet ein Licht aus.,,accusative,neuter,
754,105,Sie besucht _____ Markt jeden Samstag.,einen,Sie besucht einen Markt jeden Samstag.,,accusative,masculine,
755,105,Er liebt _____ Tochter sehr.,eine,Er liebt eine Tochter sehr.,,accusative,feminine,
756,105,Ich sehe _____ Jahr auf dem Kalender.,ein,Ich sehe ein Jahr auf dem Kalender.,,accusative,neuter,
757,105,Ich erinnere mich an _____ Mal.,ein,Ich erinnere mich an ein Mal.,,accusative,neuter,
758,105,Er gibt _____ Beispiel im Unterricht.,ein,Er gibt ein Beispiel im Unterricht.,,accusative,neuter,
759,105,Wir brauchen _____ Zeit für das Projekt.,eine,Wir brauchen eine Zeit für das Projekt.,,accusative,feminine,
760,105,Er kennt _____ Frau gut.,eine,Er kennt eine Frau gut.,,accusative,feminine,
761,105,Ich treffe _____ Menschen im Park.,einen,Ich treffe einen Menschen im Park.,,accusative,masculine,
762,105,Sie liebt _____ Kind sehr.,ein,Sie liebt ein Kind sehr.,,accusative,neuter,
763,105,Wir genießen _____ Tag am Strand.,einen,Wir genießen einen Tag am Strand.,,accusative,masculine,
764,105,Sie sieht _____ Mann im Restaurant.,einen,Sie sieht einen Mann im Restaurant.,,accusative,masculine,
765,105,Er beantwortet _____ Frage richtig.,eine,Er beantwortet eine Frage richtig.,,accusative,feminine,
766,105,Sie kauft _____ Haus in der Stadt.,ein,Sie kauft ein Haus in der Stadt.,,accusative,neuter,
767,105,Ich treffe _____ Leute am Bahnhof.,eine,Ich treffe eine Leute am Bahnhof.,,accusative,feminine,
768,105,Sie erledigt _____ Arbeit schnell.,eine,Sie erledigt eine Arbeit schnell.,,accusative,feminine,
769,105,Ich berechne _____ Prozent.,ein,Ich berechne ein Prozent.,,accusative,neuter,
770,105,Er hält _____ Hand seines Freundes.,eine,Er hält eine Hand seines Freundes.,,accusative,feminine,
771,105,Wir besuchen _____ Stadt am Wochenende.,eine,Wir besuchen eine Stadt am Wochenende.,,accusative,feminine,
772,105,Ich rufe _____ Herrn am Telefon an.,einen,Ich rufe einen Herrn am Telefon an.,,accusative,masculine,
773,105,Sie löst _____ Problem leicht.,ein,Sie löst ein Problem leicht.,,accusative,neuter,
774,106,Er widmet sich _____ Jahrhundert der Geschichte.,einem,Er widmet sich einem Jahrhundert der Geschichte.,,dative,masculine,
775,106,Sie gibt _____ Sohn ein Geschenk.,einem,Sie gibt einem Sohn ein Geschenk.,,dative,masculine,
776,106,Er vertraut _____ Werk des Künstlers.,einem,Er vertraut einem Werk des Künstlers.,,dative,masculine,
777,106,Ich folge _____ Richtung des Weges.,einer,Ich folge einer Richtung des Weges.,,dative,feminine,
778,106,Ich helfe _____ Programm bei der Installation.,einem,Ich helfe einem Programm bei der Installation.,,dative,masculine,
779,106,Er stellt sich _____ Angst.,einer,Er stellt sich einer Angst.,,dative,feminine,
780,106,Sie folgt _____ Information auf der Website.,einer,Sie folgt einer Information auf der Website.,,dative,feminine,
781,106,Wir danken _____ Kunst für ihre Schönheit.,einer,Wir danken einer Kunst für ihre Schönheit.,,dative,feminine,
782,106,Er lauscht _____ Musik.,einer,Er lauscht einer Musik.,,dative,feminine,
783,106,Ich widme mich _____ Beruf.,einem,Ich widme mich einem Beruf.,,dative,masculine,
784,106,Wir folgen _____ Regel in der Schule.,einer,Wir folgen einer Regel in der Schule.,,dative,feminine,
785,106,Er glaubt _____ Gott seiner Religion.,einem,Er glaubt einem Gott seiner Religion.,,dative,masculine,
786,106,Ich nähere mich _____ Auto.,einem,Ich nähere mich einem Auto.,,dative,masculine,
787,106,Er gibt _____ Tisch eine neue Farbe.,einem,Er gibt einem Tisch eine neue Farbe.,,dative,masculine,
788,106,Ich folge _____ Spiel mit Spannung.,einem,Ich folge einem Spiel mit Spannung.,,dative,masculine,
789,106,Er nähert sich _____ Licht am Ende des Tunnels.,einem,Er nähert sich einem Licht am Ende des Tunnels.,,dative,masculine,
790,106,Sie hilft _____ Markt mit Werbung.,einem,Sie hilft einem Markt mit Werbung.,,dative,masculine,
791,106,Er schenkt _____ Tochter eine Puppe.,einer,Er schenkt einer Tochter eine Puppe.,,dative,feminine,
792,106,Ich folge _____ Straße bis zum Park.,einer,Ich folge einer Straße bis zum Park.,,dative,feminine,
793,106,Ich widme _____ Minute meine volle Aufmerksamkeit.,einer,Ich widme einer Minute meine volle Aufmerksamkeit.,,dative,feminine,
794,106,Er hilft _____ Gruppe mit den Aufgaben.,einer,Er hilft einer Gruppe mit den Aufgaben.,,dative,feminine,
795,106,Ich vertraue _____ Wert dieser Information.,einem,Ich vertraue einem Wert dieser Information.,,dative,masculine,
796,106,Sie wendet sich _____ Gesicht zu.,einem,Sie wendet sich einem Gesicht zu.,,dative,masculine,
797,106,Wir danken _____ Sprache für ihre Schönheit.,einer,Wir danken einer Sprache für ihre Schönheit.,,dative,feminine,
798,106,Ich nähere mich _____ Ort langsam.,einem,Ich nähere mich einem Ort langsam.,,dative,masculine,
799,106,Er erinnert sich an _____ Moment.,einem,Er erinnert sich an einem Moment.,,dative,masculine,
800,106,Sie folgt _____ Interesse des Publikums.,einem,Sie folgt einem Interesse des Publikums.,,dative,masculine,
801,106,Ich stehe _____ Tür gegenüber.,einer,Ich stehe einer Tür gegenüber.,,dative,feminine,
802,106,Der Lehrer hilft _____ Schüler.,einem,Der Lehrer hilft einem Schüler.,,dative,masculine,
803,106,Ich folge _____ Text im Buch.,einem,Ich folge einem Text im Buch.,,dative,masculine,
804,106,Er gibt _____ Stück eine neue Interpretation.,einem,Er gibt einem Stück eine neue Interpretation.,,dative,masculine,
805,106,Wir helfen _____ Wohnungssuche.,einer,Wir helfen einer Wohnungssuche.,,dative,feminine,
806,106,Er misst _____ Meter mit dem Lineal.,einem,Er misst einem Meter mit dem Lineal.,,dative,masculine,
807,106,Ich nähere mich _____ Punkt im Text.,einem,Ich nähere mich einem Punkt im Text.,,dative,masculine,
808,106,Ich passe mich _____ Situation an.,einer,Ich passe mich einer Situation an.,,dative,feminine,
809,106,Ich danke _____ Lehrer für die Hilfe.,einem,Ich danke einem Lehrer für die Hilfe.,,dative,masculine,
810,106,Er hilft _____ Stelle mit neuen Ideen.,einer,Er hilft einer Stelle mit neuen Ideen.,,dative,feminine,
811,106,Ich passe _____ Form an.,einer,Ich passe einer Form an.,,dative,feminine,
812,106,Wir widmen _____ Monat besondere Bedeutung.,einem,Wir widmen einem Monat besondere Bedeutung.,,dative,masculine,
813,106,Sie hilft _____ Familie oft.,einer,Sie hilft einer Familie oft.,,dative,feminine,
814,106,Ich genieße _____ Morgen mit einem Kaffee.,einem,Ich genieße einem Morgen mit einem Kaffee.,,dative,masculine,
815,106,Wir danken _____ Abend für die Ruhe.,einem,Wir danken einem Abend für die Ruhe.,,dative,masculine,
816,106,Ich vertraue _____ Sinn seiner Worte.,einem,Ich vertraue einem Sinn seiner Worte.,,dative,masculine,
817,106,Er dient _____ Staat als Beamter.,einem,Er dient einem Staat als Beamter.,,dative,masculine,
818,106,Sie nähert sich _____ Ziel langsam.,einem,Sie nähert sich einem Ziel langsam.,,dative,masculine,
819,106,Wir bleiben _____ Thema treu.,einem,Wir bleiben einem Thema treu.,,dative,masculine,
820,106,Ich danke _____ Person für ihre Hilfe.,einer,Ich danke einer Person für ihre Hilfe.,,dative,feminine,
821,106,Er widmet sich _____ Nacht und den Sternen.,einer,Er widmet sich einer Nacht und den Sternen.,,dative,feminine,
822,106,Ich gebe _____ Raum eine neue Farbe.,einem,Ich gebe einem Raum eine neue Farbe.,,dative,masculine,
823,106,Sie folgt _____ Blick des Fotografen.,einem,Sie folgt einem Blick des Fotografen.,,dative,masculine,
824,106,Er nähert sich _____ Platz vorsichtig.,einem,Er nähert sich einem Platz vorsichtig.,,dative,masculine,
825,106,Ich vertraue _____ Zahl auf dem Formular.,einer,Ich vertraue einer Zahl auf dem Formular.,,dative,feminine,
826,106,Ich glaube _____ Uhr nicht.,einer,Ich glaube einer Uhr nicht.,,dative,feminine,
827,106,Ich sehe _____ Ende des Films entgegen.,einem,Ich sehe einem Ende des Films entgegen.,,dative,masculine,
828,106,Er vertraut _____ Million an der Börse.,einer,Er vertraut einer Million an der Börse.,,dative,feminine,
829,106,Wir helfen _____ Schule mit Spenden.,einer,Wir helfen einer Schule mit Spenden.,,dative,feminine,
