Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
1480,78,C1,873,C1,,,ehren,der Ehrgeiz,,"to honor, to respect, to esteem",the ambition,honorer,Loading...,ehren,"to honor, to respect, to esteem",honorer,der Ehrgeiz,the ambition,Loading...,Masculine,Masculin
1481,78,C1,874,C1,,,erwägen,die Erwägung,,"to consider, to contemplate, to ponder",the consideration,"envisager, considérer",Loading...,erwägen,"to consider, to contemplate, to ponder","envisager, considérer",die Erwägung,the consideration,Loading...,Feminine,Féminin
1482,78,C1,875,C1,,,räumen,die Räumung,,"to clear, to remove, to vacate","the clearance, the eviction","déblayer, débrancher, dégager","l'évacuation, l'expulsion",räumen,"to clear, to remove, to vacate","déblayer, débrancher, dégager",die Räumung,"the clearance, the eviction","l'évacuation, l'expulsion",Feminine,Féminin
1483,78,C1,877,C2+,,,stopfen,der Stopfen,,"to stuff, to darn, to jam",the plug,"bourrer, combler",Loading...,stopfen,"to stuff, to darn, to jam","bourrer, combler",der Stopfen,the plug,Loading...,Masculine,Masculin
1484,78,C1,881,B2,,,schwellen,die Schwellung,,"to swell, to expand, to rise",the swelling,"gonfler, enfler",Loading...,schwellen,"to swell, to expand, to rise","gonfler, enfler",die Schwellung,the swelling,Loading...,Feminine,Féminin
1485,78,C1,885,B2,,B1,vorgeben,die Vorgabe,,"to claim, to pretend, to set (a pace)","the specification, the guideline","revendiquer, prétendre, donner (un rythme)","la spécification, la ligne directrice",vorgeben,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",die Vorgabe,"the specification, the guideline","la spécification, la ligne directrice",Feminine,Féminin
1486,78,C1,886,C2+,,,erkunden,die Erkundung,,"to explore, to investigate",the exploration,"explorer, enquêter",Loading...,erkunden,"to explore, to investigate","explorer, enquêter",die Erkundung,the exploration,Loading...,Feminine,Féminin
1487,78,C1,887,C2+,,,beauftragen,die Beauftragung,,"to assign, to commission, to instruct","the commission, the assignment","assigner, commissionner, instruire",Loading...,beauftragen,"to assign, to commission, to instruct","assigner, commissionner, instruire",die Beauftragung,"the commission, the assignment",Loading...,Feminine,Féminin
1488,78,C1,889,A2,,,wundern,das Wunder,,"to surprise, to amaze","the miracle, the wonder","surprendre, étonner",Loading...,wundern,"to surprise, to amaze","surprendre, étonner",das Wunder,"the miracle, the wonder",Loading...,Neuter,Neutre
1489,78,C1,891,B1,,B1,verfassen,die Verfassung,,"to write, to compose, to draft","the constitution, the composition","écrire, composer, rédiger",Loading...,verfassen,"to write, to compose, to draft","écrire, composer, rédiger",die Verfassung,"the constitution, the composition",Loading...,Feminine,Féminin
1490,78,C1,894,A1,A2,A2,veranstalten,die Veranstaltung,,"to organize, to arrange, to host",the event,"organiser, arranger, héberger",Loading...,veranstalten,"to organize, to arrange, to host","organiser, arranger, héberger",die Veranstaltung,the event,Loading...,Feminine,Féminin
1491,79,C1,895,C1,,,der Abzug,abziehen,,"the trigger, the drawback, the deduction","to remove, to deduct, to withdraw",Loading...,"supprimer, déduire, retirer",abziehen,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",der Abzug,"the trigger, the drawback, the deduction",Loading...,,
1492,79,C1,896,B2,,,der Lenker,lenken,,"the handlebar, the rod, the control lever","to steer, to direct, to guide","le guidon, la tige, le levier de commande","diriger, orienter, guider",lenken,"to steer, to direct, to guide","diriger, orienter, guider",der Lenker,"the handlebar, the rod, the control lever","le guidon, la tige, le levier de commande",,
1493,79,C1,896,B2,,,die Lenkung,lenken,,the streering,"to steer, to direct, to guide",Loading...,"diriger, orienter, guider",lenken,"to steer, to direct, to guide","diriger, orienter, guider",die Lenkung,the streering,Loading...,,
1494,79,C1,896,C1,,,das Lenkrad,lenken,,the steering wheel,"to steer, to direct, to guide",Loading...,"diriger, orienter, guider",lenken,"to steer, to direct, to guide","diriger, orienter, guider",das Lenkrad,the steering wheel,Loading...,,
1495,79,C1,897,C1,,,der Taucher,tauchen,,the diver,"to dive, to dip",Loading...,"plonger, tremper",tauchen,"to dive, to dip","plonger, tremper",der Taucher,the diver,Loading...,,
1496,79,C1,898,C1,,,die Ablenkung,ablenken,,"the diversion, the distraction","to distract, to divert, to steer away","la diversion, la distraction","distraire, détourner, éloigner",ablenken,"to distract, to divert, to steer away","distraire, détourner, éloigner",die Ablenkung,"the diversion, the distraction","la diversion, la distraction",,
1497,79,C1,899,C2+,,,die Anschauung,anschauen,,"the opinion, the outlook, the intuition","to look at, to behold, to take a look at, to watch (Bayern and Austria)",Loading...,"regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",anschauen,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",die Anschauung,"the opinion, the outlook, the intuition",Loading...,,
1498,79,C1,900,C2+,,,die Begehung,begehen,,the commission,"to commit, perpetrate (a crime, an offence)",la commission,"commettre, perpétrer (un crime, un délit)",begehen,"to commit, perpetrate (a crime, an offence)","commettre, perpétrer (un crime, un délit)",die Begehung,the commission,la commission,,
1499,79,C1,902,C1,,,die Verhaftung,verhaften,,the arrest,"to detain, to take into custody",Loading...,"détenir, mettre en détention",verhaften,"to detain, to take into custody","détenir, mettre en détention",die Verhaftung,the arrest,Loading...,,
1500,79,C1,904,C2+,,,die Umdrehung,umdrehen,,the rotation,to turn around,la rotation,faire demi-tour,umdrehen,to turn around,faire demi-tour,die Umdrehung,the rotation,la rotation,,
1501,79,C1,905,B1,,B1,die Begeisterung,begeistern,,the enthusiasm,"to enthuse, to be enthusiastic (refl.)",l'enthousiasme,"enthousiasmer, être enthousiaste (réfl.)",begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)",die Begeisterung,the enthusiasm,l'enthousiasme,,
1502,79,C1,908,B2,B1,,der Einfall,einfallen,,"the invasion, the idea","to collapse, to come to mind",Loading...,"s'effondrer, venir à l'esprit",einfallen,"to collapse, to come to mind","s'effondrer, venir à l'esprit",der Einfall,"the invasion, the idea",Loading...,,
1503,79,C1,909,C1,,,die Abweichung,abweichen,,"the aberration, the deviation","to depart (from), to soak off",Loading...,"partir (de), s'imprégner",abweichen,"to depart (from), to soak off","partir (de), s'imprégner",die Abweichung,"the aberration, the deviation",Loading...,,
1504,79,C1,910,B1,,,die Abbildung,abbilden,,"the depiction, the image, the mapping","to depict, to map, to illustrate",Loading...,"représenter, cartographier, illustrer",abbilden,"to depict, to map, to illustrate","représenter, cartographier, illustrer",die Abbildung,"the depiction, the image, the mapping",Loading...,,
1505,79,C1,911,C2+,,,die Aufladung,aufladen,,the charge,"to charge, to load, to burden, to impose",Loading...,"charger, accabler, imposer",aufladen,"to charge, to load, to burden, to impose","charger, accabler, imposer",die Aufladung,the charge,Loading...,,
1506,79,C1,913,C2+,,,die Erregung,erregen,,"the excitation, the arousal","to arouse, to stimulate, to agitate","l'excitation, l'éveil","éveiller, stimuler, agiter",erregen,"to arouse, to stimulate, to agitate","éveiller, stimuler, agiter",die Erregung,"the excitation, the arousal","l'excitation, l'éveil",,
1507,79,C1,913,B2,,,der Erreger,erregen,,"the pathogen, the agent, the germ","to arouse, to stimulate, to agitate",Loading...,"éveiller, stimuler, agiter",erregen,"to arouse, to stimulate, to agitate","éveiller, stimuler, agiter",der Erreger,"the pathogen, the agent, the germ",Loading...,,
1508,79,C1,915,C1,,,die Verkündung,verkünden,,"the rendition, the proclamation","to announce, to proclaim, to declare",Loading...,"annoncer, proclamer, déclarer",verkünden,"to announce, to proclaim, to declare","annoncer, proclamer, déclarer",die Verkündung,"the rendition, the proclamation",Loading...,,
1509,79,C1,917,C1,,,die Zurückhaltung,zurückhalten,,"the restraint, the reservation, the retention","to restrain, to hold back, to withhold",Loading...,"restreindre, retenir",zurückhalten,"to restrain, to hold back, to withhold","restreindre, retenir",die Zurückhaltung,"the restraint, the reservation, the retention",Loading...,,
1510,79,C1,918,C2+,,,die Verdoppelung,verdoppeln,,the duplication,"to double, to duplicate, to reduplicate, to geminate",la duplication,"doubler, dupliquer, redoubler, géminer",verdoppeln,"to double, to duplicate, to reduplicate, to geminate","doubler, dupliquer, redoubler, géminer",die Verdoppelung,the duplication,la duplication,,
1511,80,C1,895,C1,,,abziehen,der Abzug,,"to remove, to deduct, to withdraw","the trigger, the drawback, the deduction","supprimer, déduire, retirer",Loading...,abziehen,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",der Abzug,"the trigger, the drawback, the deduction",Loading...,Masculine,Masculin
1512,80,C1,896,B2,,,lenken,der Lenker,,"to steer, to direct, to guide","the handlebar, the rod, the control lever","diriger, orienter, guider","le guidon, la tige, le levier de commande",lenken,"to steer, to direct, to guide","diriger, orienter, guider",der Lenker,"the handlebar, the rod, the control lever","le guidon, la tige, le levier de commande",Masculine,Masculin
1513,80,C1,896,B2,,,lenken,die Lenkung,,"to steer, to direct, to guide",the streering,"diriger, orienter, guider",Loading...,lenken,"to steer, to direct, to guide","diriger, orienter, guider",die Lenkung,the streering,Loading...,Feminine,Féminin
1514,80,C1,896,C1,,,lenken,das Lenkrad,,"to steer, to direct, to guide",the steering wheel,"diriger, orienter, guider",Loading...,lenken,"to steer, to direct, to guide","diriger, orienter, guider",das Lenkrad,the steering wheel,Loading...,Neuter,Neutre
1515,80,C1,897,C1,,,tauchen,der Taucher,,"to dive, to dip",the diver,"plonger, tremper",Loading...,tauchen,"to dive, to dip","plonger, tremper",der Taucher,the diver,Loading...,Masculine,Masculin
1516,80,C1,898,C1,,,ablenken,die Ablenkung,,"to distract, to divert, to steer away","the diversion, the distraction","distraire, détourner, éloigner","la diversion, la distraction",ablenken,"to distract, to divert, to steer away","distraire, détourner, éloigner",die Ablenkung,"the diversion, the distraction","la diversion, la distraction",Feminine,Féminin
1517,80,C1,899,C2+,,,anschauen,die Anschauung,,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","the opinion, the outlook, the intuition","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",Loading...,anschauen,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",die Anschauung,"the opinion, the outlook, the intuition",Loading...,Feminine,Féminin
1518,80,C1,900,C2+,,,begehen,die Begehung,,"to commit, perpetrate (a crime, an offence)",the commission,"commettre, perpétrer (un crime, un délit)",la commission,begehen,"to commit, perpetrate (a crime, an offence)","commettre, perpétrer (un crime, un délit)",die Begehung,the commission,la commission,Feminine,Féminin
1519,80,C1,902,C1,,,verhaften,die Verhaftung,,"to detain, to take into custody",the arrest,"détenir, mettre en détention",Loading...,verhaften,"to detain, to take into custody","détenir, mettre en détention",die Verhaftung,the arrest,Loading...,Feminine,Féminin
1520,80,C1,904,C2+,,,umdrehen,die Umdrehung,,to turn around,the rotation,faire demi-tour,la rotation,umdrehen,to turn around,faire demi-tour,die Umdrehung,the rotation,la rotation,Feminine,Féminin
1521,80,C1,905,B1,,B1,begeistern,die Begeisterung,,"to enthuse, to be enthusiastic (refl.)",the enthusiasm,"enthousiasmer, être enthousiaste (réfl.)",l'enthousiasme,begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)",die Begeisterung,the enthusiasm,l'enthousiasme,Feminine,Féminin
1522,80,C1,908,B2,B1,,einfallen,der Einfall,,"to collapse, to come to mind","the invasion, the idea","s'effondrer, venir à l'esprit",Loading...,einfallen,"to collapse, to come to mind","s'effondrer, venir à l'esprit",der Einfall,"the invasion, the idea",Loading...,Masculine,Masculin
1523,80,C1,909,C1,,,abweichen,die Abweichung,,"to depart (from), to soak off","the aberration, the deviation","partir (de), s'imprégner",Loading...,abweichen,"to depart (from), to soak off","partir (de), s'imprégner",die Abweichung,"the aberration, the deviation",Loading...,Feminine,Féminin
1524,80,C1,910,B1,,,abbilden,die Abbildung,,"to depict, to map, to illustrate","the depiction, the image, the mapping","représenter, cartographier, illustrer",Loading...,abbilden,"to depict, to map, to illustrate","représenter, cartographier, illustrer",die Abbildung,"the depiction, the image, the mapping",Loading...,Feminine,Féminin
1525,80,C1,911,C2+,,,aufladen,die Aufladung,,"to charge, to load, to burden, to impose",the charge,"charger, accabler, imposer",Loading...,aufladen,"to charge, to load, to burden, to impose","charger, accabler, imposer",die Aufladung,the charge,Loading...,Feminine,Féminin
1526,80,C1,913,C2+,,,erregen,die Erregung,,"to arouse, to stimulate, to agitate","the excitation, the arousal","éveiller, stimuler, agiter","l'excitation, l'éveil",erregen,"to arouse, to stimulate, to agitate","éveiller, stimuler, agiter",die Erregung,"the excitation, the arousal","l'excitation, l'éveil",Feminine,Féminin
1527,80,C1,913,B2,,,erregen,der Erreger,,"to arouse, to stimulate, to agitate","the pathogen, the agent, the germ","éveiller, stimuler, agiter",Loading...,erregen,"to arouse, to stimulate, to agitate","éveiller, stimuler, agiter",der Erreger,"the pathogen, the agent, the germ",Loading...,Masculine,Masculin
1528,80,C1,915,C1,,,verkünden,die Verkündung,,"to announce, to proclaim, to declare","the rendition, the proclamation","annoncer, proclamer, déclarer",Loading...,verkünden,"to announce, to proclaim, to declare","annoncer, proclamer, déclarer",die Verkündung,"the rendition, the proclamation",Loading...,Feminine,Féminin
1529,80,C1,917,C1,,,zurückhalten,die Zurückhaltung,,"to restrain, to hold back, to withhold","the restraint, the reservation, the retention","restreindre, retenir",Loading...,zurückhalten,"to restrain, to hold back, to withhold","restreindre, retenir",die Zurückhaltung,"the restraint, the reservation, the retention",Loading...,Feminine,Féminin
1530,80,C1,918,C2+,,,verdoppeln,die Verdoppelung,,"to double, to duplicate, to reduplicate, to geminate",the duplication,"doubler, dupliquer, redoubler, géminer",la duplication,verdoppeln,"to double, to duplicate, to reduplicate, to geminate","doubler, dupliquer, redoubler, géminer",die Verdoppelung,the duplication,la duplication,Feminine,Féminin
1531,81,C1,919,C2+,,,der Besetzer,besetzen,,"the occupant, the occupier, the squatter","to occupy, to border, to cast","l'occupant, le squatteur","occuper, border, jeter",besetzen,"to occupy, to border, to cast","occuper, border, jeter",der Besetzer,"the occupant, the occupier, the squatter","l'occupant, le squatteur",,
1532,81,C1,919,B2,,,die Besetzung,besetzen,,the occupation,"to occupy, to border, to cast",Loading...,"occuper, border, jeter",besetzen,"to occupy, to border, to cast","occuper, border, jeter",die Besetzung,the occupation,Loading...,,
1533,81,C1,919,B1,,,die Besatzung,besetzen,,"the crew, the occupation","to occupy, to border, to cast","l'équipage, l'occupation","occuper, border, jeter",besetzen,"to occupy, to border, to cast","occuper, border, jeter",die Besatzung,"the crew, the occupation","l'équipage, l'occupation",,
1534,81,C1,920,B2,,B1,die Herrschaft,herrschen,,the rule,"to rule, to prevail, to control",Loading...,"gouverner, prévaloir, contrôler",herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",die Herrschaft,the rule,Loading...,,
1535,81,C1,920,A1,A1,A1,der Herr,herrschen,,"the man, the gentleman","to rule, to prevail, to control",Loading...,"gouverner, prévaloir, contrôler",herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",der Herr,"the man, the gentleman",Loading...,,
1536,81,C1,922,C1,,,der Tausch,tauschen,,the exchange,"to swap, to trade, to exchange",Loading...,"échanger, troquer, échanger",tauschen,"to swap, to trade, to exchange","échanger, troquer, échanger",der Tausch,the exchange,Loading...,,
1537,81,C1,923,D1+,,,die Übertreibung,übertreiben,,the exaggeration,"to exaggerate, to overdo",l'exagération,"exagérer, exagérer",übertreiben,"to exaggerate, to overdo","exagérer, exagérer",die Übertreibung,the exaggeration,l'exagération,,
1538,81,C1,927,B1,,,die Dokumentation,dokumentieren,,the documentation,"to record, to document, to demonstrate, to evidence",la documentation,"enregistrer, documenter, démontrer, prouver",dokumentieren,"to record, to document, to demonstrate, to evidence","enregistrer, documenter, démontrer, prouver",die Dokumentation,the documentation,la documentation,,
1539,81,C1,929,C1,,,die Erforschung,erforschen,,the exploration,"to research, to investigate, to explore, to ascertain",Loading...,"faire des recherches, enquêter, explorer, vérifier",erforschen,"to research, to investigate, to explore, to ascertain","faire des recherches, enquêter, explorer, vérifier",die Erforschung,the exploration,Loading...,,
1540,81,C1,931,B1,,B1,der Ausbau,ausbauen,,the expansion,"to expand, to develop",l'expansion,"étendre, développer",ausbauen,"to expand, to develop","étendre, développer",der Ausbau,the expansion,l'expansion,,
1541,81,C1,932,C1,,,die Registrierung,registrieren,,the registration,"to register, to enroll",Loading...,"s'inscrire, s'inscrire",registrieren,"to register, to enroll","s'inscrire, s'inscrire",die Registrierung,the registration,Loading...,,
1542,81,C1,935,A1,,,die Kommunikation,kommunizieren,,the communication,"to communicate, to commune, to connect",Loading...,"communiquer, se connecter",kommunizieren,"to communicate, to commune, to connect","communiquer, se connecter",die Kommunikation,the communication,Loading...,,
1543,81,C1,936,C2+,,,der Scanner,scannen,,the scanner,"to scan, to court, to digitize",Loading...,"scanner, porter devant les tribunaux, numériser",scannen,"to scan, to court, to digitize","scanner, porter devant les tribunaux, numériser",der Scanner,the scanner,Loading...,,
1544,81,C1,937,C1,,,das Vergehen,vergehen,,the misdemeanor,"to die, to pass, to elapse, to perish",le délit,"mourir, passer, s'écouler, périr",vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",das Vergehen,the misdemeanor,le délit,,
1545,81,C1,938,B2,,,die Verabredung,verabreden,,the appointment,"to arrange, to make an appointment",Loading...,"prendre rendez-vous, convenir d'un rendez-vous",verabreden,"to arrange, to make an appointment","prendre rendez-vous, convenir d'un rendez-vous",die Verabredung,the appointment,Loading...,,
1546,81,C1,939,A2,,B1,der Kommentar,kommentieren,,"the comment, the commentary",to comment,le commentaire,commenter,kommentieren,to comment,commenter,der Kommentar,"the comment, the commentary",le commentaire,,
1547,81,C1,942,B1,,,die Auseinandersetzung,auseinandersetzen,,"the dealing, the examination, the conflict, the clash","to discuss, to engage, to altercate, to argue with","la transaction, l'examen, le conflit, l'affrontement","discuter, s'engager, se disputer, argumenter avec",auseinandersetzen,"to discuss, to engage, to altercate, to argue with","discuter, s'engager, se disputer, argumenter avec",die Auseinandersetzung,"the dealing, the examination, the conflict, the clash","la transaction, l'examen, le conflit, l'affrontement",,
1548,81,C1,947,C1,,,der Staubsauger,staubsaugen,,the vacuum cleaner,"to vacuum, to hoover",Loading...,"passer l'aspirateur, aspirer",staubsaugen,"to vacuum, to hoover","passer l'aspirateur, aspirer",der Staubsauger,the vacuum cleaner,Loading...,,
1549,81,C1,948,C2+,,,der Beschützer,beschützen,,the protector,"to protect, to defend (security)",Loading...,"protéger, défendre (sécurité)",beschützen,"to protect, to defend (security)","protéger, défendre (sécurité)",der Beschützer,the protector,Loading...,,
1550,81,C1,949,A2,B1,A2,die Schuld,schulden,,the debt,"to owe, to be due to",Loading...,"devoir, être dû à",schulden,"to owe, to be due to","devoir, être dû à",die Schuld,the debt,Loading...,,
1551,82,C1,919,C2+,,,besetzen,der Besetzer,,"to occupy, to border, to cast","the occupant, the occupier, the squatter","occuper, border, jeter","l'occupant, le squatteur",besetzen,"to occupy, to border, to cast","occuper, border, jeter",der Besetzer,"the occupant, the occupier, the squatter","l'occupant, le squatteur",Masculine,Masculin
1552,82,C1,919,B2,,,besetzen,die Besetzung,,"to occupy, to border, to cast",the occupation,"occuper, border, jeter",Loading...,besetzen,"to occupy, to border, to cast","occuper, border, jeter",die Besetzung,the occupation,Loading...,Feminine,Féminin
1553,82,C1,919,B1,,,besetzen,die Besatzung,,"to occupy, to border, to cast","the crew, the occupation","occuper, border, jeter","l'équipage, l'occupation",besetzen,"to occupy, to border, to cast","occuper, border, jeter",die Besatzung,"the crew, the occupation","l'équipage, l'occupation",Feminine,Féminin
1554,82,C1,920,B2,,B1,herrschen,die Herrschaft,,"to rule, to prevail, to control",the rule,"gouverner, prévaloir, contrôler",Loading...,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",die Herrschaft,the rule,Loading...,Feminine,Féminin
1555,82,C1,920,A1,A1,A1,herrschen,der Herr,,"to rule, to prevail, to control","the man, the gentleman","gouverner, prévaloir, contrôler",Loading...,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",der Herr,"the man, the gentleman",Loading...,Masculine,Masculin
1556,82,C1,922,C1,,,tauschen,der Tausch,,"to swap, to trade, to exchange",the exchange,"échanger, troquer, échanger",Loading...,tauschen,"to swap, to trade, to exchange","échanger, troquer, échanger",der Tausch,the exchange,Loading...,Masculine,Masculin
1557,82,C1,923,D1+,,,übertreiben,die Übertreibung,,"to exaggerate, to overdo",the exaggeration,"exagérer, exagérer",l'exagération,übertreiben,"to exaggerate, to overdo","exagérer, exagérer",die Übertreibung,the exaggeration,l'exagération,Feminine,Féminin
1558,82,C1,927,B1,,,dokumentieren,die Dokumentation,,"to record, to document, to demonstrate, to evidence",the documentation,"enregistrer, documenter, démontrer, prouver",la documentation,dokumentieren,"to record, to document, to demonstrate, to evidence","enregistrer, documenter, démontrer, prouver",die Dokumentation,the documentation,la documentation,Feminine,Féminin
1559,82,C1,929,C1,,,erforschen,die Erforschung,,"to research, to investigate, to explore, to ascertain",the exploration,"faire des recherches, enquêter, explorer, vérifier",Loading...,erforschen,"to research, to investigate, to explore, to ascertain","faire des recherches, enquêter, explorer, vérifier",die Erforschung,the exploration,Loading...,Feminine,Féminin
1560,82,C1,931,B1,,B1,ausbauen,der Ausbau,,"to expand, to develop",the expansion,"étendre, développer",l'expansion,ausbauen,"to expand, to develop","étendre, développer",der Ausbau,the expansion,l'expansion,Masculine,Masculin
1561,82,C1,932,C1,,,registrieren,die Registrierung,,"to register, to enroll",the registration,"s'inscrire, s'inscrire",Loading...,registrieren,"to register, to enroll","s'inscrire, s'inscrire",die Registrierung,the registration,Loading...,Feminine,Féminin
1562,82,C1,935,A1,,,kommunizieren,die Kommunikation,,"to communicate, to commune, to connect",the communication,"communiquer, se connecter",Loading...,kommunizieren,"to communicate, to commune, to connect","communiquer, se connecter",die Kommunikation,the communication,Loading...,Feminine,Féminin
1563,82,C1,936,C2+,,,scannen,der Scanner,,"to scan, to court, to digitize",the scanner,"scanner, porter devant les tribunaux, numériser",Loading...,scannen,"to scan, to court, to digitize","scanner, porter devant les tribunaux, numériser",der Scanner,the scanner,Loading...,Masculine,Masculin
1564,82,C1,937,C1,,,vergehen,das Vergehen,,"to die, to pass, to elapse, to perish",the misdemeanor,"mourir, passer, s'écouler, périr",le délit,vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",das Vergehen,the misdemeanor,le délit,Neuter,Neutre
1565,82,C1,938,B2,,,verabreden,die Verabredung,,"to arrange, to make an appointment",the appointment,"prendre rendez-vous, convenir d'un rendez-vous",Loading...,verabreden,"to arrange, to make an appointment","prendre rendez-vous, convenir d'un rendez-vous",die Verabredung,the appointment,Loading...,Feminine,Féminin
1566,82,C1,939,A2,,B1,kommentieren,der Kommentar,,to comment,"the comment, the commentary",commenter,le commentaire,kommentieren,to comment,commenter,der Kommentar,"the comment, the commentary",le commentaire,Masculine,Masculin
1567,82,C1,942,B1,,,auseinandersetzen,die Auseinandersetzung,,"to discuss, to engage, to altercate, to argue with","the dealing, the examination, the conflict, the clash","discuter, s'engager, se disputer, argumenter avec","la transaction, l'examen, le conflit, l'affrontement",auseinandersetzen,"to discuss, to engage, to altercate, to argue with","discuter, s'engager, se disputer, argumenter avec",die Auseinandersetzung,"the dealing, the examination, the conflict, the clash","la transaction, l'examen, le conflit, l'affrontement",Feminine,Féminin
1568,82,C1,947,C1,,,staubsaugen,der Staubsauger,,"to vacuum, to hoover",the vacuum cleaner,"passer l'aspirateur, aspirer",Loading...,staubsaugen,"to vacuum, to hoover","passer l'aspirateur, aspirer",der Staubsauger,the vacuum cleaner,Loading...,Masculine,Masculin
1569,82,C1,948,C2+,,,beschützen,der Beschützer,,"to protect, to defend (security)",the protector,"protéger, défendre (sécurité)",Loading...,beschützen,"to protect, to defend (security)","protéger, défendre (sécurité)",der Beschützer,the protector,Loading...,Masculine,Masculin
1570,82,C1,949,A2,B1,A2,schulden,die Schuld,,"to owe, to be due to",the debt,"devoir, être dû à",Loading...,schulden,"to owe, to be due to","devoir, être dû à",die Schuld,the debt,Loading...,Feminine,Féminin
1571,83,C1,950,A1,A1,A1,die Aussage,aussagen,,the statement,"to testify, to state",Loading...,"témoigner, déclarer",aussagen,"to testify, to state","témoigner, déclarer",die Aussage,the statement,Loading...,,
1572,83,C1,953,C1,,,die Befestigung,befestigen,,"the attachment, the fastening","to attach, to fasten, to secure",la fixation,fixer,befestigen,"to attach, to fasten, to secure",fixer,die Befestigung,"the attachment, the fastening",la fixation,,
1573,83,C1,954,C1,,,die Begrenzung,begrenzen,,"the margin, the boundary, the demarcation","to limit, to restrict, to bound",Loading...,"limiter, resteindre, confiner",begrenzen,"to limit, to restrict, to bound","limiter, resteindre, confiner",die Begrenzung,"the margin, the boundary, the demarcation",Loading...,,
1574,83,C1,955,C2+,,,die Entnahme,entnehmen,,"the removal, the withdrawal","to extract, to gather from, to remove",le retrait,"retirer, tirer, déduire",entnehmen,"to extract, to gather from, to remove","retirer, tirer, déduire",die Entnahme,"the removal, the withdrawal",le retrait,,
1575,83,C1,956,C2+,,,das Optimum,optimieren,,the optimum,"to optimize, to improve, to steamline",Loading...,optimiser,optimieren,"to optimize, to improve, to steamline",optimiser,das Optimum,the optimum,Loading...,,
1576,83,C1,956,C1,,,die Optimierung,optimieren,,the optimization,"to optimize, to improve, to steamline",Loading...,optimiser,optimieren,"to optimize, to improve, to steamline",optimiser,die Optimierung,the optimization,Loading...,,
1577,83,C1,958,C2+,,,der Schwund,schwinden,,the atrophy,"to diminish, to fade, to shrink",Loading...,"disparaître, diminuer, s'évanouir",schwinden,"to diminish, to fade, to shrink","disparaître, diminuer, s'évanouir",der Schwund,the atrophy,Loading...,,
1578,83,C1,959,C1,,,die Übereinstimmung,übereinstimmen,,the agreement,"to agree, to concur, to correspond",Loading...,"concorder, correspondre, coïncider",übereinstimmen,"to agree, to concur, to correspond","concorder, correspondre, coïncider",die Übereinstimmung,the agreement,Loading...,,
1579,83,C1,960,A2,,B1,die Anfrage,anfragen,,the inquiry,"to ask, to inquire, to enquire, to request",l'enquête,demander,anfragen,"to ask, to inquire, to enquire, to request",demander,die Anfrage,the inquiry,l'enquête,,
1580,83,C1,963,B2,,,der Export,exportieren,,the export,to export,l'exportation,exporter,exportieren,to export,exporter,der Export,the export,l'exportation,,
1581,83,C1,964,B2,,,das Gebot,gebieten,,"the command, the bid","to command, to demand, to bid, to dominate",Loading...,"dominer, ordonner",gebieten,"to command, to demand, to bid, to dominate","dominer, ordonner",das Gebot,"the command, the bid",Loading...,,
1582,83,C1,965,C2+,,,das Geleit,geleiten,,the escort,"to accompany, to escort, to conduct",Loading...,accompagner,geleiten,"to accompany, to escort, to conduct",accompagner,das Geleit,the escort,Loading...,,
1583,83,C1,966,A1,,,die Liste,listen,,the list,"to list, to allow in, to lead as a series",la liste,"énumérer, citer",listen,"to list, to allow in, to lead as a series","énumérer, citer",die Liste,the list,la liste,,
1584,83,C1,971,A1,,,der Wert,werten,,"the value, the worth","to assess, to consider, to value",la valeur,évaluer,werten,"to assess, to consider, to value",évaluer,der Wert,"the value, the worth",la valeur,,
1585,84,C1,950,A1,A1,A1,aussagen,die Aussage,,"to testify, to state",the statement,"témoigner, déclarer",Loading...,aussagen,"to testify, to state","témoigner, déclarer",die Aussage,the statement,Loading...,Feminine,Féminin
1586,84,C1,953,C1,,,befestigen,die Befestigung,,"to attach, to fasten, to secure","the attachment, the fastening",fixer,la fixation,befestigen,"to attach, to fasten, to secure",fixer,die Befestigung,"the attachment, the fastening",la fixation,Feminine,Féminin
