Nr,level,question,answer,german,adjective,gender,case,article
572,9,dieser _____ Vater,nette,dieser nette Vater,nett,Maskulin,Nominativ,Demonstrative artikel
573,9,diese _____ Mutter,nette,diese nette Mutter,nett,Feminin,Nominativ,Demonstrative artikel
574,9,dieses _____ Kind,nette,dieses nette Kind,nett,Neutral,Nominativ,Demonstrative artikel
575,9,diese _____ Eltern,netten,diese netten Eltern,nett,Plural,Nominativ,Demonstrative artikel
576,9,diesen _____ Vater,netten,diesen netten Vater,nett,Maskulin,Akkusativ,Demonstrative artikel
577,9,diese _____ Mutter,nette,diese nette Mutter,nett,Feminin,Akkusativ,Demonstrative artikel
578,9,dieses _____ Kind,nette,dieses nette Kind,nett,Neutral,Akkusativ,Demonstrative artikel
579,9,diese _____ Eltern,netten,diese netten Eltern,nett,Plural,Akkusativ,Demonstrative artikel
580,9,diesem _____ Vater,netten,diesem netten Vater,nett,Maskulin,Dativ,Demonstrative artikel
581,9,dieser _____ Mutter,netten,dieser netten Mutter,nett,Feminin,Dativ,Demonstrative artikel
582,9,diesem _____ Kind,netten,diesem netten Kind,nett,Neutral,Dativ,Demonstrative artikel
583,9,diesen _____ Eltern,netten,diesen netten Eltern,nett,Plural,Dativ,Demonstrative artikel
584,9,dieses _____ Vaters,netten,dieses netten Vaters,nett,Maskulin,Genitiv,Demonstrative artikel
585,9,dieser _____ Mutter,netten,dieser netten Mutter,nett,Feminin,Genitiv,Demonstrative artikel
586,9,dieses _____ Kindes,netten,dieses netten Kindes,nett,Neutral,Genitiv,Demonstrative artikel
587,9,dieser _____ Eltern,netten,dieser netten Eltern,nett,Plural,Genitiv,Demonstrative artikel
588,10,Das ist das Buch der _____ Lehrerin.,klugen,Das ist das Buch der klugen Lehrerin.,klug,Feminin,Genitiv,Bestimmt
589,10,Das ist das Spielzeug der _____ Katze.,alten,Das ist das Spielzeug der alten Katze.,alt,Feminin,Genitiv,Bestimmt
590,10,Das ist das Gemälde der _____ Künstlerin.,schönen,Das ist das Gemälde der schönen Künstlerin.,schön,Feminin,Genitiv,Bestimmt
591,10,Der Erfolg der _____ Schülerin ist beeindruckend.,fleißigen,Der Erfolg der fleißigen Schülerin ist beeindruckend.,fleißig,Feminin,Genitiv,Bestimmt
592,10,Das Lob der _____ Nachbarin war herzlich.,freundlichen,Das Lob der freundlichen Nachbarin war herzlich.,freundlich,Feminin,Genitiv,Bestimmt
593,10,Das ist das Buch eines _____ Lehrers.,klugen,Das ist das Buch eines klugen Lehrers.,klug,Maskulin,Genitiv,Unbestimmt
594,10,Das ist das Spielzeug eines _____ Hundes.,alten,Das ist das Spielzeug eines alten Hundes.,alt,Maskulin,Genitiv,Unbestimmt
595,10,Das ist das Gemälde eines _____ Künstlers.,schönen,Das ist das Gemälde eines schönen Künstlers.,schön,Maskulin,Genitiv,Unbestimmt
596,10,Der Erfolg eines _____ Studenten ist bemerkenswert.,fleißigen,Der Erfolg eines fleißigen Studenten ist bemerkenswert.,fleißig,Maskulin,Genitiv,Unbestimmt
597,10,Das Lob eines _____ Kellners war herzlich.,freundlichen,Das Lob eines freundlichen Kellners war herzlich.,freundlich,Maskulin,Genitiv,Unbestimmt
598,10,Das sind die Bücher der _____ Kinder.,klugen,Das sind die Bücher der klugen Kinder.,klug,Plural,Genitiv,Bestimmt
599,10,Das sind die Spielsachen der _____ Katzen.,alten,Das sind die Spielsachen der alten Katzen.,alt,Plural,Genitiv,Bestimmt
600,10,Das sind die Gemälde der _____ Künstler.,schönen,Das sind die Gemälde der schönen Künstler.,schön,Plural,Genitiv,Bestimmt
601,10,Der Erfolg der _____ Schüler ist beeindruckend.,fleißigen,Der Erfolg der fleißigen Schüler ist beeindruckend.,fleißig,Plural,Genitiv,Bestimmt
602,10,Das Lob der _____ Nachbarn war herzlich.,freundlichen,Das Lob der freundlichen Nachbarn war herzlich.,freundlich,Plural,Genitiv,Bestimmt
603,10,Das ist das Buch des _____ Lehrers.,klugen,Das ist das Buch des klugen Lehrers.,klug,Maskulin,Genitiv,Bestimmt
604,10,Das ist das Haus des _____ Hundes.,alten,Das ist das Haus des alten Hundes.,alt,Maskulin,Genitiv,Bestimmt
605,10,Das ist das Bild des _____ Künstlers.,schönen,Das ist das Bild des schönen Künstlers.,schön,Maskulin,Genitiv,Bestimmt
606,10,Der Erfolg des _____ Studenten ist bewundernswert.,fleißigen,Der Erfolg des fleißigen Studenten ist bewundernswert.,fleißig,Maskulin,Genitiv,Bestimmt
607,10,Das Lob des _____ Kellners war wohlverdient.,freundlichen,Das Lob des freundlichen Kellners war wohlverdient.,freundlich,Maskulin,Genitiv,Bestimmt
608,10,Das ist das Buch einer _____ Lehrerin.,klugen,Das ist das Buch einer klugen Lehrerin.,klug,Feminin,Genitiv,Unbestimmt
609,10,Das ist das Spielzeug einer _____ Katze.,alten,Das ist das Spielzeug einer alten Katze.,alt,Feminin,Genitiv,Unbestimmt
610,10,Das ist das Gemälde einer _____ Künstlerin.,schönen,Das ist das Gemälde einer schönen Künstlerin.,schön,Feminin,Genitiv,Unbestimmt
611,10,Der Erfolg einer _____ Schülerin ist bewundernswert.,fleißigen,Der Erfolg einer fleißigen Schülerin ist bewundernswert.,fleißig,Feminin,Genitiv,Unbestimmt
612,10,Das Lob einer _____ Nachbarin war herzlich.,freundlichen,Das Lob einer freundlichen Nachbarin war herzlich.,freundlich,Feminin,Genitiv,Unbestimmt
613,10,Das sind die Bücher _____ Kinder.,kluger,Das sind die Bücher kluger Kinder.,klug,Plural,Genitiv,Ohne Artikel
614,10,Das sind die Spielsachen _____ Katzen.,alter,Das sind die Spielsachen alter Katzen.,alt,Plural,Genitiv,Ohne Artikel
615,10,Das sind die Gemälde _____ Künstler.,schöner,Das sind die Gemälde schöner Künstler.,schön,Plural,Genitiv,Ohne Artikel
616,10,Der Erfolg _____ Schüler ist bewundernswert.,fleißiger,Der Erfolg fleißiger Schüler ist bewundernswert.,fleißig,Plural,Genitiv,Ohne Artikel
617,10,Das Lob _____ Nachbarn war herzlich.,freundlicher,Das Lob freundlicher Nachbarn war herzlich.,freundlich,Plural,Genitiv,Ohne Artikel
618,10,Das ist das Buch _____ Kindes.,klugen,Das ist das Buch klugen Kindes.,klug,Neutral,Genitiv,Ohne Artikel
619,10,Das ist das Spielzeug _____ Buches.,alten,Das ist das Spielzeug alten Buches.,alt,Neutral,Genitiv,Ohne Artikel
620,10,Das ist das Gemälde _____ Bildes.,schönen,Das ist das Gemälde schönen Bildes.,schön,Neutral,Genitiv,Ohne Artikel
621,10,Der Erfolg _____ Mädchens ist bewundernswert.,fleißigen,Der Erfolg fleißigen Mädchens ist bewundernswert.,fleißig,Neutral,Genitiv,Ohne Artikel
622,10,Das Lob _____ Lächelns war herzlich.,freundlichen,Das Lob freundlichen Lächelns war herzlich.,freundlich,Neutral,Genitiv,Ohne Artikel
623,10,Das ist das Buch eines _____ Kindes.,klugen,Das ist das Buch eines klugen Kindes.,klug,Neutral,Genitiv,Unbestimmt
624,10,Das ist das Spielzeug eines _____ Buches.,alten,Das ist das Spielzeug eines alten Buches.,alt,Neutral,Genitiv,Unbestimmt
625,10,Das ist das Gemälde eines _____ Bildes.,schönen,Das ist das Gemälde eines schönen Bildes.,schön,Neutral,Genitiv,Unbestimmt
626,10,Der Erfolg eines _____ Mädchens ist bemerkenswert.,fleißigen,Der Erfolg eines fleißigen Mädchens ist bemerkenswert.,fleißig,Neutral,Genitiv,Unbestimmt
627,10,Das Lob eines _____ Lächelns war herzlich.,freundlichen,Das Lob eines freundlichen Lächelns war herzlich.,freundlich,Neutral,Genitiv,Unbestimmt
628,10,Das ist das Buch des _____ Kindes.,klugen,Das ist das Buch des klugen Kindes.,klug,Neutral,Genitiv,Bestimmt
629,10,Das ist das Spielzeug des _____ Buches.,alten,Das ist das Spielzeug des alten Buches.,alt,Neutral,Genitiv,Bestimmt
630,10,Das ist das Gemälde des _____ Bildes.,schönen,Das ist das Gemälde des schönen Bildes.,schön,Neutral,Genitiv,Bestimmt
631,10,Der Erfolg des _____ Mädchens ist bewundernswert.,fleißigen,Der Erfolg des fleißigen Mädchens ist bewundernswert.,fleißig,Neutral,Genitiv,Bestimmt
632,10,Das Lob des _____ Lächelns war herzlich.,freundlichen,Das Lob des freundlichen Lächelns war herzlich.,freundlich,Neutral,Genitiv,Bestimmt
633,10,Das ist das Buch _____ Lehrers.,klugen,Das ist das Buch klugen Lehrers.,klug,Maskulin,Genitiv,Ohne Artikel
634,10,Das ist das Spielzeug _____ Hundes.,alten,Das ist das Spielzeug alten Hundes.,alt,Maskulin,Genitiv,Ohne Artikel
635,10,Das ist das Gemälde _____ Künstlers.,schönen,Das ist das Gemälde schönen Künstlers.,schön,Maskulin,Genitiv,Ohne Artikel
636,10,Der Erfolg _____ Studenten ist bemerkenswert.,fleißigen,Der Erfolg fleißigen Studenten ist bemerkenswert.,fleißig,Maskulin,Genitiv,Ohne Artikel
637,10,Das Lob _____ Kellners war herzlich.,freundlichen,Das Lob freundlichen Kellners war herzlich.,freundlich,Maskulin,Genitiv,Ohne Artikel
638,10,Das ist das Buch _____ Lehrerin.,kluger,Das ist das Buch kluger Lehrerin.,klug,Feminin,Genitiv,Ohne Artikel
639,10,Das ist das Spielzeug _____ Katze.,alter,Das ist das Spielzeug alter Katze.,alt,Feminin,Genitiv,Ohne Artikel
640,10,Das ist das Gemälde _____ Künstlerin.,schöner,Das ist das Gemälde schöner Künstlerin.,schön,Feminin,Genitiv,Ohne Artikel
641,10,Der Erfolg _____ Schülerin ist bewundernswert.,fleißiger,Der Erfolg fleißiger Schülerin ist bewundernswert.,fleißig,Feminin,Genitiv,Ohne Artikel
642,10,Das Lob _____ Nachbarin war herzlich.,freundlicher,Das Lob freundlicher Nachbarin war herzlich.,freundlich,Feminin,Genitiv,Ohne Artikel
643,11,Mein _____ Hund spielt gerne im Garten.,neuer,Mein neuer Hund spielt gerne im Garten.,neu,Maskulin,Nominativ,Possessivartikel
644,11,Sein _____ Vater arbeitet noch jeden Tag im Büro.,alter,Sein alter Vater arbeitet noch jeden Tag im Büro.,alt,Maskulin,Nominativ,Possessivartikel
645,11,Dein _____ Bruder ist wirklich freundlich.,großer,Dein großer Bruder ist wirklich freundlich.,groß,Maskulin,Nominativ,Possessivartikel
646,11,Unser _____ Lehrer erklärt die Themen immer geduldig.,kluger,Unser kluger Lehrer erklärt die Themen immer geduldig.,klug,Maskulin,Nominativ,Possessivartikel
647,11,Ihr _____ Sohn hat den Wettbewerb gewonnen.,stolzer,Ihr stolzer Sohn hat den Wettbewerb gewonnen.,stolz,Maskulin,Nominativ,Possessivartikel
648,11,Die Qualität meiner _____ Bücher ist hervorragend.,neuen,Die Qualität meiner neuen Bücher ist hervorragend.,neu,Plural,Genitiv,Possessivartikel
649,11,Die Geschichten seiner _____ Freunde sind spannend.,alten,Die Geschichten seiner alten Freunde sind spannend.,alt,Plural,Genitiv,Possessivartikel
650,11,Die Größe deiner _____ Taschen ist beeindruckend.,großen,Die Größe deiner großen Taschen ist beeindruckend.,groß,Plural,Genitiv,Possessivartikel
651,11,Die Erfolge unserer _____ Kinder werden gefeiert.,klugen,Die Erfolge unserer klugen Kinder werden gefeiert.,klug,Plural,Genitiv,Possessivartikel
652,11,Die Unterstützung ihrer _____ Eltern war entscheidend.,stolzen,Die Unterstützung ihrer stolzen Eltern war entscheidend.,stolz,Plural,Genitiv,Possessivartikel
653,11,Ich gebe meinem _____ Auto einen Ölwechsel.,neuen,Ich gebe meinem neuen Auto einen Ölwechsel.,neu,Neutral,Dativ,Possessivartikel
654,11,Er vertraut seinem _____ Haus bei jedem Sturm.,alten,Er vertraut seinem alten Haus bei jedem Sturm.,alt,Neutral,Dativ,Possessivartikel
655,11,"Wir helfen deinem _____ Zimmer, sauber zu bleiben.",großen,"Wir helfen deinem großen Zimmer, sauber zu bleiben.",groß,Neutral,Dativ,Possessivartikel
656,11,Sie widmet unserem _____ Kind ihre ganze Zeit.,klugen,Sie widmet unserem klugen Kind ihre ganze Zeit.,klug,Neutral,Dativ,Possessivartikel
657,11,Sie zeigt ihrem _____ Pferd den Weg zum Stall.,stolzen,Sie zeigt ihrem stolzen Pferd den Weg zum Stall.,stolz,Neutral,Dativ,Possessivartikel
658,11,Ich sehe meine _____ Bücher auf dem Tisch.,neuen,Ich sehe meine neuen Bücher auf dem Tisch.,neu,Plural,Akkusativ,Possessivartikel
659,11,Er besucht seine _____ Freunde in der Stadt.,alten,Er besucht seine alten Freunde in der Stadt.,alt,Plural,Akkusativ,Possessivartikel
660,11,Wir räumen deine _____ Taschen in den Schrank.,großen,Wir räumen deine großen Taschen in den Schrank.,groß,Plural,Akkusativ,Possessivartikel
661,11,Sie loben unsere _____ Kinder für ihre Arbeit.,klugen,Sie loben unsere klugen Kinder für ihre Arbeit.,klug,Plural,Akkusativ,Possessivartikel
662,11,Sie bewundern ihre _____ Eltern für ihre Geduld.,stolzen,Sie bewundern ihre stolzen Eltern für ihre Geduld.,stolz,Plural,Akkusativ,Possessivartikel
663,11,Ich sehe meine _____ Wohnung zum ersten Mal.,neue,Ich sehe meine neue Wohnung zum ersten Mal.,neu,Feminin,Akkusativ,Possessivartikel
664,11,Er trifft seine _____ Freundin im Café.,alte,Er trifft seine alte Freundin im Café.,alt,Feminin,Akkusativ,Possessivartikel
665,11,Du legst deine _____ Tasche auf den Boden.,große,Du legst deine große Tasche auf den Boden.,groß,Feminin,Akkusativ,Possessivartikel
666,11,Wir bewundern unsere _____ Tochter bei der Aufführung.,kluge,Wir bewundern unsere kluge Tochter bei der Aufführung.,klug,Feminin,Akkusativ,Possessivartikel
667,11,"Sie streichelt ihre _____ Katze, die schnurrt.",stolze,"Sie streichelt ihre stolze Katze, die schnurrt.",stolz,Feminin,Akkusativ,Possessivartikel
668,11,Die Farbe meiner _____ Tasche passt zu meinen Schuhen.,neuen,Die Farbe meiner neuen Tasche passt zu meinen Schuhen.,neu,Feminin,Genitiv,Possessivartikel
669,11,Die Erinnerungen seiner _____ Freundin bleiben unvergessen.,alten,Die Erinnerungen seiner alten Freundin bleiben unvergessen.,alt,Feminin,Genitiv,Possessivartikel
670,11,Die Stimme deiner _____ Schwester klingt sehr schön.,großen,Die Stimme deiner großen Schwester klingt sehr schön.,groß,Feminin,Genitiv,Possessivartikel
671,11,Die Meinung unserer _____ Lehrerin wird oft geschätzt.,klugen,Die Meinung unserer klugen Lehrerin wird oft geschätzt.,klug,Feminin,Genitiv,Possessivartikel
672,11,Die Geschichte ihrer _____ Tante ist faszinierend.,stolzen,Die Geschichte ihrer stolzen Tante ist faszinierend.,stolz,Feminin,Genitiv,Possessivartikel
673,11,Das ist die Idee meines _____ Freundes.,neuen,Das ist die Idee meines neuen Freundes.,neu,Maskulin,Genitiv,Possessivartikel
674,11,Wir gedenken seines _____ Vaters in der Zeremonie.,alten,Wir gedenken seines alten Vaters in der Zeremonie.,alt,Maskulin,Genitiv,Possessivartikel
675,11,Die Meinung deines _____ Bruders ist wichtig.,großen,Die Meinung deines großen Bruders ist wichtig.,groß,Maskulin,Genitiv,Possessivartikel
676,11,Die Unterstützung unseres _____ Lehrers war entscheidend.,klugen,Die Unterstützung unseres klugen Lehrers war entscheidend.,klug,Maskulin,Genitiv,Possessivartikel
677,11,Der Erfolg ihres _____ Sohnes wurde gefeiert.,stolzen,Der Erfolg ihres stolzen Sohnes wurde gefeiert.,stolz,Maskulin,Genitiv,Possessivartikel
678,11,Die Farbe meines _____ Autos ist beeindruckend.,neuen,Die Farbe meines neuen Autos ist beeindruckend.,neu,Neutral,Genitiv,Possessivartikel
679,11,Der Zustand seines _____ Hauses verschlechtert sich.,alten,Der Zustand seines alten Hauses verschlechtert sich.,alt,Neutral,Genitiv,Possessivartikel
680,11,Die Größe deines _____ Zimmers ist beeindruckend.,großen,Die Größe deines großen Zimmers ist beeindruckend.,groß,Neutral,Genitiv,Possessivartikel
681,11,Die Kreativität unseres _____ Kindes ist erstaunlich.,klugen,Die Kreativität unseres klugen Kindes ist erstaunlich.,klug,Neutral,Genitiv,Possessivartikel
682,11,Die Stärke ihres _____ Pferdes ist außergewöhnlich.,stolzen,Die Stärke ihres stolzen Pferdes ist außergewöhnlich.,stolz,Neutral,Genitiv,Possessivartikel
683,11,Mein _____ Auto ist sehr schnell.,neues,Mein neues Auto ist sehr schnell.,neu,Neutral,Nominativ,Possessivartikel
684,11,Sein _____ Haus steht in einem kleinen Dorf.,altes,Sein altes Haus steht in einem kleinen Dorf.,alt,Neutral,Nominativ,Possessivartikel
685,11,Dein _____ Zimmer hat einen schönen Ausblick.,großes,Dein großes Zimmer hat einen schönen Ausblick.,groß,Neutral,Nominativ,Possessivartikel
686,11,Unser _____ Kind löst gerne schwierige Rätsel.,kluges,Unser kluges Kind löst gerne schwierige Rätsel.,klug,Neutral,Nominativ,Possessivartikel
687,11,Ihr _____ Pferd gewann den ersten Preis.,stolzes,Ihr stolzes Pferd gewann den ersten Preis.,stolz,Neutral,Nominativ,Possessivartikel
688,11,Ich helfe meiner _____ Freundin beim Umzug.,neuen,Ich helfe meiner neuen Freundin beim Umzug.,neu,Feminin,Dativ,Possessivartikel
689,11,Er gibt seiner _____ Mutter ein Geschenk.,alten,Er gibt seiner alten Mutter ein Geschenk.,alt,Feminin,Dativ,Possessivartikel
690,11,Du vertraust deiner _____ Schwester mit deinem Geheimnis.,großen,Du vertraust deiner großen Schwester mit deinem Geheimnis.,groß,Feminin,Dativ,Possessivartikel
691,11,Wir danken unserer _____ Lehrerin für ihre Unterstützung.,klugen,Wir danken unserer klugen Lehrerin für ihre Unterstützung.,klug,Feminin,Dativ,Possessivartikel
692,11,Sie erzählt ihrer _____ Tante von ihrem Erfolg.,stolzen,Sie erzählt ihrer stolzen Tante von ihrem Erfolg.,stolz,Feminin,Dativ,Possessivartikel
693,11,Meine _____ Bücher sind sehr interessant.,neuen,Meine neuen Bücher sind sehr interessant.,neu,Plural,Nominativ,Possessivartikel
694,11,Seine _____ Freunde treffen sich jeden Freitag.,alten,Seine alten Freunde treffen sich jeden Freitag.,alt,Plural,Nominativ,Possessivartikel
695,11,Deine _____ Taschen stehen im Flur.,großen,Deine großen Taschen stehen im Flur.,groß,Plural,Nominativ,Possessivartikel
696,11,Unsere _____ Kinder lernen immer etwas Neues.,klugen,Unsere klugen Kinder lernen immer etwas Neues.,klug,Plural,Nominativ,Possessivartikel
697,11,Ihre _____ Eltern sind sehr glücklich.,stolzen,Ihre stolzen Eltern sind sehr glücklich.,stolz,Plural,Nominativ,Possessivartikel
698,11,Ich gebe meinen _____ Büchern einen besonderen Platz.,neuen,Ich gebe meinen neuen Büchern einen besonderen Platz.,neu,Plural,Dativ,Possessivartikel
699,11,Er hilft seinen _____ Freunden bei den Hausaufgaben.,alten,Er hilft seinen alten Freunden bei den Hausaufgaben.,alt,Plural,Dativ,Possessivartikel
700,11,Wir danken deinen _____ Taschen für die zusätzliche Hilfe.,großen,Wir danken deinen großen Taschen für die zusätzliche Hilfe.,groß,Plural,Dativ,Possessivartikel
701,11,Sie schenken unseren _____ Kindern viele Geschenke.,klugen,Sie schenken unseren klugen Kindern viele Geschenke.,klug,Plural,Dativ,Possessivartikel
702,11,Sie erzählen ihren _____ Eltern von ihrem Erfolg.,stolzen,Sie erzählen ihren stolzen Eltern von ihrem Erfolg.,stolz,Plural,Dativ,Possessivartikel
703,11,Meine _____ Wohnung ist sehr modern.,neue,Meine neue Wohnung ist sehr modern.,neu,Feminin,Nominativ,Possessivartikel
704,11,Seine _____ Freundin arbeitet in einer Bibliothek.,alte,Seine alte Freundin arbeitet in einer Bibliothek.,alt,Feminin,Nominativ,Possessivartikel
705,11,Deine _____ Tasche liegt auf dem Tisch.,große,Deine große Tasche liegt auf dem Tisch.,groß,Feminin,Nominativ,Possessivartikel
706,11,Unsere _____ Tochter lernt schnell.,kluge,Unsere kluge Tochter lernt schnell.,klug,Feminin,Nominativ,Possessivartikel
707,11,Ihre _____ Katze sitzt auf dem Sofa.,stolze,Ihre stolze Katze sitzt auf dem Sofa.,stolz,Feminin,Nominativ,Possessivartikel
708,11,Ich helfe meinem _____ Freund bei den Hausaufgaben.,neuen,Ich helfe meinem neuen Freund bei den Hausaufgaben.,neu,Maskulin,Dativ,Possessivartikel
709,11,Er schenkt seinem _____ Vater ein Buch.,alten,Er schenkt seinem alten Vater ein Buch.,alt,Maskulin,Dativ,Possessivartikel
710,11,Wir geben deinem _____ Bruder das Geschenk.,großen,Wir geben deinem großen Bruder das Geschenk.,groß,Maskulin,Dativ,Possessivartikel
711,11,Sie dankt unserem _____ Lehrer für seine Unterstützung.,klugen,Sie dankt unserem klugen Lehrer für seine Unterstützung.,klug,Maskulin,Dativ,Possessivartikel
712,11,Ihr _____ Sohn wurde ein Preis verliehen.,stolzem,Ihr stolzem Sohn wurde ein Preis verliehen.,stolz,Maskulin,Dativ,Possessivartikel
713,11,Ich kaufe mein _____ Auto morgen.,neues,Ich kaufe mein neues Auto morgen.,neu,Neutral,Akkusativ,Possessivartikel
714,11,Er renoviert sein _____ Haus in diesem Sommer.,altes,Er renoviert sein altes Haus in diesem Sommer.,alt,Neutral,Akkusativ,Possessivartikel
715,11,Sie dekoriert dein _____ Zimmer mit Pflanzen.,großes,Sie dekoriert dein großes Zimmer mit Pflanzen.,groß,Neutral,Akkusativ,Possessivartikel
716,11,Wir bewundern unser _____ Kind für seine Ideen.,kluges,Wir bewundern unser kluges Kind für seine Ideen.,klug,Neutral,Akkusativ,Possessivartikel
717,11,Sie präsentiert ihr _____ Pferd auf dem Turnier.,stolzes,Sie präsentiert ihr stolzes Pferd auf dem Turnier.,stolz,Neutral,Akkusativ,Possessivartikel
718,11,Ich sehe meinen _____ Hund im Park.,neuen,Ich sehe meinen neuen Hund im Park.,neu,Maskulin,Akkusativ,Possessivartikel
719,11,Er besucht seinen _____ Freund in Berlin.,alten,Er besucht seinen alten Freund in Berlin.,alt,Maskulin,Akkusativ,Possessivartikel
720,11,Wir haben deinen _____ Bruder gestern getroffen.,großen,Wir haben deinen großen Bruder gestern getroffen.,groß,Maskulin,Akkusativ,Possessivartikel
721,11,Sie lobt unseren _____ Lehrer nach dem Unterricht.,klugen,Sie lobt unseren klugen Lehrer nach dem Unterricht.,klug,Maskulin,Akkusativ,Possessivartikel
722,11,Ihr _____ Sohn hat gestern eine Rede gehalten.,stolzen,Ihr stolzen Sohn hat gestern eine Rede gehalten.,stolz,Maskulin,Akkusativ,Possessivartikel
723,12,Ich sehe diesen _____ Schüler in der Bibliothek.,fleißigen,Ich sehe diesen fleißigen Schüler in der Bibliothek.,fleißig,Maskulin,Akkusativ,Demonstrative artikel
724,12,Ich besuche diesen _____ Mann jeden Sonntag.,alten,Ich besuche diesen alten Mann jeden Sonntag.,alt,Maskulin,Akkusativ,Demonstrative artikel
725,12,Ich bewundere diesen _____ Künstler für seine Werke.,jungen,Ich bewundere diesen jungen Künstler für seine Werke.,jung,Maskulin,Akkusativ,Demonstrative artikel
726,12,Der Präsident begrüßt diesen _____ Politiker persönlich.,wichtigen,Der Präsident begrüßt diesen wichtigen Politiker persönlich.,wichtig,Maskulin,Akkusativ,Demonstrative artikel
727,12,Wir laden diesen _____ Nachbarn zu unserer Feier ein.,netten,Wir laden diesen netten Nachbarn zu unserer Feier ein.,nett,Maskulin,Akkusativ,Demonstrative artikel
728,12,Diese _____ Schülerin hat die beste Note bekommen.,fleißige,Diese fleißige Schülerin hat die beste Note bekommen.,fleißig,Feminin,Nominativ,Demonstrative artikel
729,12,Diese _____ Frau erzählt immer interessante Geschichten.,alte,Diese alte Frau erzählt immer interessante Geschichten.,alt,Feminin,Nominativ,Demonstrative artikel
730,12,Diese _____ Künstlerin hat ein beeindruckendes Gemälde geschaffen.,junge,Diese junge Künstlerin hat ein beeindruckendes Gemälde geschaffen.,jung,Feminin,Nominativ,Demonstrative artikel
731,12,Diese _____ Politikerin hält heute eine Rede.,wichtige,Diese wichtige Politikerin hält heute eine Rede.,wichtig,Feminin,Nominativ,Demonstrative artikel
732,12,Diese _____ Nachbarin hilft uns immer mit dem Garten.,nette,Diese nette Nachbarin hilft uns immer mit dem Garten.,nett,Feminin,Nominativ,Demonstrative artikel
733,12,Ich gebe diesem _____ Kind ein neues Buch.,fleißigen,Ich gebe diesem fleißigen Kind ein neues Buch.,fleißig,Neutral,Dativ,Demonstrative artikel
734,12,Wir helfen diesem _____ Haus mit einer Renovierung.,alten,Wir helfen diesem alten Haus mit einer Renovierung.,alt,Neutral,Dativ,Demonstrative artikel
735,12,Er schenkt diesem _____ Unternehmen eine große Investition.,jungen,Er schenkt diesem jungen Unternehmen eine große Investition.,jung,Neutral,Dativ,Demonstrative artikel
736,12,Sie widmet diesem _____ Dokument besondere Aufmerksamkeit.,wichtigen,Sie widmet diesem wichtigen Dokument besondere Aufmerksamkeit.,wichtig,Neutral,Dativ,Demonstrative artikel
737,12,Ich vertraue diesem _____ Lächeln mehr als Worten.,netten,Ich vertraue diesem netten Lächeln mehr als Worten.,nett,Neutral,Dativ,Demonstrative artikel
738,12,Trotz dieses _____ Kindes harter Arbeit gab es keine Anerkennung.,fleißigen,Trotz dieses fleißigen Kindes harter Arbeit gab es keine Anerkennung.,fleißig,Neutral,Genitiv,Demonstrative artikel
739,12,Während dieses _____ Hauses Renovierung konnten wir es nicht betreten.,alten,Während dieses alten Hauses Renovierung konnten wir es nicht betreten.,alt,Neutral,Genitiv,Demonstrative artikel
740,12,Aufgrund dieses _____ Unternehmens schnellen Wachstums steigen die Aktienkurse.,jungen,Aufgrund dieses jungen Unternehmens schnellen Wachstums steigen die Aktienkurse.,jung,Neutral,Genitiv,Demonstrative artikel
741,12,Wegen dieses _____ Dokuments Verzögerung wurde der Vertrag nicht unterschrieben.,wichtigen,Wegen dieses wichtigen Dokuments Verzögerung wurde der Vertrag nicht unterschrieben.,wichtig,Neutral,Genitiv,Demonstrative artikel
742,12,Ich bin mir der Bedeutung dieses _____ Lächelns bewusst.,netten,Ich bin mir der Bedeutung dieses netten Lächelns bewusst.,nett,Neutral,Genitiv,Demonstrative artikel
743,12,Während dieser _____ Schülerin Abwesenheit hat die Klasse weitergearbeitet.,fleißigen,Während dieser fleißigen Schülerin Abwesenheit hat die Klasse weitergearbeitet.,fleißig,Feminin,Genitiv,Demonstrative artikel
744,12,Trotz dieser _____ Frau Weisheit hörte niemand auf sie.,alten,Trotz dieser alten Frau Weisheit hörte niemand auf sie.,alt,Feminin,Genitiv,Demonstrative artikel
745,12,Anlässlich dieser _____ Künstlerin Ausstellung waren viele Besucher da.,jungen,Anlässlich dieser jungen Künstlerin Ausstellung waren viele Besucher da.,jung,Feminin,Genitiv,Demonstrative artikel
746,12,Wegen dieser _____ Politikerin Entscheidung änderte sich das Gesetz.,wichtigen,Wegen dieser wichtigen Politikerin Entscheidung änderte sich das Gesetz.,wichtig,Feminin,Genitiv,Demonstrative artikel
747,12,Ich bin mir der Hilfe dieser _____ Nachbarin bewusst.,netten,Ich bin mir der Hilfe dieser netten Nachbarin bewusst.,nett,Feminin,Genitiv,Demonstrative artikel
748,12,Ich helfe diesen _____ Schülern bei den Hausaufgaben.,fleißigen,Ich helfe diesen fleißigen Schülern bei den Hausaufgaben.,fleißig,Plural,Dativ,Demonstrative artikel
749,12,Wir schenken diesen _____ Häusern eine Renovierung.,alten,Wir schenken diesen alten Häusern eine Renovierung.,alt,Plural,Dativ,Demonstrative artikel
750,12,Sie gratuliert diesen _____ Künstlern zu ihrem Erfolg.,jungen,Sie gratuliert diesen jungen Künstlern zu ihrem Erfolg.,jung,Plural,Dativ,Demonstrative artikel
