Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
649,11,,die Stimme,gegen,,the vote against,,,,
650,11,,die Übersetzung,aus,,the translation from,,,,
651,11,,der Anruf,bei,,the call to,,,,
652,11,,die Arbeit,bei,,the work at,,,,
653,11,,die Beschwerde,bei,,the complaint to,,,,
654,11,,die Bewerbung,bei,,the application to,,,,
655,11,,die Entschuldigung,bei,,the apology to,,,,
656,11,,die Debatte,mit,,the debate with,,,,
657,11,,die Diskussion,mit,,the discussion with,,,,
658,11,,die Freundschaft,mit,,the friendship with,,,,
659,11,,der Kampf,mit,,the fight with,,,,
660,11,,das Spiel,mit,,the game with,,,,
661,11,,das Gespräch,mit,,the conversation with,,,,
662,11,,der Streit,mit,,the argument with,,,,
663,11,,der Anfang,mit,,the beginning with,,,,
664,11,,der Beginn,mit,,the start with,,,,
665,11,,die Frage,nach,,the question about,,,,
666,11,,die Suche,nach,,the search for,,,,
667,11,,der Duft,nach,,the scent of,,,,
668,11,,der Geruch,nach,,the smell of,,,,
669,11,,der Geschmack,nach,,the taste of,,,,
670,11,,die Arbeit,als,,the work as,,,,
671,11,,die Beschreibung,als,,the description as,,,,
672,11,,der Gedanke,an,,the thought of,,,,
673,11,,die Erinnerung,an,,the memory of,,,,
674,11,,der Glaube,an,,the belief in,,,,
675,11,,die Änderung,an,,the change to,,,,
676,11,,die Schuld,an,,the guilt for,,,,
677,11,,die Teilnahme,an,,the participation in,,,,
678,11,,der Zweifel,an,,the doubt about,,,,
679,11,,das Vertrauen,auf,,the trust in,,,,
680,11,,die Übersetzung,in,,the translation into,,,,
681,11,,die Verwandlung,in,,the transformation into,,,,
682,11,,der Traum,von,,the dream of,,,,
683,11,,die Überzeugung,von,,the conviction of,,,,
684,11,,die Erwartung,von,,the expectation of,,,,
685,11,,die Angst,vor,,the fear of,,,,
686,11,,die Furcht,vor,,the fear of,,,,
687,11,,die Warnung,vor,,the warning of,,,,
688,11,,der Glückwunsch,zu,,the congratulations on,,,,
689,11,,die Einladung,zu,,the invitation to,,,,
690,11,,die Gratulation,zu,,the congratulations on,,,,
691,11,,die Fähigkeit,zu,,the ability to,,,,
692,11,,der Beitrag,zu,,the contribution to,,,,
693,11,,der Rat,zu,,the advice on,,,,
694,11,,die Wahl,zu,,the election to,,,,
695,12,,der Ärger,über,,,Der Ärger über die neue Regelung wächst täglich.,The anger about the new regulation grows daily.,über,Der Ärger _____ die neue Regelung wächst täglich.
696,12,,der Ärger,über,,,Ihr Ärger über die Verzögerungen war deutlich zu spüren.,Her anger about the delays was clearly noticeable.,über,Ihr Ärger _____ die Verzögerungen war deutlich zu spüren.
697,12,,die Freude,über,,,Die Freude über den Gewinn war riesig.,The joy about the win was enormous.,über,Die Freude _____ den Gewinn war riesig.
698,12,,die Freude,über,,,Seine Freude über die Überraschung war nicht zu übersehen.,His joy about the surprise was unmistakable.,über,Seine Freude _____ die Überraschung war nicht zu übersehen.
699,12,,das Glück,über,,,Ihr Glück über die gute Nachricht war ansteckend.,Her happiness about the good news was contagious.,über,Ihr Glück _____ die gute Nachricht war ansteckend.
700,12,,das Glück,über,,,Das Glück über den gelungenen Abschluss konnte er nicht verbergen.,He could not hide his happiness about the successful conclusion.,über,Das Glück _____ den gelungenen Abschluss konnte er nicht verbergen.
701,12,,der Streit,über,,,Der Streit über das Budget dauerte Stunden.,The argument about the budget lasted for hours.,über,Der Streit _____ das Budget dauerte Stunden.
702,12,,der Streit,über,,,Ihr Streit über die Zukunftspläne endete ohne Ergebnis.,Their argument about future plans ended without a result.,über,Ihr Streit _____ die Zukunftspläne endete ohne Ergebnis.
703,12,,die Trauer,über,,,Die Trauer über den Verlust war überall spürbar.,The grief over the loss was palpable everywhere.,über,Die Trauer _____ den Verlust war überall spürbar.
704,12,,die Trauer,über,,,Seine Trauer über den Tod seines Freundes war tief.,His grief over the death of his friend was profound.,über,Seine Trauer _____ den Tod seines Freundes war tief.
705,12,,die Wut,über,,,Die Wut über die ungerechte Behandlung war groß.,The anger about the unfair treatment was significant.,über,Die Wut _____ die ungerechte Behandlung war groß.
706,12,,die Wut,über,,,Ihre Wut über den Fehler wurde immer lauter.,Her anger about the mistake grew louder and louder.,über,Ihre Wut _____ den Fehler wurde immer lauter.
707,12,,der Bericht,über,,,Der Bericht über die aktuellen Ereignisse war sehr informativ.,The report about the current events was very informative.,über,Der Bericht _____ die aktuellen Ereignisse war sehr informativ.
708,12,,der Bericht,über,,,Ihr Bericht über die Reise nach Afrika faszinierte alle.,Her report about the trip to Africa fascinated everyone.,über,Ihr Bericht _____ die Reise nach Afrika faszinierte alle.
709,12,,die Beschwerde,über,,,Die Beschwerde über den Service wurde schnell bearbeitet.,The complaint about the service was processed quickly.,über,Die Beschwerde _____ den Service wurde schnell bearbeitet.
710,12,,die Beschwerde,über,,,Seine Beschwerde über die laute Musik wurde ignoriert.,His complaint about the loud music was ignored.,über,Seine Beschwerde _____ die laute Musik wurde ignoriert.
711,12,,die Debatte,über,,,Die Debatte über die neue Steuer war hitzig.,The debate about the new tax was heated.,über,Die Debatte _____ die neue Steuer war hitzig.
712,12,,die Debatte,über,,,Ihre Debatte über die Umweltpolitik zog viele Zuhörer an.,Their debate about environmental policy attracted many listeners.,über,Ihre Debatte _____ die Umweltpolitik zog viele Zuhörer an.
713,12,,die Diskussion,über,,,Die Diskussion über die Reformen war konstruktiv.,The discussion about the reforms was constructive.,über,Die Diskussion _____ die Reformen war konstruktiv.
714,12,,die Diskussion,über,,,Ihre Diskussion über das Projekt führte zu neuen Ideen.,Their discussion about the project led to new ideas.,über,Ihre Diskussion _____ das Projekt führte zu neuen Ideen.
715,12,,die Information,über,,,Die Information über die Änderungen wurde per E-Mail verschickt.,The information about the changes was sent via email.,über,Die Information _____ die Änderungen wurde per E-Mail verschickt.
716,12,,die Information,über,,,Er suchte nach mehr Informationen über die Firma.,He looked for more information about the company.,über,Er suchte nach mehr Informationen _____ die Firma.
717,12,,die Rede,über,,,Die Rede über die Zukunft des Unternehmens war inspirierend.,The speech about the company's future was inspiring.,über,Die Rede _____ die Zukunft des Unternehmens war inspirierend.
718,12,,die Rede,über,,,Ihre Rede über Gleichberechtigung erhielt viel Applaus.,Her speech about equality received a lot of applause.,über,Ihre Rede _____ Gleichberechtigung erhielt viel Applaus.
719,12,,das Gespräch,über,,,Das Gespräch über die neuen Regeln verlief positiv.,The conversation about the new rules went positively.,über,Das Gespräch _____ die neuen Regeln verlief positiv.
720,12,,das Gespräch,über,,,Ihr Gespräch über die Finanzen dauerte länger als erwartet.,Their conversation about finances lasted longer than expected.,über,Ihr Gespräch _____ die Finanzen dauerte länger als erwartet.
721,12,,das Wissen,über,,,Sein Wissen über Geschichte beeindruckte alle.,His knowledge about history impressed everyone.,über,Sein Wissen _____ Geschichte beeindruckte alle.
722,12,,das Wissen,über,,,Ihr Wissen über Technik ist bemerkenswert.,Her knowledge about technology is remarkable.,über,Ihr Wissen _____ Technik ist bemerkenswert.
723,12,,die Angst,um,,,Die Angst um die Sicherheit der Kinder war groß.,The fear for the safety of the children was significant.,um,Die Angst _____ die Sicherheit der Kinder war groß.
724,12,,die Angst,um,,,Ihre Angst um die Gesundheit ihrer Familie ließ sie nicht los.,Her fear for her family's health didn't leave her.,um,Ihre Angst _____ die Gesundheit ihrer Familie ließ sie nicht los.
725,12,,das Bemühen,um,,,Das Bemühen um eine Lösung war spürbar.,The effort to find a solution was noticeable.,um,Das Bemühen _____ eine Lösung war spürbar.
726,12,,das Bemühen,um,,,Ihr Bemühen um Gerechtigkeit beeindruckte viele.,Her effort for justice impressed many.,um,Ihr Bemühen _____ Gerechtigkeit beeindruckte viele.
727,12,,die Bewerbung,um,,,Seine Bewerbung um die Stelle wurde akzeptiert.,His application for the position was accepted.,um,Seine Bewerbung _____ die Stelle wurde akzeptiert.
728,12,,die Bewerbung,um,,,Die Bewerbung um ein Stipendium ist eingereicht.,The application for a scholarship has been submitted.,um,Die Bewerbung _____ ein Stipendium ist eingereicht.
729,12,,die Bitte,um,,,Ihre Bitte um Hilfe wurde sofort erhört.,Her request for help was immediately granted.,um,Ihre Bitte _____ Hilfe wurde sofort erhört.
730,12,,die Bitte,um,,,Er richtete eine Bitte um Geduld an das Publikum.,He addressed a request for patience to the audience.,um,Er richtete eine Bitte _____ Geduld an das Publikum.
731,12,,der Kampf,um,,,Der Kampf um die Führung war hart.,The fight for leadership was tough.,um,Der Kampf _____ die Führung war hart.
732,12,,der Kampf,um,,,Ihr Kampf um Anerkennung dauerte Jahre.,Her fight for recognition lasted years.,um,Ihr Kampf _____ Anerkennung dauerte Jahre.
733,12,,die Sorge,um,,,Die Sorge um den Erfolg des Projekts ist verständlich.,The concern for the project's success is understandable.,um,Die Sorge _____ den Erfolg des Projekts ist verständlich.
734,12,,die Sorge,um,,,Seine Sorge um die Zukunft des Unternehmens ist groß.,His concern for the company's future is significant.,um,Seine Sorge _____ die Zukunft des Unternehmens ist groß.
735,12,,das Spiel,um,,,Das Spiel um den Pokal war spannend.,The game for the trophy was exciting.,um,Das Spiel _____ den Pokal war spannend.
736,12,,das Spiel,um,,,Ihr Spiel um den Sieg zog viele Zuschauer an.,Their game for victory attracted many spectators.,um,Ihr Spiel _____ den Sieg zog viele Zuschauer an.
737,12,,der Streit,um,,,Der Streit um das Erbe spaltete die Familie.,The argument about the inheritance divided the family.,um,Der Streit _____ das Erbe spaltete die Familie.
738,12,,der Streit,um,,,Ihr Streit um die Zuständigkeiten eskalierte schnell.,Their argument about responsibilities escalated quickly.,um,Ihr Streit _____ die Zuständigkeiten eskalierte schnell.
739,12,,die Wette,um,,,Die Wette um 50 Euro wurde ernst genommen.,The bet for 50 euros was taken seriously.,um,Die Wette _____ 50 Euro wurde ernst genommen.
740,12,,die Wette,um,,,Seine Wette um den Ausgang des Spiels sorgte für Spannung.,His bet on the outcome of the game created excitement.,um,Seine Wette _____ den Ausgang des Spiels sorgte für Spannung.
741,12,,die Antwort,auf,,,Die Antwort auf seine Frage war überraschend.,The answer to his question was surprising.,auf,Die Antwort _____ seine Frage war überraschend.
742,12,,die Antwort,auf,,,Ihre Antwort auf die Kritik war sehr professionell.,Her response to the criticism was very professional.,auf,Ihre Antwort _____ die Kritik war sehr professionell.
743,12,,die Bewerbung,auf,,,Die Bewerbung auf diese Stelle war ein Erfolg.,The application for this position was a success.,auf,Die Bewerbung _____ diese Stelle war ein Erfolg.
744,12,,die Bewerbung,auf,,,Seine Bewerbung auf das Praktikum wurde akzeptiert.,His application for the internship was accepted.,auf,Seine Bewerbung _____ das Praktikum wurde akzeptiert.
745,12,,die Konzentration,auf,,,Die Konzentration auf die Aufgabe ist entscheidend.,Concentration on the task is crucial.,auf,Die Konzentration _____ die Aufgabe ist entscheidend.
746,12,,die Konzentration,auf,,,Ihre Konzentration auf die Prüfungsvorbereitung war beeindruckend.,Her focus on exam preparation was impressive.,auf,Ihre Konzentration _____ die Prüfungsvorbereitung war beeindruckend.
747,12,,die Reaktion,auf,,,Die Reaktion auf die neuen Regeln war positiv.,The reaction to the new rules was positive.,auf,Die Reaktion _____ die neuen Regeln war positiv.
748,12,,die Reaktion,auf,,,Seine Reaktion auf den Vorschlag war unerwartet.,His reaction to the proposal was unexpected.,auf,Seine Reaktion _____ den Vorschlag war unerwartet.
749,12,,der Stolz,auf,,,Der Stolz auf ihre Leistungen war deutlich sichtbar.,The pride in her achievements was clearly visible.,auf,Der Stolz _____ ihre Leistungen war deutlich sichtbar.
750,12,,der Stolz,auf,,,Er zeigte Stolz auf sein Team nach dem Sieg.,He showed pride in his team after the victory.,auf,Er zeigte Stolz _____ sein Team nach dem Sieg.
751,12,,die Wirkung,auf,,,Die Wirkung auf die Zuschauer war enorm.,The effect on the audience was enormous.,auf,Die Wirkung _____ die Zuschauer war enorm.
752,12,,die Wirkung,auf,,,Die Medikamente haben eine schnelle Wirkung auf die Schmerzen.,The medication has a quick effect on the pain.,auf,Die Medikamente haben eine schnelle Wirkung _____ die Schmerzen.
753,12,,die Freude,auf,,,Die Freude auf den Urlaub war groß.,The joy about the upcoming vacation was immense.,auf,Die Freude _____ den Urlaub war groß.
754,12,,die Freude,auf,,,Er konnte seine Freude auf die Reise kaum verbergen.,He could hardly hide his joy about the trip.,auf,Er konnte seine Freude _____ die Reise kaum verbergen.
755,12,,die Hoffnung,auf,,,Die Hoffnung auf eine bessere Zukunft bleibt bestehen.,The hope for a better future remains.,auf,Die Hoffnung _____ eine bessere Zukunft bleibt bestehen.
756,12,,die Hoffnung,auf,,,Sie setzt ihre Hoffnung auf die nächste Generation.,She places her hope in the next generation.,auf,Sie setzt ihre Hoffnung _____ die nächste Generation.
757,12,,die Neugier,auf,,,Die Neugier auf das neue Produkt war spürbar.,The curiosity about the new product was noticeable.,auf,Die Neugier _____ das neue Produkt war spürbar.
758,12,,die Neugier,auf,,,Seine Neugier auf die Lösung des Rätsels war groß.,His curiosity about the solution to the puzzle was great.,auf,Seine Neugier _____ die Lösung des Rätsels war groß.
759,12,,die Spannung,auf,,,Die Spannung auf die Ergebnisse war kaum auszuhalten.,The anticipation for the results was almost unbearable.,auf,Die Spannung _____ die Ergebnisse war kaum auszuhalten.
760,12,,die Spannung,auf,,,Die Spannung auf das Finale war spürbar.,The anticipation for the final was palpable.,auf,Die Spannung _____ das Finale war spürbar.
761,12,,die Vorbereitung,auf,,,Die Vorbereitung auf die Prüfung lief reibungslos.,The preparation for the exam went smoothly.,auf,Die Vorbereitung _____ die Prüfung lief reibungslos.
762,12,,die Vorbereitung,auf,,,Seine Vorbereitung auf den Wettbewerb war gründlich.,His preparation for the competition was thorough.,auf,Seine Vorbereitung _____ den Wettbewerb war gründlich.
763,12,,der Dank,für,,,Der Dank für ihre Hilfe war ehrlich und herzlich.,The gratitude for her help was sincere and heartfelt.,für,Der Dank _____ ihre Hilfe war ehrlich und herzlich.
764,12,,der Dank,für,,,Sein Dank für die Unterstützung wurde mit einem Geschenk ausgedrückt.,His gratitude for the support was expressed with a gift.,für,Sein Dank _____ die Unterstützung wurde mit einem Geschenk ausgedrückt.
765,12,,die Entscheidung,für,,,Die Entscheidung für den Umzug fiel schwer.,The decision to move was difficult.,für,Die Entscheidung _____ den Umzug fiel schwer.
766,12,,die Entscheidung,für,,,Ihre Entscheidung für das Studium wurde gut überlegt.,Her decision to study was well-considered.,für,Ihre Entscheidung _____ das Studium wurde gut überlegt.
767,12,,die Entschuldigung,für,,,Die Entschuldigung für das Missverständnis wurde akzeptiert.,The apology for the misunderstanding was accepted.,für,Die Entschuldigung _____ das Missverständnis wurde akzeptiert.
768,12,,die Entschuldigung,für,,,Seine Entschuldigung für den Fehler war aufrichtig.,His apology for the mistake was sincere.,für,Seine Entschuldigung _____ den Fehler war aufrichtig.
769,12,,der Kampf,für,,,Der Kampf für soziale Gerechtigkeit ist noch nicht beendet.,The fight for social justice is not yet over.,für,Der Kampf _____ soziale Gerechtigkeit ist noch nicht beendet.
770,12,,der Kampf,für,,,Ihr Kampf für bessere Arbeitsbedingungen hat sich gelohnt.,Her fight for better working conditions paid off.,für,Ihr Kampf _____ bessere Arbeitsbedingungen hat sich gelohnt.
771,12,,die Sorge,für,,,Die Sorge für ihre Kinder steht bei ihr an erster Stelle.,The care for her children comes first for her.,für,Die Sorge _____ ihre Kinder steht bei ihr an erster Stelle.
772,12,,die Sorge,für,,,Seine Sorge für die Umwelt motiviert ihn zu handeln.,His concern for the environment motivates him to act.,für,Seine Sorge _____ die Umwelt motiviert ihn zu handeln.
773,12,,die Stimme,für,,,Ihre Stimme für den Kandidaten machte den Unterschied.,Her vote for the candidate made the difference.,für,Ihre Stimme _____ den Kandidaten machte den Unterschied.
774,12,,die Stimme,für,,,Die Stimme für die Reform wurde einstimmig abgegeben.,The vote for the reform was unanimous.,für,Die Stimme _____ die Reform wurde einstimmig abgegeben.
775,12,,die Verantwortung,für,,,Die Verantwortung für das Projekt liegt bei ihm.,The responsibility for the project lies with him.,für,Die Verantwortung _____ das Projekt liegt bei ihm.
776,12,,die Verantwortung,für,,,Ihre Verantwortung für die Kinder ist ihr wichtig.,Her responsibility for the children is important to her.,für,Ihre Verantwortung _____ die Kinder ist ihr wichtig.
777,12,,die Werbung,für,,,Die Werbung für das neue Produkt war sehr effektiv.,The advertisement for the new product was very effective.,für,Die Werbung _____ das neue Produkt war sehr effektiv.
778,12,,die Werbung,für,,,Die Werbung für den Film läuft auf allen Kanälen.,The advertisement for the film is running on all channels.,für,Die Werbung _____ den Film läuft auf allen Kanälen.
779,12,,die Entscheidung,gegen,,,Die Entscheidung gegen den Vorschlag fiel einstimmig aus.,The decision against the proposal was unanimous.,gegen,Die Entscheidung _____ den Vorschlag fiel einstimmig aus.
780,12,,die Entscheidung,gegen,,,Seine Entscheidung gegen das Angebot überraschte alle.,His decision against the offer surprised everyone.,gegen,Seine Entscheidung _____ das Angebot überraschte alle.
781,12,,der Kampf,gegen,,,Der Kampf gegen Diskriminierung dauert an.,The fight against discrimination continues.,gegen,Der Kampf _____ Diskriminierung dauert an.
782,12,,der Kampf,gegen,,,Ihr Kampf gegen die Ungerechtigkeit inspirierte viele.,Her fight against injustice inspired many.,gegen,Ihr Kampf _____ die Ungerechtigkeit inspirierte viele.
783,12,,der Protest,gegen,,,Der Protest gegen die neuen Gesetze war laut.,The protest against the new laws was loud.,gegen,Der Protest _____ die neuen Gesetze war laut.
784,12,,der Protest,gegen,,,Ihr Protest gegen die Änderungen fand große Unterstützung.,Their protest against the changes found great support.,gegen,Ihr Protest _____ die Änderungen fand große Unterstützung.
785,12,,die Demonstration,gegen,,,Die Demonstration gegen den Krieg zog viele Menschen an.,The demonstration against the war attracted many people.,gegen,Die Demonstration _____ den Krieg zog viele Menschen an.
786,12,,die Demonstration,gegen,,,Ihre Demonstration gegen die Umweltzerstörung war friedlich.,Their demonstration against environmental destruction was peaceful.,gegen,Ihre Demonstration _____ die Umweltzerstörung war friedlich.
787,12,,die Stimme,gegen,,,Die Stimme gegen den Vorschlag wurde laut geäußert.,The vote against the proposal was expressed loudly.,gegen,Die Stimme _____ den Vorschlag wurde laut geäußert.
788,12,,die Stimme,gegen,,,Ihre Stimme gegen den Plan beeinflusste die Entscheidung.,Her vote against the plan influenced the decision.,gegen,Ihre Stimme _____ den Plan beeinflusste die Entscheidung.
789,12,,die Übersetzung,aus,,,Die Übersetzung aus dem Englischen war sehr präzise.,The translation from English was very precise.,aus,Die Übersetzung _____ dem Englischen war sehr präzise.
790,12,,die Übersetzung,aus,,,Seine Übersetzung aus dem Spanischen wurde gelobt.,His translation from Spanish was praised.,aus,Seine Übersetzung _____ dem Spanischen wurde gelobt.
791,12,,der Anruf,bei,,,Der Anruf bei der Hotline brachte schnelle Hilfe.,The call to the hotline brought quick help.,bei,Der Anruf _____ der Hotline brachte schnelle Hilfe.
792,12,,der Anruf,bei,,,Sein Anruf bei der Firma wurde freundlich beantwortet.,His call to the company was answered kindly.,bei,Sein Anruf _____ der Firma wurde freundlich beantwortet.
793,12,,die Arbeit,bei,,,Die Arbeit bei diesem Unternehmen ist sehr anspruchsvoll.,The work at this company is very demanding.,bei,Die Arbeit _____ diesem Unternehmen ist sehr anspruchsvoll.
794,12,,die Arbeit,bei,,,Seine Arbeit bei der Bank dauert schon zehn Jahre.,His work at the bank has already lasted ten years.,bei,Seine Arbeit _____ der Bank dauert schon zehn Jahre.
795,12,,die Beschwerde,bei,,,Die Beschwerde bei der Verwaltung wurde ignoriert.,The complaint to the administration was ignored.,bei,Die Beschwerde _____ der Verwaltung wurde ignoriert.
796,12,,die Beschwerde,bei,,,Seine Beschwerde bei der Leitung führte zu einer Lösung.,His complaint to the management led to a solution.,bei,Seine Beschwerde _____ der Leitung führte zu einer Lösung.
797,12,,die Bewerbung,bei,,,Die Bewerbung bei der Universität war erfolgreich.,The application to the university was successful.,bei,Die Bewerbung _____ der Universität war erfolgreich.
798,12,,die Bewerbung,bei,,,Seine Bewerbung bei der Firma wurde angenommen.,His application to the company was accepted.,bei,Seine Bewerbung _____ der Firma wurde angenommen.
799,12,,die Entschuldigung,bei,,,Die Entschuldigung bei ihrer Freundin war aufrichtig.,The apology to her friend was sincere.,bei,Die Entschuldigung _____ ihrer Freundin war aufrichtig.
800,12,,die Entschuldigung,bei,,,Seine Entschuldigung bei der Lehrerin wurde angenommen.,His apology to the teacher was accepted.,bei,Seine Entschuldigung _____ der Lehrerin wurde angenommen.
801,12,,die Debatte,mit,,,Die Debatte mit dem Experten war aufschlussreich.,The debate with the expert was insightful.,mit,Die Debatte _____ dem Experten war aufschlussreich.
802,12,,die Debatte,mit,,,Ihre Debatte mit dem Politiker war spannend.,Her debate with the politician was exciting.,mit,Ihre Debatte _____ dem Politiker war spannend.
803,12,,die Diskussion,mit,,,Die Diskussion mit den Kollegen führte zu neuen Ideen.,The discussion with the colleagues led to new ideas.,mit,Die Diskussion _____ den Kollegen führte zu neuen Ideen.
804,12,,die Diskussion,mit,,,Seine Diskussion mit dem Chef war produktiv.,His discussion with the boss was productive.,mit,Seine Diskussion _____ dem Chef war produktiv.
805,12,,die Freundschaft,mit,,,Die Freundschaft mit ihr war ihm sehr wichtig.,The friendship with her was very important to him.,mit,Die Freundschaft _____ ihr war ihm sehr wichtig.
806,12,,die Freundschaft,mit,,,Seine Freundschaft mit dem Nachbarn wurde immer enger.,His friendship with the neighbor grew closer.,mit,Seine Freundschaft _____ dem Nachbarn wurde immer enger.
807,12,,der Kampf,mit,,,Der Kampf mit den Umständen war schwierig.,The fight with the circumstances was difficult.,mit,Der Kampf _____ den Umständen war schwierig.
808,12,,der Kampf,mit,,,Ihr Kampf mit der Krankheit dauerte Jahre.,Her fight with the illness lasted for years.,mit,Ihr Kampf _____ der Krankheit dauerte Jahre.
809,12,,das Spiel,mit,,,Das Spiel mit der neuen Strategie war erfolgreich.,The game with the new strategy was successful.,mit,Das Spiel _____ der neuen Strategie war erfolgreich.
810,12,,das Spiel,mit,,,Ihr Spiel mit dem Ball faszinierte die Zuschauer.,Her game with the ball fascinated the spectators.,mit,Ihr Spiel _____ dem Ball faszinierte die Zuschauer.
811,12,,das Gespräch,mit,,,Das Gespräch mit dem Lehrer verlief positiv.,The conversation with the teacher went positively.,mit,Das Gespräch _____ dem Lehrer verlief positiv.
812,12,,das Gespräch,mit,,,Ihr Gespräch mit der Nachbarin dauerte lange.,Her conversation with the neighbor lasted a long time.,mit,Ihr Gespräch _____ der Nachbarin dauerte lange.
813,12,,der Streit,mit,,,Der Streit mit seinem Bruder war schnell vergessen.,The argument with his brother was quickly forgotten.,mit,Der Streit _____ seinem Bruder war schnell vergessen.
814,12,,der Streit,mit,,,Ihr Streit mit der Kollegin eskalierte schnell.,Her argument with the colleague escalated quickly.,mit,Ihr Streit _____ der Kollegin eskalierte schnell.
815,12,,der Anfang,mit,,,Der Anfang mit dem neuen Projekt war herausfordernd.,The beginning with the new project was challenging.,mit,Der Anfang _____ dem neuen Projekt war herausfordernd.
816,12,,der Anfang,mit,,,Ihr Anfang mit dem Sport war sehr erfolgreich.,Her start with the sport was very successful.,mit,Ihr Anfang _____ dem Sport war sehr erfolgreich.
817,12,,der Beginn,mit,,,Der Beginn mit der neuen Software verlief reibungslos.,The start with the new software went smoothly.,mit,Der Beginn _____ der neuen Software verlief reibungslos.
818,12,,der Beginn,mit,,,Sein Beginn mit dem Training war motivierend.,His start with the training was motivating.,mit,Sein Beginn _____ dem Training war motivierend.
819,12,,die Frage,nach,,,Die Frage nach der Zukunft des Projekts bleibt offen.,The question about the project's future remains open.,nach,Die Frage _____ der Zukunft des Projekts bleibt offen.
820,12,,die Frage,nach,,,Seine Frage nach den Details wurde klar beantwortet.,His question about the details was answered clearly.,nach,Seine Frage _____ den Details wurde klar beantwortet.
821,12,,die Suche,nach,,,Die Suche nach einem passenden Kandidaten dauert an.,The search for a suitable candidate continues.,nach,Die Suche _____ einem passenden Kandidaten dauert an.
822,12,,die Suche,nach,,,Ihre Suche nach einer neuen Wohnung war erfolgreich.,Her search for a new apartment was successful.,nach,Ihre Suche _____ einer neuen Wohnung war erfolgreich.
823,12,,der Duft,nach,,,Der Duft nach frischem Brot erfüllte den Raum.,The scent of fresh bread filled the room.,nach,Der Duft _____ frischem Brot erfüllte den Raum.
824,12,,der Duft,nach,,,Der Duft nach Blumen erinnerte sie an den Frühling.,The scent of flowers reminded her of spring.,nach,Der Duft _____ Blumen erinnerte sie an den Frühling.
825,12,,der Geruch,nach,,,Der Geruch nach Kaffee machte ihn wach.,The smell of coffee woke him up.,nach,Der Geruch _____ Kaffee machte ihn wach.
826,12,,der Geruch,nach,,,Der Geruch nach frischer Farbe war stark.,The smell of fresh paint was strong.,nach,Der Geruch _____ frischer Farbe war stark.
827,12,,der Geschmack,nach,,,Der Geschmack nach Zimt war angenehm.,The taste of cinnamon was pleasant.,nach,Der Geschmack _____ Zimt war angenehm.
828,12,,der Geschmack,nach,,,Der Geschmack nach frischen Kräutern passte perfekt zum Gericht.,The taste of fresh herbs was perfect for the dish.,nach,Der Geschmack _____ frischen Kräutern passte perfekt zum Gericht.
829,12,,die Arbeit,als,,,Die Arbeit als Lehrer ist erfüllend.,The work as a teacher is fulfilling.,als,Die Arbeit _____ Lehrer ist erfüllend.
830,12,,die Arbeit,als,,,Seine Arbeit als Ingenieur ist sehr anspruchsvoll.,His work as an engineer is very demanding.,als,Seine Arbeit _____ Ingenieur ist sehr anspruchsvoll.
831,12,,die Beschreibung,als,,,Die Beschreibung als ein talentierter Künstler passt zu ihm.,The description as a talented artist suits him.,als,Die Beschreibung _____ ein talentierter Künstler passt zu ihm.
832,12,,die Beschreibung,als,,,Ihre Beschreibung als eine zuverlässige Person überzeugt alle.,Her description as a reliable person convinces everyone.,als,Ihre Beschreibung _____ eine zuverlässige Person überzeugt alle.
833,12,,der Gedanke,an,,,Der Gedanke an die Prüfung macht ihn nervös.,The thought of the exam makes him nervous.,an,Der Gedanke _____ die Prüfung macht ihn nervös.
834,12,,der Gedanke,an,,,Ihr Gedanke an die gemeinsame Zeit machte sie glücklich.,Her thought of the time together made her happy.,an,Ihr Gedanke _____ die gemeinsame Zeit machte sie glücklich.
835,12,,die Erinnerung,an,,,Die Erinnerung an den Urlaub bleibt unvergesslich.,The memory of the vacation remains unforgettable.,an,Die Erinnerung _____ den Urlaub bleibt unvergesslich.
836,12,,die Erinnerung,an,,,Seine Erinnerung an die Kindheit ist voller Freude.,His memory of childhood is full of joy.,an,Seine Erinnerung _____ die Kindheit ist voller Freude.
837,12,,der Glaube,an,,,Der Glaube an seine Fähigkeiten gab ihm Kraft.,The belief in his abilities gave him strength.,an,Der Glaube _____ seine Fähigkeiten gab ihm Kraft.
838,12,,der Glaube,an,,,Ihr Glaube an das Gute in Menschen ist beeindruckend.,Her belief in the good in people is impressive.,an,Ihr Glaube _____ das Gute in Menschen ist beeindruckend.
839,12,,die Änderung,an,,,Die Änderung an den Vorschlägen wurde akzeptiert.,The change to the proposals was accepted.,an,Die Änderung _____ den Vorschlägen wurde akzeptiert.
840,12,,die Änderung,an,,,Die Änderung an der Software hat das Problem gelöst.,The change to the software solved the problem.,an,Die Änderung _____ der Software hat das Problem gelöst.
841,12,,die Schuld,an,,,Die Schuld an dem Fehler wurde auf ihn geschoben.,The blame for the mistake was put on him.,an,Die Schuld _____ dem Fehler wurde auf ihn geschoben.
842,12,,die Schuld,an,,,Er übernahm die Schuld an dem Missverständnis.,He took the blame for the misunderstanding.,an,Er übernahm die Schuld _____ dem Missverständnis.
843,12,,die Teilnahme,an,,,Die Teilnahme an der Konferenz war sehr lehrreich.,The participation in the conference was very educational.,an,Die Teilnahme _____ der Konferenz war sehr lehrreich.
