Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,explanation_english,explanation_french,case,bedeutung
262,12,"Sobald wir mehr Bescheid _____, informieren wir alle Beteiligten.",wissen,Bescheid wissen,"Sobald wir mehr Bescheid wissen, informieren wir alle Beteiligten.","As soon as we know more, we will inform everyone involved.","Dès que nous en saurons plus, nous informerons toutes les personnes concernées.",,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,
263,12,"Es fiel ihr sehr schwer, Abschied von ihrer alten Wohnung zu _____.",nehmen,Abschied nehmen,"Es fiel ihr sehr schwer, Abschied von ihrer alten Wohnung zu nehmen.",It was very hard for her to say goodbye to her old apartment.,Il lui a été très difficile de faire ses adieux à son ancien appartement.,,,Abschied nehmen = to say goodbye,Abschied nehmen = dire au revoir,,
264,12,"Bei der Feier wurden Reden gehalten, um gemeinsam Abschied zu _____.",nehmen,Abschied nehmen,"Bei der Feier wurden Reden gehalten, um gemeinsam Abschied zu nehmen.",Speeches were held at the celebration to say farewell together.,"Lors de la fête, des discours ont été prononcés pour prendre congé ensemble.",,,Abschied nehmen = to say goodbye,Abschied nehmen = dire au revoir,,
265,12,"Man sollte die Hoffnung nicht _____, auch wenn es schwierig erscheint.",aufgeben,Hoffnung aufgeben ,"Man sollte die Hoffnung nicht aufgeben, auch wenn es schwierig erscheint.","One shouldn’t give up hope, even when things seem difficult.","Il ne faut pas perdre espoir, même si cela paraît difficile.",,,Hoffnung aufgeben  = to give up hope,Hoffnung aufgeben  = predre espoir,,
266,12,"Sie _____ die Hoffnung auf, dass sich die Situation kurzfristig verbessern würde.",gab,Hoffnung aufgeben ,"Sie gab die Hoffnung auf, dass sich die Situation kurzfristig verbessern würde.",She gave up hope that the situation would improve in the short term.,Elle a perdu l’espoir que la situation s’améliorerait à court terme.,,,Hoffnung aufgeben  = to give up hope,Hoffnung aufgeben  = predre espoir,,
267,12,"Er _____ in Gefahr, seinen Job zu verlieren, weil die Firma Stellen abbauen wollte.",war,in Gefahr sein,"Er war in Gefahr, seinen Job zu verlieren, weil die Firma Stellen abbauen wollte.",He was in danger of losing his job because the company wanted to cut positions.,"Il était en danger de perdre son emploi, car l’entreprise voulait réduire les postes.",,,in Gefahr sein = to be in danger,in Gefahr sein = être en danger,,
268,12,"Die Rettungskräfte mussten schnell handeln, weil Menschenleben in Gefahr _____.",waren,in Gefahr sein,"Die Rettungskräfte mussten schnell handeln, weil Menschenleben in Gefahr waren.",The rescue workers had to act quickly because human lives were in danger.,Les secours ont dû agir rapidement parce que des vies humaines étaient en danger.,,,in Gefahr sein = to be in danger,in Gefahr sein = être en danger,,
269,12,"Das Unternehmen versucht, die steigenden Kosten unter Kontrolle zu _____.",bringen,unter Kontrolle bringen,"Das Unternehmen versucht, die steigenden Kosten unter Kontrolle zu bringen.",The company is trying to bring rising costs under control.,L’entreprise essaie de maîtriser l’augmentation des coûts.,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,
270,12,"Wenn man seine Emotionen unter Kontrolle _____, kann man in schwierigen Situationen besser reagieren.",bringt,unter Kontrolle bringen,"Wenn man seine Emotionen unter Kontrolle bringt, kann man in schwierigen Situationen besser reagieren.","If you bring your emotions under control, you can react better in difficult situations.","Si on maîtrise ses émotions, on peut mieux réagir dans les situations difficiles.",,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,
271,13,sich _____ machen,Gedanken,sich Gedanken machen,sich Gedanken machen,"to think about, to be concerned about","réfléchir, se faire du souci, être inquiet",Plural,Pluriel,"sich Gedanken machen = to think about, to be concerned about","sich Gedanken machen = réfléchir, se faire du souci, être inquiet",,
272,13,_____ stehen,zur Diskussion,zur Diskussion stehen,zur Diskussion stehen,to be up to discuss,être en discussion,Feminine,Féminin,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,
273,13,_____ bringen,zur Sprache,zur Sprache bringen,zur Sprache bringen,to bring something up,"aborder un sujet, évoquer un sujet",Feminine,Féminin,zur Sprache bringen = to bring something up,"zur Sprache bringen = aborder un sujet, évoquer un sujet",,
274,13,_____ kommen,zur Sprache,zur Sprache kommen,zur Sprache kommen,to come up,"être évoqué, être abordé",Feminine,Féminin,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,
275,13,_____ haben,einen Einfluss,einen Einfluss haben,einen Einfluss haben,to have an influence,"avoir une influence, avoir de l'influence",Masculine,Masculin,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,
276,13,_____ lösen,einen Konflikt,einen Konflikt lösen,einen Konflikt lösen,"to resolve a conflict, to solve a conflict",résoudre un conflit,Masculine,Masculin,"einen Konflikt lösen = to resolve a conflict, to solve a conflict",einen Konflikt lösen = résoudre un conflit,,
277,13,_____ stellen,zur Diskussion,zur Diskussion stellen,zur Diskussion stellen,to put up for discussion,soumettre à la discussion,Feminine,Féminin,zur Diskussion stellen = to put up for discussion,zur Diskussion stellen = soumettre à la discussion,,ansprechen
278,13,_____ geraten,in Panik,in Panik geraten,in Panik geraten,to panic,paniquer,Feminine,Féminin,in Panik geraten = to panic,in Panik geraten = paniquer,,
279,13,_____ lassen,in Ruhe,in Ruhe lassen,in Ruhe lassen,to leave alone,laisser tranquille,Feminine,Féminin,in Ruhe lassen = to leave alone,in Ruhe lassen = laisser tranquille,"Akk,",jemanden nicht stören
280,13,_____ bringen,in Schwierigkeiten,in Schwierigkeiten bringen,in Schwierigkeiten bringen,to get into trouble,mettre en difficulté,Plural,Pluriel,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,schwer machen
281,13,_____ verfolgen,ein Ziel,ein Ziel verfolgen,ein Ziel verfolgen,"to strive, to pursue a target",poursuivre un objectif,Neuter,Neutre,"ein Ziel verfolgen = to strive, to pursue a target",ein Ziel verfolgen = poursuivre un objectif,,
282,13,_____ leisten,einen Beitrag,einen Beitrag leisten,einen Beitrag leisten,to contribute,"apporter une contribution, contribuer",Masculine,Masculin,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",zu + Dative,
283,13,_____ haben,ein Recht,ein Recht haben,ein Recht haben,"to have a right, to be entitled to","avoir le droit, avoir un droit",Neuter,Neutre,"ein Recht haben = to have a right, to be entitled to","ein Recht haben = avoir le droit, avoir un droit",auf + Akk.,die Berechtigung haben
284,13,_____ treffen,eine Wahl,eine Wahl treffen,eine Wahl treffen,to make a choice,faire un choix,Feminine,Féminin,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,
285,13,_____ kommen,zur Ruhe,zur Ruhe kommen,zur Ruhe kommen,"to calm down, to relax","se calmer, se reposer",Feminine,Féminin,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,ruhig werden
286,14,sich Gedanken _____,machen,sich Gedanken machen,sich Gedanken machen,"to think about, to be concerned about","réfléchir, se faire du souci, être inquiet",,,"sich Gedanken machen = to think about, to be concerned about","sich Gedanken machen = réfléchir, se faire du souci, être inquiet",,
287,14,zur Diskussion _____,stehen,zur Diskussion stehen,zur Diskussion stehen,to be up to discuss,être en discussion,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,
288,14,zur Sprache _____,bringen,zur Sprache bringen,zur Sprache bringen,to bring something up,"aborder un sujet, évoquer un sujet",,,zur Sprache bringen = to bring something up,"zur Sprache bringen = aborder un sujet, évoquer un sujet",,
289,14,zur Sprache _____,kommen,zur Sprache kommen,zur Sprache kommen,to come up,"être évoqué, être abordé",,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,
290,14,einen Einfluss _____,haben,einen Einfluss haben,einen Einfluss haben,to have an influence,"avoir une influence, avoir de l'influence",,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,
291,14,einen Konflikt _____,lösen,einen Konflikt lösen,einen Konflikt lösen,"to resolve a conflict, to solve a conflict",résoudre un conflit,,,"einen Konflikt lösen = to resolve a conflict, to solve a conflict",einen Konflikt lösen = résoudre un conflit,,
292,14,zur Diskussion _____,stellen,zur Diskussion stellen,zur Diskussion stellen,to put up for discussion,soumettre à la discussion,,,zur Diskussion stellen = to put up for discussion,zur Diskussion stellen = soumettre à la discussion,,ansprechen
293,14,in Panik _____,geraten,in Panik geraten,in Panik geraten,to panic,paniquer,,,in Panik geraten = to panic,in Panik geraten = paniquer,,
294,14,in Ruhe _____,lassen,in Ruhe lassen,in Ruhe lassen,to leave alone,laisser tranquille,,,in Ruhe lassen = to leave alone,in Ruhe lassen = laisser tranquille,"Akk,",jemanden nicht stören
295,14,in Schwierigkeiten _____,bringen,in Schwierigkeiten bringen,in Schwierigkeiten bringen,to get into trouble,mettre en difficulté,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,schwer machen
296,14,ein Ziel _____,verfolgen,ein Ziel verfolgen,ein Ziel verfolgen,"to strive, to pursue a target",poursuivre un objectif,,,"ein Ziel verfolgen = to strive, to pursue a target",ein Ziel verfolgen = poursuivre un objectif,,
297,14,einen Beitrag _____,leisten,einen Beitrag leisten,einen Beitrag leisten,to contribute,"apporter une contribution, contribuer",,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,
298,14,ein Recht _____,haben,ein Recht haben,ein Recht haben,"to have a right, to be entitled to","avoir le droit, avoir un droit",,,"ein Recht haben = to have a right, to be entitled to","ein Recht haben = avoir le droit, avoir un droit",,
299,14,eine Wahl _____,treffen,eine Wahl treffen,eine Wahl treffen,to make a choice,faire un choix,,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,
300,14,zur Ruhe _____,kommen,zur Ruhe kommen,zur Ruhe kommen,"to calm down, to relax","se calmer, se reposer",,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,
301,15,"Ich mache mir oft _____ darüber, wie meine Zukunft aussehen wird.",Gedanken,sich Gedanken machen,"Ich mache mir oft Gedanken darüber, wie meine Zukunft aussehen wird.",I often think about what my future will look like.,Je me fais souvent des idées sur ce à quoi mon avenir ressemblera.,,,"sich Gedanken machen = to think about, to be concerned about","sich Gedanken machen = réfléchir, se faire du souci, être inquiet",,
302,15,"Man sollte sich nicht zu viele _____ machen, wenn etwas einmal nicht perfekt läuft.",Gedanken,sich Gedanken machen,"Man sollte sich nicht zu viele Gedanken machen, wenn etwas einmal nicht perfekt läuft.",You shouldn’t be too concerned if something doesn’t go perfectly once in a while.,Il ne faut pas trop s'inquiéter si quelque chose ne se passe pas parfaitement bien.,,,"sich Gedanken machen = to think about, to be concerned about","sich Gedanken machen = réfléchir, se faire du souci, être inquiet",,
303,15,"Es stehen mehrere Vorschläge _____, und wir wollen jeden davon sorgfältig prüfen.",zur Diskussion,zur Diskussion stehen,"Es stehen mehrere Vorschläge zur Diskussion, und wir wollen jeden davon sorgfältig prüfen.","Several proposals are up for discussion, and we want to examine each of them carefully.","Plusieurs propositions sont en discussion, et nous voulons examiner chacune d’elles attentivement.",,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,
304,15,"Ob die Regeln geändert werden sollen, steht heute im Ausschuss _____.",zur Diskussion,zur Diskussion stehen,"Ob die Regeln geändert werden sollen, steht heute im Ausschuss zur Diskussion.",Whether the rules should be changed is up for discussion in the committee today.,Le changement des règles est en discussion aujourd’hui au sein du comité.,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,
305,15,"Er wollte das Thema zunächst nicht _____ bringen, weil es sehr sensibel ist.",zur Sprache,zur Sprache bringen,"Er wollte das Thema zunächst nicht zur Sprache bringen, weil es sehr sensibel ist.",He didn’t want to bring up the topic at first because it is very sensitive.,"Il ne voulait pas aborder le sujet au début, car il est très sensible.",,,zur Sprache bringen = to bring something up,"zur Sprache bringen = aborder un sujet, évoquer un sujet",,
306,15,In der Sitzung wurde der Konflikt endlich _____ gebracht.,zur Sprache,zur Sprache bringen,In der Sitzung wurde der Konflikt endlich zur Sprache gebracht.,The conflict was finally brought up in the meeting.,Le conflit a finalement été abordé lors de la réunion.,,,zur Sprache bringen = to bring something up,"zur Sprache bringen = aborder un sujet, évoquer un sujet",,
307,15,In der Besprechung kam das Thema Budgetkürzungen schließlich _____.,zur Sprache,zur Sprache kommen,In der Besprechung kam das Thema Budgetkürzungen schließlich zur Sprache.,"In the meeting, the issue of budget cuts was finally brought up.","Lors de la réunion, la question des réductions budgétaires a finalement été abordée.",,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,
308,15,Während der Konferenz kamen viele wichtige Punkte _____.,zur Sprache,zur Sprache kommen,Während der Konferenz kamen viele wichtige Punkte zur Sprache.,"During the conference, many important points were mentioned.","Pendant la conférence, de nombreux points importants ont été abordés.",,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,
309,15,Der neue Trainer hat einen großen _____ auf die Entwicklung der jungen Spieler.,Einfluss,einen Einfluss haben,Der neue Trainer hat einen großen Einfluss auf die Entwicklung der jungen Spieler.,The new coach has a strong influence on the development of the young players.,Le nouvel entraîneur a une grande influence sur le développement des jeunes joueurs.,,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,
310,15,"Unsere Umgebung hat oft einen stärkeren _____ auf unsere Entscheidungen, als wir denken.",Einfluss,einen Einfluss haben,"Unsere Umgebung hat oft einen stärkeren Einfluss auf unsere Entscheidungen, als wir denken.",Our environment often has a stronger influence on our decisions than we think.,Notre environnement a souvent une influence plus forte sur nos décisions que nous ne le pensons.,,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,
311,15,"Ein Mediator kann helfen, einen _____ zwischen Kollegen zu lösen.",Konflikt,einen Konflikt lösen,"Ein Mediator kann helfen, einen Konflikt zwischen Kollegen zu lösen.",A mediator can help resolve a conflict between colleagues.,Un médiateur peut aider à résoudre un conflit entre collègues.,,,"einen Konflikt lösen = to resolve a conflict, to solve a conflict",einen Konflikt lösen = résoudre un conflit,,
312,15,"Um einen _____ dauerhaft zu lösen, müssen beide Seiten ehrlich miteinander sprechen.",Konflikt,einen Konflikt lösen,"Um einen Konflikt dauerhaft zu lösen, müssen beide Seiten ehrlich miteinander sprechen.","To resolve a conflict permanently, both sides must speak honestly with each other.","Pour résoudre un conflit durablement, les deux parties doivent se parler honnêtement.",,,"einen Konflikt lösen = to resolve a conflict, to solve a conflict",einen Konflikt lösen = résoudre un conflit,,
313,15,"Der Professor stellte eine provokante Frage _____, um die Studierenden zum Nachdenken zu bringen.",zur Diskussion,zur Diskussion stellen,"Der Professor stellte eine provokante Frage zur Diskussion, um die Studierenden zum Nachdenken zu bringen.",The professor put a provocative question up for discussion to make the students think.,Le professeur a soumis une question provocante à la discussion pour faire réfléchir les étudiants.,,,zur Diskussion stellen = to put up for discussion,zur Diskussion stellen = soumettre à la discussion,,
314,15,In der Sitzung wurde ein neuer Vorschlag _____ gestellt.,zur Diskussion,zur Diskussion stellen,In der Sitzung wurde ein neuer Vorschlag zur Diskussion gestellt.,A new proposal was put up for discussion in the meeting.,"Lors de la réunion, une nouvelle proposition a été mise en discussion.",,,zur Diskussion stellen = to put up for discussion,zur Diskussion stellen = soumettre à la discussion,,
315,15,"Als der Strom ausfiel, gerieten einige Fahrgäste im Aufzug _____.",in Panik,in Panik geraten,"Als der Strom ausfiel, gerieten einige Fahrgäste im Aufzug in Panik.","When the power went out, some passengers in the elevator panicked.","Quand le courant a été coupé, certains passagers dans l’ascenseur ont paniqué.",,,in Panik geraten = to panic,in Panik geraten = paniquer,,
316,15,"Man sollte nicht gleich _____ geraten, wenn etwas Unerwartetes passiert.",in Panik,in Panik geraten,"Man sollte nicht gleich in Panik geraten, wenn etwas Unerwartetes passiert.",You shouldn’t panic immediately when something unexpected happens.,Il ne faut pas paniquer tout de suite quand quelque chose d’inattendu arrive.,,,in Panik geraten = to panic,in Panik geraten = paniquer,,
317,15,Kannst du mich bitte für einen Moment _____ lassen? Ich muss mich konzentrieren.,in Ruhe,in Ruhe lassen,Kannst du mich bitte für einen Moment in Ruhe lassen? Ich muss mich konzentrieren.,Can you please leave me alone for a moment? I need to concentrate.,Peux-tu me laisser tranquille un moment? Je dois me concentrer.,,,in Ruhe lassen = to leave alone,in Ruhe lassen = laisser tranquille,,
318,15,"Er wollte eigentlich _____ gelassen werden, aber alle riefen ihn ständig an.",in Ruhe,in Ruhe lassen,"Er wollte eigentlich in Ruhe gelassen werden, aber alle riefen ihn ständig an.","He actually wanted to be left alone, but everyone kept calling him.","Il voulait juste qu’on le laisse tranquille, mais tout le monde l’appelait sans arrêt.",,,in Ruhe lassen = to leave alone,in Ruhe lassen = laisser tranquille,,
319,15,Sein unüberlegtes Verhalten hat die ganze Abteilung _____ gebracht.,in Schwierigkeiten,in Schwierigkeiten bringen,Sein unüberlegtes Verhalten hat die ganze Abteilung in Schwierigkeiten gebracht.,His careless behavior brought the entire department into trouble.,Son comportement irréfléchi a mis tout le service en difficulté.,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,
320,15,Mit solchen Aussagen kannst du uns wirklich _____ bringen.,in Schwierigkeiten,in Schwierigkeiten bringen,Mit solchen Aussagen kannst du uns wirklich in Schwierigkeiten bringen.,"With statements like that, you can really get us into trouble.","Avec de telles déclarations, tu peux vraiment nous mettre en difficulté.",,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,
321,15,"Wer ein großes _____ verfolgt, braucht Geduld und eine klare Strategie.",Ziel,ein Ziel verfolgen,"Wer ein großes Ziel verfolgt, braucht Geduld und eine klare Strategie.",Anyone who pursues a big goal needs patience and a clear strategy.,Celui qui poursuit un grand objectif a besoin de patience et d’une stratégie claire.,,,"ein Ziel verfolgen = to strive, to pursue a target",ein Ziel verfolgen = poursuivre un objectif,,
322,15,"Sie verfolgt das _____, in zwei Jahren ihr eigenes Unternehmen zu gründen.",Ziel,ein Ziel verfolgen,"Sie verfolgt das Ziel, in zwei Jahren ihr eigenes Unternehmen zu gründen.",She is pursuing the goal of starting her own company in two years.,Elle poursuit l’objectif de créer sa propre entreprise dans deux ans.,,,"ein Ziel verfolgen = to strive, to pursue a target",ein Ziel verfolgen = poursuivre un objectif,,
323,15,"Jeder Einzelne kann einen _____ leisten, um die Umwelt zu schützen.",Beitrag,einen Beitrag leisten,"Jeder Einzelne kann einen Beitrag leisten, um die Umwelt zu schützen.",Every individual can make a contribution to protecting the environment.,Chacun peut apporter sa contribution pour protéger l’environnement.,,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,
324,15,Durch seine Forschung hat er einen wichtigen _____ zur Wissenschaft geleistet.,Beitrag,einen Beitrag leisten,Durch seine Forschung hat er einen wichtigen Beitrag zur Wissenschaft geleistet.,"Through his research, he made an important contribution to science.","Grâce à ses recherches, il a apporté une contribution importante à la science.",,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,
325,15,"Jeder hat _____ darauf, seine Meinung frei zu äußern.",ein Recht,ein Recht haben,"Jeder hat ein Recht darauf, seine Meinung frei zu äußern.",Everyone has the right to express their opinion freely.,Chacun a le droit d’exprimer librement son opinion.,,,"ein Recht haben = to have a right, to be entitled to","ein Recht haben = avoir le droit, avoir un droit",,
326,15,"Als Mitarbeiter hast du _____ darauf zu wissen, wie deine Daten verwendet werden.",ein Recht,ein Recht haben,"Als Mitarbeiter hast du ein Recht darauf zu wissen, wie deine Daten verwendet werden.","As an employee, you have the right to know how your data is being used.","En tant qu’employé, tu as le droit de savoir comment tes données sont utilisées.",,,"ein Recht haben = to have a right, to be entitled to","ein Recht haben = avoir le droit, avoir un droit",,
327,15,"Irgendwann muss man eine _____ treffen, auch wenn keine Option perfekt ist.",Wahl,eine Wahl treffen,"Irgendwann muss man eine Wahl treffen, auch wenn keine Option perfekt ist.","At some point, you have to make a choice, even if no option is perfect.","À un moment donné, il faut faire un choix, même si aucune option n’est parfaite.",,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,
328,15,Sie hat eine klare _____ getroffen und sich für die Stelle im Ausland entschieden.,Wahl,eine Wahl treffen,Sie hat eine klare Wahl getroffen und sich für die Stelle im Ausland entschieden.,She made a clear choice and decided on the position abroad.,Elle a fait un choix clair et a choisi le poste à l’étranger.,,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,
329,15,"Nach einem langen Arbeitstag fällt es mir schwer, _____ zu kommen.",zur Ruhe,zur Ruhe kommen,"Nach einem langen Arbeitstag fällt es mir schwer, zur Ruhe zu kommen.","After a long workday, I find it hard to calm down.","Après une longue journée de travail, j’ai du mal à me calmer.",,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,
330,15,"Erst als die Kinder im Bett waren, konnte die Familie endlich _____ kommen.",zur Ruhe,zur Ruhe kommen,"Erst als die Kinder im Bett waren, konnte die Familie endlich zur Ruhe kommen.",Only when the children were in bed could the family finally settle down.,Ce n’est que lorsque les enfants étaient au lit que la famille a enfin pu se détendre.,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,
331,16,"Wir müssen uns ernsthaft Gedanken _____, wie wir die Situation verbessern können.",machen,sich Gedanken machen,"Wir müssen uns ernsthaft Gedanken machen, wie wir die Situation verbessern können.",We seriously need to think about how we can improve the situation.,Nous devons sérieusement réfléchir à la manière d’améliorer la situation.,,,"sich Gedanken machen = to think about, to be concerned about","sich Gedanken machen = réfléchir, se faire du souci, être inquiet",,
332,16,"Sie _____ sich große Gedanken, weil sie seit Tagen keine Rückmeldung bekommen hatte.",machte,sich Gedanken machen,"Sie machte sich große Gedanken, weil sie seit Tagen keine Rückmeldung bekommen hatte.",She was very concerned because she hadn’t received any feedback for days.,Elle était très inquiète car elle n'avait pas eu de nouvelles depuis des jours.,,,"sich Gedanken machen = to think about, to be concerned about","sich Gedanken machen = réfléchir, se faire du souci, être inquiet",,
333,16,Neue Maßnahmen zur Verbesserung des Arbeitsklimas _____ zur Diskussion.,stehen,zur Diskussion stehen,Neue Maßnahmen zur Verbesserung des Arbeitsklimas stehen zur Diskussion.,New measures to improve the working atmosphere are up for debate.,De nouvelles mesures pour améliorer l’ambiance de travail sont en discussion.,,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,
334,16,"Das Thema Datenschutz _____ seit Wochen zur Diskussion, aber eine Entscheidung wurde noch nicht getroffen.",steht,zur Diskussion stehen,"Das Thema Datenschutz steht seit Wochen zur Diskussion, aber eine Entscheidung wurde noch nicht getroffen.","The issue of data protection has been up for discussion for weeks, but no decision has been made yet.","Le sujet de la protection des données est en discussion depuis des semaines, mais aucune décision n’a encore été prise.",,,zur Diskussion stehen = to be up to discuss,zur Diskussion stehen = être en discussion,,
335,16,"Sie hat zur Sprache _____, dass viele Mitarbeiter sich überlastet fühlen.",gebracht,zur Sprache bringen,"Sie hat zur Sprache gebracht, dass viele Mitarbeiter sich überlastet fühlen.",She brought up that many employees feel overworked.,Elle a évoqué que beaucoup d’employés se sentent surchargés.,,,zur Sprache bringen = to bring something up,"zur Sprache bringen = aborder un sujet, évoquer un sujet",,
336,16,"Wenn du ein Problem hast, solltest du es frühzeitig zur Sprache _____, bevor es größer wird.",bringen,zur Sprache bringen,"Wenn du ein Problem hast, solltest du es frühzeitig zur Sprache bringen, bevor es größer wird.","If you have a problem, you should bring it up early before it grows.","Si tu as un problème, tu devrais l’aborder tôt avant qu’il ne s’aggrave.",,,zur Sprache bringen = to bring something up,"zur Sprache bringen = aborder un sujet, évoquer un sujet",,
337,16,"Der Vorfall _____ erst zur Sprache, als die Presse darüber berichtet hatte.",kam,zur Sprache kommen,"Der Vorfall kam erst zur Sprache, als die Presse darüber berichtet hatte.",The incident only came up once the press had reported on it.,L’incident n’a été abordé qu’après que la presse en a parlé.,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,
338,16,"Manche Probleme _____ erst zur Sprache, wenn jemand den Mut hat, sie anzusprechen.",kommen,zur Sprache kommen,"Manche Probleme kommen erst zur Sprache, wenn jemand den Mut hat, sie anzusprechen.",Some problems only come up when someone has the courage to address them.,Certains problèmes ne sont abordés que lorsque quelqu’un a le courage de les évoquer.,,,zur Sprache kommen = to come up,"zur Sprache kommen = être évoqué, être abordé",,
339,16,Medien können einen erheblichen Einfluss auf die öffentliche Meinung _____.,haben,einen Einfluss haben,Medien können einen erheblichen Einfluss auf die öffentliche Meinung haben.,Media can have a significant influence on public opinion.,Les médias peuvent avoir une influence considérable sur l’opinion publique.,,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,
340,16,"Seine Familie _____ einen großen Einfluss darauf, welchen Beruf er gewählt hat.",hatte,einen Einfluss haben,"Seine Familie hatte einen großen Einfluss darauf, welchen Beruf er gewählt hat.",His family had a strong influence on the career he chose.,Sa famille a eu une grande influence sur le métier qu’il a choisi.,,,einen Einfluss haben = to have an influence,"einen Einfluss haben = avoir une influence, avoir de l'influence",,
341,16,"Die Leitung versprach, den Konflikt schnell zu _____, bevor er eskaliert.",lösen,einen Konflikt lösen,"Die Leitung versprach, den Konflikt schnell zu lösen, bevor er eskaliert.",Management promised to resolve the conflict quickly before it escalates.,La direction a promis de résoudre le conflit rapidement avant qu’il n’escalade.,,,"einen Konflikt lösen = to resolve a conflict, to solve a conflict",einen Konflikt lösen = résoudre un conflit,,
342,16,"Man kann einen Konflikt oft leichter _____, wenn man die Interessen des anderen versteht.",lösen,einen Konflikt lösen,"Man kann einen Konflikt oft leichter lösen, wenn man die Interessen des anderen versteht.",You can often solve a conflict more easily if you understand the other person's interests.,On peut souvent résoudre un conflit plus facilement si on comprend les intérêts de l’autre.,,,"einen Konflikt lösen = to resolve a conflict, to solve a conflict",einen Konflikt lösen = résoudre un conflit,,
343,16,"Wir wollen mehrere Möglichkeiten zur Diskussion _____, bevor wir eine Entscheidung treffen.",stellen,zur Diskussion stellen,"Wir wollen mehrere Möglichkeiten zur Diskussion stellen, bevor wir eine Entscheidung treffen.",We want to present several options for discussion before making a decision.,Nous voulons soumettre plusieurs options à la discussion avant de prendre une décision.,,,zur Diskussion stellen = to put up for discussion,zur Diskussion stellen = soumettre à la discussion,,
344,16,"Der Bericht wurde offiziell zur Diskussion _____, damit alle Beteiligten Stellung nehmen können.",gestellt,zur Diskussion stellen,"Der Bericht wurde offiziell zur Diskussion gestellt, damit alle Beteiligten Stellung nehmen können.",The report was officially put up for debate so that all parties can comment.,Le rapport a été officiellement soumis à la discussion afin que toutes les parties puissent donner leur avis.,,,zur Diskussion stellen = to put up for discussion,zur Diskussion stellen = soumettre à la discussion,,
345,16,"Die Bevölkerung _____ in Panik, als falsche Informationen verbreitet wurden.",geriet,in Panik geraten,"Die Bevölkerung geriet in Panik, als falsche Informationen verbreitet wurden.",The population panicked when false information was spread.,La population a paniqué lorsque de fausses informations ont été diffusées.,,,in Panik geraten = to panic,in Panik geraten = paniquer,,
346,16,"Einige Schüler _____ in Panik, als sie hörten, dass die Prüfung vorgezogen wird.",gerieten,in Panik geraten,"Einige Schüler gerieten in Panik, als sie hörten, dass die Prüfung vorgezogen wird.",Several students panicked when they heard that the exam would be moved forward.,Plusieurs élèves ont paniqué lorsqu’ils ont appris que l’examen était avancé.,,,in Panik geraten = to panic,in Panik geraten = paniquer,,
