Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
2308,102,C1,aufhalten,,"to stop, to stay, to delay","arrêter, rester, retarder",3. no help,auf,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
2309,102,C1,aufheben,,"to abolish, to lift, to pick up, to keep","abolir, lever, ramasser, garder",3. no help,auf,heben,"to lift, to raise","soulever, élever"
2310,102,C1,aufladen,,"to charge, to load, to burden, to impose","charger, accabler, imposer",3. no help,auf,laden,"to load, to charge, to invite","charger, inviter"
2311,102,C1,auflösen,,"to dissolve, to resolve, to annul, to liquidate","dissoudre, résoudre, annuler, liquider",3. no help,auf,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever"
2312,102,C1,aufsteigen,,"to rise, to ascend, to advance, to climb","s'élever, monter, avancer, grimper",3. no help,auf,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever"
2313,102,C1,einfügen,,"to insert, to infix, to conform","insérer, infixer, se conformer",3. no help,ein,fügen,"to acquiesce, to comply, to fit together","acquiescer, se conformer, s'adapter"
2314,102,C1,einleiten,,"to introduce, to initiate, to commence","introduire, initier, commencer",3. no help,ein,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire"
2315,102,C1,eintragen,,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire",3. no help,ein,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
2316,102,C1,eintreten,,"to enter, to join, to occur","entrer, se joindre, se produire",3. no help,ein,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
2317,102,C1,nachweisen,,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",3. no help,nach,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
2318,102,C1,vorlegen,,"to present, to submit, to bring forward","présenter, soumettre, avancer",3. no help,vor,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
2319,102,C1,vorkommen,,"to occur, to happen, to advance","se produire, arriver, progresser",3. no help,vor,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
2320,102,C1,voraussetzen,,"to presume, to require, to assume","présumer, exiger, supposer",3. no help,vor,aussetzen,"to pause, to suspend something, to abandon someone, to expose oneself to something (refl.)","faire une pause, suspendre quelque chose, abandonner quelqu'un, s'exposer à quelque chose (réfl.)"
2321,102,C1,weitergeben,,"to pass on, to impart, to relay","transmettre, relayer",3. no help,weiter,geben,to give,donner
2322,102,C1,zuordnen,,"to assign, to allocate","attribuer, allouer",3. no help,zu,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer"
2323,102,C1,zugehen,,"to approach, to close, to happen","s'approcher, se fermer, se produire",3. no help,zu,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
2324,102,C1,zurückgeben,,"to return, to give back, to answer back","rendre, répondre",3. no help,zurück,geben,to give,donner
2325,102,C1,zurückhalten,,"to restrain, to hold back, to withhold","restreindre, retenir",3. no help,zurück,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
2326,102,C1,beherrschen,,"to dominate, to master, to control, to rule","dominer, maîtriser, contrôler, régner",3. no help,be,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler"
2327,102,C1,beklagen,,"to complain, to lament, to air grievances","se plaindre, se lamenter, exprimer des griefs",3. no help,be,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice"
2328,102,C1,benennen,,"to name, to designate, to appoint","nommer, désigner",3. no help,be,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner"
2329,102,C1,besetzen,,"to occupy, to border, to cast","occuper, border, jeter",3. no help,be,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
2330,102,C1,erfordern,,"to require, to demand, to necessitate","exiger, nécessiter",3. no help,er,fordern,"to demand, to require, to call for","exiger, requérir, réclamer"
2331,102,C1,ergreifen,,"to seize, to grasp, to take hold of","saisir, s'emparer de",3. no help,er,greifen,"to grab, to grasp, to seize","saisir, s'emparer"
2332,102,C1,erarbeiten,,"to develop, to elaborate, to work out, to acquire","développer, élaborer, acquérir",3. no help,er,arbeiten,to work,travailler
2333,102,C1,versehen,,"to provide, to equip, to supply","fournir, équiper, approvisionner",3. no help,ver,sehen,"to see, to realise","voir, se rendre compte"
2334,102,C1,verpacken,,"to pack, to wrap, to package","emballer, envelopper, conditionner",3. no help,ver,packen,"to pack, to grab, to manage","emballer, saisir, gérer"
2335,102,C1,verschreiben,,"to prescribe, to commit oneself to, to misspell by accident","prescrire, s'engager à, faire une faute d'orthographe par accident",3. no help,ver,schreiben,to write,écrire
2336,102,C1,versichern,,"to assure, to insure, to cover","assurer, couvrir",3. no help,ver,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder"
2337,102,C1,vertreiben,,"to expel, to dislodge, to displace","expulser, déloger, déplacer",3. no help,ver,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever"
2338,102,C1,anlegen,,"to create, to invest","créer, investir",3. no help,an,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
2339,102,C1,eingehen,,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose",3. no help,ein,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
2340,102,C1,abrufen,,"to retrieve, to access, to call away","récupérer, accéder, appeler",3. no help,ab,rufen,"to call, to shout, to summon","appeler, crier, convoquer"
2341,102,C1,aufweisen,,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter",3. no help,auf,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
2342,102,C1,einschließen,,"to include, to enclose, to lock up, to surround","inclure, enfermer, entourer",3. no help,ein,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
2343,102,C1,eingeben,,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",3. no help,ein,geben,to give,donner
2344,102,C1,vorliegen,,"to exist, to be available","exister, être disponible",3. no help,vor,liegen,"to lie, to be located","être allongé, être localisé"
2345,102,C1,vornehmen,,"to undertake, to carry out","entreprendre, réaliser",3. no help,vor,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
2346,102,C1,vorgehen,,"to proceed, to advance, to go ahead","procéder, avancer, aller de l'avant",3. no help,vor,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
2347,102,C1,vorwerfen,,"to reproach, to accuse of, to allege","reprocher, accuser de, alléguer",3. no help,vor,werfen,to throw,"jeter, lancer"
2348,102,C1,betreffen,,"to concern, to affect","concerner, affecter",3. no help,be,treffen,"to meet, to encounter","rencontrer, se rencontrer"
2349,102,C1,beziehen,,"to refer, to obtain","se référer, obtenir",3. no help,be,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
2350,102,C1,bedenken,,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre",3. no help,be,denken,"to think, to consider","penser, considérer"
2351,102,C1,befassen,,"to address, to deal with, to attend to","s'adresser à, traiter, s'occuper de",3. no help,be,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
2352,102,C1,erfassen,,"to record, to capture","enregistrer, capturer",3. no help,er,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
2353,102,C1,erweisen,,"to prove (passively), to turn out to be, to show","prouver (passivement), s'avérer être, montrer",3. no help,er,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
2354,102,C1,verstärken,,"to amplify, to intensify, to strengthen","amplifier, intensifier, renforcer",3. no help,ver,stärken,"to strengthen, to reinforce","renforcer, consolider"
2355,102,C1,übergeben,,"to hand over, to vomit (refl.)","remettre, vomir (réfl.)",3. no help,über,geben,to give,donner
2356,102,C1,überschreiten,,"to exceed, to overstep, to surpass","dépasser, outrepasser, surpasser",3. no help,über,schreiten,"to stride, to proceed, to step (formal)","marcher à grands pas, avancer, faire un pas (formel)"
2357,102,C1,umfassen,,"to include, to comprise","inclure, comprendre",3. no help,um,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
2358,102,C1,umgeben,,"to surround, to enclose, to encompass","entourer, enfermer, englober",3. no help,um,geben,to give,donner
2359,102,C1,unterliegen,,"to be subject to, to undergo","être soumis à, subir",3. no help,unter,liegen,"to lie, to be located","être allongé, être localisé"
2360,102,C1,übertreiben,,"to exaggerate, to overdo","exagérer, exagérer",3. no help,über,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever"
2361,102,C1,umtauschen,,"to convert, to exchange (currency)","convertir, échanger (monnaie)",3. no help,um,tauschen,"to swap, to trade, to exchange","échanger, troquer, échanger"
2362,102,C1,begeben,,,,3. no help,be,,,
2363,102,C1,ablösen,,"to remove, to detach, to replace","enlever, détacher, remplacer",3. no help,,,,
2364,102,C1,abschneiden,,"to cut off, to amputate, to block","couper, amputer, bloquer",3. no help,,,,
2365,102,C1,abweichen,,"to depart (from), to soak off","partir (de), s'imprégner",3. no help,,,,
2366,102,C1,abwenden,,"to turn away, to avert, to abandon","se détourner, détourner, abandonner",3. no help,,,,
2367,102,C1,ansiedeln,,,,3. no help,,,,
2368,102,C1,aufklären,,,,3. no help,,,,
2369,102,C1,aufschreiben,,,,3. no help,,,,
2370,102,C1,einreichen,,,,3. no help,,,,
2371,102,C1,einschlagen,,,,3. no help,,,,
2372,102,C1,vorbeugen,,,,3. no help,,,,
2373,102,C1,zulegen,,,,3. no help,,,,
2374,102,C1,entgegenkommen,,,,3. no help,,,,
2375,102,C1,erforschen,,,,3. no help,,,,
2376,102,C1,erkundigen,,,,3. no help,,,,
2377,102,C1,erleiden,,,,3. no help,,,,
2378,102,C1,erziehen,,,,3. no help,,,,
2379,102,C1,verdanken,,,,3. no help,,,,
2380,102,C1,verdoppeln,,,,3. no help,,,,
2381,102,C1,vereinfachen,,,,3. no help,,,,
2382,102,C1,verknüpfen,,,,3. no help,,,,
2383,102,C1,verwirklichen,,,,3. no help,,,,
2384,102,C1,umstellen,,"to relocate, to adapt, to change","déménager, s'adapter, changer",3. no help,,,,
2385,102,C1,umarmen,,,,3. no help,,,,
2386,102,C1,angehen,,"to concern, to tackle (a problem), to turn on (a machine)","s'inquiéter, s'attaquer (à un problème), mettre en marche (une machine)",3. no help,an,,,
2387,102,C1,antreten,,"to begin, to compete","commencer, concourir",3. no help,an,,,
2388,102,C1,aufstellen,,"to set up, to establish","mettre en place, établir",3. no help,auf,,,
2389,102,C1,anklicken,,,,3. no help,,,,
2390,102,C1,einpacken,,,,3. no help,,,,
2391,102,C1,nachfragen,,,,3. no help,,,,
2392,102,C1,vorsehen,,"to plan, to provide for","planifier, prévoir",3. no help,,,,
2393,102,C1,vorbeikommen,,,,3. no help,,,,
2394,102,C1,weiterführen,,,,3. no help,,,,
2395,102,C1,weiterleiten,,,,3. no help,,,,
2396,102,C1,zurückblicken,,,,3. no help,,,,
2397,102,C1,beeinträchtigen,,,,3. no help,,,,
2398,102,C1,beinhalten,,,,3. no help,,,,
2399,102,C1,bereitstellen,,,,3. no help,,,,
2400,102,C1,bemalen,,,,3. no help,,,,
2401,102,C1,erläutern,,"to explain, to clarify","expliquer, clarifier",3. no help,,,,
2402,102,C1,erlassen,,,,3. no help,,,,
2403,102,C1,gestatten,,,,3. no help,,,,
2404,102,C1,verweisen,,"to refer, to direct","se référer, diriger",3. no help,,,,
2405,102,C1,verabreden,,"to arrange, to make an appointment","prendre rendez-vous, convenir d'un rendez-vous",3. no help,,,,
2406,102,C1,vergehen,,,,3. no help,,,,
2407,102,C1,vermieten,,,,3. no help,,,,
2408,102,C1,zerschlagen,,,,3. no help,,,,
2409,102,C1,durchsetzen,,"to enforce, to assert","faire respecter, affirmer",3. no help,,,,
2410,102,C1,überholen,,,,3. no help,,,,
2411,102,C1,überreichen,,,,3. no help,,,,
2412,102,C1,umbringen,,"to kill, to murder, to be very angry at someone","tuer, assassiner, être très en colère contre quelqu'un",3. no help,,,,
2413,102,C1,umbauen,,,,3. no help,,,,
2414,102,C1,umsteigen,,,,3. no help,,,,
2415,106,C2,beschützen,,"to protect, defend (security)","protéger, défendre (sécurité)",3. no help,be,schützen,"to defend (lawyer), to protect (sunprotection)","défendre (avocat), protéger (protection solaire)"
2416,106,C2,unterzeichnen,,to sign (formal),signer (formel),3. no help,unter,zeichnen,"to draw, to sketch","dessiner, esquisser"
2417,106,C2,entschließen,,to decide (to do something) (refl.),décider (de faire quelque chose) (réfl.),3. no help,ent,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
2418,106,C2,verheiraten,,"to marry (to perform the marriage), to get married (refl.)","se marier (célébrer le mariage), se marier (réfl.)",3. no help,ver,heiraten,to marry,se marier
2419,106,C2,verschweigen,,to conceal,dissimuler,3. no help,ver,schweigen,"to be silent, to say nothing","se taire, ne rien dire"
2420,106,C2,angreifen,,to attack,attaquer,3. no help,an,,,
2421,106,C2,einprägen,,to memorize,mémoriser,3. no help,ein,,,
2422,106,C2,einschreiben,,"to sign up, to enroll","s'inscrire, s'inscrire",3. no help,ein,,,
2423,106,C2,weiterempfehlen,,,,3. no help,,,,
2424,106,C2,abarbeiten,,,,3. no help,,,,
2425,106,C2,abbiegen,,,,3. no help,,,,
2426,106,C2,abdecken,,,,3. no help,,,,
2427,106,C2,abfangen,,,,3. no help,,,,
2428,106,C2,abfinden,,,,3. no help,,,,
2429,106,C2,abfragen,,,,3. no help,,,,
2430,106,C2,abführen,,,,3. no help,,,,
2431,106,C2,abgehen,,,,3. no help,,,,
2432,106,C2,abgrenzen,,,,3. no help,,,,
2433,106,C2,abhaken,,,,3. no help,,,,
2434,106,C2,abhalten,,,,3. no help,,,,
2435,106,C2,abklären,,,,3. no help,,,,
2436,106,C2,ablegen,,,,3. no help,,,,
2437,106,C2,ablesen,,,,3. no help,,,,
2438,106,C2,abliefern,,,,3. no help,,,,
2439,106,C2,abmelden,,,,3. no help,,,,
2440,106,C2,abrechnen,,,,3. no help,,,,
2441,106,C2,abrunden,,,,3. no help,,,,
2442,106,C2,abschaffen,,,,3. no help,,,,
2443,106,C2,abschalten,,,,3. no help,,,,
2444,106,C2,abschieben,,,,3. no help,,,,
2445,106,C2,abschmecken,,,,3. no help,,,,
2446,106,C2,abschrecken,,,,3. no help,,,,
2447,106,C2,abschreiben,,,,3. no help,,,,
2448,106,C2,abschätzen,,,,3. no help,,,,
2449,106,C2,absetzen,,,,3. no help,,,,
2450,106,C2,absichern,,,,3. no help,,,,
2451,106,C2,abspielen,,,,3. no help,,,,
2452,106,C2,absprechen,,,,3. no help,,,,
2453,106,C2,absteigen,,,,3. no help,,,,
2454,106,C2,abstellen,,,,3. no help,,,,
2455,106,C2,abstürzen,,,,3. no help,,,,
2456,106,C2,abtreten,,,,3. no help,,,,
2457,106,C2,abverlangen,,,,3. no help,,,,
2458,106,C2,abwarten,,,,3. no help,,,,
2459,106,C2,abwechseln,,,,3. no help,,,,
2460,106,C2,abwehren,,,,3. no help,,,,
2461,106,C2,abweisen,,,,3. no help,,,,
2462,106,C2,abwickeln,,,,3. no help,,,,
2463,106,C2,abwägen,,,,3. no help,,,,
2464,106,C2,abzeichnen,,,,3. no help,,,,
2465,106,C2,anhören,,to listen to someone,écouter quelqu'un,3. no help,,,,
2466,106,C2,anfragen,,,,3. no help,,,,
2467,106,C2,anbauen,,,,3. no help,,,,
2468,106,C2,anbinden,,,,3. no help,,,,
2469,106,C2,anbraten,,,,3. no help,,,,
2470,106,C2,anbringen,,,,3. no help,,,,
2471,106,C2,andauern,,,,3. no help,,,,
2472,106,C2,andeuten,,,,3. no help,,,,
2473,106,C2,aneignen,,,,3. no help,,,,
2474,106,C2,anfahren,,,,3. no help,,,,
2475,106,C2,anfallen,,,,3. no help,,,,
2476,106,C2,anfertigen,,,,3. no help,,,,
2477,106,C2,anfordern,,,,3. no help,,,,
2478,106,C2,anfühlen,,,,3. no help,,,,
2479,106,C2,angehören,,,,3. no help,,,,
2480,106,C2,angucken,,,,3. no help,,,,
2481,106,C2,anheben,,,,3. no help,,,,
2482,106,C2,animieren,,,,3. no help,,,,
2483,106,C2,anklagen,,,,3. no help,,,,
2484,106,C2,anknüpfen,,,,3. no help,,,,
2485,106,C2,ankurbeln,,,,3. no help,,,,
2486,106,C2,anlaufen,,,,3. no help,,,,
2487,106,C2,anlocken,,,,3. no help,,,,
2488,106,C2,anmerken,,,,3. no help,,,,
2489,106,C2,anordnen,,,,3. no help,,,,
2490,106,C2,anpacken,,,,3. no help,,,,
2491,106,C2,anrechnen,,,,3. no help,,,,
2492,106,C2,anreichern,,,,3. no help,,,,
2493,106,C2,anreisen,,,,3. no help,,,,
2494,106,C2,anrichten,,,,3. no help,,,,
2495,106,C2,ansagen,,,,3. no help,,,,
2496,106,C2,anschlagen,,,,3. no help,,,,
2497,106,C2,anschreiben,,,,3. no help,,,,
2498,106,C2,ansetzen,,,,3. no help,,,,
2499,106,C2,anspannen,,,,3. no help,,,,
2500,106,C2,anstecken,,,,3. no help,,,,
2501,106,C2,anstehen,,,,3. no help,,,,
2502,106,C2,ansteigen,,to increase,augmenter,3. no help,,,,
2503,106,C2,ansteuern,,,,3. no help,,,,
2504,106,C2,anstossen,,,,3. no help,,,,
2505,106,C2,anstreben,,,,3. no help,,,,
2506,106,C2,anstrengen,,,,3. no help,,,,
2507,106,C2,antreffen,,,,3. no help,,,,
2508,106,C2,antreiben,,,,3. no help,,,,
2509,106,C2,anvertrauen,,,,3. no help,,,,
2510,106,C2,anwachsen,,,,3. no help,,,,
2511,106,C2,anweisen,,,,3. no help,,,,
2512,106,C2,anzünden,,,,3. no help,,,,
2513,106,C2,antun,,"to do something to someone, to appeal to someone","faire quelque chose à quelqu'un, faire appel à quelqu'un",3. no help,,,,
2514,106,C2,angeln,,,,3. no help,,,,
2515,106,C2,anhaben,,,,3. no help,,,,
2516,106,C2,aufmerken,,to pay attention,faire attention,3. no help,,,,
2517,106,C2,aufarbeiten,,,,3. no help,,,,
2518,106,C2,aufbereiten,,,,3. no help,,,,
2519,106,C2,aufbewahren,,,,3. no help,,,,
2520,106,C2,aufbrauchen,,,,3. no help,,,,
2521,106,C2,aufbringen,,,,3. no help,,,,
2522,106,C2,aufdecken,,,,3. no help,,,,
2523,106,C2,auferlegen,,,,3. no help,,,,
2524,106,C2,auffangen,,,,3. no help,,,,
2525,106,C2,auffinden,,,,3. no help,,,,
2526,106,C2,auffüllen,,,,3. no help,,,,
2527,106,C2,aufgehen,,,,3. no help,,,,
2528,106,C2,aufgreifen,,,,3. no help,,,,
2529,106,C2,aufholen,,,,3. no help,,,,
2530,106,C2,aufhängen,,,,3. no help,,,,
2531,106,C2,aufkommen,,,,3. no help,,,,
2532,106,C2,auflaufen,,,,3. no help,,,,
2533,106,C2,auflegen,,,,3. no help,,,,
2534,106,C2,auflisten,,,,3. no help,,,,
2535,106,C2,aufrechterhalten,,,,3. no help,,,,
2536,106,C2,aufrufen,,,,3. no help,,,,
2537,106,C2,aufschlagen,,,,3. no help,,,,
2538,106,C2,aufschließen,,,,3. no help,,,,
2539,106,C2,aufsetzen,,,,3. no help,,,,
2540,106,C2,aufspielen,,,,3. no help,,,,
2541,106,C2,aufspüren,,,,3. no help,,,,
2542,106,C2,aufstocken,,,,3. no help,,,,
2543,106,C2,aufsuchen,,,,3. no help,,,,
2544,106,C2,aufteilen,,,,3. no help,,,,
2545,106,C2,auftragen,,,,3. no help,,,,
2546,106,C2,aufwarten,,,,3. no help,,,,
2547,106,C2,aufwenden,,,,3. no help,,,,
2548,106,C2,aufwerten,,,,3. no help,,,,
2549,106,C2,aufzeichnen,,,,3. no help,,,,
2550,106,C2,aufzeigen,,,,3. no help,,,,
2551,106,C2,aufziehen,,,,3. no help,,,,
2552,106,C2,einbauen,,,,3. no help,,,,
2553,106,C2,einarbeiten,,,,3. no help,,,,
2554,106,C2,einberufen,,,,3. no help,,,,
2555,106,C2,einbetten,,,,3. no help,,,,
2556,106,C2,einbinden,,,,3. no help,,,,
2557,106,C2,einbrechen,,,,3. no help,,,,
2558,106,C2,einbringen,,,,3. no help,,,,
2559,106,C2,einbüssen,,,,3. no help,,,,
2560,106,C2,eindringen,,,,3. no help,,,,
2561,106,C2,eindämmen,,,,3. no help,,,,
2562,106,C2,einfahren,,,,3. no help,,,,
2563,106,C2,einfangen,,,,3. no help,,,,
2564,106,C2,einfinden,,,,3. no help,,,,
2565,106,C2,einfliessen,,,,3. no help,,,,
2566,106,C2,einfordern,,,,3. no help,,,,
2567,106,C2,eingestehen,,,,3. no help,,,,
2568,106,C2,eingreifen,,,,3. no help,,,,
2569,106,C2,einhalten,,,,3. no help,,,,
2570,106,C2,einhergehen,,,,3. no help,,,,
2571,106,C2,einholen,,,,3. no help,,,,
2572,106,C2,einkehren,,,,3. no help,,,,
2573,106,C2,einlassen,,,,3. no help,,,,
2574,106,C2,einlegen,,,,3. no help,,,,
2575,106,C2,einliefern,,,,3. no help,,,,
2576,106,C2,einloggen,,,,3. no help,,,,
2577,106,C2,einläuten,,,,3. no help,,,,
2578,106,C2,einlösen,,,,3. no help,,,,
2579,106,C2,einmischen,,,,3. no help,,,,
2580,106,C2,einordnen,,,,3. no help,,,,
2581,106,C2,einplanen,,,,3. no help,,,,
2582,106,C2,einräumen,,,,3. no help,,,,
2583,106,C2,einsammeln,,,,3. no help,,,,
2584,106,C2,einschätzen,,,,3. no help,,,,
2585,106,C2,einsehen,,,,3. no help,,,,
2586,106,C2,einsenden,,,,3. no help,,,,
2587,106,C2,einsparen,,,,3. no help,,,,
2588,106,C2,einspielen,,,,3. no help,,,,
2589,106,C2,einstecken,,,,3. no help,,,,
2590,106,C2,einstimmen,,,,3. no help,,,,
2591,106,C2,einstudieren,,,,3. no help,,,,
2592,106,C2,einstufen,,,,3. no help,,,,
2593,106,C2,eintauchen,,,,3. no help,,,,
2594,106,C2,einteilen,,,,3. no help,,,,
2595,106,C2,eintreffen,,,,3. no help,,,,
2596,106,C2,einweihen,,,,3. no help,,,,
2597,106,C2,einwirken,,,,3. no help,,,,
2598,106,C2,einzahlen,,,,3. no help,,,,
2599,106,C2,herkommen,,"to come over, come here (towards the speaker), to come from","venir, venir ici (vers l'orateur), venir de",3. no help,,,,
2600,106,C2,herausfordern,,,,3. no help,,,,
2601,106,C2,heranführen,,,,3. no help,,,,
2602,106,C2,heranziehen,,,,3. no help,,,,
2603,106,C2,herausbringen,,,,3. no help,,,,
2604,106,C2,herausgeben,,,,3. no help,,,,
2605,106,C2,herausholen,,,,3. no help,,,,
2606,106,C2,herauskommen,,,,3. no help,,,,
2607,106,C2,herausnehmen,,,,3. no help,,,,
2608,106,C2,herausstellen,,,,3. no help,,,,
2609,106,C2,herbeiführen,,,,3. no help,,,,
2610,106,C2,hergeben,,,,3. no help,,,,
2611,106,C2,herrichten,,,,3. no help,,,,
2612,106,C2,hervorbringen,,,,3. no help,,,,
2613,106,C2,hervorgehen,,,,3. no help,,,,
2614,106,C2,hervorrufen,,,,3. no help,,,,
2615,106,C2,hindern,,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,3. no help,,,,
2616,106,C2,hingehen,,"to go (there), (of time) to pass","aller (là-bas), (du temps) passer",3. no help,,,,
2617,106,C2,hinzufügen,,to add,ajouter,3. no help,,,,
2618,106,C2,hinausgehen,,,,3. no help,,,,
2619,106,C2,hinbekommen,,,,3. no help,,,,
2620,106,C2,hingeben,,,,3. no help,,,,
2621,106,C2,hinlegen,,,,3. no help,,,,
2622,106,C2,hinnehmen,,,,3. no help,,,,
2623,106,C2,hinschauen,,,,3. no help,,,,
2624,106,C2,hinterfragen,,,,3. no help,,,,
2625,106,C2,hinterlegen,,,,3. no help,,,,
2626,106,C2,hinziehen,,,,3. no help,,,,
2627,106,C2,hinzukommen,,,,3. no help,,,,
2628,106,C2,mitarbeiten,,,,3. no help,,,,
2629,106,C2,mitbekommen,,,,3. no help,,,,
2630,106,C2,miterleben,,,,3. no help,,,,
2631,106,C2,mitfahren,,,,3. no help,,,,
2632,106,C2,mitgestalten,,,,3. no help,,,,
2633,106,C2,mithalten,,,,3. no help,,,,
2634,106,C2,mithelfen,,,,3. no help,,,,
2635,106,C2,mitreden,,,,3. no help,,,,
2636,106,C2,mitspielen,,,,3. no help,,,,
2637,106,C2,mittragen,,,,3. no help,,,,
2638,106,C2,mitwirken,,,,3. no help,,,,
2639,106,C2,nachfolgen,,,,3. no help,,,,
2640,106,C2,nachgeben,,,,3. no help,,,,
2641,106,C2,nachgehen,,,,3. no help,,,,
2642,106,C2,nachholen,,,,3. no help,,,,
2643,106,C2,nachkommen,,,,3. no help,,,,
2644,106,C2,nachlassen,,,,3. no help,,,,
2645,106,C2,nachlesen,,,,3. no help,,,,
2646,106,C2,nachvollziehen,,,,3. no help,,,,
2647,106,C2,voranbringen,,,,3. no help,,,,
2648,106,C2,vorangehen,,,,3. no help,,,,
2649,106,C2,vorankommen,,,,3. no help,,,,
2650,106,C2,vorantreiben,,,,3. no help,,,,
2651,106,C2,vorausgehen,,,,3. no help,,,,
2652,106,C2,vorbehalten,,,,3. no help,,,,
2653,106,C2,vorbeischauen,,,,3. no help,,,,
2654,106,C2,vorenthalten,,,,3. no help,,,,
2655,106,C2,vorfinden,,,,3. no help,,,,
2656,106,C2,vorführen,,,,3. no help,,,,
2657,106,C2,vorhalten,,,,3. no help,,,,
2658,106,C2,vorhersagen,,,,3. no help,,,,
2659,106,C2,vorschreiben,,,,3. no help,,,,
2660,106,C2,vortragen,,,,3. no help,,,,
2661,106,C2,vorziehen,,,,3. no help,,,,
2662,106,C2,vorweisen,,to demonstrate,démontrer,3. no help,,,,
2663,106,C2,weitergehen,,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer",3. no help,,,,
2664,106,C2,weiterentwickeln,,,,3. no help,,,,
2665,106,C2,weiterhelfen,,,,3. no help,,,,
2666,106,C2,weiterlesen,,,,3. no help,,,,
2667,106,C2,zugreifen,,,,3. no help,,,,
2668,106,C2,zuweisen,,,,3. no help,,,,
2669,106,C2,zufügen,,,,3. no help,,,,
2670,106,C2,zuführen,,,,3. no help,,,,
2671,106,C2,zugestehen,,,,3. no help,,,,
2672,106,C2,zukommen,,,,3. no help,,,,
2673,106,C2,zumuten,,,,3. no help,,,,
2674,106,C2,zurechnen,,,,3. no help,,,,
2675,106,C2,zuschauen,,,,3. no help,,,,
2676,106,C2,zuschicken,,,,3. no help,,,,
2677,106,C2,zuschlagen,,,,3. no help,,,,
2678,106,C2,zuschneiden,,,,3. no help,,,,
2679,106,C2,zuschreiben,,,,3. no help,,,,
2680,106,C2,zusenden,,,,3. no help,,,,
2681,106,C2,zusichern,,,,3. no help,,,,
2682,106,C2,zusprechen,,,,3. no help,,,,
2683,106,C2,zustehen,,,,3. no help,,,,
2684,106,C2,zustellen,,,,3. no help,,,,
2685,106,C2,zutrauen,,,,3. no help,,,,
2686,106,C2,zutreffen,,,,3. no help,,,,
2687,106,C2,zuwenden,,,,3. no help,,,,
2688,106,C2,zuziehen,,,,3. no help,,,,
2689,106,C2,zurückkehren,,to return,revenir,3. no help,,,,
2690,106,C2,zurückführen,,,,3. no help,,,,
2691,106,C2,zurückgreifen,,,,3. no help,,,,
2692,106,C2,zurückholen,,,,3. no help,,,,
2693,106,C2,zurücklassen,,,,3. no help,,,,
