Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
381,27,Trotz aller Rückschläge führte die Organisation weiterhin einen entschlossenen _____ für mehr soziale Gerechtigkeit.,Kampf,einen Kampf führen,Trotz aller Rückschläge führte die Organisation weiterhin einen entschlossenen Kampf für mehr soziale Gerechtigkeit.,"Despite all setbacks, the organization continued to wage a determined fight for greater social justice.","Malgré tous les revers, l’organisation a poursuivi un combat déterminé pour davantage de justice sociale.",,,,,einen Kampf führen = to fight a battle,einen Kampf führen = mener un combat,,,,,,,
382,27,"Viele Patientinnen und Patienten führen einen täglichen _____ gegen ihre Krankheit, ohne dass die Öffentlichkeit davon etwas mitbekommt.",Kampf,einen Kampf führen,"Viele Patientinnen und Patienten führen einen täglichen Kampf gegen ihre Krankheit, ohne dass die Öffentlichkeit davon etwas mitbekommt.",Many patients fight a daily battle against their illness without the public noticing.,De nombreux patients mènent un combat quotidien contre leur maladie sans que le public ne s’en rende compte.,,,,,einen Kampf führen = to fight a battle,einen Kampf führen = mener un combat,,,,,,,
383,27,"Sie wollte ihm keinen _____ machen, machte aber deutlich, dass sein Verhalten Konsequenzen haben werde.",Vorwurf,einen Vorwurf machen,"Sie wollte ihm keinen Vorwurf machen, machte aber deutlich, dass sein Verhalten Konsequenzen haben werde.","She didn’t want to blame him, but she made it clear that his behaviour would have consequences.","Elle ne voulait pas lui faire de reproche, mais elle a clairement indiqué que son comportement aurait des conséquences.",,,,,"einen Vorwurf machen, einen Vorwurf erheben = to make an accusation, to raise an accusation","einen Vorwurf machen, einen Vorwurf erheben = faire un reproche",,,,,,,
384,27,"Er machte mir den _____, ich hätte wichtige Informationen zurückgehalten, obwohl ich sie rechtzeitig weitergegeben hatte.",Vorwurf,einen Vorwurf machen,"Er machte mir den Vorwurf, ich hätte wichtige Informationen zurückgehalten, obwohl ich sie rechtzeitig weitergegeben hatte.","He accused me of withholding important information, even though I had passed it on in time.","Il m’a reproché d’avoir retenu des informations importantes, alors que je les avais transmises à temps.",,,,,"einen Vorwurf machen, einen Vorwurf erheben = to make an accusation, to raise an accusation","einen Vorwurf machen, einen Vorwurf erheben = faire un reproche",,,,,,,
385,27,"Die Regierung hat eine Kampagne _____ gesetzt, um mehr junge Leute für technische Berufe zu gewinnen.",in Gang,in Gang setzen,"Die Regierung hat eine Kampagne in Gang gesetzt, um mehr junge Leute für technische Berufe zu gewinnen.",The government launched a campaign to attract more young people to technical professions.,Le gouvernement a lancé une campagne pour attirer davantage de jeunes vers les métiers techniques.,,,,,"etw.<sup>Acc</sup> in Gang setzen = to initiate, to get something going, to set in motion (actively)",etw.<sup>Acc</sup> in Gang setzen = mettre en marche (activement),,,,,,,
386,27,"Der Chef hat den Prozess _____ gesetzt, indem er die ersten Aufgaben verteilt hat.",in Gang,in Gang setzen,"Der Chef hat den Prozess in Gang gesetzt, indem er die ersten Aufgaben verteilt hat.",The boss set the process in motion by assigning the first tasks.,Le patron a mis le processus en marche en répartissant les premières tâches.,,,,,"etw.<sup>Acc</sup> in Gang setzen = to initiate, to get something going, to set in motion (actively)",etw.<sup>Acc</sup> in Gang setzen = mettre en marche (activement),,,,,,,
387,27,"Das Gespräch kam erst richtig _____, nachdem alle sich etwas besser kennengelernt hatten.",in Gang,in Gang kommen,"Das Gespräch kam erst richtig in Gang, nachdem alle sich etwas besser kennengelernt hatten.",The conversation only really got going after everyone had gotten to know each other a bit better.,La conversation n’a vraiment démarré qu’après que tout le monde a appris à mieux se connaître.,,,,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,,,,,,
388,27,Nach dem Winter kommen die Bauarbeiten endlich wieder _____.,in Gang,in Gang kommen,Nach dem Winter kommen die Bauarbeiten endlich wieder in Gang.,"After the winter, the construction work is finally starting up again.","Après l’hiver, les travaux reprennent enfin.",,,,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,,,,,,
389,27,Die Feuerwehr konnte den Brand nach mehreren Stunden endlich _____ bringen.,unter Kontrolle,unter Kontrolle bringen,Die Feuerwehr konnte den Brand nach mehreren Stunden endlich unter Kontrolle bringen.,The fire department was finally able to bring the fire under control after several hours.,Les pompiers ont finalement réussi à maîtriser l’incendie après plusieurs heures.,,,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,,,,,,
390,27,"Es dauerte lange, bis sie ihre Angst _____ gebracht hatte.",unter Kontrolle,unter Kontrolle bringen,"Es dauerte lange, bis sie ihre Angst unter Kontrolle gebracht hatte.",It took a long time for her to bring her fear under control.,Il lui a fallu longtemps pour maîtriser sa peur.,,,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,,,,,,
391,27,"Man sollte niemanden unnötig _____ setzen, besonders nicht in stressigen Situationen.",unter Druck,unter Druck setzen,"Man sollte niemanden unnötig unter Druck setzen, besonders nicht in stressigen Situationen.","You shouldn't put anyone under unnecessary pressure, especially in stressful situations.","Il ne faut mettre personne sous pression inutilement, surtout pas dans des situations stressantes.",,,,,jdn./etw.<sup>Acc</sup> unter Druck setzen = to put under pressure,jdn./etw.<sup>Acc</sup> unter Druck setzen = mettre sous pression,,,,,,,
392,27,"Die Medien setzen die Regierung immer stärker _____, eine Lösung zu finden.",unter Druck,unter Druck setzen,"Die Medien setzen die Regierung immer stärker unter Druck, eine Lösung zu finden.",The media are putting the government under increasing pressure to find a solution.,Les médias mettent de plus en plus le gouvernement sous pression pour trouver une solution.,,,,,jdn./etw.<sup>Acc</sup> unter Druck setzen = to put under pressure,jdn./etw.<sup>Acc</sup> unter Druck setzen = mettre sous pression,,,,,,,
393,27,"In großen Teams ist es wichtig, konstruktiv _____ zu üben, damit niemand entmutigt wird.",Kritik,Kritik üben,"In großen Teams ist es wichtig, konstruktiv Kritik zu üben, damit niemand entmutigt wird.","In large teams, it is important to give constructive criticism so that no one becomes discouraged.","Dans les grandes équipes, il est important de formuler des critiques constructives pour que personne ne se décourage.",,,,,Kritik üben = to criticize,Kritik üben = critiquer,,,,,,,
394,27,"Der Chef hat offen _____ an unserem Zeitmanagement geübt, aber er hat auch Lösungen vorgeschlagen.",Kritik,Kritik üben,"Der Chef hat offen Kritik an unserem Zeitmanagement geübt, aber er hat auch Lösungen vorgeschlagen.","The boss openly criticized our time management, but he also suggested solutions.","Le patron a ouvertement critiqué notre gestion du temps, mais il a aussi proposé des solutions.",,,,,Kritik üben = to criticize,Kritik üben = critiquer,,,,,,,
395,27,"Wir haben eine _____ getroffen, uns nächste Woche noch einmal zu treffen.",Verabredung,eine Verabredung treffen,"Wir haben eine Verabredung getroffen, uns nächste Woche noch einmal zu treffen.",We made an arrangement to meet again next week.,Nous avons pris rendez-vous pour nous revoir la semaine prochaine.,,,,,eine Verabredung treffen = to make an appointment,eine Verabredung treffen = fixer un rendez-vous,,,,,,,
396,27,"Sie haben eine _____ getroffen, gemeinsam an dem Projekt weiterzuarbeiten.",Verabredung,eine Verabredung treffen,"Sie haben eine Verabredung getroffen, gemeinsam an dem Projekt weiterzuarbeiten.",They made an agreement to continue working on the project together.,Ils ont pris un accord pour continuer à travailler ensemble sur le projet.,,,,,eine Verabredung treffen = to make an appointment,eine Verabredung treffen = fixer un rendez-vous,,,,,,,
397,28,"Der Vortrag _____ einen so positiven Eindruck, dass mehrere Teilnehmende direkt im Anschluss weitere Gespräche vereinbaren wollten.",hinterließ,einen Eindruck hinterlassen,"Der Vortrag hinterließ einen so positiven Eindruck, dass mehrere Teilnehmende direkt im Anschluss weitere Gespräche vereinbaren wollten.",The lecture left such a positive impression that several participants wanted to arrange further discussions right afterward.,La conférence a laissé une impression si positive que plusieurs participants ont voulu organiser d’autres échanges juste après.,,,,,einen Eindruck hinterlassen = to leave an impression,einen Eindruck hinterlassen = laisser une impression,,,,,,,
398,28,"Seine ruhige, analytische Art _____ bei der Geschäftsführung einen besseren Eindruck als jede aufwendig gestaltete Präsentation.",hinterließ,einen Eindruck hinterlassen,"Seine ruhige, analytische Art hinterließ bei der Geschäftsführung einen besseren Eindruck als jede aufwendig gestaltete Präsentation.","His calm, analytical manner left a better impression on the management than any elaborately designed presentation.",Sa manière calme et analytique a laissé une meilleure impression à la direction que n’importe quelle présentation élaborée.,,,,,einen Eindruck hinterlassen = to leave an impression,einen Eindruck hinterlassen = laisser une impression,,,,,,,
399,28,"Das Unternehmen _____ derzeit einen harten Kampf um Marktanteile, da neue Konkurrenten aggressiv expandieren.",führt,einen Kampf führen,"Das Unternehmen führt derzeit einen harten Kampf um Marktanteile, da neue Konkurrenten aggressiv expandieren.",The company is currently fighting a tough battle for market share as new competitors are expanding aggressively.,"L’entreprise mène actuellement une dure bataille pour des parts de marché, car de nouveaux concurrents se développent de manière agressive.",,,,,einen Kampf führen = to fight a battle,einen Kampf führen = mener un combat,,,,,,,
400,28,"Er _____ einen inneren Kampf zwischen Pflichtgefühl und dem Wunsch, endlich eine eigene Entscheidung zu treffen.",führte,einen Kampf führen,"Er führte einen inneren Kampf zwischen Pflichtgefühl und dem Wunsch, endlich eine eigene Entscheidung zu treffen.",He fought an inner battle between a sense of duty and the desire to finally make his own decision.,Il menait un combat intérieur entre le sens du devoir et le désir de prendre enfin sa propre décision.,,,,,einen Kampf führen = to fight a battle,einen Kampf führen = mener un combat,,,,,,,
401,28,"Die Medien _____ der Regierung den Vorwurf, zu spät auf die Krise reagiert zu haben.",machten,einen Vorwurf machen,"Die Medien machten der Regierung den Vorwurf, zu spät auf die Krise reagiert zu haben.",The media accused the government of reacting too late to the crisis.,Les médias ont reproché au gouvernement d’avoir réagi trop tard à la crise.,,,,,"einen Vorwurf machen, einen Vorwurf erheben = to make an accusation, to raise an accusation","einen Vorwurf machen, einen Vorwurf erheben = faire un reproche",,,,,,,
402,28,"Obwohl sie sich entschuldigt hatte, _____ ihr Kollege ihr immer wieder denselben Vorwurf.",machte,einen Vorwurf machen,"Obwohl sie sich entschuldigt hatte, machte ihr Kollege ihr immer wieder denselben Vorwurf.","Although she had apologised, her colleague kept making the same accusation against her.","Bien qu’elle se soit excusée, son collègue lui faisait sans cesse le même reproche.",,,,,"einen Vorwurf machen, einen Vorwurf erheben = to make an accusation, to raise an accusation","einen Vorwurf machen, einen Vorwurf erheben = faire un reproche",,,,,,,
403,28,"Um die Entwicklung neuer Produkte in Gang zu _____, braucht das Unternehmen zusätzliche Investitionen.",setzen,in Gang setzen,"Um die Entwicklung neuer Produkte in Gang zu setzen, braucht das Unternehmen zusätzliche Investitionen.","To set the development of new products in motion, the company needs additional investments.","Pour mettre en marche le développement de nouveaux produits, l’entreprise a besoin d’investissements supplémentaires.",,,,,"etw.<sup>Acc</sup> in Gang setzen = to initiate, to get something going, to set in motion (actively)",etw.<sup>Acc</sup> in Gang setzen = mettre en marche (activement),,,,,,,
404,28,Durch die Einführung neuer Regeln hat die Schule einen wichtigen Veränderungsprozess in Gang _____.,gesetzt,in Gang setzen,Durch die Einführung neuer Regeln hat die Schule einen wichtigen Veränderungsprozess in Gang gesetzt.,"By introducing new rules, the school set an important process of change in motion.","En introduisant de nouvelles règles, l’école a mis en marche un important processus de changement.",,,,,"etw.<sup>Acc</sup> in Gang setzen = to initiate, to get something going, to set in motion (actively)",etw.<sup>Acc</sup> in Gang setzen = mettre en marche (activement),,,,,,,
405,28,"Die Verhandlungen _____ nur langsam in Gang, weil viele Fragen ungeklärt waren.",kamen,in Gang kommen,"Die Verhandlungen kamen nur langsam in Gang, weil viele Fragen ungeklärt waren.",The negotiations only got going slowly because many questions were unresolved.,"Les négociations ont mis du temps à démarrer, car beaucoup de questions restaient ouvertes.",,,,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,,,,,,
406,28,"Die Maschine _____ erst in Gang, nachdem der Techniker sie überprüft hatte.",kam,in Gang kommen,"Die Maschine kam erst in Gang, nachdem der Techniker sie überprüft hatte.",The machine only started running after the technician checked it.,La machine n’a commencé à fonctionner qu’après que le technicien l’a vérifiée.,,,,,"in Gang kommen = to get going, to get started (passively)",in Gang kommen = être mis en route (passivement),,,,,,,
407,28,"Das Unternehmen versucht, die steigenden Kosten unter Kontrolle zu _____.",bringen,unter Kontrolle bringen,"Das Unternehmen versucht, die steigenden Kosten unter Kontrolle zu bringen.",The company is trying to bring rising costs under control.,L’entreprise essaie de maîtriser l’augmentation des coûts.,,,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,,,,,,
408,28,"Wenn man seine Emotionen unter Kontrolle _____, kann man in schwierigen Situationen besser reagieren.",bringt,unter Kontrolle bringen,"Wenn man seine Emotionen unter Kontrolle bringt, kann man in schwierigen Situationen besser reagieren.","If you bring your emotions under control, you can react better in difficult situations.","Si on maîtrise ses émotions, on peut mieux réagir dans les situations difficiles.",,,,,unter Kontrolle bringen = to bring under control,"unter Kontrolle bringen = maîtriser, mettre sous contrôle, prendre le contrôle",,,,,,,
409,28,"Er fühlte sich von seinem Chef unter Druck _____, die Aufgabe schneller zu erledigen.",gesetzt,unter Druck setzen,"Er fühlte sich von seinem Chef unter Druck gesetzt, die Aufgabe schneller zu erledigen.",He felt pressured by his boss to finish the task more quickly.,Il s’est senti mis sous pression par son patron pour terminer la tâche plus vite.,,,,,jdn./etw.<sup>Acc</sup> unter Druck setzen = to put under pressure,jdn./etw.<sup>Acc</sup> unter Druck setzen = mettre sous pression,,,,,,,
410,28,"Eltern sollten ihre Kinder nicht zu sehr unter Druck _____, gute Noten zu bekommen.",setzen,unter Druck setzen,"Eltern sollten ihre Kinder nicht zu sehr unter Druck setzen, gute Noten zu bekommen.",Parents shouldn't put too much pressure on their children to get good grades.,Les parents ne devraient pas mettre trop de pression sur leurs enfants pour qu’ils aient de bonnes notes.,,,,,jdn./etw.<sup>Acc</sup> unter Druck setzen = to put under pressure,jdn./etw.<sup>Acc</sup> unter Druck setzen = mettre sous pression,,,,,,,
411,28,"Man sollte nur dann Kritik _____, wenn man die Situation gut verstanden hat.",üben,Kritik üben,"Man sollte nur dann Kritik üben, wenn man die Situation gut verstanden hat.",One should only criticize when one truly understands the situation.,On devrait n’exercer des critiques que lorsqu’on comprend vraiment la situation.,,,,,Kritik üben = to criticize,Kritik üben = critiquer,,,,,,,
412,28,"Statt ständig Kritik zu _____, könnte er auch einmal anerkennen, was gut läuft.",üben,Kritik üben,"Statt ständig Kritik zu üben, könnte er auch einmal anerkennen, was gut läuft.","Instead of constantly criticizing, he could also acknowledge what is going well.","Au lieu de critiquer tout le temps, il pourrait aussi reconnaître ce qui fonctionne bien.",,,,,Kritik üben = to criticize,Kritik üben = critiquer,,,,,,,
413,28,"Mit dem Chef wurde die Verabredung _____, die Frist um zwei Wochen zu verlängern.",getroffen,eine Verabredung treffen,"Mit dem Chef wurde die Verabredung getroffen, die Frist um zwei Wochen zu verlängern.",An arrangement was made with the boss to extend the deadline by two weeks.,Un accord a été pris avec le chef pour prolonger le délai de deux semaines.,,,,,eine Verabredung treffen = to make an appointment,eine Verabredung treffen = fixer un rendez-vous,,,,,,,
414,28,"Wir haben die Verabredung _____, dass jeder einen Teil der Aufgabe übernimmt.",getroffen,eine Verabredung treffen,"Wir haben die Verabredung getroffen, dass jeder einen Teil der Aufgabe übernimmt.",We made an arrangement that everyone will take over part of the task.,Nous avons convenu que chacun prendrait une partie de la tâche en charge.,,,,,eine Verabredung treffen = to make an appointment,eine Verabredung treffen = fixer un rendez-vous,,,,,,,
415,29,_____ führen,Beweis,Beweis führen,Beweis führen,to provide evidence,"apporter une preuve, apporter des évidences",Masculine,Masculin,,für + Acc.,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,,,C1,Beweis führen,yes,beweisen
416,29,etw.<sup>Acc</sup> _____ stellen,in Aussicht,in Aussicht stellen,etw.<sup>Acc</sup> in Aussicht stellen,"to promise, to have in prospect",promettre,Feminine,Féminin,etw.<sup>Acc</sup> in Aussicht stellen,,"etw.<sup>Acc</sup> in Aussicht stellen = to promise, to have in prospect",etw.<sup>Acc</sup> in Aussicht stellen = promettre,,,,C1,in Aussicht stellen,yes,"ankündigen, versprechen"
417,29,etw.<sup>Acc</sup> _____ ziehen,in Betracht,in Betracht ziehen,etw.<sup>Acc</sup> in Betracht ziehen,"to consider, to take into account, to take into consideration","prendre en considération, envisager",Masculine,Masculin,etw.<sup>Acc</sup> in Betracht ziehen,,"etw.<sup>Acc</sup> in Betracht ziehen = to consider, to take into account, to take into consideration","etw.<sup>Acc</sup> in Betracht ziehen = prendre en considération, envisager",,,,C1,in Betracht ziehen,yes,erwägen
418,29,_____ nehmen,Rücksicht,Rücksicht nehmen,Rücksicht nehmen,"to be considerate of, to take something into account",faire preuve de considération,Feminine,Féminin,,auf + Acc.,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,,,B2C1,Rücksicht nehmen,yes,berücksichtigen
419,29,jmd. _____ geben,Hinweise,Hinweise geben,jmd. Hinweise geben,"to give instructions, to provide guidance",donner des indications,Plural,Pluriel,jmd. Hinweise geben,auf + Acc.,"jmd. Hinweise geben = to give instructions, to provide guidance",jmd. Hinweise geben = donner des indications,geben,A1,,B2,Hinweise geben,yes,hinweisen
420,29,_____ unternehmen,einen Versuch,einen Versuch unternehmen,einen Versuch unternehmen,to make an attempt,faire un essai,Masculine,Masculin,,,einen Versuch unternehmen = to make an attempt,einen Versuch unternehmen = faire un essai,unternehmen,B2,,B2,einen Versuch unternehmen,yes,versuchen
421,29,_____ geben,eine Garantie,eine Garantie geben,eine Garantie geben,give a guarantee,donner une garantie,Feminine,Féminin,,für + Acc.,eine Garantie geben = give a guarantee,eine Garantie geben = donner une garantie,geben,A1,,B2,eine Garantie geben,yes,garantieren
422,29,_____ kommen,zur Ruhe,zur Ruhe kommen,zur Ruhe kommen,"to calm down, to relax","se calmer, se reposer",Feminine,Féminin,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,,B1B2,zur Ruhe kommen,fixed expression,sich beruhigen,
423,29,_____ kommen,zu einem Ergebnis,zu einem Ergebnis kommen,zu einem Ergebnis kommen,"to reach a conclusion, to arrive at a finding, to be an outcome","parvenir à un résultat, arriver à un résultat",Neuter,Neutre,,zu + Dat.,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,,B2,zu einem Ergebnis kommen,borderline NVV,"schlussfolgern, feststellen",
424,30,Beweis _____,führen,Beweis führen,Beweis führen,to provide evidence,"apporter une preuve, apporter des évidences",,,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,,,,,,
425,30,etw.<sup>Acc</sup> in Aussicht _____,stellen,in Aussicht stellen,etw.<sup>Acc</sup> in Aussicht stellen,"to promise, to have in prospect",promettre,,,,,"etw.<sup>Acc</sup> in Aussicht stellen = to promise, to have in prospect",etw.<sup>Acc</sup> in Aussicht stellen = promettre,,,,,,,
426,30,etw.<sup>Acc</sup> in Betracht _____,ziehen,in Betracht ziehen,etw.<sup>Acc</sup> in Betracht ziehen,"to consider, to take into account, to take into consideration","prendre en considération, envisager",,,,,"etw.<sup>Acc</sup> in Betracht ziehen = to consider, to take into account, to take into consideration","etw.<sup>Acc</sup> in Betracht ziehen = prendre en considération, envisager",,,,,,,
427,30,Rücksicht _____,nehmen,Rücksicht nehmen,Rücksicht nehmen,"to be considerate of, to take something into account",faire preuve de considération,,,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,,,,,,
428,30,jmd. Hinweise _____,geben,Hinweise geben,jmd. Hinweise geben,to give instructions,donner des indications,,,,,"jmd. Hinweise geben = to give instructions, to provide guidance",jmd. Hinweise geben = donner des indications,geben,A1,,B2,,,
429,30,einen Versuch _____,unternehmen,einen Versuch unternehmen,einen Versuch unternehmen,to make an attempt,faire un essai,,,,,einen Versuch unternehmen = to make an attempt,einen Versuch unternehmen = faire un essai,unternehmen,B2,,B2,,,
430,30,eine Garantie _____,geben,eine Garantie geben,eine Garantie geben,give a guarantee,donner une garantie,,,,,eine Garantie geben = give a guarantee,eine Garantie geben = donner une garantie,geben,A1,,B2,,,
431,30,zur Ruhe _____,kommen,zur Ruhe kommen,zur Ruhe kommen,"to calm down, to relax","se calmer, se reposer",,,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,,,,,,
432,30,zu einem Ergebnis _____,kommen,zu einem Ergebnis kommen,zu einem Ergebnis kommen,"to reach a conclusion, to arrive at a finding, to be an outcome","parvenir à un résultat, arriver à un résultat",,,,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,,,,,,
433,31,"Der Anwalt konnte keinen klaren _____ führen, dass sein Mandant unschuldig war.",Beweis,Beweis führen,"Der Anwalt konnte keinen klaren Beweis führen, dass sein Mandant unschuldig war.",The lawyer was unable to provide clear proof that his client was innocent.,L’avocat n’a pas pu apporter une preuve claire que son client était innocent.,,,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,,,,,,
434,31,"Um seine These zu unterstützen, führte er mehrere wissenschaftliche _____.",Beweise,Beweis führen,"Um seine These zu unterstützen, führte er mehrere wissenschaftliche Beweise.","To support his thesis, he presented several scientific proofs.","Pour soutenir sa thèse, il a apporté plusieurs preuves scientifiques.",,,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,,,,,,
435,31,"Die Firma hat den Mitarbeitern eine Bonuszahlung _____ gestellt, wenn die Ziele erreicht werden.",in Aussicht,in Aussicht stellen,"Die Firma hat den Mitarbeitern eine Bonuszahlung in Aussicht gestellt, wenn die Ziele erreicht werden.",The company has promised employees a bonus payment if the targets are met.,L’entreprise a promis une prime aux employés si les objectifs sont atteints.,,,,,"etw.<sup>Acc</sup> in Aussicht stellen = to promise, to have in prospect",etw.<sup>Acc</sup> in Aussicht stellen = promettre,,,,,,,
436,31,"Der Politiker stellte weitere Investitionen _____, um die Lage zu verbessern.",in Aussicht,in Aussicht stellen,"Der Politiker stellte weitere Investitionen in Aussicht, um die Lage zu verbessern.",The politician promised additional investments to improve the situation.,Le politicien a annoncé d’éventuels investissements pour améliorer la situation.,,,,,"etw.<sup>Acc</sup> in Aussicht stellen = to promise, to have in prospect",etw.<sup>Acc</sup> in Aussicht stellen = promettre,,,,,,,
437,31,"Wir sollten _____ ziehen, das Projekt zu verschieben, wenn die Ressourcen nicht ausreichen.",in Betracht,in Betracht ziehen,"Wir sollten in Betracht ziehen, das Projekt zu verschieben, wenn die Ressourcen nicht ausreichen.",We should consider postponing the project if the resources aren’t sufficient.,Nous devrions envisager de reporter le projet si les ressources ne suffisent pas.,,,,,"etw.<sup>Acc</sup> in Betracht ziehen = to consider, to take into account, to take into consideration","etw.<sup>Acc</sup> in Betracht ziehen = prendre en considération, envisager",,,,,,,
438,31,"Sie zieht _____, nächstes Jahr eine Weiterbildung zu machen.",in Betracht,in Betracht ziehen,"Sie zieht in Betracht, nächstes Jahr eine Weiterbildung zu machen.",She is considering doing further training next year.,Elle envisage de suivre une formation l’année prochaine.,,,,,"etw.<sup>Acc</sup> in Betracht ziehen = to consider, to take into account, to take into consideration","etw.<sup>Acc</sup> in Betracht ziehen = prendre en considération, envisager",,,,,,,
439,31,Man sollte im Alltag mehr _____ auf ältere Menschen nehmen.,Rücksicht,Rücksicht nehmen,Man sollte im Alltag mehr Rücksicht auf ältere Menschen nehmen.,People should be more considerate of elderly people in everyday life.,On devrait être plus attentif aux personnes âgées dans la vie quotidienne.,,,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,,,,,,
440,31,"Wenn du krank bist, musst du _____ auf deine Kollegen nehmen und zu Hause bleiben.",Rücksicht,Rücksicht nehmen,"Wenn du krank bist, musst du Rücksicht auf deine Kollegen nehmen und zu Hause bleiben.","If you’re sick, you have to be considerate of your colleagues and stay home.","Si tu es malade, tu dois faire attention à tes collègues et rester chez toi.",,,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,,,,,,
441,31,"Der Lehrer gab den Schülern hilfreiche _____, wie sie ihre Präsentation verbessern können.",Hinweise,Hinweise geben,"Der Lehrer gab den Schülern hilfreiche Hinweise, wie sie ihre Präsentation verbessern können.",The teacher gave the students helpful hints on how they could improve their presentation.,Le professeur a donné aux élèves des indications utiles pour améliorer leur présentation.,,,,,"jmd. Hinweise geben = to give instructions, to provide guidance",jmd. Hinweise geben = donner des indications,,,,,,,
442,31,"Der Arzt gab ihr klare _____, worauf sie nach der Operation achten soll.",Hinweise,Hinweise geben,"Der Arzt gab ihr klare Hinweise, worauf sie nach der Operation achten soll.",The doctor gave her clear instructions on what she should pay attention to after the operation.,Le médecin lui a donné des indications claires sur ce à quoi faire attention après l’opération.,,,,,"jmd. Hinweise geben = to give instructions, to provide guidance",jmd. Hinweise geben = donner des indications,,,,,,,
443,31,"Er hat einen _____ unternommen, das Problem selbst zu lösen, bevor er Hilfe bat.",Versuch,einen Versuch unternehmen,"Er hat einen Versuch unternommen, das Problem selbst zu lösen, bevor er Hilfe bat.",He made an attempt to solve the problem himself before asking for help.,Il a entrepris une tentative pour résoudre le problème lui-même avant de demander de l’aide.,,,,,einen Versuch unternehmen = to make an attempt,einen Versuch unternehmen = faire un essai,,,,,,,
444,31,"Die Regierung hat einen neuen _____ unternommen, die Situation zu verbessern.",Versuch,einen Versuch unternehmen,"Die Regierung hat einen neuen Versuch unternommen, die Situation zu verbessern.",The government made a new attempt to improve the situation.,Le gouvernement a entrepris une nouvelle tentative pour améliorer la situation.,,,,,einen Versuch unternehmen = to make an attempt,einen Versuch unternehmen = faire un essai,,,,,,,
445,31,"Der Hersteller gibt eine _____, dass das Gerät mindestens zwei Jahre problemlos funktioniert.",Garantie,eine Garantie geben,"Der Hersteller gibt eine Garantie, dass das Gerät mindestens zwei Jahre problemlos funktioniert.",The manufacturer gives a guarantee that the device will work without problems for at least two years.,Le fabricant donne une garantie que l’appareil fonctionnera sans problème pendant au moins deux ans.,,,,,eine Garantie geben = give a guarantee,eine Garantie geben = donner une garantie,,,,,,,
446,31,"Die Firma gibt ihren Kunden die _____, bei Defekten das Produkt kostenlos zu reparieren.",Garantie,eine Garantie geben,"Die Firma gibt ihren Kunden die Garantie, bei Defekten das Produkt kostenlos zu reparieren.",The company gives its customers a guarantee to repair the product free of charge in case of defects.,L’entreprise donne à ses clients la garantie de réparer gratuitement le produit en cas de défaut.,,,,,eine Garantie geben = give a guarantee,eine Garantie geben = donner une garantie,,,,,,,
447,31,"Nach einem langen Arbeitstag fällt es mir schwer, _____ zu kommen.",zur Ruhe,zur Ruhe kommen,"Nach einem langen Arbeitstag fällt es mir schwer, zur Ruhe zu kommen.","After a long workday, I find it hard to calm down.","Après une longue journée de travail, j’ai du mal à me calmer.",,,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,,,,,,
448,31,"Erst als die Kinder im Bett waren, konnte die Familie endlich _____ kommen.",zur Ruhe,zur Ruhe kommen,"Erst als die Kinder im Bett waren, konnte die Familie endlich zur Ruhe kommen.",Only when the children were in bed could the family finally settle down.,Ce n’est que lorsque les enfants étaient au lit que la famille a enfin pu se détendre.,,,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,,,,,,
