Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
1371,54,"Die Analyse zeigte, dass einige Annahmen von _____ unrealistisch gewesen waren.",vornherein,"Die Analyse zeigte, dass einige Annahmen von vornherein unrealistisch gewesen waren.",The analysis showed that some assumptions had been unrealistic from the outset.,L’analyse a montré que certaines hypothèses étaient irréalistes dès le départ.,vornherein = from the outset,vornherein = depuis le début,,
1372,54,"Von _____ entschied sich das Team für einen transparenten Ansatz, um spätere Konflikte zu vermeiden.",vornherein,"Von vornherein entschied sich das Team für einen transparenten Ansatz, um spätere Konflikte zu vermeiden.",The team chose a transparent approach from the outset to avoid future conflicts.,L’équipe a opté dès le départ pour une approche transparente afin d’éviter de futurs conflits.,vornherein = from the outset,vornherein = depuis le début,,
1373,54,"Die Idee war von _____ zum Scheitern verurteilt, weil zentrale Risiken ignoriert wurden.",vornherein,"Die Idee war von vornherein zum Scheitern verurteilt, weil zentrale Risiken ignoriert wurden.",The idea was doomed to fail from the outset because key risks were ignored.,"L’idée était vouée à l’échec dès le début, car des risques essentiels ont été ignorés.",vornherein = from the outset,vornherein = depuis le début,,
1374,55,,hierhin,,"to here, indicating a specific location","jusqu'ici, indiquant un emplacement spécifique","hierhin = to here, indicating a specific location","hierhin = jusqu'ici, indiquant un emplacement spécifique",dahin,
1375,55,,hierher,,"toward here, toward the speaker","vers ici, vers l'orateur","hierher = toward here, toward the speaker","hierher = vers ici, vers l'orateur",daher,
1376,55,,dahin,,"to there, indicating movement toward a specific place","là, indiquant un mouvement vers un endroit précis","dahin = to there, indicating movement toward a specific place","dahin = là, indiquant un mouvement vers un endroit précis",hierhin,
1377,55,,daher,,"from there, indicating movement away from a specific place","à partir de là, indiquant un mouvement loin d'un endroit spécifique","daher = from there, indicating movement away from a specific place","daher = à partir de là, indiquant un mouvement loin d'un endroit spécifique",hierher,
1378,55,,herum,,around,"tout autour, autour de soi",herum = around,"herum = tout autour, autour de soi",,
1379,55,,herein,,"inside, toward the speaker","à l'intérieur, vers l'orateur","herein = inside, toward the speaker","herein = à l'intérieur, vers l'orateur",heraus,
1380,55,,heraus,,"out, toward the speaker","vers l'extérieur, vers l'orateur","heraus = out, toward the speaker","heraus = vers l'extérieur, vers l'orateur",herein,
1381,55,,herauf,,"up, toward the speaker","vers le haut, vers l'orateur","herauf = up, toward the speaker","herauf = vers le haut, vers l'orateur",herunter,
1382,55,,herunter,,"down, toward the speaker","vers le bas, vers l'orateur","herunter = down, toward the speaker","herunter = vers le bas, vers l'orateur",herauf,
1383,55,,hervor,,"forth, from the back to the front, toward the speaker","en avant, de l'arrière vers l'avant, vers l'orateur","hervor = forth, from the back to the front, toward the speaker","hervor = en avant, de l'arrière vers l'avant, vers l'orateur",,
1384,55,,hinein,,"into, away from the speaker","dans, loin de l'orateur","hinein = into, away from the speaker","hinein = dans, loin de l'orateur",hinaus,
1385,55,,hinaus,,"out, away from the speaker","dehors, loin de l'orateur","hinaus = out, away from the speaker","hinaus = dehors, loin de l'orateur",hinein,
1386,55,,hinauf,,"up, away from the speaker","en haut, loin de l'orateur","hinauf = up, away from the speaker","hinauf = en haut, loin de l'orateur",hinunter,
1387,55,,hinunter,,"down, away from the speaker","vers le bas, loin de l'orateur","hinunter = down, away from the speaker","hinunter = vers le bas, loin de l'orateur",hinauf,
1388,56,"Bringen Sie bitte die Pakete _____, direkt neben die Tür.",hierhin,"Bringen Sie bitte die Pakete hierhin, direkt neben die Tür.","Please bring the packages here, directly next to the door.","Veuillez apporter les colis ici, directement à côté de la porte.","hierhin = to here, indicating a specific location","hierhin = jusqu'ici, indiquant un emplacement spécifique",,
1389,56,Warum hast du dein Gepäck _____ gelegt und nicht in dein Zimmer?,hierhin,Warum hast du dein Gepäck hierhin gelegt und nicht in dein Zimmer?,Why did you put your luggage here and not in your room?,Pourquoi as-tu mis tes bagages ici et pas dans ta chambre ?,"hierhin = to here, indicating a specific location","hierhin = jusqu'ici, indiquant un emplacement spécifique",,
1390,56,Kannst du den Stuhl _____ stellen? Ich brauche ihn am Tisch.,hierhin,Kannst du den Stuhl hierhin stellen? Ich brauche ihn am Tisch.,Can you place the chair here? I need it at the table.,Peux-tu placer la chaise ici ? J'en ai besoin à la table.,"hierhin = to here, indicating a specific location","hierhin = jusqu'ici, indiquant un emplacement spécifique",,
1391,56,"Komm bitte _____, ich muss dir etwas Wichtiges zeigen.",hierher,"Komm bitte hierher, ich muss dir etwas Wichtiges zeigen.","Please come here, I need to show you something important.","S'il te plaît, viens ici, je dois te montrer quelque chose d'important.","hierher = toward here, toward the speaker","hierher = vers ici, vers l'orateur",,
1392,56,Warum bist du _____ gezogen und nicht in eine andere Stadt?,hierher,Warum bist du hierher gezogen und nicht in eine andere Stadt?,Why did you move here and not to another city?,Pourquoi avez-vous déménagé ici et pas dans une autre ville ?,"hierher = toward here, toward the speaker","hierher = vers ici, vers l'orateur",,
1393,56,"Er kam extra _____, nur um mich zu sehen.",hierher,"Er kam extra hierher, nur um mich zu sehen.",He came all the way here just to see me.,Il est venu jusqu'ici juste pour me voir.,"hierher = toward here, toward the speaker","hierher = vers ici, vers l'orateur",,
1394,56,"Ich bin gerade aus Italien zurückgekommen, und _____ habe ich dieses Souvenir mitgebracht.",daher,"Ich bin gerade aus Italien zurückgekommen, und daher habe ich dieses Souvenir mitgebracht.","I just came back from Italy, and I brought this souvenir from there.",Je reviens tout juste d'Italie et j'ai ramené ce souvenir de là-bas.,"daher = from there, indicating movement away from a specific place","daher = à partir de là, indiquant un mouvement loin d'un endroit spécifique",,
1395,56,"Der Zug kommt direkt aus Hamburg, also kommt er _____.",daher,"Der Zug kommt direkt aus Hamburg, also kommt er daher.","The train is coming directly from Hamburg, so it is coming from there.","Le train vient directement de Hambourg, donc il vient de là.","daher = from there, indicating movement away from a specific place","daher = à partir de là, indiquant un mouvement loin d'un endroit spécifique",,
1396,56,"Sie erzählte mir von einem wunderschönen Strand, und sie hatte die Idee, _____ zu ziehen.",daher,"Sie erzählte mir von einem wunderschönen Strand, und sie hatte die Idee, daher zu ziehen.","She told me about a beautiful beach, and she had the idea of moving from there.",Elle m'a parlé d'une belle plage et elle a eu l'idée de déménager de là.,"daher = from there, indicating movement away from a specific place","daher = à partir de là, indiquant un mouvement loin d'un endroit spécifique",,
1397,56,"Wir fahren nächstes Wochenende an die Küste, willst du _____ mitkommen?",dahin,"Wir fahren nächstes Wochenende an die Küste, willst du dahin mitkommen?","We are going to the coast next weekend, do you want to come there with us?","Nous allons à la côte le week-end prochain, tu veux venir là-bas avec nous ?","dahin = to there, indicating movement toward a specific place","dahin = là, indiquant un mouvement vers un endroit précis",,
1398,56,Er hat seine Tasche ins Auto gelegt und ist dann _____ gefahren.,dahin,Er hat seine Tasche ins Auto gelegt und ist dann dahin gefahren.,He put his bag in the car and then drove there.,Il a mis son sac dans la voiture et s'est rendu là-bas.,"dahin = to there, indicating movement toward a specific place","dahin = là, indiquant un mouvement vers un endroit précis",,
1399,56,"Ich wollte schon immer nach Japan reisen, aber ich habe es noch nie _____ geschafft.",dahin,"Ich wollte schon immer nach Japan reisen, aber ich habe es noch nie dahin geschafft.","I have always wanted to travel to Japan, but I have never made it there.","J’ai toujours voulu voyager au Japon, mais je n’y suis jamais allé.","dahin = to there, indicating movement toward a specific place","dahin = là, indiquant un mouvement vers un endroit précis",,
1400,56,Die Kinder toben vergnügt im Garten _____.,herum,Die Kinder toben vergnügt im Garten herum.,The children are running around happily in the garden.,Les enfants courent joyeusement dans le jardin.,herum = around,"herum = tout autour, autour de soi",,
1401,56,Er schaut sich nervös im Raum _____.,herum,Er schaut sich nervös im Raum herum.,He’s looking around nervously in the room.,Il regarde nerveusement autour de lui dans la pièce.,herum = around,"herum = tout autour, autour de soi",,
1402,56,Der Lärm um ihn _____ wächst immer stärker an.,herum,Der Lärm um ihn herum wächst immer stärker an.,The noise around him is growing louder and louder.,Le bruit autour de lui devient de plus en plus fort.,herum = around,"herum = tout autour, autour de soi",,
1403,56,"Der Bergsteiger schaute vorsichtig in die tiefe Höhle _____, weil er nicht wusste, was ihn erwartete.",hinein,"Der Bergsteiger schaute vorsichtig in die tiefe Höhle hinein, weil er nicht wusste, was ihn erwartete.",The mountaineer carefully looked into the deep cave because he didn’t know what awaited him.,L’alpiniste regarda attentivement dans la grotte profonde car il ne savait pas ce qui l’attendait.,"hinein = into, away from the speaker","hinein = dans, loin de l'orateur",,
1404,56,"Die Lehrerin bat die Schüler, ihre Arbeiten in die Mappe _____ zu legen, bevor sie das Klassenzimmer verließen.",hinein,"Die Lehrerin bat die Schüler, ihre Arbeiten in die Mappe hinein zu legen, bevor sie das Klassenzimmer verließen.",The teacher asked the students to place their work into the folder before leaving the classroom.,L'enseignant a demandé aux élèves de placer leur travail dans le dossier avant de quitter la classe.,"hinein = into, away from the speaker","hinein = dans, loin de l'orateur",,
1405,56,"Er warf den Ball über den Zaun und direkt in den Garten _____, ohne zu wissen, dass dort ein Hund war.",hinein,"Er warf den Ball über den Zaun und direkt in den Garten hinein, ohne zu wissen, dass dort ein Hund war.","He threw the ball over the fence and directly into the garden, not knowing that a dog was there.","Il a lancé la balle par-dessus la clôture et directement dans le jardin, sans savoir qu'un chien était là.","hinein = into, away from the speaker","hinein = dans, loin de l'orateur",,
1406,56,"Er rief der Katze zu, vom Baum _____zukommen.",herunter,"Er rief der Katze zu, vom Baum herunterzukommen.",He called to the cat to come down from the tree.,Il a appelé le chat pour qu'il descende de l'arbre.,"herunter = down, toward the speaker","herunter = vers le bas, vers l'orateur",,
1407,56,"Er zog vorsichtig die alte Leiter _____, um sie zu reparieren.",herunter,"Er zog vorsichtig die alte Leiter herunter, um sie zu reparieren.",He carefully pulled the old ladder down to repair it.,Il a soigneusement retiré la vieille échelle pour la réparer.,"herunter = down, toward the speaker","herunter = vers le bas, vers l'orateur",,
1408,56,Der Regen tropfte langsam vom Dach _____.,herunter,Der Regen tropfte langsam vom Dach herunter.,The rain slowly dripped down from the roof.,La pluie tombait lentement du toit.,"herunter = down, toward the speaker","herunter = vers le bas, vers l'orateur",,
1409,56,"Er rief dem Hund zu, aus der Garage _____zukommen.",heraus,"Er rief dem Hund zu, aus der Garage herauszukommen.",He called out to the dog to come out of the garage.,Il a appelé le chien pour qu'il sorte du garage.,"heraus = out, toward the speaker","heraus = vers l'extérieur, vers l'orateur",,
1410,56,"Die Kinder kamen laut lachend aus dem Haus _____, um im Garten zu spielen.",heraus,"Die Kinder kamen laut lachend aus dem Haus heraus, um im Garten zu spielen.",The children came out of the house laughing loudly to play in the garden.,Les enfants sont sortis de la maison en riant fort pour jouer dans le jardin.,"heraus = out, toward the speaker","heraus = vers l'extérieur, vers l'orateur",,
1411,56,Nach langem Nachdenken kam sie endlich mit einer Lösung _____.,heraus,Nach langem Nachdenken kam sie endlich mit einer Lösung heraus.,"After thinking for a long time, she finally came up with a solution.","Après avoir longuement réfléchi, elle a finalement trouvé une solution.","heraus = out, toward the speaker","heraus = vers l'extérieur, vers l'orateur",,
1412,56,"Die Wanderer stiegen den steilen Pfad _____, um die atemberaubende Aussicht vom Gipfel zu genießen.",hinauf,"Die Wanderer stiegen den steilen Pfad hinauf, um die atemberaubende Aussicht vom Gipfel zu genießen.",The hikers climbed up the steep path to enjoy the breathtaking view from the summit.,Les randonneurs ont gravi le sentier escarpé pour profiter de la vue imprenable depuis le sommet.,"hinauf = up, away from the speaker","hinauf = en haut, loin de l'orateur",,
1413,56,"Er warf den Ball die Treppe _____, sodass sein Freund ihn oben fangen konnte.",hinauf,"Er warf den Ball die Treppe hinauf, sodass sein Freund ihn oben fangen konnte.",He threw the ball up the stairs so that his friend could catch it at the top.,Il a lancé la balle en haut des escaliers pour que son ami puisse l'attraper en haut.,"hinauf = up, away from the speaker","hinauf = en haut, loin de l'orateur",,
1414,56,"Sie fuhr mit dem Fahrrad den Hügel _____, obwohl es sehr anstrengend war.",hinauf,"Sie fuhr mit dem Fahrrad den Hügel hinauf, obwohl es sehr anstrengend war.","She rode her bike up the hill, even though it was very exhausting.","Elle a monté la colline à vélo, même si c'était très épuisant.","hinauf = up, away from the speaker","hinauf = en haut, loin de l'orateur",,
1415,56,"Er rief seinem Freund zu, die Treppe _____zukommen.",herauf,"Er rief seinem Freund zu, die Treppe heraufzukommen.",He called to his friend to come up the stairs.,Il a appelé son ami pour qu'il monte les escaliers.,"herauf = up, toward the speaker","herauf = vers le haut, vers l'orateur",,
1416,56,Sie ist von München _____ nach Hamburg gezogen.,herauf,Sie ist von München herauf nach Hamburg gezogen.,She moved from Munich up to Hamburg.,Elle a déménagé de Munich à Hambourg.,"herauf = up, toward the speaker","herauf = vers le haut, vers l'orateur",,
1417,56,Der Weg den Berg _____ war steil und steinig.,herauf,Der Weg den Berg herauf war steil und steinig.,The way up here to the mountain was steep and rocky.,Le chemin jusqu'à la montagne était raide et rocailleux.,"herauf = up, toward the speaker","herauf = vers le haut, vers l'orateur",,
1418,56,"Er lehnte sich weit aus dem Fenster _____, um die vorbeiziehenden Wolken besser zu sehen.",hinaus,"Er lehnte sich weit aus dem Fenster hinaus, um die vorbeiziehenden Wolken besser zu sehen.",He leaned far out of the window to see the passing clouds better.,Il se pencha loin par la fenêtre pour mieux voir les nuages ​​qui passaient.,"hinaus = out, away from the speaker","hinaus = dehors, loin de l'orateur",,
1419,56,Die Demonstranten liefen aus dem Stadtzentrum _____ in Richtung des Regierungsgebäudes.,hinaus,Die Demonstranten liefen aus dem Stadtzentrum hinaus in Richtung des Regierungsgebäudes.,The protesters walked out of the city center towards the government building.,Les manifestants ont quitté le centre-ville en direction du bâtiment gouvernemental.,"hinaus = out, away from the speaker","hinaus = dehors, loin de l'orateur",,
1420,56,Der Fluss fließt aus den Bergen _____ und mündet schließlich ins Meer.,hinaus,Der Fluss fließt aus den Bergen hinaus und mündet schließlich ins Meer.,The river flows out of the mountains and eventually empties into the sea.,La rivière coule des montagnes et se jette finalement dans la mer.,"hinaus = out, away from the speaker","hinaus = dehors, loin de l'orateur",,
1421,56,"Die Wanderer gingen den steilen Pfad _____, um zum Fluss zu gelangen.",hinunter,"Die Wanderer gingen den steilen Pfad hinunter, um zum Fluss zu gelangen.",The hikers walked down the steep path to reach the river.,Les randonneurs ont parcouru le sentier escarpé pour atteindre la rivière.,"hinunter = down, away from the speaker","hinunter = vers le bas, loin de l'orateur",,
1422,56,"Er ließ den Ball die Treppe _____ rollen, bis er am Ende stoppte.",hinunter,"Er ließ den Ball die Treppe hinunter rollen, bis er am Ende stoppte.",He let the ball roll down the stairs until it stopped at the bottom.,Il laissa la balle rouler dans les escaliers jusqu'à ce qu'elle s'arrête en bas.,"hinunter = down, away from the speaker","hinunter = vers le bas, loin de l'orateur",,
1423,56,"Sie fuhr mit dem Fahrrad den Berg _____, während der Wind ihr ins Gesicht blies.",hinunter,"Sie fuhr mit dem Fahrrad den Berg hinunter, während der Wind ihr ins Gesicht blies.",She rode her bike down the mountain while the wind blew into her face.,Elle descendait la montagne à vélo tandis que le vent lui soufflait au visage.,"hinunter = down, away from the speaker","hinunter = vers le bas, loin de l'orateur",,
1424,56,"Bitte treten Sie _____, das Meeting beginnt gleich.",herein,"Bitte treten Sie herein, das Meeting beginnt gleich.","Please step inside, the meeting is about to begin.","Veuillez entrer, la réunion est sur le point de commencer.","herein = inside, toward the speaker","herein = à l'intérieur, vers l'orateur",,
1425,56,"Er rief laut: 'Kommt _____!', als es draußen anfing zu regnen.",herein,"Er rief laut: 'Kommt herein!', als es draußen anfing zu regnen.",He shouted loudly: 'Come in!' when it started to rain outside.,Il a crié fort : « Entrez ! » quand il a commencé à pleuvoir dehors.,"herein = inside, toward the speaker","herein = à l'intérieur, vers l'orateur",,
1426,56,"Die Katze schlich vorsichtig _____, nachdem sie die Tür geöffnet hatte.",herein,"Die Katze schlich vorsichtig herein, nachdem sie die Tür geöffnet hatte.",The cat cautiously crept inside after the door was opened.,Le chat s'est prudemment glissé à l'intérieur après l'ouverture de la porte.,"herein = inside, toward the speaker","herein = à l'intérieur, vers l'orateur",,
1427,56,Er lehnte sich zurück und streckte demonstrativ das Kinn _____.,hervor,Er lehnte sich zurück und streckte demonstrativ das Kinn hervor.,He leaned back and deliberately stuck his chin out.,Il se pencha en arrière et sortit délibérément son menton.,"hervor = forth, from the back to the front, toward the speaker","hervor = en avant, de l'arrière vers l'avant, vers l'orateur",,
1428,56,Aus der alten Kommode ragte eine vergilbte Schublade leicht _____.,hervor,Aus der alten Kommode ragte eine vergilbte Schublade leicht hervor.,A yellowed drawer slightly jutted out of the old dresser.,Un tiroir jauni dépassait légèrement de la vieille commode.,"hervor = forth, from the back to the front, toward the speaker","hervor = en avant, de l'arrière vers l'avant, vers l'orateur",,
1429,56,Unter dem Teppich kam eine Ecke des Holzbodens _____.,hervor,Unter dem Teppich kam eine Ecke des Holzbodens hervor.,A corner of the wooden floor peeked out from under the carpet.,Un coin du plancher en bois dépassait de sous le tapis.,"hervor = forth, from the back to the front, toward the speaker","hervor = en avant, de l'arrière vers l'avant, vers l'orateur",,
1430,57,,übrigens,,"by the way, incidentally","au fait, soit dit en passant, d'ailleurs","übrigens = by the way, incidentally","übrigens = au fait, soit dit en passant, d'ailleurs",,
1431,57,,kurz Gesagt,,"in short, in a nutshell","en bref, en un mot","kurz gesagt = in short, in a nutshell","kurz gesagt = en bref, en un mot",,
1432,57,,bekanntlich,,"as you know, as is well known, notoriously","comme vous le savez, comme chacun sait","bekanntlich = as you know, as is well known, notoriously","bekanntlich = comme vous le savez, comme chacun sait",,
1433,57,,diesbezüglich,,"in this regard, regarding this","à cet égard, à propos de cela","diesbezüglich = in this regard, regarding this","diesbezüglich = à cet égard, à propos de cela",,
1434,57,,sozusagen,,so to speak,pour ainsi dire,sozusagen = so to speak,sozusagen = pour ainsi dire,,
1435,57,,und umgekehrt,,"and vice-versa, and conversely","et vice-versa, et inversement","und umgekehrt = and vice-versa, and conversely","und umgekehrt = et vice-versa, et inversement",,
1436,57,,auf Antrag,,upon request,sur demande,auf antrag = upon request,auf antrag = sur demande,,
1437,57,,zur Niederschrift,,for the record,"pour mémoire, pour votre information",zur niederschrift = for the record,"zur niederschrift = pour mémoire, pour votre information",,
1438,57,,erfahrungsgemäß,,"from experience, empirically","d'après l'expérience, empiriquement","erfahrungsgemäß = from experience, empirically","erfahrungsgemäß = d'après l'expérience, empiriquement",,
1439,57,,sowieso,,"anyway, anyhow, in any case","de toute façon, dans tous les cas","sowieso = anyway, anyhow, in any case","sowieso = de toute façon, dans tous les cas",,
1440,58,"_____, hast du schon von der neuen Ausstellung gehört?",Übrigens,"Übrigens, hast du schon von der neuen Ausstellung gehört?","By the way, have you heard about the new exhibition?","Au fait, avez-vous entendu parler de la nouvelle exposition ?","übrigens = by the way, incidentally","übrigens = au fait, soit dit en passant, d'ailleurs",,
1441,58,"Ich komme morgen zur Party, _____ bringe ich einen Freund mit.",übrigens,"Ich komme morgen zur Party, übrigens bringe ich einen Freund mit.","I’m coming to the party tomorrow, by the way, I’m bringing a friend.","Au fait, je viens à la fête demain, et j'amène un ami.","übrigens = by the way, incidentally","übrigens = au fait, soit dit en passant, d'ailleurs",,
1442,58,"_____, das Restaurant hat jetzt auch vegane Gerichte auf der Karte.",Übrigens,"Übrigens, das Restaurant hat jetzt auch vegane Gerichte auf der Karte.","By the way, the restaurant now also has vegan dishes on the menu.","D'ailleurs, le restaurant propose désormais aussi des plats végétaliens à sa carte.","übrigens = by the way, incidentally","übrigens = au fait, soit dit en passant, d'ailleurs",,
1443,58,"Sie hat den Job bekommen, _____ hat sie sich nur aus Spass beworben.",übrigens,"Sie hat den Job bekommen, übrigens hat sie sich nur aus Spass beworben.","She got the job; incidentally, she only applied for fun.","Elle a obtenu le poste ; d'ailleurs, elle avait postulé uniquement pour s'amuser.","übrigens = by the way, incidentally","übrigens = au fait, soit dit en passant, d'ailleurs",,
1444,58,"_____, ich habe gestern deinen Bruder getroffen.",Übrigens,"Übrigens, ich habe gestern deinen Bruder getroffen.","By the way, I met your brother yesterday.","Au fait, j'ai rencontré votre frère hier.","übrigens = by the way, incidentally","übrigens = au fait, soit dit en passant, d'ailleurs",,
1445,58,_____: Er hat das Projekt erfolgreich abgeschlossen.,Kurz gesagt,Kurz gesagt: Er hat das Projekt erfolgreich abgeschlossen.,In short: He completed the project successfully.,En bref : Il a mené à bien le projet.,"kurz gesagt = in short, in a nutshell","kurz gesagt = en bref, en un mot",,
1446,58,_____: Wir stehen vor einer großen Herausforderung.,Kurz gesagt,Kurz gesagt: Wir stehen vor einer großen Herausforderung.,In short: We are facing a major challenge.,En résumé : nous sommes confrontés à un défi majeur.,"kurz gesagt = in short, in a nutshell","kurz gesagt = en bref, en un mot",,
1447,58,_____: Das Unternehmen muss dringend Maßnahmen ergreifen.,Kurz gesagt,Kurz gesagt: Das Unternehmen muss dringend Maßnahmen ergreifen.,In short: The company urgently needs to take action.,En bref : L'entreprise doit agir de toute urgence.,"kurz gesagt = in short, in a nutshell","kurz gesagt = en bref, en un mot",,
1448,58,_____: Sie haben alle Anforderungen erfüllt.,Kurz gesagt,Kurz gesagt: Sie haben alle Anforderungen erfüllt.,In short: They met all the requirements.,En résumé : ils remplissaient toutes les conditions.,"kurz gesagt = in short, in a nutshell","kurz gesagt = en bref, en un mot",,
1449,58,"_____: Das Problem ist komplexer, als es auf den ersten Blick scheint.",Kurz gesagt,"Kurz gesagt: Das Problem ist komplexer, als es auf den ersten Blick scheint.",In short: The problem is more complex than it appears at first glance.,En bref : le problème est plus complexe qu'il n'y paraît au premier abord.,"kurz gesagt = in short, in a nutshell","kurz gesagt = en bref, en un mot",,
1450,58,"_____ ist jede Prognose mit Unsicherheiten verbunden, besonders wenn die Datenlage lückenhaft ist.",Bekanntlich,"Bekanntlich ist jede Prognose mit Unsicherheiten verbunden, besonders wenn die Datenlage lückenhaft ist.","As is well known, every forecast comes with uncertainties, especially when the data is incomplete.","Comme on le sait, toute prévision comporte des incertitudes, surtout lorsque les données sont lacunaires.","bekanntlich = as you know, as is well known, notoriously","bekanntlich = comme vous le savez, comme chacun sait",,
1451,58,"Entscheidungen dauern hier länger, weil _____ mehrere Gremien beteiligt sind.",bekanntlich,"Entscheidungen dauern hier länger, weil bekanntlich mehrere Gremien beteiligt sind.","Decisions take longer here because, as is well known, several committees are involved.","Les décisions prennent plus de temps ici car, comme on le sait, plusieurs instances sont impliquées.","bekanntlich = as you know, as is well known, notoriously","bekanntlich = comme vous le savez, comme chacun sait",,
1452,58,"Die Branche steht, _____, seit Jahren unter Druck, was tiefgreifende Reformen erforderlich macht.",bekanntlich,"Die Branche steht, bekanntlich, seit Jahren unter Druck, was tiefgreifende Reformen erforderlich macht.","The sector has, as is well known, been under pressure for years, which makes far-reaching reforms necessary.","Le secteur est, comme on le sait, sous pression depuis des années, ce qui rend des réformes profondes nécessaires.","bekanntlich = as you know, as is well known, notoriously","bekanntlich = comme vous le savez, comme chacun sait",,
1453,58,_____ führen überstürzte Maßnahmen selten zu nachhaltigen Lösungen.,Bekanntlich,Bekanntlich führen überstürzte Maßnahmen selten zu nachhaltigen Lösungen.,"As is widely known, rushed measures rarely lead to sustainable solutions.","Comme on le sait, les mesures précipitées mènent rarement à des solutions durables.","bekanntlich = as you know, as is well known, notoriously","bekanntlich = comme vous le savez, comme chacun sait",,
1454,58,"Der Standort hat _____ den Vorteil, hervorragend vernetzt zu sein, was Kooperationen erleichtert.",bekanntlich,"Der Standort hat bekanntlich den Vorteil, hervorragend vernetzt zu sein, was Kooperationen erleichtert.","The location has the well-known advantage of being extremely well connected, which facilitates cooperation.","Le site présente, comme on le sait, l’avantage d’être très bien connecté, ce qui facilite les coopérations.","bekanntlich = as you know, as is well known, notoriously","bekanntlich = comme vous le savez, comme chacun sait",,
1455,58,"_____ bestehen noch erhebliche Unsicherheiten, da mehrere zentrale Fragen ungeklärt sind.",Diesbezüglich,"Diesbezüglich bestehen noch erhebliche Unsicherheiten, da mehrere zentrale Fragen ungeklärt sind.","In this regard, considerable uncertainties remain because several key questions are unresolved.","À cet égard, d’importantes incertitudes subsistent, car plusieurs questions essentielles restent non résolues.","diesbezüglich = in this regard, regarding this","diesbezüglich = à cet égard, à propos de cela",,
1456,58,"Die Expertinnen betonten, dass _____ weitere Untersuchungen notwendig seien, bevor man konkrete Maßnahmen ergreife.",diesbezüglich,"Die Expertinnen betonten, dass diesbezüglich weitere Untersuchungen notwendig seien, bevor man konkrete Maßnahmen ergreife.",The experts emphasized that further investigations were needed in this respect before taking concrete action.,"Les expertes ont souligné qu’à cet égard, des recherches supplémentaires étaient nécessaires avant de prendre des mesures concrètes.","diesbezüglich = in this regard, regarding this","diesbezüglich = à cet égard, à propos de cela",,
1457,58,"Der Bericht ist _____ missverständlich formuliert, was bereits zu mehreren Fehlinterpretationen geführt hat.",diesbezüglich,"Der Bericht ist diesbezüglich missverständlich formuliert, was bereits zu mehreren Fehlinterpretationen geführt hat.","The report is ambiguously worded in this respect, which has already led to several misinterpretations.","Le rapport est formulé de manière ambiguë à cet égard, ce qui a déjà entraîné plusieurs mauvaises interprétations.","diesbezüglich = in this regard, regarding this","diesbezüglich = à cet égard, à propos de cela",,
1458,58,"Viele Unternehmen sind _____ zurückhaltend, weil die langfristigen Risiken schwer abzuschätzen sind.",diesbezüglich,"Viele Unternehmen sind diesbezüglich zurückhaltend, weil die langfristigen Risiken schwer abzuschätzen sind.",Many companies are cautious in this respect because the long-term risks are difficult to assess.,"De nombreuses entreprises se montrent prudentes à cet égard, car les risques à long terme sont difficiles à évaluer.","diesbezüglich = in this regard, regarding this","diesbezüglich = à cet égard, à propos de cela",,
1459,58,"Die Hinweise der Aufsichtsbehörde seien _____ sehr klar, weshalb weitere Verzögerungen kaum zu rechtfertigen sind.",diesbezüglich,"Die Hinweise der Aufsichtsbehörde seien diesbezüglich sehr klar, weshalb weitere Verzögerungen kaum zu rechtfertigen sind.","The supervisory authority’s guidelines are very clear in this regard, which makes further delays hard to justify.","Les directives de l’autorité de supervision sont très claires à cet égard, ce qui rend difficile de justifier de nouveaux retards.","diesbezüglich = in this regard, regarding this","diesbezüglich = à cet égard, à propos de cela",,
1460,58,"Die Reform markiert _____ einen Wendepunkt, an dem alte Strukturen endgültig aufgegeben werden müssen.",sozusagen,"Die Reform markiert sozusagen einen Wendepunkt, an dem alte Strukturen endgültig aufgegeben werden müssen.","The reform marks, so to speak, a turning point at which old structures must finally be abandoned.","La réforme marque, pour ainsi dire, un tournant où les anciennes structures doivent être définitivement abandonnées.",sozusagen = so to speak,sozusagen = pour ainsi dire,,
1461,58,"Das Projekt befand sich _____ in einem Zwischenstadium, in dem vieles möglich, aber wenig sicher war.",sozusagen,"Das Projekt befand sich sozusagen in einem Zwischenstadium, in dem vieles möglich, aber wenig sicher war.","The project was, so to speak, in an intermediate stage where much was possible but little was certain.","Le projet se trouvait, pour ainsi dire, dans une phase intermédiaire où beaucoup était possible mais peu certain.",sozusagen = so to speak,sozusagen = pour ainsi dire,,
1462,58,Die neue Methode fungiert _____ als Brücke zwischen theoretischen Modellen und praktischen Anwendungen.,sozusagen,Die neue Methode fungiert sozusagen als Brücke zwischen theoretischen Modellen und praktischen Anwendungen.,"The new method acts, so to speak, as a bridge between theoretical models and practical applications.","La nouvelle méthode sert, pour ainsi dire, de pont entre les modèles théoriques et leurs applications pratiques.",sozusagen = so to speak,sozusagen = pour ainsi dire,,
