Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
442,22,"_____ du deine Aufgaben rechtzeitig erledigst, sehe ich kein Problem.",Insofern,Insofern,"Insofern du deine Aufgaben rechtzeitig erledigst, sehe ich kein Problem.","Insofar as you complete your tasks on time, I see no issue.","Tant que vous terminez vos tâches à temps, je ne vois aucun problème.",,,"insofern = insofar as, in that respect, to that extent ● Subordinating conjunction","insofern = dans la mesure où, tant que ● Conjonctions de subordination"
443,22,"_____ die Informationen korrekt sind, müssen wir unsere Strategie überdenken.",Insofern,Insofern,"Insofern die Informationen korrekt sind, müssen wir unsere Strategie überdenken.","Insofar as the information is correct, we need to rethink our strategy.","Dans la mesure où les informations sont correctes, nous devons repenser notre stratégie.",,,"insofern = insofar as, in that respect, to that extent ● Subordinating conjunction","insofern = dans la mesure où, tant que ● Conjonctions de subordination"
444,22,"_____ er zustimmt, können wir mit dem Projekt fortfahren.",Insofern,Insofern,"Insofern er zustimmt, können wir mit dem Projekt fortfahren.","Insofar as he agrees, we can proceed with the project.","Dans la mesure où il est d’accord, nous pouvons procéder au projet.",,,"insofern = insofar as, in that respect, to that extent ● Subordinating conjunction","insofern = dans la mesure où, tant que ● Conjonctions de subordination"
445,22,"_____ du interessiert bist, kann ich dir weitere Unterlagen zuschicken.",Insofern,Insofern,"Insofern du interessiert bist, kann ich dir weitere Unterlagen zuschicken.","Insofar as you're interested, I can send you more documents.","Dans la mesure où vous êtes intéressé, je peux vous envoyer plus de documents.",,,"insofern = insofar as, in that respect, to that extent ● Subordinating conjunction","insofern = dans la mesure où, tant que ● Conjonctions de subordination"
446,22,"_____ hat sie recht, als dass die Risiken tatsächlich unterschätzt wurden.",Insofern,Insofern,"Insofern hat sie recht, als dass die Risiken tatsächlich unterschätzt wurden.",She is right insofar as the risks were indeed underestimated.,Elle a raison dans la mesure où les risques ont effectivement été sous-estimés.,,,"insofern = insofar as, in that respect, to that extent ● Subordinating conjunction","insofern = dans la mesure où, tant que ● Conjonctions de subordination"
447,22,"_____ ich informiert bin, wird das neue Gesetz erst im kommenden Jahr in Kraft treten.",Soweit,Soweit,"Soweit ich informiert bin, wird das neue Gesetz erst im kommenden Jahr in Kraft treten.","As far as I am informed, the new law will only come into effect next year.","D’après ce que je sais, la nouvelle loi n’entrera en vigueur que l’année prochaine.",,,soweit = as far as ● Subordinating conjunction,"soweit = d'après ce que, en ce qui concerne ● Conjonctions de subordination"
448,22,"_____ ich das beurteilen kann, hat das Team hervorragende Arbeit geleistet, obwohl die Bedingungen alles andere als ideal waren.",Soweit,Soweit,"Soweit ich das beurteilen kann, hat das Team hervorragende Arbeit geleistet, obwohl die Bedingungen alles andere als ideal waren.","As far as I can judge, the team did an excellent job despite the conditions being far from ideal.","D’après ce que j’ai pu en juger, l’équipe a fait un excellent travail malgré des conditions loin d’être idéales.",,,soweit = as far as ● Subordinating conjunction,"soweit = d'après ce que, en ce qui concerne ● Conjonctions de subordination"
449,22,"_____ es mich betrifft, hätte das Projekt längst abgeschlossen sein müssen.",Soweit,Soweit,"Soweit es mich betrifft, hätte das Projekt längst abgeschlossen sein müssen.","As far as I’m concerned, the project should have been completed a long time ago.","Pour moi, le projet aurait dû être terminé depuis longtemps.",,,soweit = as far as ● Subordinating conjunction,"soweit = d'après ce que, en ce qui concerne ● Conjonctions de subordination"
450,22,"Die Maßnahmen waren erfolgreich, _____ man das anhand der vorliegenden Daten sagen kann.",soweit,soweit,"Die Maßnahmen waren erfolgreich, soweit man das anhand der vorliegenden Daten sagen kann.","The measures were successful, as far as one can say based on the available data.","Les mesures ont été efficaces, d’après les données disponibles.",,,soweit = as far as ● Subordinating conjunction,"soweit = d'après ce que, en ce qui concerne ● Conjonctions de subordination"
451,22,"_____ mir bekannt ist, hat die Firma keine Stellung zu den Vorwürfen genommen.",Soweit,Soweit,"Soweit mir bekannt ist, hat die Firma keine Stellung zu den Vorwürfen genommen.","As far as I know, the company has not commented on the accusations.","À ma connaissance, l’entreprise n’a pas commenté les accusations.",,,soweit = as far as ● Subordinating conjunction,"soweit = d'après ce que, en ce qui concerne ● Conjonctions de subordination"
452,22,"Du kannst an der Konferenz teilnehmen, _____ du dich bis Freitag anmeldest.",sofern,sofern,"Du kannst an der Konferenz teilnehmen, sofern du dich bis Freitag anmeldest.","You can attend the conference, provided that you register by Friday.","Vous pouvez assister à la conférence, à condition de vous inscrire avant vendredi.",,,"sofern = provided, provided that ● Subordinating conjunction",sofern = à condition que ● Conjonctions de subordination
453,22,"_____ keine Einwände bestehen, beginnen wir mit der Umsetzung des Plans.",Sofern,Sofern,"Sofern keine Einwände bestehen, beginnen wir mit der Umsetzung des Plans.","Unless there are objections, we will begin implementing the plan.","À moins d’objections, nous commencerons à mettre en œuvre le plan.",,,"sofern = provided, provided that ● Subordinating conjunction",sofern = à condition que ● Conjonctions de subordination
454,22,"Die Garantie gilt nur, _____ das Gerät sachgemäß verwendet wurde.",sofern,sofern,"Die Garantie gilt nur, sofern das Gerät sachgemäß verwendet wurde.",The warranty is only valid provided that the device was used properly.,La garantie n'est valable qu'à condition que l'appareil ait été utilisé correctement.,,,"sofern = provided, provided that ● Subordinating conjunction",sofern = à condition que ● Conjonctions de subordination
455,22,"_____ es die Wetterbedingungen zulassen, wird das Event im Freien stattfinden.",Sofern,Sofern,"Sofern es die Wetterbedingungen zulassen, wird das Event im Freien stattfinden.","Provided that the weather permits, the event will take place outdoors.","Si le temps le permet, l'événement se déroulera en extérieur.",,,"sofern = provided, provided that ● Subordinating conjunction",sofern = à condition que ● Conjonctions de subordination
456,22,"Der Vertrag tritt in Kraft, _____ beide Parteien unterzeichnen.",sofern,sofern,"Der Vertrag tritt in Kraft, sofern beide Parteien unterzeichnen.",The contract comes into effect provided that both parties sign.,Le contrat entre en vigueur à condition que les deux parties le signent.,,,"sofern = provided, provided that ● Subordinating conjunction",sofern = à condition que ● Conjonctions de subordination
457,22,"Ich gehe heute nicht ins Büro, _____, es gibt ein dringendes Meeting.",es sei denn,es sei denn,"Ich gehe heute nicht ins Büro, es sei denn, es gibt ein dringendes Meeting.",I’m not going to the office today unless there’s an urgent meeting.,"Je ne vais pas au bureau aujourd’hui, à moins qu’il y ait une réunion urgente.",,,es sei denn = unless ● Coordinating conjunction,es sei denn = à moins que ● Conjonction de coordination
458,22,"Niemand darf den Raum betreten, _____, er hat eine spezielle Genehmigung.",es sei denn,es sei denn,"Niemand darf den Raum betreten, es sei denn, er hat eine spezielle Genehmigung.",No one is allowed to enter the room unless they have special permission.,"Personne n’est autorisé à entrer dans la salle, à moins d’avoir une autorisation spéciale.",,,es sei denn = unless ● Coordinating conjunction,es sei denn = à moins que ● Conjonction de coordination
459,22,"Wir verschieben das Projekt nicht, _____, neue Informationen machen das notwendig.",es sei denn,es sei denn,"Wir verschieben das Projekt nicht, es sei denn, neue Informationen machen das notwendig.",We won’t postpone the project unless new information makes it necessary.,"Nous ne reportons pas le projet, à moins que de nouvelles informations ne le rendent nécessaire.",,,es sei denn = unless ● Coordinating conjunction,es sei denn = à moins que ● Conjonction de coordination
460,22,"Du solltest dich nicht entschuldigen, _____, du meinst es wirklich ernst.",es sei denn,es sei denn,"Du solltest dich nicht entschuldigen, es sei denn, du meinst es wirklich ernst.",You shouldn’t apologize unless you truly mean it.,"Tu ne devrais pas t’excuser, à moins que tu ne le penses vraiment.",,,es sei denn = unless ● Coordinating conjunction,es sei denn = à moins que ● Conjonction de coordination
461,22,"Das Gesetz tritt nicht in Kraft, _____, der Bundestag stimmt erneut zu.",es sei denn,es sei denn,"Das Gesetz tritt nicht in Kraft, es sei denn, der Bundestag stimmt erneut zu.",The law will not come into effect unless the Bundestag approves it again.,"La loi n’entrera pas en vigueur, à moins que le Bundestag ne l’approuve à nouveau.",,,es sei denn = unless ● Coordinating conjunction,es sei denn = à moins que ● Conjonction de coordination
462,22,"_____ entschied das Komitee, den Vorschlag trotz aller Bedenken anzunehmen.",Zu guter Letzt,Zu guter Letzt,"Zu guter Letzt entschied das Komitee, den Vorschlag trotz aller Bedenken anzunehmen.","Last but not least, the committee decided to accept the proposal despite all concerns.","En dernier lieu, le comité a décidé d’accepter la proposition malgré toutes les réserves.",,,zu guter letzt = last but not least ● Adverb,"zu guter letzt = entre autre et pas des moindres, en dernier lieu ● Adverbe"
463,22,"_____ stellte sich heraus, dass die vermeintliche Lösung das Problem nur verschärft hatte.",Zu guter Letzt,Zu guter Letzt,"Zu guter Letzt stellte sich heraus, dass die vermeintliche Lösung das Problem nur verschärft hatte.","Last but not least, it turned out that the supposed solution had only made the problem worse.","Entre autre et pas des moindres, il s’est avéré que la solution supposée avait seulement aggravé le problème.",,,zu guter letzt = last but not least ● Adverb,"zu guter letzt = entre autre et pas des moindres, en dernier lieu ● Adverbe"
464,22,"_____ gelang es ihr, die Argumentation so zu strukturieren, dass niemand mehr Zweifel hatte.",Zu guter Letzt,Zu guter Letzt,"Zu guter Letzt gelang es ihr, die Argumentation so zu strukturieren, dass niemand mehr Zweifel hatte.","Last but not least, she managed to structure the argument in a way that left no room for doubt.","En dernier lieu, elle a réussi à structurer l’argumentation de manière à ne laisser aucun doute.",,,zu guter letzt = last but not least ● Adverb,"zu guter letzt = entre autre et pas des moindres, en dernier lieu ● Adverbe"
465,22,"_____ wurde klar, dass die unterschiedlichen Interessen nicht miteinander vereinbar waren.",Zu guter Letzt,Zu guter Letzt,"Zu guter Letzt wurde klar, dass die unterschiedlichen Interessen nicht miteinander vereinbar waren.","Last but not least, it became clear that the differing interests were not compatible.","Entre autre et pas des moindres, il est devenu clair que les différents intérêts n’étaient pas compatibles.",,,zu guter letzt = last but not least ● Adverb,"zu guter letzt = entre autre et pas des moindres, en dernier lieu ● Adverbe"
466,22,_____ fasste der Moderator die wichtigsten Punkte zusammen und beendete die Sitzung.,Zu guter Letzt,Zu guter Letzt,Zu guter Letzt fasste der Moderator die wichtigsten Punkte zusammen und beendete die Sitzung.,"Last but not least, the moderator summarized the key points and closed the meeting.","En dernier lieu, le modérateur a résumé les points essentiels et a clos la séance.",,,zu guter letzt = last but not least ● Adverb,"zu guter letzt = entre autre et pas des moindres, en dernier lieu ● Adverbe"
467,22,"_____ lässt sich sagen, dass die Reform zwar gut gemeint war, aber ihre Ziele nur teilweise erreicht hat.",Insgesamt,Insgesamt,"Insgesamt lässt sich sagen, dass die Reform zwar gut gemeint war, aber ihre Ziele nur teilweise erreicht hat.","Overall, it can be said that the reform was well-intentioned but achieved its goals only partially.","Globalement, on peut dire que la réforme était bien intentionnée, mais n’a atteint ses objectifs que partiellement.",,,"insgesamt = overall, all in all ● Adverb","insgesamt = dans l'ensemble, globalement ● Adverbe"
468,22,_____ betrachtet zeigte die Studie deutliche Schwächen im methodischen Aufbau.,Insgesamt,Insgesamt,Insgesamt betrachtet zeigte die Studie deutliche Schwächen im methodischen Aufbau.,"All in all, the study showed clear weaknesses in its methodological design.","Dans l’ensemble, l’étude présentait des faiblesses évidentes dans sa conception méthodologique.",,,"insgesamt = overall, all in all ● Adverb","insgesamt = dans l'ensemble, globalement ● Adverbe"
469,22,"_____ waren die Reaktionen der Teilnehmer positiver, als die Organisatoren erwartet hatten.",Insgesamt,Insgesamt,"Insgesamt waren die Reaktionen der Teilnehmer positiver, als die Organisatoren erwartet hatten.","Overall, the participants’ reactions were more positive than the organizers had expected.","Globalement, les réactions des participants ont été plus positives que prévu par les organisateurs.",,,"insgesamt = overall, all in all ● Adverb","insgesamt = dans l'ensemble, globalement ● Adverbe"
470,22,_____ führt die zunehmende Digitalisierung zu einer Verschiebung traditioneller Arbeitsstrukturen.,Insgesamt,Insgesamt,Insgesamt führt die zunehmende Digitalisierung zu einer Verschiebung traditioneller Arbeitsstrukturen.,"Overall, increasing digitalization is leading to a shift in traditional work structures.","Dans l’ensemble, la numérisation croissante entraîne un changement des structures de travail traditionnelles.",,,"insgesamt = overall, all in all ● Adverb","insgesamt = dans l'ensemble, globalement ● Adverbe"
471,22,_____ blieb das Unternehmen trotz der schwierigen Marktbedingungen bemerkenswert stabil.,Insgesamt,Insgesamt,Insgesamt blieb das Unternehmen trotz der schwierigen Marktbedingungen bemerkenswert stabil.,"All in all, the company remained remarkably stable despite the challenging market conditions.","Dans l’ensemble, l’entreprise est restée remarquablement stable malgré des conditions de marché difficiles.",,,"insgesamt = overall, all in all ● Adverb","insgesamt = dans l'ensemble, globalement ● Adverbe"
472,22,"Sie hat das komplexe Projekt termingerecht abgeschlossen, und ihr Team _____.",ebenfalls,ebenfalls,"Sie hat das komplexe Projekt termingerecht abgeschlossen, und ihr Team ebenfalls.","She completed the complex project on time, and her team did as well.","Elle a terminé le projet complexe dans les délais, et son équipe aussi.",,,"ebenfalls = likewise, as well ● Adverb","ebenfalls = également, de même ● Adverbe"
473,22,"Der Direktor begrüßte den neuen Ansatz, und die Abteilungsleiter _____.",ebenfalls,ebenfalls,"Der Direktor begrüßte den neuen Ansatz, und die Abteilungsleiter ebenfalls.","The director welcomed the new approach, and the department heads did as well.","Le directeur a accueilli la nouvelle approche, et les chefs de service aussi.",,,"ebenfalls = likewise, as well ● Adverb","ebenfalls = également, de même ● Adverbe"
474,22,"Er hat sich bereit erklärt, zusätzliche Verantwortung zu übernehmen, und seine Kolleginnen _____.",ebenfalls,ebenfalls,"Er hat sich bereit erklärt, zusätzliche Verantwortung zu übernehmen, und seine Kolleginnen ebenfalls.","He agreed to take on additional responsibility, and his colleagues did as well.","Il a accepté d’assumer des responsabilités supplémentaires, et ses collègues aussi.",,,"ebenfalls = likewise, as well ● Adverb","ebenfalls = également, de même ● Adverbe"
475,22,"Die Stadt investiert massiv in nachhaltige Energie, und benachbarte Gemeinden _____.",ebenfalls,ebenfalls,"Die Stadt investiert massiv in nachhaltige Energie, und benachbarte Gemeinden ebenfalls.","The city is investing heavily in sustainable energy, and neighboring municipalities are too.","La ville investit massivement dans l’énergie durable, et les communes voisines aussi.",,,"ebenfalls = likewise, as well ● Adverb","ebenfalls = également, de même ● Adverbe"
476,22,"Die Forschenden stellten überraschende Ergebnisse vor, und internationale Expertinnen _____.",ebenfalls,ebenfalls,"Die Forschenden stellten überraschende Ergebnisse vor, und internationale Expertinnen ebenfalls.","The researchers presented surprising results, and international experts did as well.","Les chercheurs ont présenté des résultats surprenants, et des experts internationaux aussi.",,,"ebenfalls = likewise, as well ● Adverb","ebenfalls = également, de même ● Adverbe"
477,23,,zu diesem Zweck,zu diesem Zweck,,"for this purpose, to that end","pour cela, à cette fin",Adverb,Adverbe,"zu diesem zweck = for this purpose, to that end ● Adverb","zu diesem zweck = pour cela, à cette fin ● Adverbe"
478,23,,auf diese Weise,auf diese Weise,,in this way,"de cette façon, de cette manière",Adverb,Adverbe,auf diese weise = in this way ● Adverb,"auf diese weise = de cette façon, de cette manière ● Adverbe"
479,23,,unter dem Strich,unter dem Strich,,"ultimately, at the end of the day, all things considered","au final, en fin de compte, tout compte fait",Adverb,Adverbe,"unter dem strich = ultimately, at the end of the day, all things considered ● Adverb","unter dem strich = au final, en fin de compte, tout compte fait ● Adverbe"
480,23,,nicht zuletzt,nicht zuletzt,,not least,"notamment, entre autres",Adverb,Adverbe,nicht zuletzt = not least ● Adverb,"nicht zuletzt = notamment, entre autres ● Adverbe"
481,23,,zu allem Überfluss,zu allem Überfluss,,"to make matters worse, to add insult to injury","pour couronner le tout, pour ne rien arranger",Adverb,Adverbe,"zu allem überfluss = to make matters worse, to add insult to injury ● Adverb","zu allem überfluss = pour couronner le tout, pour ne rien arranger ● Adverbe"
482,23,,darüber hinaus,darüber hinaus,,"in addition to that, beyond that, additionally","par ailleurs, qui plus est, de surcroît",Adverb,Adverbe,"darüber hinaus = in addition to that, beyond that, additionally ● Adverb","darüber hinaus = par ailleurs, qui plus est, de surcroît ● Adverbe"
483,23,,vielmehr,vielmehr,,"rather, but rather","mais plutôt, au contraire",Adverb,Adverbe,"vielmehr = rather, but rather ● Adverb","vielmehr = mais plutôt, au contraire ● Adverbe"
484,23,,entsprechend,entsprechend,,"accordingly, correspondingly",en conséquence,Adverb,Adverbe,"entsprechend = accordingly, correspondingly ● Adverb",entsprechend = en conséquence ● Adverbe
485,24,Wir brauchen mehr Informationen; _____ werden wir eine Umfrage durchführen.,zu diesem Zweck,zu diesem Zweck,Wir brauchen mehr Informationen; zu diesem Zweck werden wir eine Umfrage durchführen.,"We need more information; for this purpose, we will conduct a survey.","Nous avons besoin de plus d’informations ; pour cela, nous allons mener une enquête.",,,"zu diesem zweck = for this purpose, to that end ● Adverb","zu diesem zweck = pour cela, à cette fin ● Adverbe"
486,24,"Die Firma hat ein neues Team eingestellt, _____ wurde ein spezielles Budget bereitgestellt.",zu diesem Zweck,zu diesem Zweck,"Die Firma hat ein neues Team eingestellt, zu diesem Zweck wurde ein spezielles Budget bereitgestellt.","The company hired a new team; for this purpose, a special budget was allocated.","L'entreprise a embauché une nouvelle équipe ; à cet effet, un budget spécial a été alloué.",,,"zu diesem zweck = for this purpose, to that end ● Adverb","zu diesem zweck = pour cela, à cette fin ● Adverbe"
487,24,"_____ haben wir eine Präsentation vorbereitet, um alle Fragen zu klären.",Zu diesem Zweck,Zu diesem Zweck,"Zu diesem Zweck haben wir eine Präsentation vorbereitet, um alle Fragen zu klären.","For this purpose, we prepared a presentation to address all questions.","À cette fin, nous avons préparé une présentation pour répondre à toutes les questions.",,,"zu diesem zweck = for this purpose, to that end ● Adverb","zu diesem zweck = pour cela, à cette fin ● Adverbe"
488,24,"Er hat extra einen Kurs besucht, _____ hat er seine Abende frei gehalten.",zu diesem Zweck,zu diesem Zweck,"Er hat extra einen Kurs besucht, zu diesem Zweck hat er seine Abende frei gehalten.",He attended a course specifically for this purpose and kept his evenings free.,Il a suivi un cours spécialement prévu à cet effet et a gardé ses soirées libres.,,,"zu diesem zweck = for this purpose, to that end ● Adverb","zu diesem zweck = pour cela, à cette fin ● Adverbe"
489,24,"_____ wurde ein ausführlicher Bericht erstellt, der alle Details enthält.",Zu diesem Zweck,Zu diesem Zweck,"Zu diesem Zweck wurde ein ausführlicher Bericht erstellt, der alle Details enthält.","For this purpose, a detailed report was created that contains all the details.","À cette fin, un rapport détaillé a été créé contenant tous les détails.",,,"zu diesem zweck = for this purpose, to that end ● Adverb","zu diesem zweck = pour cela, à cette fin ● Adverbe"
490,24,Wir haben die Daten analysiert und _____ die Fehler gefunden.,auf diese Weise,auf diese Weise,Wir haben die Daten analysiert und auf diese Weise die Fehler gefunden.,We analyzed the data and found the errors in this way.,Nous avons analysé les données et trouvé les erreurs de cette manière.,,,auf diese weise = in this way ● Adverb,"auf diese weise = de cette façon, de cette manière ● Adverbe"
491,24,"_____ können wir sicherstellen, dass das Projekt erfolgreich abgeschlossen wird.",Auf diese Weise,Auf diese Weise,"Auf diese Weise können wir sicherstellen, dass das Projekt erfolgreich abgeschlossen wird.","In this way, we can ensure that the project is successfully completed.","De cette façon, nous pouvons garantir que le projet sera mené à bien avec succès.",,,auf diese weise = in this way ● Adverb,"auf diese weise = de cette façon, de cette manière ● Adverbe"
492,24,Er hat viel geübt und _____ seine Fähigkeiten verbessert.,auf diese Weise,auf diese Weise,Er hat viel geübt und auf diese Weise seine Fähigkeiten verbessert.,He practiced a lot and improved his skills in this way.,Il s’est beaucoup entraîné et a ainsi amélioré ses compétences.,,,auf diese weise = in this way ● Adverb,"auf diese weise = de cette façon, de cette manière ● Adverbe"
493,24,Die Probleme wurden diskutiert und _____ gelöst.,auf diese Weise,auf diese Weise,Die Probleme wurden diskutiert und auf diese Weise gelöst.,The problems were discussed and solved in this way.,Les problèmes ont été discutés et résolus de cette manière.,,,auf diese weise = in this way ● Adverb,"auf diese weise = de cette façon, de cette manière ● Adverbe"
494,24,"_____ lernen die Schüler, selbstständig zu arbeiten.",Auf diese Weise,Auf diese Weise,"Auf diese Weise lernen die Schüler, selbstständig zu arbeiten.","In this way, the students learn to work independently.","De cette façon, les étudiants apprennent à travailler de manière autonome.",,,auf diese weise = in this way ● Adverb,"auf diese weise = de cette façon, de cette manière ● Adverbe"
495,24,"_____ hat das Projekt mehr Ressourcen verschlungen, als zunächst kalkuliert wurde.",Unter dem Strich,Unter dem Strich,"Unter dem Strich hat das Projekt mehr Ressourcen verschlungen, als zunächst kalkuliert wurde.","At the end of the day, the project consumed more resources than originally calculated.","En fin de compte, le projet a consommé plus de ressources que prévu.",,,"unter dem strich = ultimately, at the end of the day, all things considered ● Adverb","unter dem strich = au final, en fin de compte, tout compte fait ● Adverbe"
496,24,"_____ bleibt festzuhalten, dass die Risiken deutlich unterschätzt wurden.",Unter dem Strich,Unter dem Strich,"Unter dem Strich bleibt festzuhalten, dass die Risiken deutlich unterschätzt wurden.","Ultimately, it must be noted that the risks were clearly underestimated.","En fin de compte, il faut constater que les risques ont été clairement sous-estimés.",,,"unter dem strich = ultimately, at the end of the day, all things considered ● Adverb","unter dem strich = au final, en fin de compte, tout compte fait ● Adverbe"
497,24,"_____ erwies sich die Kooperation als weniger vorteilhaft, als die Parteien gehofft hatten.",Unter dem Strich,Unter dem Strich,"Unter dem Strich erwies sich die Kooperation als weniger vorteilhaft, als die Parteien gehofft hatten.","All things considered, the cooperation turned out to be less advantageous than the parties had hoped.","Tout compte fait, la coopération s’est révélée moins avantageuse que ce que les parties espéraient.",,,"unter dem strich = ultimately, at the end of the day, all things considered ● Adverb","unter dem strich = au final, en fin de compte, tout compte fait ● Adverbe"
498,24,_____ profitieren vor allem die Verbraucher von den neuen Regelungen.,Unter dem Strich,Unter dem Strich,Unter dem Strich profitieren vor allem die Verbraucher von den neuen Regelungen.,"Ultimately, it is the consumers who benefit most from the new regulations.","Au final, ce sont surtout les consommateurs qui bénéficient des nouvelles règles.",,,"unter dem strich = ultimately, at the end of the day, all things considered ● Adverb","unter dem strich = au final, en fin de compte, tout compte fait ● Adverbe"
499,24,"_____ zeigt die Bilanz, dass das Unternehmen trotz Rückschlägen solide gewirtschaftet hat.",Unter dem Strich,Unter dem Strich,"Unter dem Strich zeigt die Bilanz, dass das Unternehmen trotz Rückschlägen solide gewirtschaftet hat.","All things considered, the balance sheet shows that the company managed its business solidly despite setbacks.","En fin de compte, le bilan montre que l’entreprise a été gérée de manière solide malgré les revers.",,,"unter dem strich = ultimately, at the end of the day, all things considered ● Adverb","unter dem strich = au final, en fin de compte, tout compte fait ● Adverbe"
500,24,Die Entscheidung wurde _____ wegen des wachsenden öffentlichen Drucks getroffen.,nicht zuletzt,nicht zuletzt,Die Entscheidung wurde nicht zuletzt wegen des wachsenden öffentlichen Drucks getroffen.,The decision was made not least because of growing public pressure.,La décision a été prise notamment en raison de la pression publique croissante.,,,nicht zuletzt = not least ● Adverb,"nicht zuletzt = notamment, entre autres ● Adverbe"
501,24,Der Erfolg des Projekts ist _____ auf die außergewöhnliche Teamarbeit zurückzuführen.,nicht zuletzt,nicht zuletzt,Der Erfolg des Projekts ist nicht zuletzt auf die außergewöhnliche Teamarbeit zurückzuführen.,The success of the project is due not least to the exceptional teamwork.,Le succès du projet est dû notamment à l’excellent travail d’équipe.,,,nicht zuletzt = not least ● Adverb,"nicht zuletzt = notamment, entre autres ● Adverbe"
502,24,"Die Reform war notwendig, _____ weil die bisherigen Strukturen völlig überlastet waren.",nicht zuletzt,nicht zuletzt,"Die Reform war notwendig, nicht zuletzt weil die bisherigen Strukturen völlig überlastet waren.","The reform was necessary, not least because the existing structures were completely overloaded.","La réforme était nécessaire, notamment parce que les structures existantes étaient totalement surchargées.",,,nicht zuletzt = not least ● Adverb,"nicht zuletzt = notamment, entre autres ● Adverbe"
503,24,Der Vortrag überzeugte _____ durch seine klare Argumentationslinie.,nicht zuletzt,nicht zuletzt,Der Vortrag überzeugte nicht zuletzt durch seine klare Argumentationslinie.,"The presentation was persuasive, not least because of its clear line of argument.",La présentation a convaincu notamment grâce à sa ligne d’argumentation claire.,,,nicht zuletzt = not least ● Adverb,"nicht zuletzt = notamment, entre autres ● Adverbe"
504,24,"Die Branche steht unter Druck, _____ aufgrund der wachsenden internationalen Konkurrenz.",nicht zuletzt,nicht zuletzt,"Die Branche steht unter Druck, nicht zuletzt aufgrund der wachsenden internationalen Konkurrenz.","The industry is under pressure, not least due to increasing international competition.","Le secteur est sous pression, notamment en raison de la concurrence internationale croissante.",,,nicht zuletzt = not least ● Adverb,"nicht zuletzt = notamment, entre autres ● Adverbe"
505,24,_____ fiel am Tag der Präsentation auch noch das gesamte Netzwerk aus.,Zu allem Überfluss,Zu allem Überfluss,Zu allem Überfluss fiel am Tag der Präsentation auch noch das gesamte Netzwerk aus.,"To make matters worse, the entire network went down on the day of the presentation.","Pour couronner le tout, tout le réseau est tombé en panne le jour de la présentation.",,,"zu allem überfluss = to make matters worse, to add insult to injury ● Adverb","zu allem überfluss = pour couronner le tout, pour ne rien arranger ● Adverbe"
506,24,"_____ zeigte sich nach der Reparatur, dass ein zweiter, noch gravierender Fehler übersehen worden war.",Zu allem Überfluss,Zu allem Überfluss,"Zu allem Überfluss zeigte sich nach der Reparatur, dass ein zweiter, noch gravierender Fehler übersehen worden war.","To make matters worse, it turned out after the repair that a second, even more serious error had been overlooked.","Pour ne rien arranger, on a découvert après la réparation qu’une seconde erreur, encore plus grave, avait été ignorée.",,,"zu allem überfluss = to make matters worse, to add insult to injury ● Adverb","zu allem überfluss = pour couronner le tout, pour ne rien arranger ● Adverbe"
507,24,"_____ musste das Team auch noch eine Frist einhalten, die unrealistisch kurz war.",Zu allem Überfluss,Zu allem Überfluss,"Zu allem Überfluss musste das Team auch noch eine Frist einhalten, die unrealistisch kurz war.","To make matters worse, the team also had to meet a deadline that was unrealistically short.","Pour couronner le tout, l’équipe devait également respecter un délai irréaliste.",,,"zu allem überfluss = to make matters worse, to add insult to injury ● Adverb","zu allem überfluss = pour couronner le tout, pour ne rien arranger ● Adverbe"
508,24,"_____ eskalierte die Diskussion genau in dem Moment, als der Direktor den Raum betrat.",Zu allem Überfluss,Zu allem Überfluss,"Zu allem Überfluss eskalierte die Diskussion genau in dem Moment, als der Direktor den Raum betrat.","To make matters worse, the discussion escalated precisely when the director entered the room.","Comme si ça ne suffisait pas, la discussion a dégénéré au moment même où le directeur est entré.",,,"zu allem überfluss = to make matters worse, to add insult to injury ● Adverb","zu allem überfluss = pour couronner le tout, pour ne rien arranger ● Adverbe"
509,24,"_____ kündigte der wichtigste Partner seine Unterstützung, was das Projekt ernsthaft gefährdete.",Zu allem Überfluss,Zu allem Überfluss,"Zu allem Überfluss kündigte der wichtigste Partner seine Unterstützung, was das Projekt ernsthaft gefährdete.","To make matters worse, the most important partner withdrew its support, which seriously jeopardized the project.","Pour ne rien arranger, le partenaire le plus important a retiré son soutien, mettant le projet en danger.",,,"zu allem überfluss = to make matters worse, to add insult to injury ● Adverb","zu allem überfluss = pour couronner le tout, pour ne rien arranger ● Adverbe"
510,24,"_____ zeigte die Analyse, dass mehrere zentrale Annahmen von Anfang an fehlerhaft waren.",Darüber hinaus,Darüber hinaus,"Darüber hinaus zeigte die Analyse, dass mehrere zentrale Annahmen von Anfang an fehlerhaft waren.","Beyond that, the analysis showed that several key assumptions were flawed from the start.","Par ailleurs, l’analyse a révélé que plusieurs hypothèses centrales étaient erronées dès le début.",,,"darüber hinaus = in addition to that, beyond that, additionally ● Adverb","darüber hinaus = par ailleurs, qui plus est, de surcroît ● Adverbe"
